type,name
Executives,Alicia Rodriguez - Vice President of Investor Relations
Executives,"Mike McMullen - President and Chief Executive Officer, Agilent"
Executives,"Robert McMahon - Senior Vice President, Agilent Chief Financial Officer"
Executives,Jacob Thaysen - Senior Vice President and President of Life Sciences & Applied Markets Group
Executives,"Mark Doak - Senior Vice President, Agilent President, Agilent CrossLab Group"
Executives,"Sam Raha - Senior Vice President, Agilent President, Diagnostics and Genomics Group"
Analysts,Tycho Peterson - JPMorgan
Analysts,Ross Muken - Evercore ISI
Analysts,Jack Meehan - Barclays
Analysts,Steve Willoughby - Cleveland Research
Analysts,Paul Knight - Janney Montgomery
Analysts,Patrick Donnelly - Goldman Sachs
Analysts,Dan Arias - Citigroup
Analysts,Dan Leonard - Deutsche Bank
Analysts,Derik De Bruin - Bank of America Merrill Lynch
Analysts,Steve Beuchaw - Morgan Stanley
Analysts,Catherine Schulte - Baird
Analysts,Brandon Couillard - Jefferies
Analysts,Doug Schenkel - Cowen and Company
Analysts,Puneet Souda - Leerink Partners
