speaker,q&a,content
Operator,0,"Good morning, ladies and gentlemen. And thank you for waiting. At this time, we would like to welcome everyone to Adecoagro’s Third Quarter 2018 Results Conference Call. Today with us, we have Mr. Mariano Bosch, CEO; and Mr. Charlie Boero Hughes, CFO; and Mr. Juan Ignacio Galleano, Investor Relations Manager. We would like to inform you that this event is being recorded and that all participants will be in listen-only mode during the company’s presentation. After the company’s remarks are completed, there will be a question-and-answer section. At that time, further instructions will be given. [Operator Instructions].
Before proceeding, let me mention that forward-looking statements are based on the beliefs and assumptions of Adecoagro’s management and on the information currently available to the company. They involve risks, uncertainties and assumptions because they relate to future events and therefore depend on circumstances that may or may not occur in the future. Investors should understand that general economic conditions, industry conditions and other operating factors could also affect the future results of Adecoagro and could cause results to differ materially from those expressed in such forward-looking statements.
Now, I will turn the conference over to Mr. Mariano Bosch, CEO. Mr. Bosch, you may begin your conference."
Mariano Bosch,0,"Good morning. And thank you for joining Adecoagro’s 2018 third quarter results conference. As you have seen in our release, we are having a very strong year both from a financial and operational perspective. Once again, we are convinced that this was mainly achieved by the content enhancement of our agriculture, our industrial operations, resulting in higher productivity and consequently reducing unitary production cost. At the same time, we cannot disregard the good work of our logistics and commercial teams allowing us to capture above average prices.
Starting with Sugar, Ethanol & Energy business, rains have made us reduce the leading phase when compared to last year. However, this represents only performance of crushing activity since higher rains favor cane development, reason why we expect yield to increase. In addition, this enables us to secure cane availability.
Moving now to the economic performance, we continue maximizing the production of ethanol in order to profit from higher ethanol relative prices. On a year-to-date basis, 72% of the TRS produced went to ethanol, making us the producers with highest degree of flexibility in the production mix. Considering that, during 2018, ethanol traded at 30% average premium to sugar, this represents a clear competitive advantage, compared to other players, as we are making a more efficient use of our fixed assets. 
At the same time, total cost for production marked an 18% reduction year-over-year further contributing to the recent profitability. As for our expansion project, sugarcane availability is the critical factor, especially for our continuous harvest season. We have successfully secured 70% of the total hectares needed to fully supply the 3 million tons growth of crushing capacity. More importantly, terms and conditions were maintained, in some cases even improved.
Moving to our Farming and Land Transformation business. All of our teams are fully focused on the planting of the 2018, 2019 harvest year. Crops are developing in excellent conditions. However, we are entering into the months were yield [ph] for most of our crops are refined. We are in the dairy business. We continue delivering strong operational results. Cow productivity continues with extremely high productivity, even factoring for the new operational challenges that arise as we populate our third free-stall facility.
At the same time, we are advancing well in the acquisition of the two strategically [ph] located dairy processing facility. As we have highlighted, they will synergize with our assisting operations allowing us to diversify sales into both, local and export market, maximizing margin contribution. We are on the right track to conclude another solid fiscal year generating good returns and cash flows. As always, we remain focused in execution to further enhance efficiencies.
And I would like to finish by reiterating my gratitude to all the operational and management teams. After all, it is thanks to their daily efforts and hard work that we have become one of the low-cost producers of food and renewable energy.
Now, I will let Charlie walk you through the numbers of the quarter."
Charlie Boero Hughes,0,"Thank you, Mariano. Good morning, everyone. Let’s start on Page 4 with a brief analysis on the rains in Mato Grosso do Sul. As you can see on the left side chart, the third quarter was affected by excess rains. As a mater of fact, rains reached 323 millimeters, 58% higher compared to the third quarter of 2017.
On a year to date basis, rains in 2018 were more in line with a 10-year average. I would like to remind everyone that sugarcane cannot be harvested when the soil is wet. Because the heavy combines and trucks may damage the sugarcane roots and the soil, negatively affecting future yields. 
Let’s move to Page 5 to see the impact on our crushing activities. The excess rains in the quarter resulted in significant delays and disruptions in harvesting and crushing operations. This is reflected in the 17% reduction in effective milling days. Sugarcane milling as a result reached 3.3 million tons, 20% lower year-over-year.
It is important to highlight that the sugarcane, which was not harvested remains strong in our sales and is scheduled to be harvested during the upcoming quarters with higher yields and TRS content. On a yearly basis, however, sugarcane milling increased by 7%, driven by higher sugarcane availability together with higher operational efficiencies in all of our mills as a result of the industrial production capacity enhancements in Angelica mill.
Please turn to Page 6, where I would like to highlight our agricultural productivity. We remain fully focused on agriculture productivity since we understand that it is amongst the main drivers for becoming a low-cost producer. Over 70% of total production costs are related to sugarcane production at the fields. As a result, sugarcane yields in the first nine months of 2018 reached 90 tons per hectare, 7% higher year-over-year.
In addition to the enhanced agricultural efficiencies, higher yields were explained by adequate weather conditions during the first semester of 2018, which favored cane development. TRS content reached a 129 kilos per ton, slightly above the previous year in combination of these two effects, resulted in TRS production per hectare of 11.5 tons, 8% higher than last year’s nine-month period.
Let’s move ahead to Slide 7, where I would like to discuss our production mix. As you can see in the top left chart, an hydros ethanol in Mato Grosso do Sul traded at an average price of 14.1 cts/lb and 13.1 cts/lb sugar equivalent, which represents a 30% and 21% premium to sugar respectively. In this scenario, all our efforts were focused on maximizing ethanol production since day one to benefit from higher relative prices. Results are evident.
On a year-to-date basis, 72% of our TRS production was diverted towards ethanol explaining the 54% increase in ethanol production year-over-year as you can see in the top right chart. As a result of this strategy, ethanol accounted for 62% of the total year-to-date EBITDA generation in sugar, ethanol, and energy business, while sugar accounts only for 20%. This explains why our EBITDA and cash generation are more resilient to downward sugar prices.
Let’s move ahead to Slide 8. As you may see in the top right chart, average energy prices reached BRL494 per megawatt hour in the third quarter of 2018 marking a 13% increase year-over-year. As it is shown in the top left chart, levels of water stored in reservoirs are low compared to the previous year, thus reducing energy supply [indiscernible] from hydroelectric sources. It’s worth remembering that hydroelectric energy represents almost 80% of Brazilian energy metrics.
To profit from high prices, we maximize the energy production. In this line, lower crushing activity was partially offset by the large bagasse availability carried over from the previous quarter; coupled with enhanced efficiencies at an industry level. This explains, at the same time, the 15% increase in cogeneration efficiency.
Let’s please turn to Slide 9, where I would like to discuss quarterly sales. On a quarterly basis, due to our strategic decision to maximize ethanol production, selling volumes increased 109% reaching 169.6 thousand cubic meters. Ethanol total sales however did slow by 75%, fully explained by the lower average selling price. In effect, as a result of the 25% depreciation of the Brazilian real, ethanol prices measured in U.S. dollars decreased by 50% [ph]. It’s worth highlighting that compared to the same period of last year, we’re executing a more aggressive carry strategy aiming to profit from higher prices during the inter-harvest season.
In the case of energy, selling volumes reached 278,000-megawatt hour, marking a 16% decrease. This is mainly explained by lower crushing activities; partially offset by bagasse inventories carried from the first semester, enhanced efficiencies, coupled with a commercial effort to maximize energy sales in order to capture higher selling prices. We expect prices to remain at attractive levels, despite the recent drop in spot prices, in the wake of increasing demand and lower levels of water reservoirs in the south-east region of Brazil.
Sugar sales volumes reached 158,000 tons, 51% lower year-over-year. Average net selling prices reached [$0.118 per pound], 21% lower, compared to the third quarter of 2017. Lower prices are primarily explained by the global supply and demand dynamics. As a result, net sales reached $43 million, 61% lower, compared to the same period of last year.
Let’s please turn to Slide 10, where I would like to discuss production cost. As shown in the table, total production costs, excluding depreciation and amortization in the third quarter of 2018 marked an 18% reduction on a per unit basis. This decrease was explained by: enhanced agricultural efficiencies that contributed to reduce harvest costs, lower sugar prices, which resulted in a reduction in Consecana price and thus, in our agricultural partnership costs; and a reduction in the share of third-party cane. Unit costs, measured in U.S. dollars, were further reduced by the year-over-year depreciation of the Brazilian Real.
Finally, to conclude with the Sugar, Ethanol & Energy business, please turn to Slide 11 where I would like to discuss financial performance. Adjusted EBITDA for the nine-month period of 2018 reached 193 million, 16% higher, compared to the last year same period. The main drivers for the increase are explained by high reduction in cost of production, coupled with an increase of other operating income. These positive effects were partially offset by a decrease in sales.
It's worth to notice note that adjusted EBITDA margin net of third-party consolidation went from 36.1% in the first nine months of 2017 to 58.6% in the first nine months of 2018. On a quarterly basis, our adjusted EBITDA in the third quarter of 2018 was $64 million or 2% lower, compared to the third quarter of 2017.
Adjusted EBITDA was positively affected by 18% reduction in total production costs on a per unit basis as a result of enhanced agricultural and industrial efficiencies, coupled with the depreciation of the Brazilian Real, 14.2 million higher gain derived from the mark-to-market of our commodity hedge position. These positive effects were offset by lower sales coupled with 16.2 million loss from differed value of our unaudited gains.
I would now like to move on to the farming business. Please direct your attention to Slide 13. At the end of the third quarter of 2018, Adecoagro began its planting activities for the 2018 and 2019 harvest year. We expect to plant 237,000 hectares, 1.9% higher than the previous harvest season. This increase is expected to come primarily from a greater leased area, partially offset by an 8.4% decrease in owned land as a result of the sale of Rio de Janeiro and Conquista farms during the second quarter of 2018.
As of the end of October of 2018, a total of 79.2 thousand hectares or 33.4% of the target area has been seeded. We expect to continue planting rice until mid-November, and corn and soybean until early January. The wheat crop has developed as expected and we are preparing for the start of harvest.
Let’s move to Page 14 where I would like to walk you through the financial performance of our Farming & Land Transformation business. As you might see on the chart on a year-to-date basis, adjusted EBITDA for the farming business totaled 100 million, marking 167% increase year-over-year. The result is mainly explained by the performance of our crops and rice businesses coupled with the sale of Rio de Janeiro and Conquista farms.
Higher margin recognition as a result of higher commodity prices in the local market, coupled with a reduction in production costs explains the 13.9 million increase in our crops business. As for our Rice business, we registered our 14.3 million increase, as a result of a 17% increase in agricultural yields, coupled with lower production costs, measured in U.S dollar. The sale of Rio de Janeiro and Conquista farms during the second quarter of 2018, in turn, contributed with 36.2 million in capital gains.
Let’s now turn to Page 16, which shows the evolution of Adecoagro’s consolidated operational and financial performance. On a consolidated basis, net sales in the first nine months of 2018 reached 557 million, 13% lower year-over-year. This, as we have already seen is mainly explained by the combination of lower sugar and energy selling volumes, coupled with lower sugar and ethanol prices measured in U.S. dollars. Adjusted EBITDA in turn totaled 279 million, marking a 49% increase, compared to same period of last year. 
Positive results were achieved in all of our businesses. As previously explained, the good performance of our crops and rice businesses were primarily the result of enhanced agricultural and industrial efficiencies, coupled with lower production costs, measured in U.S. dollars. As for our Sugar, Ethanol & Energy business, positive results were driven by higher production volumes, which allowed us to dilute fixed costs coupled with the gain derived from the mark-to-market of our commodity hedge positions.
To conclude, pleased turn to Slide 17 to take a look at our net position. As you may see in the left chart, our gross indebtedness as of September 30, 2018 stands at 815 million, while net debt stands at 634 million, 5% lower quarter-over-quarter, and 8.3% higher year-over-year. The increase in net debt from a yearly perspective is primarily explained by our investment program.
It’s important to highlight that due to the growth in adjusted EBITDA, however, net debt ration reached 1.73x 11.3% lower year-over-year. I’d like to mention that our debt is very well structured in the long run, with an average maturity of over six years.
Thank you very much for your time. We are now open to questions."
Operator,1,Thank you. [Operator Instructions] And our first question comes from Danniela Eiger with Bank of America Merrill Lynch. Please go ahead with your question. 
Danniela Eiger,1,"Hi, good morning Mariano, Charlie, and Juan. Thanks for taking my question. I have two questions on sugar and ethanol. The first one is, regarding ethanol prices outlook, we are seeing all big players in the industry here in Brazil carry inventories to the inter-harvest season in the hopes of selling it at higher prices due to seasonality. And although ethanol demand remains at peak levels, we are seeing continuous cuts on gasoline prices by Petrobras, which are still not reflected at pump prices, right? So, how are you seeing these risks in terms of profitability for the sugar and ethanol division? And my second question is, on your announcement on the investment of additional ethanol storage capacity, can we understand that we will lead you to continue increasing your production mix towards ethanol in the next season and if so, do you need to make any additional investments to increase your flexibility or you still have some extra room to expand it? Thank you."
Mariano Bosch,1,"Okay. Thank you, Danniela, thank you for your questions. Very interesting one. I’m going to ask Renato, that is our Head of Sugar, Ethanol and Energy Business to answer both of your questions, and I will add something if needed. So, Renato do you want to take that question please?"
Renato Pereira,1,"Okay. Thank you for the question. First, regarding the ethanol price, ethanol markets have been under pressure due to weaker gasoline price at their refineries. However, we keep a positive view, as lower gasoline price at their refineries were not [indiscernible] contributing to my actual maintaining ethanol competitiveness and [indiscernible] close to 63%. 
Also, hydros demand continues to reach the record highs as shown by [indiscernible] last year reports. And also, longer intercrop periods and the lack of left-over sugarcane should lead to a tighter market, especially in the Q1. For other reasons, we believe that even [indiscernible] outlook ethanol price have a room to improve and to lead them to close to 70%. It is important to highlight that despite the drop-in ethanol hydros in Mato Grosso do Sul it is still above $0.15 per pound and then hydros $0.16 per pound in sugar equivalents.
Regarding the second part of your question, which is related to the ethanol tanker [ph] investments, seems to have achieved such a high ethanol mix higher than expected. We plan to finish this year with a mix close to 75%, our [indiscernible] decreased, so in order to avoid selling it on the peak of this season, we have been building four new tanks, which will increase our storage capacity in about 43%.
In regarding ethanol mix for next year, we have been doing some small adjustments in [indiscernible] that we believe that we will increase the mix to close to 8%, but of course it depends on the weather and the DIS content of the sugarcane. The investments to increase the mix is very – is more or like adjustments in our own process."
Mariano Bosch,1,"Very clear Renato, I have nothing to add Danniela."
Danniela Eiger,1,"No, that’s perfectly clear. Thank you."
Operator,1,And our next question comes from Gustavo Allevato with Banco Santander. Please go ahead with your question.
