speaker,q&a,content
Operator,0,"Good day, and welcome to the Precision Therapeutics Q3 2018 Business Update Conference Call. Today's conference is being recorded.
At this time, I would like to turn the conference over to Elizabeth Barker, Investor Relations at KCSA Strategic Communications. Please go ahead."
Elizabeth Barker,0,"Thank you all for participating in today's call to discuss Precision Therapeutics financial results for the third fiscal quarter of 2018.
Joining me today are Dr. Carl Schwartz, Chief Executive Officer of Precision Therapeutics; Bob Myers, Chief Financial Officer of Precision Therapeutics; and Jerry Vardzel, Chief Executive Officer of Helomics Corporation.
Before we begin, I would like to caution that comments made during this conference call by management will contain forward-looking statements regarding the operations and future results of Precision Therapeutics and Helomics Holding Corporation. I encourage you to review the Company's filings with the Securities and Exchange Commission, including but without limitation, its Forms 10-K, which identifies specific factors that may cause actual results or events to differ materially from those described in the forward-looking statements. I would also like to refer to the Form S-4 Registration statement filed by Precision Therapeutics with the SEC in connection with the proposed merger traction with Helomics. Security holders of Precision and Helomics are urged to read all relevant documents filed with the SEC including the proxy statement prospectus because they will contain important information about the proposed transaction as well the identity of people who, under SEC rule, may be considered participants in the solicitation in connection with the proposed merger, and a description of their interests.
With that said, I would like to turn the call over to Dr. Carl Schwartz. Carl?"
Dr. Carl Schwartz,0,"Thank you, Elizabeth, and welcome to everyone who has joined us today for today's third quarter 2018 earnings call. It's great to see so many people dial in to hear our update as we progress through this critical period in the Company's evolution.
Also, be aware that AIPT is our new symbol, and it stands for Artificial Intelligence Applied to Precision Therapy. 18 months ago, we announced our intention to pivot into the Specialty Contract Research organization or CRO services sector. And since then, we've been working on several initiatives to advance this strategy including the formation of our TumorGenesis subsidiary and our 25% investment in Helomics with whom we have also signed a definitive agreement to acquire.
On today's call, I'm going to talk about our progress in these areas. Later in the call, I'll also provide information about our Skyline Medical division before Bob Myers, our CFO, goes into our financial results in the quarter. 
CROs provide specialized services that are integral to the development of drugs, biologics and medical devices. For the age of personalized medicine really finding cancer therapies, specialty CROs that rely on advanced technology are needed to optimize the drug development process. We believe this specialty CRO market especially as it relates to drug discovery, is at least $2 billion market and growing.
To position ourselves to leverage this exciting opportunity, we have formed our wholly owned subsidiary, TumorGenesis, in the first quarter of this year to pioneer a powerful new approach growing cancer tumors in the laboratory with an initial focus on ovarian cancer. Currently, most exciting news for traditional patient-derived tumors in what are called PDX mouse model to understand cancer biology, a drug discovery and translate finding to our optimal treatment of a human disease. However, PDX mouse models are not able to represent the [technical difficulty] cancer type and sub type. Questions have been raised about how well these models represent human cancers with a primary fear of being that cancers can undergo different genomic changes when translated to mice than they do when transplanted into human host.
These changes could affect the ability to predict individual patient’s responses to drug, using PDX mouse model. This can lead to costlier, less accurate and longer lasting clinical trials. To be short, this PDX mouse model market is low-hanging fruit for us.
AT TumorGenesis, our aim is to produce a more accurate, predictive model of how treatments will perform before they enter expensive clinical trials by growing human tumors outside the body.
These patient-derived tumor models, which closely mimic the patient's internal environment and can be designed to fool the cancer cells into thinking they are inside a human body. This is expected to generate a more accurate response when testing drugs for personalized therapy and in the development of new drugs.
As mentioned, our initial focus will be on ovarian cancer. Fewer than 40% of women with ovarian cancer survive from today’s standard treatment. Our approach which targets cancer by the patient-specific mutation is designed to change this paradigm and significantly improve patient outcome. Currently, there are 24 mutations of ovarian cancer in TumorGenesis is focused on completing tumor generation for each of these mutations with the aim of completing this process in the first half of 2019.
In recent weeks, we have made material progress towards this goal, including securing solid tumor samples for several ovarian cancer patients, and starting work towards validating growing already. Already, TumorGenesis has developed a discovery kit which we are selling for $2,500 each, using this technology, for screening of these ovarian cancer cell types. The development of this kit was the first major milestone in our quest to grow human tumors outside the body, and the kit is now being made available to clients with TumorGenesis for the whole cell screening and clinical research project.
The next three major milestones include one, identifying the peptides and structure needed to grow a tumor; two, selecting the one that works the best; and three, growing a tumor exogenously. We expect that these tumors will be in drug discovery projects with pharma at Helomics’ CLIA lab as part of our CRO services offering.
Upon completion of these next milestones, researchers will be able to fool ovarian cancer cells into growing as if they were still in the patient. This will help our pharmaceutical clients, research and develop new drugs or identify a combination therapy with previously approved drugs to improve patient outcomes.
The progress we have made at TumorGenesis in just a few months is encouraging and has firmly positioned us as the unique CRO. First, we are breaking new ground in our effort to grow tumors outside the body; another very significant differentiator, the application of artificial intelligence within our CRO platform.
I'm now going hand the call over to Jerry Vardzel, President and CEO of Helomics to discuss this further, and provide further update at Helomics, in which we have a 25% ownership stake Jerry?"
Jerry Vardzel,0,"Thanks, Paul Helomics has continued to execute on its business model in quarter three through its three complementary business pillars, all of which are revenue generating with growth strategies in place.
As a reminder our pillars are as follows: CRO services; the D-CHIP, which is our artificial intelligence platform for drug discovery, D-CHIP being our Digital Clinical Health Insights Platform; clinical testing for oncology centers, which is our Precision Oncology Insights pillar. 
Let me begin by talking about our boutique CRO offering, which dovetails with what is happening at TumorGenesis and supports Precision Therapeutics’ position as a contract research organization. Our CRO go-to-market strategy is driven by our artificial intelligence platform applied to our database, which has 150,000 tumors in it currently and is growing. Our goal is to leverage this platform into the drug discovery market with our pharmaceutical and diagnostic clients to usher in the next generation of precision cancer therapy.
We are positioning ourselves as a key partner for driving the discovery of new precision therapy from target biomarker discovery through drug screening and patient stratification and screening for clinical studies to companion diagnostics. In quarter three, we signed a major deal with a patient advocacy group, the National Alopecia Areata Foundation. One of our key differentiators was our ability to offer a full service of specimen storage and processing. This means we will store, process and perform test to identify specific mutations on-demand for researchers that access this registry. This contract will generate both project fees and reoccurring revenue over many years.
We have also made progress with our biorepository services as part of our CRO services to address the needs for Specimen Lifecycle Management from transport, to storage, to processing and destruction. With over 20 years of experience in shipping live tumor tissue. Helomics helps clients with all aspects of specimen logistic from study site collection to transport to the Helomics facilities and to other laboratory. The recent signing of the National Alopecia Areata Foundation contract includes our biorepository services with additional proposals in the pipeline.
Finally, the build out of our D-CHIP, our AI powered bioinformatics platform continues as we continue to add to our large repository of genomic and drug response profiles from the initial 150,000 anonymized clinical tests, performed on the patient’s own tumor. The Helomics D-CHIP knowledge base is unlike other databases that just contain genomic information as it is unique in linking together genomic data and phenotype data, i.e. how the tumor response to drug. We have also signed deals for D-CHIP, which will not only generate revenues from our informatics platform but will also generate revenues from additional NGS sequencing as we perform, as part of these contracts to generate additional data going forward.
One of the key objectives of our D-CHIP business was to partner with other key genomic data sources. And I am pleased to announce today that we recently signed a partnership agreement with Genome England’s 100,000 genomes project. Through this partnership, we have the use of very expensive whole genome sequencer and we have access to the data they have generated on patient’s entire DNA which allows us to build out D-CHIP especially in the area of ovarian cancer. Our artificial intelligence programs can now map whole DNA of the patient against individual tumor mutation to create therapy map.
Finally, let me turn to our Precision Oncology Insights business. Our primary focus in this business is on ramping up specimen numbers and completing the necessary work to offer key tests that identify specific mutations. The Precision Oncology Insights business captures up front revenues from the patient testing. It involves comprehensive tumor profiling of the patient's own tumor together with the power of our artificial intelligence with D-CHIP, which is the Digital Clinical Health Insights Platform to generate a personalized oncology roadmap that provides the additional context that helps the patients’ oncologists to truly personalize treatment.
We continue to make progress with our outreach program to existing oncologists. We have over 1,400 in our network, which is currently generating growth in our specimen numbers, each month. Our initial effort of the outreach program has resulted in dialogue with over 150 plus previous vendors and 10 current vendors. We look for this to continue to grow in quarter four and throughout 2019. We started this outreach program in quarter three, with the addition of three new registered nurse RN consultants. We did this to move away from the basic sales representative mentality approach and move towards the relationship building approach. The utilization of registered nurses has enabled us to provide a more consultative approach that has been well-received as we've launched this going forward. These specimens represent revenue from the clinical testing business through reimbursement, plus additional revenue for our other two integrated verticals in the form of data for the D-CHIP and two as is appropriately consented material for our drug discovery services.
We also are pleased to report that our next generation sequencing channel is up and running which impacts both, our Precision Oncology Insights business, as well as our contract research business and D-CHIP. For the clinical testing at the Precision Oncology insight business, we are offering 37 mutations over four key genes for cancer. However, we measure many more genes together. These genes provide the data to power our AI-based D-CHIP platform going forward.
This is truly an exciting time in Helomics. We continue to ramp up our CRO business with additional strategic collaboration with newly signed and executed contracts. And we have a strong pipeline for the fourth quarter and beyond.
With that, I'll turn it back over to Carl."
Dr. Carl Schwartz,0,"As you can see, there's a great deal to be excited about when considering the market opportunity ahead for us, and we are executing on all fronts to Precision Therapeutics as a unique player in the CRO market.
Through development of TumorGenesis and our investment in Helomics, we are positioning our company to take advantage of a multibillion dollar market opportunity. By creating a contract research organization poised to displace the existing PDX mouse models that are obviously flawed, yet so prevalent today, we are positioning ourselves to be pioneer.
Through the application of artificial intelligence, we believe that our work will bring about a better patient outcome, first in ovarian cancer and later in many other indications.
To provide additional support and guidance to the Company as we advance our growth strategy and the precision medicine market, we have launched the scientific and medical advisory board. They comprise the world renowned scientific and medical experts who have worked closely with Precision Therapeutics’ senior management team throughout this crucial stage in our development. We have been able to attract eight world-class experts to the Board already, which I believe is a testament to the promise made. Number one, Dr. Marc Malandro, Vice President of Operations for Science at the Chan Zuckerberg Initiative. Prior to his position, Dr. Malandro was the founding director of the Innovation Institute and Vice Chancellor for Technology Management and Commercialization at the University of Pittsburgh. Two Dr. Amelia Wall Warner, Founder and CEO of Clinical Trial Concepts. She was previously the CEO and founder of the Successful Global Specimen Solutions Inc., which created a novel and analytic solutions for Global Specimen data tracking. Dr. Robert Murphy, Professor, Ray and Stephanie Lane Professor of Computational Biology and Head of the Computational Biology Department in the School of Computer Science at Carnegie Mellon University. Dr. Murphy is also a Professor of Biological Sciences, Biomedical Engineering, and Machine Learning, and was a founding director with Ivet Bahar of the Joint Carnegie Mellon University-University of Pittsburgh Ph.D. Program in Computational Biology.
Paul Sweetnam, founder of CellBridge, LLC; Tony Frudakis, previously Co-Founder & Chief Scientific Officer at DNAPrint Genomics; Ratmir Derda, Associate Professor at the University of Alberta.
On the Medical Advisory Board we have Dr. Paul Kornblith, Founder and Former Chairman and CEO of Helomics Corporation. Paul currently serves as a Medical Advisor to Helomics, the Pittsburgh Life Sciences Greenhouse, and the Innovation Institute; as Adjunct Professor in the School of Health and Rehabilitation at the University of Pittsburgh; and as the Western Pennsylvania Director for Life Sciences. Also on the Medical Board, we have Hector Gomez, President & CEO, Co-Founder of GLG Pharma, LLC. Quite of an impressive group.
Their combined skills and experience cover molecular biology, bioinformatics, forensic DNA and clinical drug development as well as establishing and growing new, highly successful businesses. We consider these advisors important to the future of Precision Therapeutics, and I would encourage you to read more about each of them through their press releases that we have issued over the last few weeks, which includes detailed biographies for each of them.
With that, I'd like now to move into Skyline Medical Division where we have several very positive developments to discuss related to our sales strategy for the STREAMWAY System. During the third quarter we sold 10 units including 1 which took place outside North America. This was the first time we have reported any sales outside of North America, which is a turning point for us as it represents the opening up of much a larger market. While we are pleased to be gaining considerable traction internationally, this coincides with the change in the direction of our U.S. operations that will impact sales.
We have been approached by a number of large hospitals and medical centers that expressed interest in purchasing the STREAMWAY, but provided feedback requesting certain modifications to address the needs of all facilities, especially those with poor vacuum. We have therefore made the decision to temper our U.S. sales efforts, implement certain modifications, and then focus on ramping up domestic sales in 2019.
To that end, we are releasing our Generation 3 STREAMWAY that uses the hospitals vacuum supply in quarter one 2019, followed by an enhanced version of the STREAMWAY, called STREAMWAY Plus, which has an on-board vacuum. As a result of this decision, our STREAMWAY sales fell short of our predictions for the year. However, we believe this will be the best approach to maximize our total U.S. sales potential and we strongly believe we will recapture those missed opportunities and then some with improved strategy.
Compared to the STREAMWAY, the STREAMWAY Plus is 50% smaller than the previous model which frees up space in operating rooms and procedure rooms. It also is quieter and most importantly, has a powerful, efficient on-board vacuum pump to satisfy any fluid evacuation requirements. This vacuum pump was something that medical centers have requested, and we believe will enable us generate significant sales next year. The new STREAMWAY Plus is nearly complete and we expect to receive 510(k) approval from the FDA in time for us to commence sales of it in the first half of 2019.
To support our revamped growth strategy, we are hiring several additional sales people that have decades of experience in the OR and medical device field. At the start of the year, we had only five sales reps which of course limited our capacity to form new relationships in the medical field. These additional hires coupled with our latest-generation STREAMWAY technology are expected to springboard our growth in 2019 and we could not be more excited about this opportunity.
In the meantime, as I alluded to earlier, our international sales efforts have already gained significant traction. Earlier this year, we established our European arm, and over the past several months have developed a strong European sales presence consisting of both direct sales reps and a network of reputable independent distributors covering Portugal, Switzerland, Austria, and part of France. These partners are constantly in discussions with potential new customers and we are pleased with the rapid progress they have made penetrating the European market. The speed with which our first sale in Europe was secured, we believe, is indicative of how well-suited the STREAMWAY is to the European market and will pave the way for future sales in the region, as well as Asia, North Africa and the Pacific Rim.
Lastly, our European sales group has signed distributorship with several countries including Kuwait, India, EAU, Saudi Arabia and Pakistan who have contractually agreed to sell over 100 machines in 2019. Anecdotally, at one of our booths at MEDICA one of the largest medical equipment shows in the world, the CEO of a Japanese company said, this is the most interesting product I have seen at MEDICA, quite a compliment considering there were over 5,100 companies at the show.
Furthermore, Skyline Medical is currently in negotiations with several other international distributors from around the world, as well as a number of hospital suppliers. We expect this global sales network to continue to grow, and with its expansion generate additional sales for the Company. We’ll continue to issue regular updates on each of these initiatives as they materialize.
I’ll now turn the call over to Bob Myers, CFO, to talk about our financial results for the third quarter. Bob, please go ahead."
Bob Myers,0,"Thank you, Carl.
The financial results for the fiscal quarter ended September 30, 2018, were filed with the SEC this afternoon.
Revenue for the quarter ended September 30, 2018 was $323,000 compared with $153,000 for the quarter ended September 30, 2017.
We sold 10 STREAMWAY Systems during the third fiscal quarter, compared with 2 STREAMWAY Systems in the third quarter of 2017. Our sales and marketing campaign has continued to generate solid results, having now sold 35 STREAMWAY Systems so far this year. We expect this campaign for the STREAMWAY System will continue to accelerate in 2019 with the commercial launch of the Generation 3 STREAMWAY followed by the STREAMWAY Plus.
Further, our awareness campaign to improve the use of disposable filters and cleaning products has continued to produce recurring revenues from higher usage by existing customers, with sales from disposable products growing 55% in quarter three from quarter two in 2018.
Gross profit for the quarter ended September 30, 2018, increased to $245,000 compared with gross profit of $124,000 in 2017. Gross profit margin was 74.8% of revenue, a decrease of nearly six basis points, due to a higher cost compared with a gross profit margin of 81.2% of revenue for the same period in 2017. As sales continue to increase, we expect that over time this will enable us to achieve volume purchasing discounts on both equipment components and our cleaning solution, which should bolster our margins.
Total operating expenses for the quarter ending September 30, 2018, were $2.1 million, an increase of approximately $992,000 compared with $1.1 million in the prior year period.
General and administrative expenses decreased by $0.1 million year-over-year, primarily from investors’ stock compensation that we recorded in 2017, due to our registered direct offering in November of 2016 with warrants that vested in 2017. This was offset by higher operations expense, which increased by $531,000 due to $327,000 in consulting fees due to the TumorGenesis build-up; $68,000 in stock-based compensation for employee options; $93,000 in research and development; $7,000 toward testing for new STREAMWAY parts development; and higher payroll, taxes and benefits costs.
The net loss available to common shareholders for the quarter ended September 30, 2018 was $2.5 million compared with a net loss available to common shareholders for the quarter ended September 30, 2017 of $1 million. The Company also reported a $646,000 loss related to the Company's equity vested investment in Helomics, of which we own 25%. Our comprehensive net loss for the quarter, which includes this loss and equity method investment was $2.5 million or $0.19 per share on 13.3 million weighted average shares outstanding, compared with $1 million or $0.16 per share on 6.2 million weighted average shares outstanding for the third quarter of 2017.
The Company had cash and cash equivalents of $0.2 million as of September 30, 2018, compared with $0.8 million as of December 31, 2017.
In the first week of October 2018, we received $1,815,000 in net proceeds from a private placement of secured convertible promissory notes, which show on our balance sheet and is represented by loan receivable on the balance sheet; half of that amount was advanced to Helomics.
This concludes the financial portion of today’s earnings call. Carl?"
Dr. Carl Schwartz,0,"Thank you, Bob. Operator, can you please open the call for question-and-answer."
Operator,1,Thank you. [Operator Instructions] We’ll go first to John Barker with BDT Traders [ph].
Unidentified Analyst,1,"Good afternoon. So, the cost of the original STREAMWAY was $24,900, is that correct?"
Dr. Carl Schwartz,1,Yes.
