type,name
Executives,Tom Barth - Head of Investor Relations
Executives,"Thomson Leighton - Co-Founder, Chief Executive Officer and Director"
Executives,"James Benson - Executive Vice President, Chief Financial Officer and Principal Accounting Officer"
Analysts,Keith Weiss - Morgan Stanley & Co. LLC
Analysts,Sterling Auty - JPMorgan Securities LLC
Analysts,"Sameet Sinha - B. Riley FBR, Inc."
Analysts,Jeff Van Rhee - Craig-Hallum Capital Group LLC
Analysts,"Michael Turits - Raymond James & Associates, Inc."
Analysts,James Fish - Piper Jaffray
Analysts,Jeffrey Kvaal - Nomura Securities Co. Ltd.
Analysts,"Vijay Bhagavath - Deutsche Bank Securities, Inc."
Analysts,Brad Zelnick - Credit Suisse
