speaker,q&a,content
Operator,0,"Good afternoon. My name is Kelly, and I will be your conference operator today. At this time, I would like to welcome everyone to the Altice Europe Third Quarter 2018 Results Conference Call. All lines have been placed on mute to prevent any background noise. After the speakers’ remarks, there will be a question-and-answer session. Instructions will be provided at that time. Please limit yourself to one question and one follow-up. [Operator Instructions] And thank you.
Vincent Maulay, Head of Investor Relations, you may begin your conference."
Vincent Maulay,0,"Hello, everyone. Welcome to Altice Europe Q3 2018 Earnings Call. This is Vincent Maulay, Head of Investor Relations. In a moment, I will hand over to our CEO, Alain Weill; our new CFO, Malo Corbin; and Dennis Okhuijsen who will take you through this presentation. Patrick Drahi, our Founder and President of the Board, will join us for the Q&A session."
"As today’s presentation may contain forward-looking statements, please read the legal disclaimer on Page 2 of this presentation. The slides are available on the company’s website, and a replay of this call will be available for the next month.",0,"And with that, it’s my pleasure to hand over to Alain."
Alain Weill,0,
"Thank you, Vincent, and welcome to Altice Europe. Hello, everyone. On Slide 3, we outlined our core strategy for Altice Europe. Firstly, over the last year, we have intensified our focus on improving customer experience, and we are continuing to make significant progress. We are already seeing significant benefit from these changes, effective in our record subscriber momentum, as I will explain in the following slides. Secondly, we continue to invest in our proprietary best-in-class infrastructure, both in fiber and mobile, commensurate with Altice Europe's position as a number one of two operator in each market.",0,"Finally, we are accelerating the monetization of our content investments through various Pay TV models, and we are growing advertising revenue further. This strategy is paying off, as you can see, in our record subscriber numbers as well as in our competitors' behavior. This strategy will, in the coming quarters, enable Altice to return to revenue growth, profitability expansion and cash flow generation.
Slide 4 sets out our key takeaways for the third quarter. Our differentiated strategy focused on investment in proprietary infrastructure and premium and key content continues paying off as we are seeing very strong subscriber pickup in our main geographies.
Our operational turnaround is on track. In both France and Portugal, further significant improvement has been achieved since the beginning of the year. In France B2C, we upraised more than 1 million subscribers since January 2018 compensating the loss of subscribers over the last three years since the SFR acquisition. We now have more than 21 million subscribers in Portugal.
In Portugal, the year-over-year growth of our subscriber base is now accelerating in both fixed and mobile and we are proven over the last 12 months that MEO is no longer announcing fixed and mobile postpaid subscriber. In France, we signed new agreement to expand our fiber footprint in both the medium-dense and low-dense areas, expanding our addressable market for high-speed broadband services and putting us in an ideal position to be a significant participant with the appealing infrastructure wholesale market.
We accelerated in Q3 2018 the monetization of our unique content assets, notably the Champions League, so built this offer with our telco arm SFR contributing to better gross ads and up-selling existing customer orders with also reducing churn, OTT offer with high partners, and low variable costs as well as a new wholesale agreement with Canal+ for its satellite clients only.
Last, but not least, we have made a real progress in strengthening our balance sheet. We have successfully co-financed part of our debt in France in July. We have delivered on the execution of our noncore asset disposable program with notably the closing of the 12 of mobile stores in Portugal and in Dominican Republic. The sale of a part of our French mobile store to KKR is expected to occur by the end of this year. These steps are presented in the client selling of our long-term balance sheet position, while crusading the underlying value of Altice Europe notably its infrastructure.
On Slide 5, you can see a summary of the main trends in B2C for France and Portugal. In France, these KPIs highlight stabilizing trends despite tight competition. In Portugal, these KPIs highlight stronger trends, and we target to be back in growth in the coming quarters. In France, our subscriber momentum continues to be strong with 166,000 net additions in fixed, of which 64,000 net additions in fiber and 368,000 net additions in mobile. SFR has been, by far, the outperformer in the third quarter notably in mobile postpaid, where we have had a record quarter since 2004.
We continue to successfully and meaningfully reduce churn compared to the last year with the improvement of operating processes and better retention. So year-on-year comparison for ARPU remains challenging, especially due to the variability we have had last year, but with – we see signs of stabilization quarter-over-quarter in both fixed and mobile is clear when it is compared to the recent quarter. In Portugal, net adds continue to improve and ARPU are stabilizing, rising second shift increase in revenues for both fixed and mobile. We are extremely pleased with our performance in Portugal.
Based on Portuguese regulator and regulator and account statistics, MEO is now the leader on all six packages, including for triple play, and we keep improving our market share. From an operational perspective, Portugal remains our best-in-class asset in churn, with churn rate below 10% in both fixed and mobile postpaid.
Slide 6 shows an overview of our very high speed bundle household infrastructure in France, Portugal and Israel. We are the market leader and have a competitive advantage in each geography after years of sustained investment. For France, I would like to state that most of our infrastructure is owned, which is not the case for most of our competitors, as you can see on the left-hand side of the slide. We would like our capacity to invest and the structural difference in cash flow generation in the market. There is much value in such proprietary infrastructure.
Consistent with this, we will continue to invest where it makes sense and, in particular, new fiber on pace in French mid- and low-dense areas where we secured the right to build and operate the fiber infrastructure in approximately 20% of this territory.
On Slide 7, you can see an update on the execution of our plan to strengthen our balance sheet. First of all, we have signed the tower of disposals in France, Portugal and Dominican Republic. We have already closed Portugal and the Dominican Republic, and we expect to close France in the coming weeks. This transaction represent total sales proceeds of more than EUR 2.5 billion. Altice will retain the controlling 50% stake in the French tower portfolio as well as a substantial interest in the Portuguese portfolio.
Secondly, we have started to see significant increase of content collected revenue, namely monetization of the Champions League rights. We have customer on top of new OTT clients and SFR clients seeking content vendor. RMC Sport is now already to reach the level of 2 million of customers. Thirdly, we continue to strengthen further our long-term balance sheet position, while crusading the underlying value of Altice Europe by reducing our fixed infrastructure in France as well as our other region. We have made very good progress in France. And as was said, many offers from very high-quality partners to accelerate FTTH infrastructure deployment. As of to date, we have not yet taken any final decision
I will now hand over to Malo, our new CFO, and I congrats Malo to take you through the Altice Europe business for you."
Malo Corbin,0,"Thank you, Alain. It’s a pleasure for me after several years working with Altice, Patrick, Dexter, Dennis and the team to take this role, and I’m looking forward to spend more time engaging with investors and analysts.
Moving to Slide 9., we show SFR B2C subscriber trends. We are number one, again, this quarter in subscriber recruitment. Year-to-date, we have won back more than 1 million customer equivalent to the amount of customer we lost over the last three years since the SFR acquisition. On the left-hand side of the slide, you can see the B2C fixed net adds where we added 64,000 fiber customer in the third first quarter with 40% of our fixed B2C base now in fiber.
We achieved a strong performance in the competitive market with positive total fixed net adds for the third quarter in a row. Adding our new OTT RMC Sport subscribers, we acquired 166,000 net adds in Q3 2018. On the right-hand side of the slide, you can see the B2C mobile postpaid net adds. Q3 was the eighth consecutive quarter of growth since we upgraded the mobile network and expanded the 4G coverage. We added an impressive 278,000 new postpaid customers this quarter and more than 800,000 year-to-date.
The SFR brand was net adds-positive this quarter, as it was the case in the previous quarter. In both our fixed and mobile segments, the improved performance was largely driven by substantial improvement in churn following operational changes achieved by the management team in France. In addition, we benefited from the positive impact linked to RMC Sports and its premium Champions League content, which started mid-September. These trends continued so far in Q4 2018 with a lower level of competition. Total B2C fixed ARPU and mobile postpaid ARPU declines are moderating. In Q3, both declined 1% quarter-over-quarter.
Slide 10. Improving customer service is core to our strategy, and we are seeing ongoing improvements. For example, we continue to make progress in improving installation processes and increasing network automation to the effect and solve issues more quickly. We remain very focused on other metrics that are central to the customer experience. As you can see on this slide, fixed customer complaints have reduced by 37% this quarter compared to last year, and the same story is also true on the mobile side where complaints have been halved versus last year. As a result of this, technical service calls have significantly reduced.
All of these processes that we are very focused on are directly correlated to our churn, and we are confident that we’ll continue to improve our customer satisfaction, reducing churn and also reducing the associated costs. We have further room to improve here as we open new areas to FTTH in 2019, where we currently operate the DSL against competitors’ FTTH.
On Slide 11, we want to highlight our flexibility to address both the low-end and digital market as well as the high-end and non-digital market. The competitive intensity of the French market during Q3 was even greater than in Q2. As it has been the strategy for the last 12 months, SFR remains a follower in promotions, counterattacking promotions of peers when it makes sense. The chart on the left highlights how we can be agile in order to achieve our per share of net adds, despite the promotional episodes.
In this context, our digital no-frill brand RED had excellent commercial traction despite no discount versus competition and even higher prices. RED customer come with an ARPU slightly below total mobile blended ARPU, but more importantly with lower associated costs and reduced churn. In the high end of the market, SFR benefits from its market-leading distribution network being number one in number of shops with high-quality infrastructure with a greater number of project sites and its unique content portfolio, both with an exclusive offering and with a full sports suite offering.
The SFR brand customer base grew again in the third quarter 2018. We remain very pleased with the complementary of our RED brand and our SFR brand, both of them delivering positive net adds this quarter, together with the second quarter, this is the first time for SFR brand since 2014.
Moving to Slide 12. We announced the group has undertaken a strategic review of its fiber infrastructure to further accelerate its deployment and is exploring financial partnerships. Let’s focus on our fiber project in France. Over the recent quarters, we have seen an acceleration of cyber adoption in France, notably driven by high bandwidth usage, and more importantly increasing number of singleton use users within the same household. All retail operators have clear ambition in fiber. In the mid- and low-dense area in particular, cyber pickup is also supported by a low quality of the DSL network.
The existing regulatory framework in France in the mid- and low-dense areas enabled the cyber infrastructure operator to reach full penetration on its infrastructure. In those areas, Altice France has secured approximately 5 million homes, of which approximately 1 million homes have already been built today. We are exploring partnerships with financial investor to accelerate the rollout of the remaining homes, while optimizing the financing of this rollout. And as mentioned by Alain, we are extending this review to our fixed infrastructure to other countries of Altice Europe.
Slide 13 shows the component of Altice France revenue trends. Total revenue declined 5.5% excluding the VAT benefit. And as you remember, we’re still benefiting from more favorable VAT treatment for some of the present key bundles in March earlier this year, with the full year annualized impact of EUR 240 million across the fixed and mobile, of which EUR 200 million this year. B2C revenue declined 6.4% impacted by retention activity initiated in the first quarter of 2018 and the continued fierce market competition. ARPU declines are moderating year-on-year and are stabilizing quarter-over-quarter. It is also worth highlighting, following substantial reduction in churn, that our top line is also negatively impacted by reduction in disconnecting fees.
Turning to the B2B trends. The top line decline was 4.4% year-on-year, still an improvement in the year-on-year trend versus Q2, which was down 5.5% year-over-year. Mobile revenue is still decreasing because of the development of flat rate offers, including roaming and impacting ARPU. We are currently reorganizing the B2B customer service, especially creating dedicated department for large accounts with new sales representatives.
Sequential development in Q3 2018 is negatively impacted by the usual entry-level similarity in Q3, where sale benefits from increasing contribution from major MVNO player, such as La Poste and EI Telecom.
Finally, other revenues are impacted by revenue decline in our French overseas territory assets and the gross at NextRadioTV is offset by the declining trend of the press activity leading to flat revenue year-over-year for our media division. From a sequential and a seasonality point of view, media is always at a low point in the third quarter.
Now moving to Portugal on Slide 14. We show here the B2C subscriber trends for Altice Portugal. Our strategy is paying off, and we plan to be back to revenue growth in the coming quarters in Portugal, supported by continued strong commercial momentum. MEO achieved a solid gain of 44,000 fiber net adds in the third quarter with more than 25% of our fixed base now on fiber.
MEO grew its total fixed base for the fourth consecutive quarter, adding 8,000 customers versus customer receipts of 11,000 last year, and with a strong performance in the Pay-TV segment, where MEO captured more than 60% of the total market growth for the fourth consecutive quarter.
MEO pursued a strong in mobile too, adding 37,000 net adds in the third quarter to its postpaid customer base, more than twice the level of addition we had the same quarter last year. These operational results are the consequence of higher gross adds and lower churn, with churn in Portugal reaching historical low levels. And this has been achieved with a successful fiber rollout strategy, our new commercial strategy and improving the quality of our customer service.
Slide 15 shows the components of Altice Portugal's revenue trends. Total Altice Portugal revenue continued to show a steady improvement, with a 0.3% decline year-over-year in Q3 versus minus 5.4% year-over-year in Q2 2018. Revenue continued to grow sequentially, plus 1.8% quarter-over-quarter.
Total B2C revenue grew quarter-over-quarter for the second quarter in a row, the first time in near two years by plus 1.2% with a more modest decline of 1.8% year-over-year versus a decline of 4.4% the last quarter – the previous quarter. Year-over-year, trends are still impacted by ARPU pressure, which reflects the regulatory decision in Q3 2017 to open up MEO's customer base for disconnections, which required an increased retention activity as well as the absence of an across-the-board price increase in 2018.
Note that mobile ARPU is stable quarter-over-quarter in Q3 2018. And our focus remains on sustaining of subscriber momentum, continuing to grow both in fixed and in mobile. B2B revenue declines are also moderating year-over-year in Q3 2018 with minus 0.7% in Q3 2018 versus minus 2% in Q2.
Our business is still impacted by the continued repricing of our legacy services, but we benefit from stronger growth in new revenue stream, such as ICT. Both fixed and mobile net additions in B2B were the highest in more than three years this quarter. The sequential decrease, of course, of the B2B is also linked to usual seasonality of the third quarter.
Now moving to the financial. On Slide 17, you can see the pro forma consolidated financials for Altice Europe N.V. based on the new parameter post split for Altice Europe and under the IFRS 15 new accounting standard. For the third quarter of 2018, total group revenue of EUR 2.4 billion were down 6.1% year-over-year on a constant-currency basis.
Group adjusted EBITDA decreased to EUR 1.3 billion, down 10.4% on a constant-currency basis and minus 6.8%, excluding the loss of the VAT benefit in France, which is about EUR 60 million third quarter.
Altice France EBITDA declined by 12% impacted by the loss of the VAT benefit, as I just mentioned. Excluding that impact, France EBITDA was down 7.1% impacted by upward version due to fierce competition and promotions and higher subscriber acquisition costs driven by the commercial momentum. We put a strong focus at maintaining a tight control and streamlining our cost base, such as, for example, the success of the digital customer service with the RED offer.
In Portugal, EBITDA declined 5.2% compared to last year, reflecting gross margin erosion in the B2B segment, B2C ARPU year-on-year comparison and the tower disposal impact about EUR 3 million this quarter, which has not been restated in this number. In Israel, EBITDA declined 13.8% year-over-year on a constant currency basis due to the intensification of the competition.
Group operating free cash flow is impacted in the third quarter of 2018 by accrued CapEx of EUR 1.013 billion related to the CapEx linked to the Champions League over the three coming years. Excluding this non-cash one-off, our operating free cash flow in Q3 2018 would have been close to EUR 590 million.
We reiterate our fiscal 2018 guidance. Altice France is still expected to generate operating free cash flow of EUR 1.5 billion to EUR 1.6 billion range, and Altice Europe is expected to generate an operating free cash flow of EUR 2.3 billion to EUR 2.5 billion, excluding the Altice TV segment.
Recall, that considering our current very strong commercial momentum, we are generating higher acquisition costs and client CapEx to the benefit of future growth.
And I will now hand over to Dennis to take you through the capital structure and debt pages."
Dennis Okhuijsen,0,"Thank you, Malo, and congratulations, again, for your promotion to CFO. From my side, I remain fully committed to Altice Europe and continue to have a particular focus on capital structure and strategy going forward.
Slide 18 provides an overview of the European pro forma capital structure, including the separate Altice France, Altice International silos, the Altice LuxCo, Altice Corporate Financing and the separate Altice TV silo. Pro forma the reorganization and signed M&A transactions, including the proceeds from the tower sales, Altice Europe net debt position was just under EUR 30 billion at the end of the quarter with a pro forma leverage of 5.6x on the last 12-month EBITDA.
Deleveraging remains our top priority with our confidence in growth for 2019 and no new one-off cash flow items in the horizon, we will further deleverage toward our target of 4 times to 4.5 times. Also, the infrastructure projects under review will have a significant deleveraging effect.
Slide 19 sets out the maturity profile for Altice Europe as of the third quarter. Following our successful refinancing at Altice France, there are now no major maturities in France till 2024. At Altice International, there are no major maturities until 2023. We are confident to extend the maturity of our holdco notes that are due in 2022 in 2019 after the conclusion of our infrastructure projects that are currently under review and on the back of a growing European telco business. In addition, our liquidity remained strong at EUR 4.6 billion, a weighted average life of debt is over six years and our average cost is 5.7% and 85% of our debt remains fixed.
And with that, Patrick, Alain, Malo and myself are happy to welcome any questions."
Operator,1,[Operator Instructions] Your first question comes from the line of Daniel Morris of Barclays. Your line is open.
Daniel Morris,1,"Yes, good evening and thanks for taking the question. My question is just on the time line for your French JV process on the fiber side. I just wonder do you expect to conclude that by the year-end? And then also related to that, can you give us some thoughts on whether Portugal is more interesting to potential partners than Israel and Dominican Republic given it's a fiber footprint or they all assets that you think there is third party interest? Malo Corbin"
Malo Corbin,1,"Yes, thank you. So I think on your question on the French process, so as we are explaining, so we are focusing here on the fiber in the mid- and low-dense area with the objective to accelerate the growth of the fiber to get a greater share of the market wholesale market over there, plus I think this project has an objective to improve the financing of this rollout because as I was explaining, we have secured 5 million homes and we have already built 1 million, so we still have 4 million homes to be built.
Now on the process, it's a competitive process with various financial partner. So we don't want to disclose any detailed information at this stage, but we are very happy with where we are, and we are seeing strong interest for fiber. Now moving to Portugal and Israel, I think, we are taking this project one-by-one, so we are very well advanced with the French project, and we are now starting looking at Israel and Portugal and we'll come back to you later when we'll have more information to share on those projects."
