type,name
Executives,Vincent Maulay – Head-Investor Relations
Executives,Alain Weill – Chief Executive Officer
Executives,Malo Corbin – Chief Financial Officer
Executives,Patrick Drahi – Founder and President of the Board
Executives,Dennis Okhuijsen – Advisor
Analysts,Daniel Morris – Barclays
Analysts,Andrew Lee – Goldman Sachs
Analysts,Vivek Khanna – Deutsche Bank
Analysts,Josh Hallett – Redburn
Analysts,Frederic Boulan – Bank of America Merrill Lynch
Analysts,Jakob Bluestone – Credit Suisse
Analysts,Nicolas Cote-Colisson – HSBC
