type,name
Executives,Michael Sullivan - Head of Investor Relations
Executives,Gary Dickerson - President and Chief Executive Officer
Executives,Dan Durn - Senior Vice President and Chief Financial Officer
Analysts,C.J. Muse - Evercore ISI
Analysts,Atif Malik - Citi
Analysts,Pierre Ferragu - New Street Research
Analysts,Krish Sankar - Cowen Group
Analysts,John Pitzer - Credit Suisse
Analysts,Harlan Sur - JPMorgan Chase & Co.
Analysts,Romit Shah - Nomura Instinet
Analysts,Vivek Arya - Bank of America Merrill Lynch
Analysts,"Timothy Arcuri - UBS Securities Co., Ltd."
Analysts,Toshiya Hari - Goldman Sachs
Analysts,Joseph Moore - ‎Morgan Stanley
Analysts,Patrick Ho - Stifel Nicolaus & Company
Analysts,Sidney Ho - Deutsche Bank AG
