type,name
Executives,Søren Skou - Chief Executive Officer
Executives,Morten Engelstoft - Chief Executive Officer-APM Terminals
Executives,Søren Toft - Chief Operating Officer
Executives,Vincent Clerc - Chief Commercial Officer
Analysts,Edward Stanford - HSBC Bank Plc.
Analysts,Dan Togo Jensen - Carnegie Investment Bank
Analysts,Robert Joynson - Exane BNP Paribas
Analysts,Lars Heindorff - SEB
Analysts,Mark McVicar - Barclays Bank PLC
Analysts,Casper Blom - ABG Sundal Collier Holding ASA
Analysts,Finn Bjarke Petersen - Danske Bank
