speaker,q&a,content
Operator,0,"Good day, ladies and gentlemen, and welcome to the Amphastar First Quarter Earnings Conference Call. At this time all participants are in a listen-only mode. Later we’ll conduct a question-and-answer session and instructions will follow at that time. [Operator Instructions]. 
All statements in this conference call that are not historical are forward-looking statements, including, among other things, statements relating to the company's expectations regarding future financial performance, backlog, sales and marketing of its products, market size and growth, the timing of FDA filings or approvals, acquisitions and other matters related to the pipeline of product candidates, the timing for completion of construction at the company's IMS facility, its share for buyback programs and other future events. These statements are not historical facts but rather based on Amphastar's historical performance and current expectations, estimates and projections regarding Amphastar's business, operations and other similar or related factors.
Words such as might, may, will, could, would, should, anticipate, predict, potential, continue, expect, intend, plan, project, believe, estimate and other similar or related expressions are used to identify these forward-looking statements, although not all forward-looking statements can contain these words. You should not place undue reliance on forward-looking statements because they involve known and unknown risks, uncertainties and assumptions that are difficult or impossible to predict, and in some cases, beyond Amphastar's control. Actual results may differ materially from those in the forward-looking statements as a result of a number of factors, including those described in Amphastar's filings with the Securities and Exchange Commission. You can locate these reports through the company's website at http://ir.amphastar.com and on the SEC's website at www.sec.gov. Amphastar undertakes no obligation to revise or update information in this press release or the conference call referenced above to reflect events or circumstances in the future, even if new information becomes available or if subsequent events cause the company's expectations to change.
I would now like to turn the conference over to Jason Shandell, President. Sir, you may begin."
Jason Shandell,0,"Thank you, Operator. Good afternoon, and welcome to Amphastar Pharmaceuticals first quarter earnings call. My name is Jason Shandell, President of Amphastar. I'm joined today with my colleague, Bill Peters, CFO of Amphastar. We appreciate you joining us on the call today, and look forward to speaking with you and answering any questions you may have.
I will now turn the call over to our CFO, Bill Peters, to discuss the first quarter financials."
Bill Peters,0,"Thank you, Jason. I would like to start the financial portion of our earnings call by pointing out that our press release today has a slightly different format with more tables and bullet points. We've also included the balance sheet for the first time. I hope that these changes will help investors. With that out of the way, I'll get on to our normal business. Sales for the quarter increased 3% to $58.4 million from $56.7 million in the previous year's period. Lidocaine, which was the quarter's biggest selling product, saw sales increase to $9.8 million from $8.3 million on higher unit volumes at higher average selling prices. Sales of enoxaparin declined to $7 million from $10.4 million due to lower unit volumes and lower average selling prices. 
Sales of epinephrine declined to $3.2 million from $9.6 million due to the discontinuation of our epinephrine vial in the second quarter of 2017 after the FDA requested that we discontinue selling the product under our grandfather exception. Naloxone sales declined to $8.9 million from $10.9 million on lower unit volumes. We launched Medroxyprogesterone Acetate in the quarter and sold $2.7 million worth of vials and prefilled syringes as we began ramping up sales of these newly approved products. Our insulin API business had sales of $5.3 million, which was up from $700,000 last year, primarily due to the timing of purchases by certain customers.
Cost of revenues increased to $41.3 million from $33.8 million, and gross margins decreased to 29% of revenues from 40% of revenues for several reasons. We began manufacturing our recently approved products in the quarter, which led to temporarily lower productivity at our Amphastar plant. Additionally, we implemented new quality standards, recently required by USP, which led to increased labor costs. While at the same time, we experienced rising labor costs due to higher minimum wage requirements in California. Selling, distribution and marketing expenses increased due to expenses at our Amphastar Nanjing Pharmaceuticals subsidiary as well as higher freight costs. General and administrative spending decreased primarily because of lower legal expenses.
Research and development expenditures increased to $14.3 million from $11.3 million as we increased expenditures on materials for our pipeline and paid an NDA filing fee for a product, which we currently market under the grandfather exception. The company reported net loss of $7.2 million or $0.16 per share versus a net profit of $900,000 or $0.02 per share in the first quarter of last year. The company reported an adjusted net loss of $2.5 million or $0.05 per share compared to adjusted net income of $4.5 million or $0.09 per share in the first quarter of last year. Adjusted earnings exclude amortization, equity compensation and impairment of long-lived assets.
In the first quarter, cash flow from operations was approximately $8.4 million and was positive for the 16th quarter in a row. During the quarter, we used a portion of our cash flow to buy back about $7.6 million of stock. Subsequent to the end of the quarter, we completed our previous buyback program so the board authorized an additional $20 million program.
Turning to forecast. Our ability to meet analyst estimates for both sales and income depends on the timing of approvals for Primatene Mist and our ANDAs. As an update on this, since our last earnings call, we resubmitted our NDA for Primatene Mist, but received CRLs for 2 of our ANDAs currently on file at the FDA.
I will now turn the call back over to Jason."
Jason Shandell,0,"Thanks, Bill. We made good progress on our pipeline in the first quarter, and I'm pleased to announce that we have resubmitted our NDA for Primatene Mist after receiving very good results from our recent human factor study. While we don't have a PDUFA date yet, we plan to begin producing inventory in preparation for a launch. With respect to our intranasal naloxone NDA, per the agency's recommendations, we collected actual used data from hospitals around the country to analyze the intranasal volumes that are typically used in pediatric populations down to birth. 
The data that we collected strongly supports our proposed volume for our intranasal naloxone NDA. We recently filed a report to the FDA with the actual used data and the agency has indicated that it will conduct a timely review. If they agree with our filling volume, we plan to resubmit our NDA early next year. Regarding our 5 grandfather drugs on the market, 3 applications are on file with the agency, and we plan on filing the remaining 2 applications this year. One of the applications is an NDA, which we filed in the first quarter.
We currently have 3 injectable ANDAs on file with the agency, targeting products with a market size of over $500 million. We have previously stated that 2 of the 3 ANDAs are significant markets. One of them has never had a generic approved and the other only has 1 generic approved. As Bill mentioned today, we did receive 2 CRLs in the first quarter. One of the CRLs was minor, and we quickly responded and have already received another GDUFA date. We are in the process of responding to the other CRL, but that's for the product that is not very meaningful to sales. Therefore, we now have GDUFA dates for the 2 significant ANDAs that are on file with the agency. It should be noted that one of the products has 2 GDUFA dates depending on whether a facility inspection will be needed.
Turning to new launches. During the first quarter, we began securing customer contracts and shipping our generic Depo-Provera product in both the vial and prefilled syringe. We believe that we have achieved a strong market share and that should be more fully reflected by the third quarter of this year. The litigation against Momenta and Sandoz is proceeding in normal course. On March 20, 2018, the U.S. District Court of Massachusetts entered final judgment in our favor in the patent case and also denied Momenta's motion to dismiss our antitrust case. Following the issuance of the court's final judgment in the patent case, we filed a motion to enforce our $100 million bond. In response, Momenta filed an emergency motion seeking to delay our bond motion pending their appeal. We have opposed their emergency motion and the issue is currently under consideration with the court. We remain confident in the merits of both the patent and antitrust cases.
Finally, as Bill mentioned, the board has authorized another $20 million to buy back additional Amphastar stock. Our continued buyback program demonstrates the board's strong belief in the long-term value of the company.
With that update, I will now turn the call over to the operator to begin Q&A."
Operator,1,[Operator Instructions] And our first question comes from David Amsellem with Piper Jaffray.
David Amsellem,1,"So, on Depo-Provera, can you just remind us how much of the market you can supply? And in terms of the ramp, just talk about business that you want? Or maybe the best way to ask it is, how much share do you think you can garner over the next few months? So that's the number one. And then number two, just on the CRL you talked about, just wanted to be clear for the CRL that you termed minor and then on that refiling, is that the product that could be the first generic to market?"
Bill Peters,1,"Yes, I'll take the first question on the NPA. The NPA, how much of the market could we supply, we could supply a very significant portion of the market if we were to add a second shift, which we have not yet at this facility, but so we could strongly [indiscernible] and from an API supply standpoint. So that's very positive. I don't want to talk about our exact market share, but as of today, we have achieved what we think is a very good market share for it and kind of meeting our expectations. But as Jason mentioned, because, and I'll say it's as of today, we've secured contracts. Some of those won't be really having significant purchases until maybe June or so. And so, you really won't see our full uptick in sales reflected until the July, August, September quarter.
And so, the first quarter was really involved in the ramp up, as there were several customers who -- we launched the vial in January, we launched prefilled syringe in February. There was several customers that didn't want to take a bid until we had both available. So, it wasn't really until the beginning of March that some customers were even willing or suggested that we wait until March to even bid on the products. So, the process was a little bit slower than we anticipated in the ramp up. But as of today, we're pretty happy with the outcome."
Jason Shandell,1,"And this is Jason. With respect to your question on the two CRLs, the one being minor, and we've got a GDUFA date already, that's actually for the one where it'll be the second generic to market."
David Amsellem,1,"Okay. So just to be clear on the generic where you could be there at market formation, you have not received a CRL on that? In other words, you have a GDUFA, no CRL, is that right?"
Jason Shandell,1,"That's correct. That's not one of the two that Bill referred to, received in the first quarter. But it is under a second cycle review from last year."
