speaker,q&a,content
Company Participants,0,"Liz Sharp - VP of IR
James Debney - President and CEO
Jeff Buchanan - CFO"
Conference Call Participants,0,"James Hardiman - Wedbush
Ryan Sigdahl - Craig Hallum
Cai Von Rumohr - Cowen and Company
Scott Stember - CL King
Mark Smith - Lake Street
Ronald Bookbinder - IFS Securities
Maks Netrebov - 2A Media"
Operator,0,"Good day, ladies and gentlemen, and welcome to the American Outdoor Brands Corporation Fourth Quarter and Full Year Fiscal 2019 Financial Results Conference Call. [Operator Instructions] As a reminder, today's conference may be recorded.
I'd now like to introduce your host for today's conference, Liz Sharp, Vice President of Investor Relations. Ma'am, please go ahead."
Liz Sharp,0,"Thank you and good afternoon. Our comments today may contain predictions, estimates and other forward-looking statements. Our use of words like anticipate, project, estimate, expect, intend, believe, and other similar expressions is intended to identify those forward-looking statements.
Forward-looking statements also include statements regarding revenue, earnings per share, non-GAAP earnings per share, fully diluted share count and tax rate for future periods, our product development, focus, objectives, strategies and vision, our strategic evolution, our market share and market demand for our products, market and inventory conditions related to our products and in our industry in general, and growth opportunities and trends.
Our forward-looking statements represent our current judgment about the future and they are subject to various risks and uncertainties. Risk factors and other considerations that could cause our actual results to be materially different are described in our securities filings, including our Forms 8-K, 10-K and 10-Q. You can find those documents as well as a replay of this call on our website at aob.com.
Today's call contains time-sensitive information that is accurate only as of this time and we assume no obligation to update any forward-looking statements. Our actual results could differ materially from our statements today.
I have a few important items to note which regard to our comments on today's call. First, we reference certain non-GAAP financial measures on this call. Our non-GAAP results and guidance exclude goodwill impairment charges, the effects of tax reform, as well as acquisition-related costs, including amortization, debt extinguishment costs, recall-related expenses, one-time transition costs, a change in contingent consideration liability, fair value inventory step-up and the tax effect related to all of those adjustments.
The reconciliations of GAAP financial measures to non-GAAP financial measures, whether or not they are discussed on today's call, can be found in today's Form 8-K filing, as well as today's earnings press release which are posted on our website. Also, when we reference EPS, we are always referencing fully diluted EPS. For detailed information on our results, please refer to our annual report on Form 10-K for the year ended April 30, 2018.
I will now turn the call over to James Debney, President and CEO of American Outdoor Brands."
James Debney,0,"Thank you, Liz. Good afternoon and thanks everyone for joining us.
With me on today's call is Jeff Buchanan, our Chief Financial Officer. Later in the call Jeff will provide a recap of our financial performance as well as our updated guidance. Fiscal 2019 was a year that presented several challenges for the firearms industry, including changes in the political environment and reduced consumer demand for both firearms and the accessories attached to them, such as lights, lasers and scopes.
Despite that backdrop, we delivered year-over-year growth in revenue and gross margin, and we believe we gained market share. And importantly, we made significant and exciting progress toward our long term strategy of being the leading provider of quality products for the shooting, hunting and rugged outdoor enthusiasts.
Today, I'll recap our accomplishments for the year in the context of our strategic plan, then Jeff will provide detail on our financial results and our outlook for the coming fiscal year. You will find our strategic plan outlined in the Investor Presentation currently posted on our website. That plan consists of five main themes. The first of these is to remain focused on organic growth.
Our objective is to harvest the growth potential of our 20 distinct brands by leveraging our deep understanding of the consumers' needs, wants and desires, and using that information as a leading light for our new product development pipeline. This approach allows us to further expand our overall addressable market and to establish ourselves in new product categories where we believe our brands have permission to play.
We made significant progress on this objective across our entire Company in fiscal 2019. In firearms, we introduced 106 new SKUs, including 32 meaningful new products and numerous line extensions. These included Performance Center versions of the SW22 Victory, a competition ready target pistol; a Thompson/Center long range rifle, a perfect match for the consumer's desire participate in precision target shooting; a Ported M&P Shield 2.0, a Smith & Wesson M442 revolver, both designed for personal protection.
Our M&P 380 Shield EZ was honored by the NRA when it was named American Rifleman Handgun of the Year and women's innovative product of the year. This new platform of pistols launched nearly 18 months ago is still winning with consumers and providing us with opportunities to further expand the Shield family of products in the future.
We launched the Performance Center version of the M&P 380 Shield EZ at the NRA annual meeting later in our fiscal year. So its financial impact will be visible in fiscal 2020.
Our entire Shield family has become a consumer favorite and I am pleased to report that by the end of fiscal 2019 we had shipped over 3 million Shield pistols. We are now approaching the $1 billion milestone for cumulative sales of the Shield family of handguns.
During the year, we produced several new bundled promotions which combine our firearm with items from our outdoor products and accessories business to provide consumers a great value with brand names they know and trust.
The most impactful of these included our M&P Shield 380 EZ with a Crimson Trace laser sight combined with a handgun safe and M&P knife and an M&P flashlight. This bundle generated revenue for both of our business segments while providing consumers a great value and an immediate safe storage solution for their new firearm. We believe the combined impact of these achievements in our firearms business throughout the year helped us win market share.
While consumer demand for firearms remained weak in fiscal 2019 as indicated by a year-over-year decline in adjusted NICS background checks 8.8%, our units shipped into the sporting goods channel increased 4.2%.
In outdoor products and accessories, which we refer to as OP&A, we created an entrepreneurial based brand lane structure. The lanes bring dedicated focus to each brand, establishing its positioning, its identity and where it has permission to play within specific product categories.
With this foundation in place we have found that our 20 OP&A brands fit within just four distinct lanes. They are marksmen, harvester, defender and adventurer. Each lane consists of a highly agile team that provides dedicated brand management, creative design, content production, product management, new product development and engineering. This team approach supports organic growth by allowing each brand to respond quickly to changing consumer trends.
The modular nature of the lanes also allows the division to leverage an organic growth opportunity by rapidly integrating newly acquired brands without adding significant headcount. Two examples from fiscal 2019 demonstrate this brand lane strategy and action. First, our brand lane team launched over 300 new products in OP&A in their first year of introduction. These new products represented 6.2% of the segment's full year revenue.
However, it's important to note that vast majority of these products were launched at SHOT Show in January, very late in our fiscal year. So, that 6.2% number is not at all reflective of that annualized revenue potential.
These new products included the Caldwell Hydrosled the Frankford Arsenal M-Press, the BOG DeathGrip Hunting Tripod. We also introduced a new line of sights and scopes under the Crimson Trace brand which significantly broadened our product offering and greatly expanded our addressable market for this brand.
Second, we launched an exciting major rebranding initiative. When we acquired Bubba Blade in fiscal 2018, the brand name had recognition among fishing enthusiasts, but was narrowly focused on a single product category, knives.
Our vision, our acquisition was always much bigger and we believe the brand could flourish in the much broader fishing tool category. So, we rebranded Bubba Blade simply to Bubba and then transferred its valuable product DNA such as its signature nonslippery grip into a variety of new products across fishing gear and accessories.
We effectively took Bubba Blade from a single product brand to a broad and exciting new lifestyle brand that captures one of today's most popular trends. Much like farm to table, Bubba addresses the water to table lifestyle that appeals to so many consumers. This is a great example of our ability to leverage our brands to greatly expand our addressable market.
It's also an exciting story that is just beginning and we believe we possess other brands that have the same type of potential. Lastly, it is important to note that our Crimson Trace brand is now part of this focused and creative brand Lane structure, fitting perfectly into the defender lane. As a result, we will now be able to shut out and move the Oregon front office of Crimson Trace to Missouri by the end of this calendar year.
Our second strategic theme is to simplify our go-to-market process. Our objective here is to streamline our approach to the market by simplifying and consolidating our logistics operations to a single location as our new logistics and customer service facility, making it easier for our customers to do business with us.
This new facility in Missouri lies at the core of achieving this objective, providing the infrastructure and capacity for our future growth. It will centralize the logistics, warehousing and distribution operations for our entire business, enabling growth, enhancing efficiencies and allowing us to better serve customers across the organization.
And because the property will house multiple functions beyond just logistics and customer service, we will now refer to this as our Missouri campus. We have made significant progress on this objective and today I am pleased to report that all customer orders for our firearms business on now managed entirely by our logistics and customer service team at the Missouri campus. This includes the order management process in all areas of fulfillment such as picking, packing and shipping.
Today, the simplification of our go-to-market process has allowed us to eliminate core physical locations as those operations move to the new campus. Over the last two years these closures include a facility in Tennessee, 160,000 square feet; a third-party warehouse in Kentucky, 20,000 square feet; a third-party inventory location in Missouri, 100,000 square feet; and a temporary office location, also in Missouri, 7,500 square feet.
We are on track to shut down two additional physical locations that include our 100,000 square foot UST warehouse and office in Florida by the end of this month and our 145,000 square foot original BTI office and warehouse in Missouri by this coming fall. We also have third-party warehouse and shipping locations in New York and Springfield which are currently being consolidated and which together represent 35,000 square feet of space.
When we are finished, we will have eliminated a total of 570,000 square feet of space across these locations and moved all of that functionality into our new 633,000 square foot Missouri campus, which will be utilized at only 70% at that point. That campus will then be home to be our OP&A a division and all its support personnel as well as the logistics and customer services division and their support teams. Jeff will walk through the financial impact of those actions later in the call.
Our third strategic theme is to create a level dribble infrastructure. We have made significant investments in and progress toward developing each component of this important strategic initiative. The logistics and customer service division represents one such investment and is a cornerstone of this critical infrastructure. In addition, we recently formed our global e-commerce and technology division. This new division will be at the forefront of our digital innovation, providing best-in-class sales and marketing technologies that will allow us to further amplify our marketing efforts towards maximizing the consumer experience.
We also established an office and team in China, an action designed to strengthen our relationships with our ever growing supplier base while enhancing our flexibility and response time to new consumer trends. Our China team is comprised of engineers and designers that play a key role in our new product development process.
Our investment in our infrastructure is significant and will continue throughout 2020. So it is important to underscore that these actions are a critical part of creating an adaptable and scalable framework that truly differentiates us from our competition and adds value for our customers. Most importantly, these investments will enable our future organic and inorganic growth, ultimately creating value for our shareholders.
Our fourth strategic theme is to pursue complementary acquisitions. Our disciplined approach to acquisitions has yielded our current diverse portfolio of brands. When we first began we focused solely on our core firearm consumer whose passion for the shooting sports we deeply understood. We studied that consumers' passion, identifying parallel opportunities based on other outdoor activities and making acquisitions to enter those markets.
This process yielded not only successful acquisitions, but it also provided a natural expansion of our consumer base beyond the core firearm owner. For example, we now have a fishing consumer and a camping consumer. And for each of those consumers, we have a set of passions that can be further explored for opportunities to expand our addressable market yet again.
We now seek to expand those markets not just organically, but also inorganically via tuck-in opportunities. We define tuck-ins as low risk, high return, relatively straightforward asset purchases of strong brands and their intellectual property that can be rapidly integrated by leveraging our existing framework.
Our acquisition of LaserLyte in fiscal 2019 is a great example of rapid integration. LaserLyte's firearm training systems, laser sights on both sides complement our existing offering, enabling us to further reach into the electro-optics market. Importantly, this is a business that we acquired and fully integrated within just eight weeks, a clear demonstration of our ability to rapidly execute and integrate a tuck-in acquisition.
Our fifth and final strategic theme is to fine-tune our capital structure. We continually focus on optimizing our balance sheet to achieve our top priority which is to invest in our own Company and maintain the financial flexibility to address future organic and inorganic opportunities. We believe this approach will provide our shareholders with the best possible long term return.
As Jack will outline for you later on the call, we maintained a strong balance sheet throughout fiscal 2019 even as we continued to make significant investments in our Company that will help us deliver on our long term strategy.
Now let me touch briefly on a few highlights from the fourth quarter. As you know, we transfer firearms only to law enforcement agencies and federally licensed distributors and retailers, not directly to end consumers. That said, adjusted NICS background checks are generally considered to be the best available proxy for consumer demand for firearms.
In our fiscal Q4, background checks for handguns declined 7% year-over-year, while our unit shipped to distributors and retailers increased by 16.6%. For the same period, background checks for long guns declined by 16.7% year-over-year while our unit shipped to distributors and retailers increased 9%.
In a more recent update, May adjusted NICS were up only slightly year-over-year and while NICS appears to be following typical seasonality, this was the second lowest May for adjusted NICS in the past five years, indicating that the consumer market for firearms remains soft.
Distributor inventory for our firearms decreased sequentially from 141,000 units at the end of Q3 to 127,000 units at the end of Q4. We have heard from distributors and retailers that they remain comfortable with their overall inventory levels. That said, we also believe we are a mix of biased market.
Distributors and retailers are accustomed to carrying lower levels of inventory than in the past as they await promotional deals. Since the end of Q4, distributor inventories have increased on our current weeks of sales at distribution or above our eight-week threshold.
Our vision for our Company is one that truly sets us apart from our peers. Our focus remains on the consumer and our investments reflect that focus. From innovation and new product development to the creation of leveragable infrastructure that allows us to rapidly integrate acquisitions and streamline our go-to-market process, all of our objectives are designed to expand our addressable markets and to take an increasing share of those markets by addressing the needs, wants and desires of our consumers.
With that, I'll ask Jeff to provide more detail on our financial results and our updated guidance. Jeff?"
Jeff Buchanan,0,"Thanks James.
Revenue for the year was $638.3 million, an increase of 5.2% over the prior year. Revenue in our firearms segment was $481.3 million, an increase of 6.3% and revenue in our OP&A segment was $177.3 million, an increase of 3.3% and representing more than a quarter of our total revenue.
Without considering Crimson Trace products revenue, which was down for the year, the OP&A segment was up 6.8%. Within those total revenue numbers, intercompany sales eliminations were approximately $20.3 million.
Revenue for the fourth quarter was $175.5 million, an increase of 2.2% over the prior year. Revenue in firearms was $140.7 million, an increase of 4.8% and revenue in OP&A was $42.2 million, a decrease of 3.4% from the prior year. Without considering Crimson Trace products revenue which was down for the quarter, the OP&A segment was up 3.3%. Within those total revenue numbers, intercompany sales eliminations were approximately $7.1 million.
As James mentioned, we are proceeding with the restructuring of Crimson Trace into the OP&A division including moving the Crimson Trace front offices in Oregon to Missouri, an action we believe will significantly improve operating efficiencies over time.
For the year, the total Company gross margin was 35.4% compared to 32.3% in the prior year. The firearms gross margin was 31.9%, an increase over the prior year and the OP&A gross margin was 45.9%, the same as the prior year. The total Company gross margin increase was driven mainly by the firearms segment which had lower promotional product discounts and rebates, and lower manufacturing spending.
For the year, GAAP operating expenses were $188.2 million compared to $168.7 million in the prior year. Current year expenses included $10.4 million for a partial impairment of goodwill in Q3 related to Crimson Trace. On a non-GAAP basis, which excludes that impairmental and acquisition related amortization, operating expenses were $154.8 million as compared to $146.7 million in the prior year.
In Q4, GAAP operating expenses were $48.1 million compared to $41 million in the prior year. On a non-GAAP basis, quarterly operating expenses were $42.2 million as compared to $35.4 million in the prior year. The year-over-year operating expense increase in both the yearly and the quarterly numbers mainly relates to higher variable compensation expenses and increased depreciation relating to our new Missouri campus.
On a GAAP basis, EPS for the year came in at $0.33 as compared with $0.37 in the prior year, although it should be noted that with that the Q3 Crimson Trace impairment the current year GAAP EPS would have been $0.52. Our non-GAAP EPS, which excludes that fiscal '19 impairment, onetime tax reform benefits in fiscal '18 and all acquisition related and other cost in both years, was $0.83 in the current year as compared with $0.46 last year. For the fourth quarter, GAAP EPS came in at $0.18 as compared with $0.14 in the prior year. Our non-GAAP EPS was $0.26 as compared with $0.24 last year.
In fiscal '19, adjusted EBITDAS was $111.3 million for a 17.4% EBITDA margin compared to last year's $89.5 million which was a 14.7% margin. Adjusted EBITDA in Q4 was $31.9 million for an 18.1% EBITDA margin as compared with $33.4 million or a 19.4% margin in Q4 of last year.
So now, turning to the balance sheet. For the year, operating cash flow was $57.5 million and capital spending, including our investment in the equipment necessary for the new Missouri campus was $33.9 million, resulting in free cash flow of $24.3 million.
In the quarter, operating cash flow was $36.7 million and CapEx was $8 million, resulting in free cash flow of $28.7 million. Our free cash flow is typically stronger in the second half of our fiscal year and has also improved over the last few quarters as we have neared completion of the Missouri campus.
We reduced our internal inventory levels for a third consecutive quarter. We are moving into the slower summer sales period. So we do expect inventory levels to rise until autumn as usual. In fiscal '19, our capital spending was approximately $33.9 million, an increase of about $15 million over the prior year.
The increase was primarily related to the Missouri campus and included IT spending and equipment, but excluded the capitalized lease construction cost of $46.2 million. In fiscal 2020, we expect to spend about $30 million in CapEx which will include a continued cost relating to the consolidation of our facilities into the Missouri campus.
As of the end of Q4, our balance sheet remained strong with approximately $41 million of cash and $115.4 million of total net borrowings. I would note that we paid down $25 million on our line of credit in Q4, resulting in a zero balance on that line of credit at the end of the year.
This means that we have reduced our net borrowings by nearly $100 million in a little under two years while still investing heavily in our business, including small acquisitions and the construction and furnishing of the Missouri campus.
Thus as of today, we have outstanding balances on our borrowings as follows; $75 million on our senior notes due in 2020 and $81 million on our bank term loan A also due in 2020. We currently pay a blended interest rate of approximately 4.73% on this debt.
So now turning to our guidance. For the full fiscal year 2020, we expect our firearms business to reflect continued softness and a buyers' market in the consumer market for firearms while we expect our OP&A business to deliver solid growth.
As a result, we anticipate our overall financial performance to be roughly flat to last year with a revenue range of $630 million to $650 million. At that level we would expect full year GAAP EPS of between $0.50 and $0.58 and non-GAAP EPS of between $0.76 and $0.84.
We believe revenue will be back-end loaded due mainly to new firearm products planned second half of the year. Taking into account the loading during the year as well as our typical summer slowdown in sales, we estimate revenue in Q1 to be between $120 million and $130 million. At those levels we would expect GAAP EPS to be at about break even and non-GAAP EPS of between $0.03 and $0.07.
As James has noted, we are continuing our consolidation efforts into Missouri, including the moves of USG, BTI and Crimson Trace. These actions will result in approximately $0.07 per share duplicate expenses in fiscal '20 that will not reoccur in fiscal '21, most of which are in OpEx.
I would note that because the logistics, the warehouse operations for firearms are now being handled in Missouri, most of our freight and warehouse costs relating to firearms will now be in OpEx instead of cost of goods sold. We estimate that amount to be approximately $8 million to $9 million.
Finally, I would also point out that our fiscal 2020 forecast does not include any additional future tariffs on products that we manufacture in China for our OP&A business. Although we believe we could eventually mitigate a portion of any new tariff increase, a full 25% tariff on all such goods applied throughout the quarter could initially result in a full quarterly impact of as much as $3 million.
In both our first quarter and full fiscal year numbers, our non-GAAP EPS excludes amortization and costs related to any acquisitions. All of these estimates are based on our current fully diluted share count of 55.5 million shares and a tax rate for the year approximately 27%.
James?"
James Debney,0,"Thank you, Jeff. With that, operator, please open up the call for questions from our analysts."
Operator,1,[Operator Instructions] Our first question comes from the line of James Hardiman with Wedbush. Your line is now open.
James Hardiman,1,"So, really good fourth quarter, certainly versus your guidance you beat it by $0.13 basically doubling that up. I don't think you really spoke to what was so much better than you initially anticipated three months ago."
Jeff Buchanan,1,"Basically what helped was like the top line, like the top line drove extra about $0.05 in sales and then that extra top line helped with absorption by another $0.03. We did release some reserves at the end of the year because you threw things up that was another $0.04, that accounted for most of it. We had a lot of promotional activity in Q4 that I think helped with the sales and the revenue, the top line. A lot of that came in at the very end as people were trying to get on - get it in under the wire as the promotions were ending at the end of our fiscal year."
