speaker,q&a,content
Operator,0,"Ladies and gentlemen, thank you for standing by. Welcome to the Astea International Incorporated Third Quarter 2018 Financial Results Conference Call. You are currently in listen-only mode. Later you will have the opportunity to ask questions during the question-and-answer session. [Operator Instructions] With us today from Astea International Incorporated are Zack Bergreen, Chairman and Chief Executive Officer; and Rick Etskovitz, Chief Financial Officer.
I would like to remind you that this conference call may contain certain forward-looking statements within the meaning of Section 27A of the Securities Act of 1933 as amended and Section 21E of the Securities Exchange Act of 1934 as amended. All statements other than statements of historical fact included in today's conference call are forward-looking statements, including statements regarding the company's business strategies, plans, objectives, and statements of non-historical information. Although the company believes the expectations reflected in these forward-looking statements are reasonable, they do involve assumptions, risks and uncertainties and these expectations may prove to be incorrect. Those factors are incorporated by reference from the section entitled Risk Factors as outlined in the company's filings with the Securities and Exchange Commission.
You should not place any undue reliance on these forward-looking statements, which speak only as of today, November 14 of 2018. All forward-looking statements attributable to the company or persons acting on its behalf are expressly qualified in their entirety by these factors. Other than as required by securities law, the company does not assume any duty to update these forward-looking statements.
With this statement concluded, I will turn the call over to Mr. Bergreen. Please go ahead. The floor is yours."
Zack Bergreen,0,"Thank you. Hello and thank you for joining us today to discuss our third quarter 2018 results. Following my overview, I will turn the call over to Rick Etskovitz, our Chief Financial Officer, who will cover the detail of our financial results. We'll then open the call for Q&A.
The third-quarter of 2018 has been a quarter that we had been looking forward for some time. This quarter we formally released the newest version of our flagship products, Alliance Enterprise, and it is being well-received by the market and it is having a direct impact on our sales efforts. New customers that we added this quarter include a leading multi-brand technology solution provider to businesses, government, education, healthcare organizations in the United States, Canada, United Kingdom and other international locations.
Another new customer is a leading manufacturer and a exclusive supplier of revenue entry management technology control equipment across the entire UK. Even though we are seeing increased sales activity, especially in our EMEA and Japan location we are not content with our progress. In North America, we have reorganized our sales group and are pleased to announce that our Chief Operating Officer, David Giannetto, will be taking over direct leadership of North America’s sales team. For the past several years he has led our marketing group and under this leadership we have been seeing many positive changes to the brand, our message and our positioning in the marketplace.
We have modernized our marketing approach to better engage with today's empowered and informed B2B model and have created great integration between our sales and services department. Underlying our sales effort was the positive change he has helped foster in these other areas will help us gain additional sales momentum in North America.
The Alliance Enterprise launch has done more than gain us new clients. It also earned us an important accolade from Frost and Sullivan, a leading global technology analyst firm, and well respected thought leader and brand name amongst technology companies. Frost and Sullivan has named Astea the 2018 Company of the Year in Mobile Field Service Management. The research team concluded that Astea is the clear leader in terms of innovation in mobile tool for the field service industry. We will be issuing a formal press release announcing the award soon. So please stay tuned for the good news.
It is important to know that with this award we were judged not just against our peers in the field service industry, but against software providers in other industries as well. Yet even within our industry competition is fierce, and those who succeed must lead through innovation. Demanding customers, workers, with increased sophisticated mobility needs and the introduction of ever more powerful and capable mobile devices continue to drive our innovation.
Our launch of the Alliance Enterprise platform this quarter exemplifies this continuous improvement philosophy. As we approach the end of the year I ask you that you reflect with us on the three major goals that make up our long-term strategy. Our transformation into sales and marketing driven culture, our increased focus on SaaS and cloud employments, and the major software release of our service platform, Alliance Enterprise.
As Rick will share with you in more details later, our focus on driving higher SaaS subscription has worked well. Our 2018 subscription revenue is 67% greater than the first nine months of 2017. I'm also proved to report that all of our financial matrices are trending upward. Recurring revenue, maintenance and subscription revenue have improved by 15% this year, as compared to the same period last year. This increase in revenue is even more positive because it is a healthier mix of revenue since it supports our goal of increasing cloud deployments.
Total revenue increased by 11% year-over-year for the first nine months of 2018. The release of Alliance Enterprise is also important because we are now at a very healthy backlog of clients that have committed to upgrade to this new version, and this activity will carry the professional services group well into 2019. Rick will share more details about our improved financial performance, so I will turn the call over to him now to cover the financial review. I will make some additional closing comments at the end. Go ahead Rick."
Fredric Rick Etskovitz,0,"Thank you, Zack. For the quarter ended September 30, 2018, Astea reported revenues of $7.1 million compared to revenues of $6.5 million for the same period in 2017. Net loss to shareholders for the quarter was $195,000 or $0.05 per share compared to net income to shareholders of $61,000 or $0.02 per share for the same period in 2017.
For the nine months ended September 30, 2018 total revenues of $20.5 million, exceeded revenues of $18.4 million for the same period in 2017 by 11%. Net loss to shareholders is $135,000, which is a $0.04 loss per share for the first nine months of 2018 compared to a loss of $1.1 million or $0.30 per share in 2017.
Adjusted EBITDA was negative $62,000 for the nine months ended September 30, 2018 compared to negative $352,000 for the same period in 2017. As Zack mentioned, Alliance Enterprise was released this past September. From an accounting point of view that means we now start amortizing the related capitalized development costs. Due to this significant effort required to complete this version, the cost was higher than previous releases and accordingly the resulting amortization will be higher over the next eight quarters. You will see this reflected in cost of license sales.
Before I turn this back to Zack for closing remarks, let me cover some of the new investor relations activities on which we have embarked on this fall. We truly believe and have for years that our stock is undervalued. As our revenue is more predictable and growing we feel it is time for us to become more involved in the investment community and increase investor awareness about Astea.
Our executive management team attended an investor conference in New York City last month and made some good connections with influential investors and brokers. We will be attending a similar conference on the West Coast in December. In addition, we continue to leverage the guidance of an investor relations firm that was helping us refine and improve our communications to the investor community.
This concludes my remarks and I will turn the call back over to Zack."
Zack Bergreen,0,"Thank you, Rick. I would like to mention a few more important points before concluding today's call. This is our last conference call in 2018, therefore I want to give you some insight into additional important initiatives we expect to positively impact our performance in 2019.
First we are continuing to invest in key personnel by adding new marketing sales resources at key locations across the globe. The example these key personnel can be seen in the increased sales activity and recent sales wins from our European team. To support both our EMEA and APAC region continued growth we have expanded our marketing presence and attendance at important regional events that will have those respective sales team continue their momentum.
Secondly, many organizations in our audience trust the recommendation of Gartner analysts. With this in mind we have reengaged our partnership with Gartner to ensure that we have a clear two-way communication between our development, sales and marketing team and their analyst and research team. Gartner opinions carries much weight when companies are looking for new software vendors, so we are happy to partner with them once again to ensure they have a full and complete understanding of our technology so they can recommend us to potential buyers.
As stated in many of our past calls, we maintain close relationships with many of our customers. As a result of the inputs from many of them, in our own research, we are very vigorously in the process of developing a new product and new vector revenue that will broaden the market in which we operate. While we cannot be more specific at this time, for competitive reasons we believe this new product and revenue vector will contribute to our growth, improve our customer retention rate and contribute to the increased overall shareholder value. We will keep you informed on this project as we progress in its development.
Next year we will be celebrating our 40th anniversary as a company. While 2018 has been a year of transformation and change we are making are important, each positive milestone we reach proves that our long-term strategy is sound and that we have what it takes to reinvent ourself while staying true to our roots as a pioneer and the original thought leader of the field service technology market.
We intend to continue in this journey into our 40th year helping our customers becoming more successful, helping our employees grow and succeed within their career and creating more value for you, our shareholders.
Thank you for your attention today and for your continued support, and I would now like to have the operator open the call for questions. "
Operator,1,[Operator Instructions] Our first question comes from Sam Rebotsky with SER Asset Management. Please go ahead.
Sam Rebotsky ,1,"Good afternoon, Zack and Rick, and congratulations to the promotion of I guess your new CEO. But I don't know if you are aware, I haven’t been able to see the press release as of now, and the 10-Q was just – I saw it filed just when Rick started to make his presentation. So I would suggest you file this information earlier in the day so that you could get more people involved in the conference, etcetera. So that is one comment. Is there a problem with getting it out earlier Rick, or?"
Fredric Rick Etskovitz,1,"We have always – Sam, we have always released that at the close of business on the day that we file. We have never filed during the time the market was open. So this is consistent but it is unusual that you should get it at the time that you did. I really don't understand the reason for that and I will look into it."
Sam Rebotsky,1,"Are you using the OTC is where I got the source, which came across just when you started to make your speech. And I looked – I think you released it on Globe. I haven't seen it on Globe. So anyhow, now let me sort of get to the 10-Q what I could see the Asia-Pacific was very profitable where the rest was not profitable. Do you expect to have a problem with the tariff and the trade that the income is coming from Asia-Pacific and nothing yet domestically?"
Fredric Rick Etskovitz,1,I don't expect any problems. I am not aware of anything that governments are doing that I feel is going to impair our business operate effectively.
Zack Bergreen,1,"Yes Sam, as part [indiscernible] we provide are not really covered on the so-called hit list, but it may look as such outlined by the respective governments. So we don't believe that is going to affect our revenue and performance in Asia-Pacific. Most of our activities is also primarily centered in Japan and the broad Asia-Pacific market. We are not as heavily focused on China. So again we are not expecting any impact."
