speaker,q&a,content
Operator,0,"Good day ladies and gentlemen and welcome to the first quarter 2018 Athenex earnings conference call. At this time, all participants are in a listen-only mode. Later we will conduct a question and answer session and instructions will follow at that time. If anyone should require assistance during the conference, please press star and then zero on your touchtone telephone. As a reminder, this conference is being recorded.
I would now like to hand the conference over to Mr. Jim Polson, Investor Relations. Sir, you may begin."
Jim Polson,0,"Good morning and thank you for joining our conference call as we provide an update on Athenex’s business as well as a review of financial results for the first quarter 2018. The news release detailing the first quarter results crossed the wire earlier this morning and is available on the company’s website. A replay of this call will also be archived on the company website.
During the course of this conference call, the company will make projections or forward-looking statements regarding future events, including statements about financial and clinical milestones anticipated in fiscal year 2018 and beyond. We encourage you to review the company’s past and future filings with the SEC which identify specific factors that may cause the actual results or events to differ materially from those described in the forward-looking statements. You can find our SEC filings in the EDGAR database at www.sec.gov or in the Investors Section of our website at www.athenex.com.
This morning we are joined by Dr. Johnson Lau, Chief Executive Officer; Jeff Yordon, Chief Operating Officer; Dr. Rudolph Kwan, Chief Medical Officer; Li Shen, acting Chief Accounting Officer, and several other executives who will be available to answer questions after the prepared remarks.
With that, I’ll turn the call over to Johnson for introductory comments."
Johnson Lau,0,"Good morning and thanks everyone for joining us today. I’m pleased to be reporting a strong start to 2018 building on the momentum and accomplishments we generated in our inaugural year as a public company. Let me first start by briefly speaking to some recent highlights from the first quarter and then handing it over to my colleagues for a detailed overview of the progress we have made across the business. 
In our orascovery platform, as we first discussed on the year-end 2017 earnings call, we received positive feedback from the U.S. FDA on the clinical trial design and also met our enrollment target for a Phase III clinical trial for Oraxol for second interim analysis in metastatic breast cancer. In fact, the trial has exceeded our target of 180 patients as early as February of this year and the trial currently has enrolled more than 260 patients. We continue to expect results from this second interim analysis of the first 180 patients in the third quarter of 2018. 
Additionally, we recently announced the U.S. FDA has granted us orphan drug designation for Oraxol for the treatment of angiosarcoma, a rare form of malignant blood vessel cancer. This further validates our multi-pronged strategy for the development of Oraxol and is a testament to the quality of our global team in our overall planning of global registration strategy. 
In the U.K., Oraxol has received promising innovative medicine, or PIM designation for all paclitaxel-responsive tumors, and we are working towards the application of step two of the Early Access to Medicine scheme program by the NHS in the U.K. and will be providing updates to you soon. 
In addition, the Chinese FDA awarded us an IND in China to start clinical trials in under six months, which represents a record time for this kind of action. Dr. Rudolph Kwan, our Chief Medical Officer will speak to further developments in the orascovery platform later in the call.
In the Src-kinase platform, we want to remind that patient enrollment is completed well ahead of schedule for our two Phase III clinical studies of KX2-391 ointment for actinic keratosis indications with top line results expected in the third quarter of this year. We continue to work closely with our partner, Almirall, our strategic partner for the development of KS2-391, and we are excited about the benefits we will realize from this very good collaboration. I believe it’s worth underscoring that we are well ahead of schedule on our late stage clinical trials, which is a testament to our strong clinical team and also very encouraging for the progress of our pipeline. We are looking to continue this progress and momentum by accelerating our focus and investment in this promising clinical candidate. 
For our financials, we generated first quarter revenue of $37.8 million, inclusive of $25 million associated with the licensing agreement with Almirall and $12.8 million generated from the commercial segment, an increase from $4.6 million year-over-year. In fact, we received $30 million from Almirall, but given certain conditions associated with $5 million of payment, we are taking a conservative approach to recognize this $5 million as deferred revenue. Had all $30 million been recognized as revenue, we would have been very close to breakeven for the quarter. Furthermore, all of our facility initiatives remain on target and as planned, and we are progressing according to plan on both our Dunkirk, Buffalo sites as well as Chongqing, China API facilities. We were pleased to [indiscernible] the U.S. [indiscernible] or Buffalo site that is focusing on 503(b) and [indiscernible] has passed FDA inspection in the first quarter of this year, and our Chongqing API facility just passed U.S. FDA inspection last week, and I’m very proud of the team that there was zero citations. 
Heading into the balance of the year, we remain focused on advancing our clinical oncology and adjacent candidates, leveraging our global research and development capabilities and expanding our oncology product pipeline, and building out our commercial platform that can achieve and support global sales, marketing and distribution. Given the confidence we have with our Phase III programs and our successful delivery of two Phase III programs patient recruitment on time, we are also evaluating additional opportunities to further strengthen the pipeline to position ourselves as a major leader in the field of oncology and to create value for all our stakeholders.
We’ll continue to update all of you as we make further progress on our clinical and commercial efforts. With that, I will turn the call over to our Chief Operating Officer, Mr. Jeff Yordon for a more detailed overview of our accomplishments during the first quarter. Jeff?"
Jeffrey Yordon,0,"Thank you, Johnson, and good morning everybody. We had a very strong first quarter in which we made significant progress across both of our proprietary platforms and generated a record quarter of revenue performance inclusive of a licensing fee generated from our agreement with Almirall. I’d like to start by providing a bit more detail on the progress we’ve made across our business this quarter.
Our landmark deal with Almirall continues to yield benefits. Under the terms of the agreement with Almirall, Athenex received $25 million in the first quarter of 2018 out of near-term payments which will ultimately total $55 million with additional indications, milestone payments, and a royalty payment starting at 15% based on annual net sales with incremental increases in royalty rates with increased sales. While the initial upfront licensing fee from Almirall is in the amount of $30 million, we’re only recognizing $25 million during the first quarter with the remaining $5 million being recorded as deferred revenue contingent upon confirmation that Almirall is satisfied with our clinical data. We are very excited about this partnership and look forward to collaborating with Almirall as we move the business forward and across our commercial business we launch significant new products in both our 503(b) and specialty injectable business units. 
During the first quarter of this fiscal year, we launched eight new products from our commercial units. As a whole, Athenex Pharmaceutical Division, or APD now currently markets 19 products with 32 SKUs, and Athenex Pharma Solutions business, or APS, our 503(b) outsourced facility currently markets five products with 23 SKUs. We are also pleased to help fill the U.S. shortage opportunity of both vancomycin and azithromycin, which were significant contributors to the first quarter revenue performance.
We continue to take steps to strengthen our supply chain by continuing as planned with the development of large-scale CGMP manufacturing plants in both the United States and China. As a result of our strong private-public partnerships with the State of New York, construction is well underway on our Dunkirk, New York facility and we expect the facility to be completed by the first quarter of 2019. This partnership continues to be critical to our mission of developing innovative and effective oncology-focused therapies.
I want to mention the fact that eventually our proprietary products will be manufactured there and we have comprehensive plan to immediately absorb overhead in this new facility. Additionally, the API facility in Chongqing is ahead of target and could be completed by the start of the fourth quarter. We are extremely pleased to announce several very positive inspections by the U.S. FDA, which serves as a major speed bump for many of our competitors. To this end, our 503(b) facility in Clarence, New York completed a successful U.S. FDA inspection in the first quarter. 
Finally, the Polymed API facility in Chongqing completed the U.S. FDA inspection last week with zero citations, which is extremely remarkable and highlights the strength of our compliance qualifications. This is extremely relevant because Polymed supplies critical raw material to Athenex for our first two proprietary products. This is a major accomplishment and we are not dependent on any third party supplier for our key proprietary products.
As a company, we are acutely focused on the discovery, development and commercialization of oncology and adjunct oncology products, and we are spending a good deal of time with comprehensive cancer centers looking for opportunities to improve the treatment of cancer and related conditions. Our commercial platform will become critical to supporting our proprietary drug candidates when they are approved. In the interim, we are laying an extremely solid foundation of commercial capabilities as exhibited by strong revenue performance this fiscal year.
We continue to view the commercial platform as both an important opportunity to generate revenue and help to fund R&D efforts on the clinical platform and vital to the eventual commercialization of these platforms as we work to make Athenex a leading provider of proprietary oncology treatments and build a bridge to future decision makers for our proprietary products.
With that, I’ll hand the call over to Rudolph Kwan, our Chief Medical Officer who will provide some highlights in our clinical business. Rudolph?"
Rudolph Kwan,0,"Thanks Jeff. Let me highlight some additional detail on our clinical program. I’ll start with Oraxol, the lead candidate in our orascovery platform. 
In April, we announced receipt of orphan drug designation for Oraxol for the treatment of angiosarcoma. The designation represents our commitment to expand the indications for Oraxol. This is a parallel development program with our metastatic breast cancer and gastric cancer indications in which Oraxol has already shown promising efficacy and safety profile. We expect to launch the clinical trial for angiosarcoma shortly.
Reflecting back on key developments during the first quarter, in January we announced encouraging preliminary efficacy and safety data for Oraxol in the treatment of breast cancer in a clinical trial of 24 patients in Taiwan. Among the first 12 evaluable patients, we saw 50% partial response and another 50% stable disease. There was no progressive disease and no report of peripheral neuropathy. 
In February, we announced meeting our enrollment target for the Oraxol Phase III clinical trial for metastatic breast cancer, putting us on schedule for a second interim analysis in the third quarter of 2018. 
In other developments across our orascovery platform, for Oraxol in combination with ramucirumab, which is for gastric cancer, the first cohort of patients is completed and we are dosing in a second cohort. Our China Oraxol clinical studies are in the final planning stage and we should be starting [indiscernible] pretty soon. 
In Oradoxel, which is an oral formulation for docetaxel, and in Oratecan, an oral formulation of irinotecan, the clinical programs there are progressing very well and we are in a position to advance these programs very soon. 
Finally of the orascovery platform, we are planning for the oral eribulin IND to be filed by the end of 2018. 
Turning to the Src-kinase inhibition platform, in February we announced Phase II clinical results for KX2-391 ointment in San Diego at the American Academy of Dermatology Annual Meeting. Treatment with KX2-391 ointment for five days achieved a high complete clearance rate of AK lesions at day-57 with excellent tolerability. We expect that top line data of the two Phase III studies to be available in the third quarter of 2018. 
Let me close by reiterating that we continue to be ahead of already aggressive schedules in regards to our enrollment targets, which is a testament to the excellent planning and execution of our clinical team. We are very excited by our progress and we are accelerating investments in our clinical programs to maintain this positive momentum.
With that, I’ll turn the call over to Li Shen, our acting Chief Accounting Officer for an overview of our first quarter financial results. Li?"
Li Shen,0,"Thanks Rudolph. I’m going to walk through the first quarter results, our current balance sheet position, and confirm our revenue expectations for 2018 Revenue for the first quarter was $37.8 million compared to $4.6 million in the same period last year. The increase was primarily attributable to $25 million in upfront licensing fees related to the collaboration agreement with Almirall, $8.6 million in specialty products sold through our commercial platform, and $0.4 million for 503(b) products Please note that our initial upfront licensing fee from Almirall was $30 million but as Jeff just mentioned, only $25 million was recognized in the first quarter with the remaining $5 million contingent over the next year when our clinical data is confirmed to be satisfactory to Almirall.
R&D expenses for the quarter were $21.3 million, a decrease of $5.1 million from a year ago. This was primarily due to $14.4 million in decreased drug licensing fees to Hanmi and Gland offset by $6.9 million increase of clinical study costs for Phase III trials of Oraxol and KX-01 ointment, $1 million increase of compensation expenses, and $0.9 million increase of product development and supplies related to 503(b) products, and $0.5 million increase in pre-clinical studies and API R&D expenses. 
SG&A expenses were $13.1 million, an increase of $3.3 million compared to $9.8 million for the three months ended March 31, 2017. The increase was primarily due to a $1.4 million increase of compensation expenses, $1.4 million increase of office expenses and professional fees, and a $0.5 million increase of sales and marketing costs related to the launch of our proprietary products.
Now turning to the balance sheet, cash, cash equivalents and short-term investments were $106.5 million as of March 31, 2018 compared to $51 million as of December 31, 2017. We remain focused on using our cash position to fund our clinical pipeline as well as working capital, costs associated with the commercial platform, and general corporate purposes. As we look towards the remainder of 2018, we are reaffirming our full-year revenue expectation in the range of $100 million to $125 million.
With that, I’ll now turn it back to Johnson for some final comments."
Johnson Lau,0,"Thank you, Li. I’ll conclude our prepared remarks before we open the call to questions. As a company, we remain acutely focused on the development and commercialization of oncology-focused therapies and specifically on the two Phase III trials currently underway across both of our clinical platforms. Thank you to all for your continued support of Athenex and we look forward to sharing upcoming milestones across our business when available. I would like to thank our team around the globe whose hard work makes up the operational and clinical capabilities I’m so proud to be a part of.
With that, I’ll turn the call over to questions. Operator?"
Operator,1,"[Operator instructions]
Our first question comes from the line of Kennen MacKay of RBC. Your line is open."
Kennen MacKay,1,"Hi, thanks for taking the question. A question on the Phase III Oraxol trial enrollment. Johnson, did I hear you correctly when you mentioned that there were 260 patients enrolled into that trial? Could you clarify that, and then could you also help us understand when you could potentially take the third interim analysis of this trial, how many patients are needed for that and, again, when we could see that analysis? I think that would be the second interim analysis that would enable the trial to potentially be stopped early for success. Thank you."
Johnson Lau,1,"No problem. I will turn this to Dr. Rudolph Kwan, our Chief Medical Officer to answer both your questions."
