speaker,q&a,content
Operator,0,"Greetings, and welcome to the Avianca Holdings Third Quarter 2018 Earnings Results Conference Call [Operator Instructions]. As a reminder, this conference is being recorded.
It is now my pleasure to introduce your host, Luca Pfeifer, Investor Relations Officer for Avianca Holdings. Thank you. Mr. Pfeifer, you may begin."
Luca Pfeifer,0,"Good morning, everybody, and welcome. My name is Luca Pfeifer, Investor Relations Officer for Avianca Holdings. It is our pleasure this morning to review our business results for the third quarter 2018. As on prior occasions, we will be simultaneously translating our earnings results from English to Spanish.
Joining me on the call today is our CEO, Hernán Rincón and our Senior Vice President of Finance, Roberto Held; as well as our Executive Vice President, Gerardo Grajales. Hernán will go over the most relevant aspects occurred throughout the third quarter 2018. Furthermore, Roberto will review the financial results for the quarter. In addition, Gerardo will provide additional insight into Avianca's other business units. We will conclude with a brief summary and finally open the floor for question and answers.
At this point, I turn it over to our CEO, Hernán Rincón."
Hernán Rincón,0,"Well, thank you, Luca, and good morning to all. Thank you all for joining this morning. We always look forward to this conversation with you.
But before we go into the details of the numbers and the financials for the Q3, let me give you some backdrop and some framework for how we saw the quarter evolving. First of all, as you guys know, we have experienced a lot of FX volatility in Latin America, actually around the world. And that has clearly had an impact on our operations, especially in countries such as Brazil and Argentina where the volatility was very drastic and we saw significant depreciation of the local currencies. 
In addition to that, we saw a continued high price for jet fuel, which has had an important impact on the financials support the airlines. In Colombia and other countries, we have seen infrastructure disruptions basically in airports that has also presented a few challenges. And finally, I'd say headwind, we finally closed a quarter without the impact of that the ACDAC or pilot strike that we had last year. And as you know that happened a year ago, but the impact of that strike linger around for whole year. Finally, we have recovered from that, and I will give you more details in a moment.
Colombia specifically that was affected primarily by the illegal air pilot strike we have fully recovered our operations. We’re now at a 100% capacity and that includes not only what we were doing before the strike but also the plans that we have for this year. So we fully cover up with our growth plans. And we have seen a nice recovery in the domestic market and we’ve seen a loss factor of 85% in Columbia itself. We stopped using the wet leases, which was a good solution for a few routes. As you may remember, we had good leases to New York and Madrid from several cities in Columbia. And although, it was a good service, it was not exactly what our customers were used to and we have some complaints from them about the quality of the aircraft and some other service. So that’s behind that as well.
We have seen overall very good passenger revenue growth of 13% against last year, which when you see 30% against the backdrop of the FX volatility is pretty nice, it's not bad. We had ASK growth of 6.7 on RPKs of 6.8, so above continual trend to always grow RPKs above ASKs. This quarter has been the fifth consecutive quarter where we have seen yield increase you and us have discovered this subject now for several quarters. A couple years ago, you kept asking us when this is going to happen, when will yield be claim begin increasing. And now I’m happy to report that for the fifth consecutive quarter, we have yield increase and this quarter of about 6% over last year and we are very happy with that.
We also saw decrease in adjusted cash ex-fuel of 5.1%, so both trends yield CASK ex-fuel going in the right direction, and the led us to an adjusted EBIT margin of about 7%. We saw a strong demand trend in North America and Europe that partially offset the issues that I mentioned before in South America and Caribbean due to FX volatility. And successful for Europe, we have seen record growth factor of 90%, so very nice and healthy for us. Other achievements beyond financial, in September, Avianca was again included in the Dow Jones Sustainability Index, and this is the second consecutive year in which we do that and we’re happy with that. And for the second consecutive year, we again were awarded the recognition of the best airline in South America by Skytracks. So that is the public passenger, travelers stating that we are indeed the best airline in South America.
Also, as we prepare to going to the 2019 where we will celebrate 100 years of continuous non-interrupted service in Latin America, and we’re very happy and proud of that record. We’re positioning in the company to perhaps just slow down a little bit in our top line growth in capacity, and in frequency, and route and concentrate a little bit more on our profitability, our cash flow and deleverage in the Company. And to do that, we have just launched an internal plan that includes multiple actions I’m going to highlight only a few here. We’re reviewing our fleet backlog with our vendors. We aim to defer up to 50 narrow-body aircraft and we’re at the same time, reassessing the stages of an additional 50 aircraft.
Our objective there is to delay the arrival of those airlines overtime to have it in a more orderly fashion, and not all at the same time that it was originally planned. We have also begun negotiations with strategic partners and lessors and in some cases to extend our aircraft leases and bring down the bond repayments, both having a great impact on our financials. We are also taking a second look or a third look in some cases at all our CapEx intensive project to decide which one we’re going to do first and do it again in a more orderly fashion.
We are reviewing on a daily basis, our network, try to optimize that. We have begun to cancel some less profitable routes and we’re deploying fleet capacity to all the routes. And we have begun evaluating divesting in some non-core business units that we have accumulated over the years that were probably important to the Company several years ago, but I know they're strategic right now. And finally, we will begin today a rightsizing of Avianca organizational structure and the target is to reduce labor costs by 15, also to improve transparency of our financial statements to the market. In Q1 of next we will begin segment reporting, so that you and the market can seek more closely and in more detail the airline business, the loyalty business and the cargo business in a separate way. And that will be below transparency to the market hopefully also more accurate valuations of our company.
So that's a summery for our first quarter. Again to close and before I turn it back to Luca, an okay quarter, it wasn’t great, wasn’t too bad. We saw growth, especially when I see it in the context of the macroeconomic environments we’re pleased how we were able to react to the market challenges and continues to grow the Company and continue to increase yields, and to continue to decrease CASK-ex fuel and to continue to improve on our EBITDA margins. 
With that, over back to Luca."
Luca Pfeifer,0,"Thank you very much Hernán for you summary of third quarter. With no further ado, I will turn it over to Roberto Otero, who will give us more insights with regards to the financial numbers of the third quarter."
Roberto Held,0,"Good morning, everybody on the call. So I wanted to touch base regarding the fleet plan that was already highlighted by Hernán in his initial comments. So for the quarter, we have incorporation of A320neos fleet, as well as 1787-8 during this month. So I want to highlight that the incorporation of 787 was financed by JOLCO, a UK expert agency financing transaction and is the first one in LATAM to be developed among this type of transaction. We returned two aircrafts, one A319 and one A320 in that top of 190 aircrafts for the whole organization.
In line with that with the comment of Hernán, we’re at this point of time, working together with our vendors regarding the order and we are targeting to develop up to 50 aircrafts in the coming years, as well as reassessing the status of additional 50 aircrafts. We should be having hopefully in the short-term some additional news regarding that, and we should be announcing further developments once they are concluded.
Moving towards our performance. So our performance during this quarter was solid -- was a good quarter in terms of our applications ASK. We had growth of 6.8% in terms of RPKs versus growth of 6.7% in ASKs. It's worth to mention a strong performance of our network and towards North America and Europe with load factors close to 85%. As you can see, we have been having a strong load factor throughout the year, reaching 83.5% for the first nine months, and this has been a very strong quarter versus previous quarters in terms of load factor. Yields are also performing on the positive side for fifth consecutive quarter of yields increase as it was mentioned by Hernán as well. And this is based on a strong average fair that we have been able to a market, our strong performance as well of RPKs. And we have been able also to manage the volatility and price and increased price of fuel throughout this past month.
In terms of revenues, we reached $1.2 billion for the quarter that’s an increase of 3.2% versus last year's third quarter. This is the strongest third quarter ever for the company. This is based on past revenue increase of 13.1, an increase of 3.3% in the passenger line. And this has been also positive towards the market that we have faced, and you remember that during this quarter, we had elections in several of the countries where we have operations, Mexico, Brazil and Columbia mainly, and that brought volatility in addition to the volatility of oil price. So it was a good quarter and we feel that we are on the right track for the company.
In terms of EBITDAR, we saw a decrease of our EBITDAR versus last year. This has been mainly due to effect of fuel, some remains of wet leases that we have to carry for some months of the third quarter. But we have also been delivering important efficiencies towards the operation towards the optimization of our fleet, optimization of our network and that drives also the CASK-ex fuel with an improvement of almost 5.1% for the quarter on an adjusted basis. As you know, fuel increase 34% for the quarter and that also has an impact on CASK, put also the volatility has some effect on that ratio. So we have been working on delivering more efficiencies, we have been also covering the operation and we will see moving forward that we will have a stronger performance on that line versus last year.
On the adjusted numbers, again, we see our performance in CASK, financial views on [Technical Difficulty] payments, our hedging continues to be in line with the previous quarters and we continue to be delivering that line that will cap and we will also protect us on any volatility regarding fuel. And that has driven the CASK-ex fuel grow in addition to other optimizations that we have delivered for the company to a level of 5.1 for the quarter.
EBIT reaches 7%, reaching totaling $86 million for the quarter and an EBITDAR 18.6% versus 23% of last year's third quarter. So we are resuming, as I was saying, our operations fully for the remaining part of the year and we will continue to capture the efficiency that we have delivered last year. So we will have strong performance moving forward as we have seen in the most recent numbers.
Moving towards the performance of our markets. We continue to see a strong load factors, especially in our home markets to Europe with a level of almost of 89%, home markets to North America and the domestic market as well a strong performance above 85%. We've seen from reductions on our markets to Brazil and Argentina due to the current economical conditions and that also had an impact on some of the regions, flights in the regions towards Central America and the Caribbean, but it has been also compensated by a fair performance of our markets in the domestic operation.
So I will now pass the -- in terms of our market share, we have now reached almost 54% of our market share in the domestic market and we continue to be strong in our markets towards North America, towards Europe and in the intra home markets we are very well positioned in terms of market share.
Now, I will switch to Gerardo, who would want the business unit's results of third quarter."
Gerardo Grajales,0,"Thank you, Roberto. This was another good quarter for our business unit. Regarding cargo we have managed to improve yields as a result of our strategy aimed to offset fuel prices increases in the periods. We have also improved our connectivity, signing inter-line agreements with Asia and Middle-East and European cargo operators.
Our total cargo revenues in the period grew by 6.4% when compared to year's same quarter despite our capacity production of close to 4.4% in the period. RPKs also were down basically and our strategy was to focus more in profitability and trying to recover the fuel price increases and therefore, some volumes were affected in the quarter. We took the opportunity of this low quarter for us to perform some heavy checks on some of our A320 freighters and that's why the capacity was down also during the quarter.
In terms of our capacity reduction during the quarter, we managed to continue being the leaders in Columbia and being the third largest carrier out of Miami, which is our main half for cargo operations in which we sometimes during the year became the second largest operator in that market basically. Regarding loyalty our gross billings grew more than 17% in Q3 boosted by more co-branded credit card that grew 7.1%, allowing us to do more billings. Today, the loyalty program count is more than 8.6 million members, which represents an increase of 14.5% over last year. We have continued our penetration through our commercial correlation, and now count with more than 433 commercial partners in which members can redeem and accrue miles in those stores -- in more than 1,400 retail stores.
With that, I have to say that the contribution to the profitability of the company has been strong and we will continue doing so during the last quarter of the year.
With that, back to Roberto."
Roberto Held,0,"So we remain in our flight line the one we shared with you on the last call. We perceive that we will continue to be in the range of the EBIT guidance that we have expressed to you in the range of 6% to 8%.
We remain continue in our load factor that we have seen throughout the year above 84% that will be in the range that we have expressed recently, and we will continue to be also prudent in terms of our ASKs throughout the remaining part of the year. That will lead us to the guidance in the range of 8% to 10%, allowing to the passenger growth or something to have in the range of 5% to 7%.
In summary, we have been seeing that the fundamentals that we have placed throughout the last months and efficiency that we have captured since last year there, we feel that we are again resuming our operations as planned. We had a strong performance of revenues. We have been able to transfer the volatility in price and to our passengers. We have been able to recover part of the operation that was partially reduced during the first part of the year.
We remain confident on our initiatives towards the CapEx fuel that we have been seeing, especially in the quarter a reduction of 5.1 versus last year. We continue to have a strong performance in terms of our yield and a strong quarter again this time adjusted EBIT margins at a level 7% for this quarter. And this has been also good performance in terms of load factor as we have been expressing throughout this presentation. So the fundamentals are there. We foresee that Avianca is prepared to face this challenging environment and we are confident to deliver our strong quarter in the remaining part of the year.
So I will turn back to Hernán for some remarks or. Luca?"
Luca Pfeifer,0,Thank you very much Roberto. With that we turn again our presentation. We would like now to open the floor for question and answer session.
Operator,1,Thank you. We will now be conducting a question-and-answer session [Operator Instructions]. Our first question comes from the line of Jairo Agudelo with Valores Bancolombia. Please proceed with your question.
Jairo Agudelo,1,"I have two questions, one is regarding the performance of yields. You said in the conference that we have seen so far this year a positive recovery in terms of fuel. You were trying to pass through the increasing prices to customers. Now that we are seeing a share decline in oil prices, but also that's compensated by depreciation of Colombian FX. What can we expect in terms of yields in the coming quarters or moving to 2019? And my second question is in relation to the information that Hernán said that you are planning to be base some of the non-core units you have in Avianca. Maybe can you give us a little bit of more color of maybe mix units as you think be best maybe you have a timeline for 2019 or any additional information you can give us on that side. Thank you."
