speaker,q&a,content
Operator,0,"Greetings, and welcome to the AxoGen Third Quarter 2018 Results Conference Call. At this time, all participants are in a listen-only mode. A question-and-answer session will follow the formal presentation. [Operator Instructions] As a reminder, this conference is being recorded.
It is now my pleasure to introduce your host Kaila Krum, Vice President, Investor Relations and Corporate Development. Thank you. You may begin."
Kaila Krum,0,"Thank you, Jesse, and good afternoon, everyone. Welcome to AxoGen third quarter 2018 conference call. We appreciate you joining us. I’m Kaila Krum, Vice President of Investor Relations and Corporate Development. With me on the call today are Karen Zaderej, Chairman, Chief Executive Officer and President; and Pete Mariani, Chief Financial Officer.
The format for today’s call will be as follow. First, Karen will discuss highlights from the third quarter, provide a brief company overview and then turn to our key operational and strategic objectives. Next, Pete will provide details on the financial results outlined in that today’s press release and review financial guidance. We will then open the call for your questions.
Today’s call is being broadcast live via webcast, which is available on the AxoGen website. Within an hour following the end of the live call, a replay will be made available on the company’s website at www.axogeninc.com under Investors.
Before we get started, I’d like to remind you that during this conference call, the company will make projections and forward-looking statements regarding future events. We encourage you to review the company’s past and future filings with the SEC, including, without limitation, the company’s forms 10-K and 10-Q, which identify the specific factors that may cause actual results or events to differ materially from those described in these forward-looking statements. These factors may include, without limitation, statements regarding product acquisition and/or development, product potential, regulatory environment, sales and marketing strategies, capital resources, or operating performance.
And with that, I’d like to turn the call over to Karen Zaderej. Karen?"
Karen Zaderej,0,"Thanks, Kaila, and good afternoon, everyone. Welcome to our 2018 third quarter conference call. We are pleased to report another quarter of strong growth for AxoGen. Third quarter revenue grew 41% to $22.7 million. After investing in significant organization enhancements earlier this year, we’re seeing improvements in the productivity of our direct sales team and stabilization of our independent channel. In the third quarter, revenue from our direct sales team was up nearly 50%. This growth and the productivity improvements we saw were consistent with our expectations.
Our growth is driven by increasing surgeon acceptance of the body of clinical evidence in support of our product portfolio. With now more than 1,500 nerve repairs in our RANGER Registry and a growing body of clinical evidence for AxoGen’s products in nerve repair, we’re creating a differentiated algorithm with demonstrated consistency and meaningful recovery outcomes.
We’re excited to announce today that the U.S. Food and Drug Administration granted the Regenerative Medicine Advanced Therapy or RMAT designation for Avance Nerve Graft. The RMAT designation under the 21st Century Cures Act aims to streamline development of regenerative medicine therapies intended for the treatment of serious diseases and life-threatening conditions.
Our regenerative medicine therapy is eligible for the designation if it is intended to treat, modify, reverse or cure a serious or life-threatening disease or condition and preliminary clinical evidence indicates that the product has the potential to address unmet medical needs for such a disease or condition. The RMAT designation highlights both the strength of the data within the RANGER Registry and the significant unmet medical need for improved therapy to treat nerve injuries.
AxoGen is focused specifically on the science development and commercialization of technologies for peripheral nerve regeneration and repair, and we will continue to challenge the norms of historical repair options. We have more than 10 years of experience competing with historical surgical techniques and conduit products. We have defined the peripheral nerve repair market and established AxoGen as the leader in this field.
We are building awareness of advances in peripheral nerve repair and see expanding use of our products with innovator and early-adopter surgeons. We are excited to be moving towards the development – towards developing the middle adopters, who are the majority segment of the nerve repair market.
We continue to develop our market to the execution of our strategic initiatives, which we believe will allow us to build long-term sustainable growth. We refer to these strategic initiatives as our five pillars of growth; building market awareness, educating surgeons and developing advocates, growing the body of clinical evidence, executing on our sales plan and introducing new products and expanded applications in nerve repair. I’ll now comment on our progress of the quarter in each of these areas.
First, we continue to build market awareness of AxoGen and our products by engaging with surgeons with hospitals, clinical conferences and promotional events. In the quarter, we participated in the American Society for Surgery of the Hand 73rd Annual Meeting, which is the largest society meeting for hand surgeons. At the meeting, AxoGen hosted an educational symposium with more than 150 attendees, which focused on the rapidly growing body of clinical evidence in support of our nerve repair algorithm.
During the symposium, one of our RANGER investigators, Dr. Fraser Leversedge, presented an update on more than 400 upper extremity nerve repairs from the RANGER Registry, highlighting 85% meaningful recovery in these repairs. This is the largest review of our registry to-date. The data shows consistency over time, with a substantial and expanding outcomes population and continues to support meaningful recovery in a variety of gap lengths and sensory and motor function.
We work year-round to increase awareness of peripheral nerve damage and options for repair by featuring stories of patients whose quality of life was improved through nerve repair using one or more of our products. One of these patients is Tara. Tara had a family history of breast cancer, losing her mother, grandmother and three maternal aunts to breast cancer. At the age of 28, she tested positive for the breast cancer susceptibility gene BRCA2.
Tara chose to have prophylactic double mastectomy with implants, and she lost all sensation in her breasts. She lived with the implants for 10 years. And by her own account, didn’t feel normal and wasn’t engaging in the world as much as she had before her mastectomy. When one of our implants ruptured, she met with a reconstructive plastic surgeon who recommended removal of the implants and autologous flap reconstruction with neurotization. Tara’s reconstruction was performed by a surgeon trained in the ReSensation technique. As a result of the surgery, Tara had sensation in her breasts and tells us she is now fully engaged in an active lifestyle.
October is Breast Cancer Awareness Month. On October 17, we supported and participated in several Breast Reconstruction Awareness or BRA Day. These events helped awareness of breast reconstruction options, including ReSensation. We also participated in the American Cancer Society making strides against breast cancer event in New Orleans, where there were over 3,000 women in attendance. In total, we participated in 11 patient focused events across the country where we had many meaningful interactions with patients just like Tara and those actively researching their options. We’re excited to provide another option for these women who are seeking a more complete solution.
Our second pillar of growth is focused on surgeon education and the development of surgeon advocates. We conducted four national education events in the third quarter and expect to conduct a total of 18 during 2018. These surgeon led programs focus on advances and best practices in nerve repair. They allow surgeons to gain additional confidence in nerve repair technique and they drive adoption and increased utilization of our products. On average, we see the utilization from surgeon attendees more than double six months after they attend the program.
Included in our events for the quarter was an Upper Extremity Fellows Program, where we train the next generation of nerve repair surgeons. We plan to conduct a total of five Fellows Programs in 2018, training more than two-thirds of hand and microsurgery fellows for the year.
The growing surgeon excitement around the concept of nerve repair during OMF procedures was increasingly evident during the recent American Association of Oral and Maxillofacial Surgeons Conference. We noticed a significant increase in both traffic and awareness relative to prior years. The scientific meeting included seven presentations and breakout sessions on peripheral nerve repair, including one focused on iatrogenic injuries and the need for both early identification and referrals for surgical evaluation.
We also hosted our second educational program in OMF surgery in September with a focus on nerve repair during mandible reconstruction. This educational program was fully enrolled, and we found that surgeons are now be able to add nerve repair into their standard surgical approach and provide an opportunity for sensory function for these patients.
Historically, many of these injuries went untreated, leaving the patient with significant quality-of-life challenges associated with permanent numbness of the lip, mouth and chin. Surgeons now have an option to reconstruct these nerves, giving patients the opportunity to see the return of function. We’re pleased to see the easiness and high-level engagement by the participants to add nerve repair to their reconstructions.
Our third pillar is to grow the body of clinical evidence. Our library of peer-reviewed clinical publications now numbers 65. The volume of presentations and publications reinforces both the importance of peripheral nerve repair and the growing body of evidence for AxoGen’s products. Our RANGER Registry has enrolled more than 1,500 Avance Nerve Graft repairs and continues to provide significant new evidence in the management of nerve injuries.
As mentioned, data was recently presented on more than 400 upper extremity nerve repairs from the RANGER Registry at the American Society for Surgery of the Hand. This data continues to support meaningful recovery in a variety of gap lengths and in sensory and motor function. The RANGER data consistently demonstrates that Avance outcomes exceed those associated with synthetic conduits and are similar to nerve autograft without the associated donor site morbidities. Surgeons are using this data to better understand nerve repair outcomes and to expand their treatment algorithms.
We saw in our Phase III pivotal study comparing Avance Nerve Graft to synthetic conduits in digital nerve injuries continues to enroll. We anticipate enrollment to be completed by year-end. These studies continue to produce important data that assist in clinical decision-making and support the adoption of our platform for nerve repair.
In addition to the clinical evidence we continue to build with hand and reconstructive plastic surgeons, we’ve also grown our experience in oral and maxillofacial surgery. As these surgeons become confident with AxoGen’s portfolio, we see expanded use of multiunit repairs of iatrogenic nerve injuries and the application of our products to more complex injuries such as mandible reconstruction due to benign tumor resection. Clinical data showed that repair of these injuries with the AxoGen portfolio products can provide meaningful recovery in 87% to 94% of these patients.
Late last year, we announced the launch of our expanded application in breast reconstruction neurotization. At AxoGen, we believe the ideal breast reconstruction restores size, shape, symmetry, softness and now sensation without the potential risk and comorbidity associated in associated with autograft nerve harvest. We’ve developed the ReSensation surgical technique, which incorporates the patient into a reproducible and efficient solution for reconstructive plastic surgeons.
We began surgeon training on the ReSensation technique for breast reconstructive neurotization as part of the application launch. We plan to partner with 20 to 25 breast neurotization centers by the end of 2018, and we’re pleased to announce that we now completed initial training at all centers and will continue to develop these centers over the next year.
We’re now enrolling patients in the sensation neurotization outcomes for women or Sensation-NOW clinical registry. Sensation-NOW will study the physical and quality of life outcomes of breast neurotization. We believe that data from this registry will demonstrate that ReSensation technique provides meaningful recovery in sensation and quality-of-life outcomes for women who choose autologous reconstruction following a mastectomy.
Our fourth pillar is sales execution. As I mentioned, we made several organizational enhancements in recent quarters to expand and enhance our commercial team. We ended the quarter with 76 direct sales representatives, an increase of four in the quarter and 23 in the last year. With our growing sales team, we continue to see that more than 50% of our current reps have been with the company for less than one year. We will continue to invest in our sales team and expect to exceed 80 direct sales reps by the end of 2018.
In addition to our direct sales force in the U.S., we currently have 20 independent sales agencies supporting the execution of our commercialization strategy. During Q3, we saw a stability in the performance of this channel following changes we implemented. Our sales agencies will continue to represent an important aspect of our growth in selected territories. We will continue to make broad commercial investments across our sales channel as we continue to grow and expand our platform for peripheral nerve repair.
In the third quarter, the number of active accounts increased by 45 to 679, an increase of 21%, up from 563 in Q3 of 2017. This increase in active accounts, along with the increased penetration of active accounts, is the key driver of our 41% revenue growth in the quarter. Most of our active accounts are still at an early stage of penetration and provide additional opportunities for growth. The growing number and penetration of active accounts is driven by increased adoption of our nerve repair products across the surgeons treatment algorithms, accounts ordering Avance Nerve Graft, AxoGuard Nerve Connector and AxoGuard Nerve Protector generate greater than six times the revenue of an account ordering just one of the products. Our objective is to continue expanding the treatment algorithms to surgeons to include all four of our surgical implants across their full continuum of nerve repair.
Our fifth pillar of growth is the introduction of new products and expanded applications in nerve repair. There are many unmet needs in the surgical repair of peripheral nerves and we, as a leading company in this space, are positioned to develop new solutions for these needs. We’re making investments in opportunities to innovate both our current portfolio as well as introduce new solutions for patients with peripheral nerve damage.
Although our existing products in the upper extremity, trauma, oral and maxillofacial and breast reconstruction markets are our prime revenue sources today, expanded applications in lower extremity surgery, head and neck surgery, urology, and the surgical management of pain offer AxoGen expanded revenue opportunities in the future.
Millions of people suffer with recurrent and chronic pain. The surgical management of pain may provide an effective non-pharmacologic resolution for many causes of this pain.
The pain universe is large and the potential to apply surgical nerve repair and nerve management techniques to address issues such as pain associated with total joint replacement, hernia repair, neuropathy or migraine headaches, creates a significant opportunity for us to introduce new products and expanded applications for our product portfolio. We’ve made good progress in identifying the potential market needs around these opportunities and expect to talk more about our initiatives and market development work in this area at our 2018 Analyst Day in November.
Before I turn the call over to Pete, I want to highlight again that Q3 was a strong quarter for AxoGen. Our performance reflects growing surgeon acceptance of Avance Nerve Graft, a biologically active nerve therapy with more than 10 years of clinical evidence. We are pleased with the RMAT designation, which recognizes the strength of the existing clinical evidence and acknowledges a significant unmet needs for effective nerve repair solution.
We expect sales representative productivity and penetration of active accounts will continue to grow. We continue to execute against our strategic initiatives and are driving strong revenue growth, while maintaining gross margins above 80%. We continue our focus on nerve repair education and awareness, experiencing successful interactions at professional society meetings and at educational programs for surgeons. Surgeons are demonstrating an increasing awareness and adoption of the AxoGen portfolio and our core applications and are applying our portfolio of surgical solutions in new areas.
We are making investments to grow expansion markets in OMF and breast reconstruction neurotization, and we are exploring with surgical management of pain. We’re pleased with our progress and with our opportunity to continue developing the emerging nerve repair market and driving long-term sustainable growth for AxoGen.
Now, I’ll turn the call over to Pete. Pete?"
Pete Mariani,0,"Thanks Karen. Good afternoon everyone. Third quarter revenue grew 41% to $22.7 million. Revenue growth was primarily the result of increases in unit volume as well as the net impact of price increases and changes in product mix.
As Karen noted, most of our revenue growth was driven by increases in both the number and penetration in active accounts. We also continue to see growth in our pipeline of new accounts as surgeons become more familiar with our products and begin to develop their treatment algorithms.
Gross profit for the third quarter was $19.2 million, a 42% increase compared to Q3 of 2017. Gross margin was 84.7% for Q3, compared to 84.4% in the prior year.
Total operating expenses in the third quarter was $24 million, up 60% over the prior year. The increase includes the additional investments in our expanded commercial capabilities, as well as increased investments in clinical, R&D and general corporate expenses associated with our growth.
Operating expenses also include non-cash stock compensation expense of $2.2 million in Q3 compared to $919,000 in the prior year. Excluding the impact of non-cash stock comp, total operating expenses for the third quarter increased 53% to $21.8 million or 96.3% of revenue compared to $14.1 million or 88% of revenue in the prior year.
Sales and marketing expense in the third quarter was $14.7 million, up 55% over the prior year. As a percentage of revenue, sales and marketing expense in the quarter was 64.7% compared to 59.4% in the prior year.
As mentioned, we continue to invest in our commercial capabilities. These investments in our organizational infrastructure will provide a solid framework to drive continued execution of our growth plans and expand our platform for nerve repair.
Research and development spending in the quarter was $3.3 million compared to $1.8 million in the prior year. R&D cost include product development and expenditures for our biologics license application for our Avance Nerve Graft, development of the new AxoGen Processing Center, support of the RANGER Registry, as well as studies for the development of new products and applications. As a percent of revenue, R&D expense for Q3 was 14.6% compared to 11.2% in the prior year.
We continue to build out our R&D capabilities and are increasing investments in important clinical study work in product development. We expect that investment in these activities paired with the development cost related to our new processing facility will drive R&D spend to be higher than historical levels.
General and administrative expenses in the third quarter was $6.1 million, up 61% over the prior year. The increase includes higher compensation expenses, including higher non-cash stock compensation expense of $1.2 million compared to $695,000 in the prior year, related to supporting our organizational growth. As a percentage of revenue, G&A expense in Q3 was 26.8% compared to 23.8% in the prior year.
Net loss in the third quarter was $4.1 million or $0.11 per share compared to $2.1 million or $0.06 per share in the prior year. Excluding the impact of non-cash stock compensation, adjusted net loss and net loss per share in Q3 was $1.9 million and $0.05 per share compared to $1.2 million and $0.04 per share in the prior year.
Adjusted EBITDA loss in the quarter, which excludes the impact of noncash stock comp, was $2.4 million compared to an adjusted EBITDA loss of $433,000 in the prior year.
On our balance sheet, we ended September with $126.4 million in cash, cash equivalents and investments compared to $133.6 million at the end of Q2. Cash burn in the quarter included $4.9 million to complete the purchase of our new processing center in Ohio.
Turning to guidance, we are reiterating our 2018 full year guidance. We expect 2018 revenue will grow at least 40% over 2017 revenues and gross margins will continue to be above 80%. We also anticipate having at least 80 direct sales reps by year end. Additionally, we are introducing guidance for 2019. We expect 2019 revenue will grow at least 35% over 2018 revenues and gross margins will continue to be above 80%.
As Karen mentioned, we are pleased with our commercial, clinical, and strategic progress in Q3. We’re seeing improved productivity of our sales team, increased penetration of our active accounts, and our gross margins continue to be above 80%.
We have accelerated investments in our commercial capability, which we believe will allow us to continue to drive execution in our core trauma and nerve protection markets, while also bringing additional resources and focus to our expansion opportunities in OMF and breast reconstruction neurotization. These investments are having an impact and we believe we are well-positioned to continue to drive growth and expand our platform for nerve repair.
In addition to our commercial capability, we’re building the facility infrastructure to support a long-term growth. In late September, we disclosed expansion plans for our corporate office. These plans included the opening of a second corporate campus in Tampa and extended the leaseof our current Alachua headquarters facility to at least mid-2021.
We also announced today that we have secured in temporary office facility in Tampa, while the second corporate campus is being constructed. We will continue to invest in the infrastructure of our business and strategic initiatives to drive growth in a manner that demonstrates the efficiency of our business model.
And with that, I’d like to turn the call back over to Karen."
Karen Zaderej,0,"Thanks, Pete. Before we close, I’d like to remind everyone that we will be conducting our Third Annual Analyst and Investor Day in New York City on November 19. In closing, our efforts to execute against our strategic initiatives focused on building market awareness, educating surgeons, and developing advocates, growing the body of clinical evidence, executing on our sales plan, and expanding new products and applications in nerve repair.
We have positioned AxoGen to lead and grow the peripheral nerve repair market. We are building awareness, developing additional clinical data, and expanding use of our products with innovator and early-adopter surgeons, and are excited to be moving towards developing the much larger middle-adopter segment of the peripheral nerve repair market.
We’re pleased to see expanded use of the AxoGen product portfolio in our core trauma markets, growing surgeon acceptance of our OMF application and early response to our market development efforts in breast neurotization.
We are building a world-class commercial team that will continue to scale and enable us to drive growth in current and expanded applications where we believe we can bring meaningful solutions to current clinical challenges.
We will continue to expand our platform and develop new nerve repair applications, challenging the norms of historical repair options, and positioning our algorithm as a new standard-of-care in the peripheral nerve repair market, a market that currently represents more than $2.2 billion in existing applications and we expect will continue to grow.
Before taking questions, I do want to welcome our new investors and thank the AxoGen team for their commitment to our mission and our values.
At this time, I’d like to open the line for questions. Jesse?"
Operator,1,[Operator Instructions] Our first question is coming from the line of Richard Newitter with Leerink Partners. Please proceed with your question.
Richard Newitter,1,"Hi, thanks for taking the questions. I wanted to start off with the guidance, which you reiterated for 2018 and then also the preliminary guidance you’ve given for 2019. Just on 2018, you’re reiterating your 40% guide and you delivered 41% in the third quarter, with that implying a little bit of an acceleration into the fourth quarter. So first I was just hoping, Karen, maybe you could tell us what gives you confidence that you’re going to see acceleration in growth into the fourth quarter? And then I’ll ask about 2019."
Karen Zaderej,1,"Thanks, Rich. So as we look at this, we’ve looked at the productivity improvements that we’ve seen in our sales team as well as certainly, the reps who are coming into their what I would consider their productivity cycle. As you remember in fourth quarter of last year and first quarter of this year, we added a number of reps and it takes eight to nine months before a rep is really productive.
And so we started to see some of that impact in Q4 – excuse me, in Q3, and we’ll see continued impact of those reps as they hit their productivity phase in Q4. And so as we look at the performance of what we already see happening and what we’ve seen happened in the past, we feel confident in what will – the results that will yield in Q4."
Richard Newitter,1,"Okay, I just want to be clear. Can you maybe – what are the assumptions to get to that acceleration? Do you need to see or are you expecting an improvement even of that 50% direct sales force growth into the 4Q? Or do you see something better than stabilization in the independent channel maybe some rebound in that channel to get there? What’s underlying the assumption there?"
Karen Zaderej,1,"Well, I think you bring out several good points. So for us, it is looking at our overall productivity, but, in particular, looking at the productivity enhancements of our new reps, who really just get into their stride again in that ninth month. So that – our assumption is that they’ll continue to do what we’ve seen them do in the past or what others have done before them and so that’s the base of our assumption on the direct team.
On the independent channel and again, we get about 80% of revenue from our direct reps but our 20% comes from our independent channel. In our independent channel, we’ve seen a good stabilization. We’re not assuming significant growth coming from the independent channel, but we are assuming that we’ll continue to see the stabilization that we put in place and saw through Q3."
