speaker,q&a,content
Company Participants,0,"Horacio Rozanski - President and CEO
Lloyd Howell - CFO and Treasurer
Nick Veasey - VP of IR"
Conference Call Participants,0,"Carter Copeland - Melius Research
Jonathan Raviv - Citi
Sheila Kahyaoglu - Jefferies
Cai von Rumohr - Cowen & Company
Edward Caso - Wells Fargo
Joseph DeNardi - Stifel
Gavin Parsons - Goldman Sachs
Tobey Sommer - SunTrust
Tim McHugh - William Blair"
Operator,0,"Good morning and thank you for standing by and welcome to Booz Allen Hamilton's Earnings Call covering Fourth Quarter and Full Year Results for Fiscal Year 2019. At this time, all participants are in a listen-only mode. Later, there will be an opportunity for questions.
I'd now like to turn the call over to Mr. Nick Veasey."
Nick Veasey,0,"Thank you. Good morning and thank you for joining us for Booz Allen's fourth quarter and full fiscal year 2019 earnings announcement. We hope you've had an opportunity to read the press release that we issued earlier this morning. We've also provided presentation slides on our Web site and are now on Slide 2.
I'm Nick Veasey, Vice President of Investor Relations, and with me to talk about our business and financial results are Horacio Rozanski, our President and Chief Executive Officer; and Lloyd Howell, Executive Vice President and Chief Financial Officer.
As shown on the disclaimer on Slide 3, please keep in mind that some of the items we will discuss this morning will include statements that may be considered forward-looking, and therefore are subject to known and unknown risks and uncertainties, which may cause our actual results in future periods to differ materially from our forecasted results. Those risks and uncertainties include, among other things, general economic conditions, the availability of government funding for our company's services and other factors discussed in today's earnings release and set forth under the forward-looking statements disclaimer included in our fourth quarter fiscal 2019 earnings release and in our SEC filings.
We caution you not to place undue reliance on any forward-looking statements that we may make today and remind you that we assume no obligation to update or revise the information discussed on this call.
During today's call, we will also discuss some non-GAAP financial measures and other metrics, which we believe provide useful information for investors. We include an explanation of adjustments and other reconciliations of our non-GAAP measures to the most comparable GAAP measures in our fourth quarter fiscal 2019 slides.
It is now my pleasure to turn the call over to our CEO, Horacio Rozanski. And we are now on Slide 5."
Horacio Rozanski,0,"Thank you, Nick, and good morning, everyone. Lloyd and I are pleased to report today outstanding results for fiscal year 2019. The people of Booz Allen excelled on all fronts serving clients with talent and dedication leading our firm in exciting new directions and delivering financial performance that exceeded even our own expectations. As a result, we enter fiscal year 2020 on April 1st with a great deal of momentum and optimism about the future.
This morning, I’ll summarize our performance against the investment thesis we presented last June. I will also talk about the medium-term strategic outlook and highlights of fiscal year 2019. Then Lloyd will take you through the numbers in detail, including our guidance for this fiscal year.
The headline as we close the books on fiscal year 2019 is that Booz Allen in essence jumped a year ahead on the three-year horizon as we saw it last June. We said at the time that our investment thesis has three parts. It begin with our differentiated market position operating right where our clients need us the most at the intersection of consulting, mission and technology.
We said we believe this unique positioning would drive 50% ADEPS growth to about $3.00 per share by fiscal year 2021 and that we aim to achieve this through a combination of organic revenue growth, margin expansion and efficient capital deployment. We also pointed to the potential for additional growth or option value from the new capabilities and business lines we’ve been investing in.
Against that backdrop, in year one of our three-year period, we delivered 39% ADEPS growth to $2.76 for fiscal year 2019. If you look across all the key metrics, our performance improved against what were already very strong results in fiscal year 2018. This allows us to update today our three-year goal for ADEPS with growth now expected to be 66% from about $2.00 per share in fiscal year 2018 to about $3.30 per share in fiscal year 2021.
The key to enduring success for an institution like Booz Allen is always keeping one foot in the present and one foot in the future. What I would like to emphasize today is that we feel secure in our market position for the long term. Why? Because we are seeing a fundamental shift in how government leaders think about the role of technology in their missions. Technology adoption in government is accelerating for reasons that are here to stay, namely the return of great power competition and the digital revolution.
As stated in the national defense strategy, there is concern that the United States advantage over its nation state rivals is not what it once was and there is broad agreement that to secure our edge we must use advanced technologies including those that have only now begun to come of age.
The senior most leaders I talk to in both government and the private sector are looking for innovation, speed and agility. The truth is the United States is contending with an attack surface that is nothing like it was as recently as 20 years ago. Space and cyber are war fighting domains as much as land, sea and air and the software/hardware mix for both weapons platforms and defensive capabilities is tipping rapidly towards software.
Leaders in the defense and intelligence community see this new reality and they are committed to forging a new path to protect our country and its interests. That is why we see, for example, a focus at the highest levels of DoD on securing the supply chain from industrial espionage and cyber attacks and urgency in the military services about moving directed energy capabilities from the lab to the field.
Initial use cases for AI being pushed to the tactical edge and the establishment of Army Futures command in Austin, Texas, a city known for innovation. Those are about a few of the examples I see and hear about as I travel the country and meet with defense clients and senior officials.
Turning now to the civilian agencies, our clients also feel an urgency to modernize systems, protect them and find efficiencies. The digital revolution has transformed our economy and society. This is elevating what citizens expect from their government. We see it in how federal agencies are detecting and fighting fraud, speeding the delivery of services and fundamentally transforming the user experience for digital citizens.
At the same time, technology is more democratized and interconnected than ever before. This opens both great opportunities to serve citizens better and significant threats to critical infrastructure. Civil agency leaders know that the best and most cost effective solutions are no longer exclusively people based. They require a combination of people and technology.
And finally in the commercial sector, we see a similar dynamic with heavy focus on applying technology to the biggest problems clients face such as the theft of intellectual property or cyber vulnerabilities in the supply chain. The private sector in many ways is ahead of government in terms of adoption and demand for cyber security solutions continues to grow.
The bottom line for Booz Allen is that the market for our offerings continues to expand. We believe that demand for complex, high-end technology solutions will keep growing. The investments we have made and will continue to make in talent, capabilities, solutions and new business lines have been essential to creating our first mover advantage. They have bolstered our differentiation and we believe have allowed us to separate from the pack and maintain our industry leading position.
Booz Allen outperformed in fiscal year 2019 because we operated at the top of our game in a very good market. Clarity about the federal budget allowed our core government clients to move forward on technology adoption that has long been needed. They turned to us and we delivered. As we approach the end of the two-year budget agreement, we are encouraged by recent developments but remain concerned about the pathways available for Congress and the White House to reach a new agreement. 
Therefore, as we open this fiscal year, we have planned for a relatively more aggressive first half and expect to execute a more conservative plan in the second half. We are capturing all the opportunity we can, executing against contracts, managing costs and accelerating our hiring so that we can get ahead of any possible disruption after September 30th. In short, we are monitoring the political dynamics but remain focus on the things that we can control.
Before turning the call over to Lloyd, I want to return for a moment to how proud I am of our firm’s performance in fiscal year 2019, particularly in light of January’s government shutdown. We delivered another year of industry leading organic revenue growth exceeding our guidance. This was driven in part by another strong year of hiring in a very tight labor market.
EBITDA margins and ADEPS both increased significantly and continued strong cash generation supported our capital allocation goals. Book to bill came in light in the fourth quarter but we believe this is largely due to timing and reflects the quarter-to-quarter volatility inherent in pursuing larger awards. We feel confident that our backlog and headcount along with our opportunity pipeline and hiring expectations will continue to drive revenue and earnings growth into the future.
Global commercial had another very successful year with 32% revenue growth despite some challenges in our business in the Middle East. The leaders of our commercial business deserve huge credit for operationalizing against its cyber first strategy. Our talent and capabilities are unmatched due to our long history of supporting cyber missions in the government. As a result, we are winning more and more work with Fortune 500 companies.
Finally, I’ll mention that in fiscal year 2019 we continued to push forward on option value capabilities as I’ve highlighted in previous calls. The launch of District Defend and Recreation.gov were important milestones and we introduced AI capabilities to more clients over the course of the past year. While these are still nascent businesses for us, we think they hold significant potential to drive incremental growth in the long term. We will continue to update you periodically on the progress we’re making.
On the strength of our differentiation, the global strategic environment and our outstanding performance in FY '19, we’re issuing guidance for fiscal year 2020 that again forecast meaningful growth even in what could be a more challenging budget environment. We expect another year of industry leading organic revenue growth, historically high margin performance and value creation for shareholders through ADEPS growth and smart capital deployment.
The financial outlook underscores precisely what I said at the start of my remarks. As we open fiscal year 2020, Booz Allen is a year ahead of the expectations we set just a year ago. Together, our team of over 26,000 is forging ahead eager to again demonstrate the strength of this institution, our dedication to clients’ mission and our desire to create value for shareholders.
And with that, Lloyd, over to you."
Lloyd Howell,0,"Thanks, Horacio, and good morning, everyone. I have the pleasure today of presenting another exceptional quarter of performance to round off a year that again produced industry leading organic revenue growth and record earnings.
When we presented our investment thesis almost a year ago, we set ourselves ambitious three-year financial goals; 50% ADEPS growth driven by a combination of annual revenue growth of 6% to 9% and 10 to 30 basis point of margin expansion over the three-year period and a cumulative $1.4 billion of capital deployment including dividends over the same timeframe.
Thanks to the unique market position we occupy, a favorable market environment and the hard work of our people, we are further along in our three-year journey than we thought we would be at this point.
For the full year, as Horacio noted, we outpaced our guidance for both the top and bottom line. Growth in revenue, excluding billable expenses, of just over 9% and adjusted EBITDA margin performance well ahead of our expectations enabled us to deliver adjusted diluted earnings per share of $2.76 for fiscal year 2019, just $0.24 shy of our $3.00 ADEPS goal for fiscal year 2021.
These results show that our strategy and operational execution position the business to take maximum advantage of a favorable market environment in fiscal year 2019. Our outperformance in year one sets a new foundation for the remaining two years of our investment thesis horizon and we anticipate will enable us to end fiscal year 2021 further along in our growth trajectory than we initially thought.
As Horacio noted, this means that we are in a position today to update our three-year ADEPS goal to 66% ADEPS growth from fiscal year 2018 through fiscal year 2021. Our continued confidence in the business and the strength of our unique market position are reflected in both the updated investment thesis goals and our guidance for fiscal year 2020, which I’ll walk through this morning.
Let me start though with a summary of our results for fiscal year 2019. Please turn to Slide 6. At the top line, revenue and revenue excluding billable expenses grew 8.7% and 9.1%, respectively, for the full year. As we said repeatedly, our strategy centers on delivering sustainable, quality organic growth by serving our clients in ways that would be difficult for others in the industry to match.
Our performance this year building on our 6.2% revenue growth in fiscal year 2018 demonstrates that our strategy is working. We managed well through a partial government shutdown in January and kept going.
Our revenue performance was driven by continued strong demand for Booz Allen services and solutions and a significant increase in headcount to meet that demand. As of March 31st, total headcount was 26,069, up by 1,430 year-over-year or 5.8%.
Hiring and retention during the fourth quarter were strong allowing the firm to surpass our targeted 5% growth in headcount for the full year. In the quarter, we grew our headcount by 266 compared to a net decline of 108 in the fourth quarter of fiscal year 2018.
New retention in training programs aimed at minimizing attrition and upscaling our talented workforce helped fuel this growth in headcount and give us added confidence that we’ll have another healthy headcount increase in fiscal year 2020.
Turning to Slide 7, our fourth quarter book to bill was 0.36x lower than what is typical for Q4. Quarter-to-quarter there were some volatility in our book to bill number last year and the unevenness may continue.
You’ll recall that our second quarter book to bill was a record for the firm, a period when we won several large recompetes as well as both new work and work taken from our competitors.
The last two quarters we have seen a few opportunities protested or pushed to the right and quite frankly did not win two recompetes that we had anticipated winning. We do not view this as a trend and are confident that we have ample backlog and proposal volumes to support growth over the long term.
I’ll also note that one large contract that had been protested was awarded to our firm this month. If that $1 billion award had been resolved before the end of the March, book to bill for the fourth quarter would have been 0.93x. Even with that award excluded, our book to bill for the fiscal year was 1.49x, the best full year mark since our IPO and more importantly total backlog at fiscal year-end was $19.3 billion, 21% larger than a year ago.
Funded backlog as of March 31st was up 28% to $3.4 billion. Unfunded backlog was down 11.4% at $3.7 billion and price options increased 33% to $12.2 billion. Demand signals remained strong particularly in portions of the market where mission and technology intersect and the focus is high-end differentiated solutions. And as our hiring trends and guidance suggest, we are very much in a growth posture for the foreseeable future.
Moving to the bottom line, as I said earlier, we once again achieved record earnings. Full year adjusted EBITDA was 675 million, up 15.4% from the previous year. This increase was driven primarily by our top line growth, strong contract level performance and solid operational management. Our people deserve lots of credit for how well they served clients and managed this complex business over the course of the year.
As a result, our adjusted EBITDA margin for the full year was 10.1% well above the 9.5% delivered in fiscal year 2018 and well ahead of the 10 to 30 basis point improvement over the three years that we articulated in our investment thesis.
Our excellent margin performance during the first three quarters gave us room in the fourth quarter to accelerate various initiatives aimed at attracting and retaining talent and developing our capabilities and solutions.
While this had an impact on the final quarter’s margin, we managed the business for the long term and we are pleased to be able to make decisions like this, decisions that strengthen our position going into fiscal year 2020.
Full year net income DEPS and ADEPS grew significantly. These increases were primarily driven by revenue growth, profitability improvement and lower effective tax rate and a lower share count in fiscal year 2019 due to our share repurchase efforts.
Net income grew 39% year-over-year to $419 million. Adjusted net income was $395 million, up 34% from fiscal year 2018. Diluted earnings per share rose to $2.91 from $2.03 in the prior year and adjusted diluted earnings per share increased to $2.76 from $1.99 in the prior year.
During the fourth quarter, our bottom line also benefitted from the divestiture of a small asset called riskCanvas which is financial compliance service offering. While relatively small, this transaction demonstrates our willingness and ability to monetize our intellectual property when it’s in the best interest of the firm, our people and our shareholders.
Pivoting to the balance sheet, we ended the fiscal year in a strong position with $284 million in cash on hand. Our cash position was fortified by the $500 million in operating cash generated during the fiscal year, which put us at the very top of our forecasted range. This represents 35% growth over fiscal year 2018.
Several factors led to the improvement in our cash position. We refocused our invoice prioritization and collection efforts working closely with government agency counterparts to prioritize invoices and work through any issues. We also worked collaboratively with payment offices to quickly return to normal operations after the government shutdown.
Also, for the full year, we benefitted from an approximately $76 million decrease in cash taxes paid primarily due to a one-time tax methodology change. Capital expenditures in fiscal year 2019 were $95 million, in line with our expectations.
Finally, I’ll note that we executed and drew down the $400 million delayed draw portion of our term loan A as planned on April 23rd. This additional capital of attractive financing rates both improves our capital structure and supports our commitment to deliver shareholder value through disciplined capital deployment.
Please turn to Slide 8. During the fourth quarter, we continued to execute on a capital allocation strategy that is designed to deliver both near and long-term shareholder value. For the full fiscal year, we returned $364 million to shareholders through dividends and share repurchases surpassing our goal of $350 million. Share repurchases amounting to $250 million were executed at an average price approximately $47 per share.
I am pleased to announce that our Board of Directors last week approved a $400 million increase in the company’s share repurchase authorization which takes our total remaining capacity to $658 million.
This increase authorization will provide us additional capacity to opportunistically take advantage of business and market conditions. Today, we are also announcing that the company has authorized a regular dividend of $0.23 per share payable on June 28 to stockholders of record on June 14th.
Turning to our outlook for the year, please move to Slide 9. Booz Allen is carrying momentum into the new fiscal year and as Horacio said, we intend to come out of the gates fast and build on what was an exceptional fiscal year.
Given the uncertainty around government funding patterns beyond September 30th, we believe that planning for a relatively more aggressive first half and conservative second half is prudent.
At the top line, we expect to continue our industry leading performance with organic revenue again growing between 6% to 9% in fiscal year 2020. Growth in revenue, excluding billable expenses, is expected to be in the same range.
To support this growth, we are targeting another year of 5% headcount growth even as the labor market remains tight. We expect to sustain full year adjusted EBITDA margin in the low 10s, on par with fiscal year 2019 which was our best margin performance since our IPO.
At the bottom line, we again expect a significant increase with full year adjusted diluted earnings per share between $2.90 and $3.05. This guidance is based on an assumed 137 million to 141 million weighted average shares outstanding and a tax rate in the range of 23% to 25%.
We expect to generate $400 million to $450 million in operating cash which is in line with last year if you exclude the non-recurring tax-related items I mentioned previously. And finally, for fiscal year 2020, we are forecasting CapEx of $120 million as we continue to invest in facilities, infrastructure and technologies. This includes new, secure and retrofitted space and technology to support new business lines, continued growth outside the Washington metro area and an increasingly technical workforce.
Turning to the goals in our investment thesis, here are our expectations through fiscal year 2021. We anticipate continued ADEPS growth beyond this fiscal year to $3.30 per share by the end of fiscal year 2021. This would represent ADEPS growth of 66% over the three-year period.
As we said a year ago, we have several levers we can pull to achieve this bottom line result, including revenue growth, margin expansion and capital deployment. Our goal of 6% to 9% annual revenue growth remains unchanged. We will continue to invest in our business and believe that EBITDA margins in the low 10s are sustainable.
And on capital deployment, we are reaffirming our intent to return at least $1.4 billion in capital over the three-year period, which represents a major component of our value proposition to shareholders. Further, I’ll note that we continue to believe that quarterly dividends equating to approximately 2% yield provide meaningful value to shareholders.
In closing, we are extremely pleased with our fiscal year 2019 performance. Booz Allen is on the right path. We are delivering exceptional financial results. We have built up sustainable momentum in the business and our people are more engaged and focused on our clients’ missions than ever before. The entire management team is excited about the year to come and we continue on our path of achieving the goals of our investment thesis.
With that, Nick, let’s open the lines for questions."
Nick Veasey,0,"Great. Brian, please open the lines."
Operator,1,"Thank you, sir. [Operator Instructions]. Our first question will come from the line of Carter Copeland with Melius Research. Your line is now open."
Carter Copeland,1,"Hi. Good morning, gentlemen. Hope you had a good holiday?"
Horacio Rozanski,1,Good morning. You too.
