speaker,q&a,content
Company Participants,0,"Allison Malkin - Investor Relations
Sharon Price John - Chief Executive Officer
Voin Todorovic - Chief Financial Officer"
Conference Call Participants,0,"Steph Wissink - Jefferies
Eric Beder - SCC Research"
Operator,0,"Greetings and welcome to the Build-A-Bear Workshop First Quarter 2019 Results Conference Call. At this time, all participants are in a listen-only mode. A question-and-answer session will follow the formal presentation. [Operator Instructions] As a reminder, this conference is being recorded.
I would now like to turn the conference over to your host, Ms. Allison Malkin with ICR. Thank you. You may begin."
Allison Malkin,0,"Good morning. Thank you for joining us. With me today are Sharon Price John, CEO; and Voin Todorovic, CFO. For today’s call, Sharon will begin with a discussion of our 2019 first quarter performance and review the progress made on our strategy. After, Voin will review the financials share our guidance. We will then open the call to take your questions. We ask that you limit your questions to one question and one follow-up. This way, we can get to everyone’s questions during this one hour call. Feel free to re-queue if you have further questions. Members of the media who maybe on our call today should contact us after this conference call with your questions.
Please note the call is being recorded and broadcast live via the Internet. The earnings release is available on the Investor Relations portion of our corporate website. A replay of both our call and webcast will be available later today on the IR site.
Before I turn the call over to management, I will remind everyone that forward-looking statements are inherently subject to risks and uncertainties. Actual results could differ materially from those currently anticipated due to a number of factors, including those set forth in the Risk Factors section in the Company’s Annual Report on Form 10-K. We undertake no obligation to revise any forward-looking statements.
And now, I would like to turn the call over to Sharon."
Sharon Price John,0,"Thank you, Allison, and good morning everyone. We are pleased to announce a solid start to our fiscal year, as total revenues increased $1.2 million to $84.4 million. Retail gross margin expanded over 90 basis points and SG&A as a percent of total revenues improved by 130 basis points, all of which contributed to the first quarter pre-tax income of $2.4 million, which is a $1.8 million increase compared to the same period in the prior fiscal year.
We also maintain a strong balance sheet ending the quarter with over $20 million in cash and no debt. As noted in this morning's press release, we are reiterating our previously stated annual guidance for total revenues and pre-tax income. We feel that this quarter's results reflect the impact of a successful execution of our stated objectives for the year, combined with our ongoing efforts to create new ways to leverage the power of the Build-A-Bear brand.
I am particularly pleased with the team's focus on delivering these results following a 2018 full of bumps and transition caused by much of what we believe to be unusual impacts, such as Brexit and the Toys ""R"" Us closure. On today's call, I will discuss the drivers of our revenue growth and highlight the actions we are taking to build upon this promising trend through our efforts to diversify sales and income streams beyond the four walls of traditional mall retail stores as well as other key initiative.
From a top-line perspective, the overall growth in total revenues is due to a significant increase in commercial revenue, which includes wholesale and outbound licensing fee, reflecting some of the work that has been done to evolve the business model beyond traditional retail. Our consolidated net retail sales were positive in North America. This momentum was offset by Europe, which posted a double-digit decline. This decrease is largely attributed to continue challenges in the UK associated with Brexit and the implementation as a new privacy laws.
Accordingly, the North American region generated a profit for the quarter which was partially offset by the loss in Europe. On a positive note in the UK as a part of our focused effort to mitigate some of the issues in the market, we recently implemented a new technology-based Bonus Club enrollment process that is compliant with the new European privacy regulation. Since then, we have seen significant growth in the option rates of Bonus Club members, which we believe will benefit for business on a go forward basis.
We also saw sales from our e-commerce channel continue to gain momentum posting a strong double-digit growth rate continuing our trends to double-digit growth every quarter since the new site launched in October of 2017. Our buildabear.com strategy to expand our consumer base and increase the levels of gift givers and fan-driven affinity purchases is paying off as we leverage our improved digital capabilities. These are large addressable markets that tend to prefer to shop online.
We are engaging through unique merchandising efforts and promotional events by primarily highlighting gifting occasions and licensed product. It is important to note that licensed products were one of the key contributors to the overall growth in revenue in the quarter as well. This expected benefit was a result of a slight of family-centric movies that premiered throughout the period, highlights included. An immediate positive response to the -- in the quarter to the products associated with the How to Train Your Dragon movie franchise which significantly contributed to our sales throughout the period.
Although, there were moments when we were not in perfect inventory situations, for the most part, we were able to leverage our omni-channel capabilities to support our brick-and-mortar retail store sales with an order in-store shift-to-home option. This was followed by the positive impact of the record setting Avengers: Endgame that drove sales of our products associated with the film, which were further enhanced by Marvel's generous and welcome to nod to Build-A-Bear in the movie first 10 minutes when Tony Stark commented to Rocket the raccoon directly, I thought you were Build-A-Bear. This there's just one more example of Build-A-Bear's top culture presence and power.
And later in the quarter, the Pokemon movie, Detective Pikachu brought renewed interest to this product line, which has been a consistent top performer for our business. This property is a favorite of our fan-based affinity segment, and they have responded positively, resulting in an average transaction value of over $70 more than 50% higher than our overall average.
Throughout the year, we've planned a wide array of promotions and product launches to take advantage of several highly anticipated major films, including the recent release the Aladdin, and the upcoming releases of The Secret Life of Pets 2, Toy Story 4, The Lion King, Frozen 2, and Star Wars Episode 9.
As we've shared it is important to note that a strong family-centric show lineup tend to positively impact our business in multiple ways. First, traffic tends to increase in our stores as millions of dollars in movie marketing stirs interest to give families and children a reason to go to the theater, which is often located in our near mall.
In fact for the quarter traffic to Build-A-Bear stores outpaced national trends, with the highest positive impact noted at times when the movie launched. With 80% of Build-A-Bear workshops located within two miles of a movie theater, it would be reasonable to expect this trend to continue, if films launched throughout the year.
Second, many of these popular movie properties tend to broaden our purchaser profile to include affinity consumers who are over the age of 30 and as noted tend to prefer to shop online. Our goal was to launch product and marketing efforts to strategically leverage this fan based audience if each film rolled out.
As such, we saw our e-commerce business gain momentum and an increasing rate versus prior quarters with strong sales of movie related products. Third, we've seeing that movie properties often contribute the higher conversion rates both in-store and online.
This hypothesis held through in the first quarter as brick and mortar and e-commerce conversion rate improves across both North America and Europe. We believe this benefit as a result of more consumers tending to shop with a mission to buy a beloved character, perhaps having just seen the movie or shopping in advance with the intent to take the character to the movie with them, as is often suggested in our marketing communications.
And forth, select movie properties tend to generate more spin per transaction, with our first quarter results remaining consistent with past trends. In fact, our average transaction value in purchases that included movie licensed products was 20% higher than the average transactions without licensed products in the period. This higher ticket is driven by a combination of premium retail pricing that character properties generally command and the tendency for the consumer to include incremental items, such as your township or the music from the film or the voice of the character.
In addition to the movie property benefit, we also had a successful Valentine's Day, which is historically our second largest holiday time period after Christmas. In addition to our typical in-store family approach, this year, we increase our efforts on the gifting business. To reach beyond our core consumers recognizing that our brand is beloved on a multi generational level, we developed a new product line for Valentine's Day to took on a more romantic grownup voice to encourage gift givers to think outside the chocolate box and give a personalized furry friend or someone they love.
We achieved some impressive metrics with our break frame Build-A-Bear after dark email, which had high engagement with an open and click through rate rivaling those of key movie launch messaging. We kept to move the adult gifting momentum going, by launching an April Fools activation, teasing young adults who enroll in the new Build-A-Bay dating app designed for people who love Build-A-Bear.
At the reveal of the April Fools joke, guests were bounced to an e-commerce site driving incremental sales. Our April Fools campaign ultimately hit many of the best April Fools pranks list helping it delivering nearly 250 million media impressions, likely driving top of mind awareness with this emerging consumer segments.
Next, I would like to update you on some longer term key strategic priorities. Our primary broader strategic objective is grounded in the recognition of the ongoing and significant shift in the retail industry. As such, we have been evolving our experiential retail model to include one the use of lower capital flexible formats like concourse shop, which are designed to help navigate the market uncertainty and which could be used as a tool to drive favorable lease discussions, particularly in traditional malls.
Two, the use of a kit of parts fixture solution, designed to be able to open stores in non-traditional retail locations then increase the overall accessibility to Build-A-Bear beyond traditional mall; and three, an enhanced offering of retail and branding options designed to take advantage of the unique nature of tourist locations. On the traditional mall front although our capital options like concourse shop had been beneficial in the negotiation of favorable rent deals often on a percent basis and/or securing short term lease extension. Negotiating on a case by case basis has resulted in Build-A-Bear now having over 60% of leases coming up for renewal in the next two to three years, providing us with tremendous brick-and-mortar retail flexibility and leverage.
Beyond traditional malls, our goal has been to broaden consumer accessibility to our brand. I'm pleased to let you know that we are actively working with Walmart to add up to 25 locations this year on top of the six initial private stores that opened last fall, which is intended to expand the reach of Build-A-Bear to a broader array of consumers. Additionally, we believe the combination of our unique retail experience with the power and presence of the largest retailer in the world at a time when both the retail and touring industries continue to recalibrate and redefine themselves present a very exciting opportunity.
We're also happy to share thus far the shoppers of the Walmart locations are largely incremental to the Build-A-Bear consumer base, as the data indicates that approximately 60% of guests that purchase were not previously enrolled in our Bonus Club program. And finally on the tourist location front, we continue to have prioritized tourist areas as a target for Build-A-Bear workshop locations. Given that our stories tend to over index on nearly every key metric in those environments.
Some recent examples include the continued success at FAO Schwarz in New York City that opened last holiday as well as the promise results in a new location near the London Eye. In this vein last fall, some initial locations open intellects Great Wolf large sites, the largest operator family focused indoor water park resorts in North America. Based on the positive initial results, Great Wolf is on track to expand its 17 locations this year. Off note this is a wholesale relationship which is recorded in our commercial revenue.
As a reminder in our wholesale model, as with our successful Carnival Cruise Lines relationship, the partner purchases inventory from Build-A-Bear for retail in addition to furnishing and operating a location. Our second overarching priority has been to invest in infrastructure and talent to more effectively take advantage of the growth in the digital economy. We believe, we are gaining momentum in our digital transformation, as exemplified by our e-commerce growth. As we leverage enhanced capabilities, such as AI merchandise, recommendations, CRM improvements, advanced digital marketing programs, and enhanced SEO efforts.
As we have refined and strengthen our capabilities, we are seeing our investors contribute to stronger site traffic, higher conversion rates, increased order value, as well as engagement with guests prior to store visits and improve Bonus Club enrollment. We also expect to launch an upgraded mobile first consumer experience introduce new site features allowing us to further penetrate the gifting states both online and through omni-channel option for stores and simplify our online checkout process as we lead up to the key holiday season later in the year.
Third, we have prioritized the acquisition, engagement and increased lifetime value of consumers, primarily to the optimization of our Bonus Club. We have continued to benefit from the high Bonus Club enrollment rates resulting from our Count Your Candles birthday program, which began with the Pay Your Age Day events last July. This new program which requires a Bonus Club membership, allow children to pay their age during their birthday month for our Birthday Treat Bear anytime of the year.
In fact, we have helped celebrate over 0.5 million birthdays with this new program. And this bear has consistently been our top selling furry friend in units since it launched since the program began and impressive 50% of the Birthday Treat transactions have originated from new Bonus Club account. If these accounts continue to increase, we expect to expand our focus to improve retention with the goal to drive incremental visits and expand lifetime value from the broader membership base.
And our final slated the priority is to monetize the awareness and trust that consumers have for our brand into incremental revenue streams including expanding our global footprint, driving our outbound brand licensing and building our presence and entertainment. Regarding our ongoing efforts to expand our global footprint, our franchisees in India and China continue to move their business forward and we expect a new, our new franchise in Chile to begin to open stores later this year.
And while the restructuring of the Company and related business disruptions by our Australian franchise negatively impacted this quarter's international results, they have emerged from the reorganization process. On the branded outbound licensing front, we now have programs covering over 25 product categories ranging from slippers to electronics, including the recent addition of a new -- excuse me, subscription box partner with culture fly, and a new bedding partner in the UK similar to our bedding deal in the U.S.
We are also looking forward to extending our brand presence at the upcoming licensing show in Las Vegas, and on the entertainment front Build-A-Bear radio continues to engage hundreds of thousands of listeners each week, which we believe give us an efficient and sustainable marketing platform to communicate store events, product launches, while deepening brand affinity. Separately, we are pleased to note that we are in the late stages of finalizing a number of entertainment agreements, which I expect to share with you in the coming month.
In summary, the first quarter marked a solid start to what we continue to expect will be a productive year for Build-A-Bear. We believe that much of the infrastructure is in place to support the comprehensive strategies we have outlined for our company to achieve long-term profitable growth via the broad monetization of over 20 years of earned brand equity.
After more than five years of preparation and investment, and then one of the most disruptive times in retail history, our goal was to continue to maintain the same financial discipline that has allowed us to stay debt free and cash flow positive while simultaneously pivoting the business model to diversify locations, consumers and revenue streams and our ongoing effort to deliver long-term value for our stakeholders.
Looking forward, the promising movies slate in addition to our hard fought least favorability, combined with strategic retail expansion and our enhanced e-commerce efforts should offset some of the global uncertainty. With first quarters includes results in our current favorable second quarter sales trends, we remain energized about the future this remarkable brand and look forward to sharing our progress throughout the remainder of 2019.
Now, I'd like to turn the call over to Voin to review our financials in more detail."
Voin Todorovic,0,"Thanks, Sharon, and good morning everyone. As previously mentioned, we believe first quarter performance has us on track to achieve the annual guidance we provided on our year-end call in March.
We generated top line growth and progress on the initiatives that are assisting us to capitalize on the part of Build-A-Bear brand. While the UK economy remained a headwind to our performance, other revenue inclusive of commercial licensing and franchising income grew 88% for $3.3 million.
Notably, we improved our net retail sales trend versus fourth quarter in both North America and Europe with North America being positive. This included our sixth consecutive quarter of double-digits e-commerce growth. We maintain a solid balance sheet and remain focused on achieving our objective of long-term profitable growth.
Now, I will review the first quarter financials in more detail. Total revenues were $84.4 million and increase of 1.4% compared to the first quarter of fiscal 2018. Retail gross margin expanded to 45.2%, increasing more than 90 basis points mainly driven by merchandise margin expansion and lower occupancy costs.
We continue to control costs in number of ways to improve our retail gross margin, including managing our real estate portfolio to lower average store occupancy expense and reducing our supply chain costs.
SG&A decreased $500,000 to $35.8 million or 42.4% of total revenues, as we continue to maintain disciplined expense management and remained focused on our controllable spend. GAAP pre-tax income was $2.4 million compared to GAAP pre-tax income of $600,000 in the prior year.
Income tax expense was $1.2 million with an effective tax rate of 50.3% compared to an effective tax rate of 45.2% in the fiscal 2018 first quarter. The income tax expense in the first quarter of fiscal 2019 was higher than the statutory rate primarily because no tax benefit was recorded on the losses in certain foreign jurisdictions. Net income was $1.2 million or $0.08 per diluted share, compared to $0.02 per diluted share in the fiscal 2018 first quarter.
Turning to the balance sheet, at quarter end, cash and cash equivalents were $20.2 million, up $1.4 million compared to the end of the first quarter last year, and there were no borrowings under our revolving credit facility. We ended the quarter with approximately $56 million of consolidated inventories, representing a $6.6 million increase compared to the prior year. The inventory increase is driven by timing of product launches supporting our second quarter.
Opportunistically, we are increasing investment in our key license movie product inventory and frontloading our buys to take advantage of the typical spike around movie release dates. This strategy also increases our flexibility to meet ongoing demand, as many of these properties are expected to have prolonged selling windows consistent with historical trends.
Capital expenditures totaled $2.7 million for the first quarter of fiscal 2019. And for the full year, capital expenditures are now estimated to be in the range of $13 million to $15 million, reflecting us to 25 additional Walmart locations. We expect the capital investment for these stores to approximate $150,000 per location.
With regards to revenue and pre-tax income on a GAAP basis, we are reiterating the previously shared guidance. We continue to expect total revenues for the year to increase in the range of mid-to-high single digits and pre-tax income to be slightly positive, reflecting increase sales as well as improved gross profit margins.
As noted in this morning's press release, this guidance assumes that there are no material changes to current tariff rates or policies. If the potential four tranche of tariffs is put in place covering all products of China shipped to the U.S., we would likely see an impact later in the year. We are continuing to analyze the situation and have taken some actions to mitigate the anticipated increase in tariffs, which unfortunately includes retail price increases.
Finally, our full year guidance includes an improvement in second quarter results versus last year's $2.5 million pretax loss.
This concludes our prepared remarks and we will now turn the call back over to the operator for questions. Operator."
Operator,1,"Thank you. At this time, we will be conducting a question-and-answer session. [Operator Instructions] Our first question comes from a line of Steph Wissink with Jefferies. Please proceed with your question."
Steph Wissink,1,"Thanks. Good morning, everyone. Thank you, Sharon and Voin for all the information. Just have a few maybe more housekeeping oriented questions first. The first is, Voin, if you can just update us on the sites by format. I want to make sure we're managing the model correctly. So, the mall-based concourse space and then if you're willing to give us the percentage that you consider tourists given that was one of the initiatives you talked about?"
Voin Todorovic,1,"Sure. So from the store count perspective, we have, we ended the quarter with 366 location. We have about 37% of our locations in the discovery format. We have about 30 -- 34 concourse locations open at the end of the quarter. We still continue to work on modifying and creating flexibility with our real estate portfolio. And concourses represent a big part of that plan, as they give us flexibility in our negotiations with landlords either to change this format or stay in line.
As we talked about the tourist locations, we do have probably from the store count, like maybe it's a smaller percentage, but from the volume, it's a bigger, so probably some place 10% to 20% of our sales are coming from the tourist locations that are coming in variety of different formats, from traditional stores to shopping shops or concourse locations."
Steph Wissink,1,"And then just on the concourse locations, I want to make sure we have the arithmetic correctly. So even though it's considered a site or location of store, it does do lower volume. So if you convert a four wall workshop into a concourse, you do have a revenue headwind. Are we thinking about that correctly even though the margins actually can improve?"
