speaker,q&a,content
Archie Bethel,0,"Good morning. Thank you for joining us. I think it’s fair to say it’s been a challenging six months. The political environment and the economic environment has been pretty volatile and, at times, unpredictable. But we've kept our focus on delivering for our customers and on strengthening our business.
The half year results we're reporting today clearly demonstrate that our focus is paying off, but I'm frustrated that we're not achieving the shareholder returns that our underlying financial results would normally deliver. So we are taking very specific actions to strengthen the business and to make us more attractive to a wider pool of investors.
Overall, we've had a steady first half to the year. We've delivered underlying results right in line with the forecast we gave in May. But we do face a couple of headwinds, and I'd like to tackle them right up front.
As I said a minute ago, we've had a difficult few months. We were attacked by an anonymous short researcher who issued a report attacking Babcock by making false accusations and claims. The motive behind the attacks was clearly to short our stock, and sadly, it worked.
The most damaging false accusation was that our relationship with the UK Government and MoD is bad, and that is simply not true.
Babcock has been a key supplier to Her Majesty's Government and the MoD for over forty years; in fact we've been supplying products and services to the MoD for over 100 years, and there are not too many companies who can claim that. Today, we are currently delivering 128 contracts with a combined value of over £25 billion across government. Talking just of Defence, we've been the MoD's second biggest supplier for the last ten years, and we are their largest provider of engineering support services.
This is highly complex and challenging work, and the MoD quite rightly demands the highest levels of performance, and we always strive to meet their expectations, and most of the time we achieve just that.
And sometimes issues arise, as has been the case over these many years, and in these instances we work together harder than ever to resolve the issues, because none of us has the full answer on our own.
That's why we participate in both the Cabinet Office's Strategic Partner Programme, and the MoD's Strategic Partner Program. And earlier this week all three parties confirmed their cooperation in signing up to a Joint Way of Working Charter that will progressively develop our relationship to the next level. And we're the first of the defence companies to progress through that program.
So I would characterize the relationship as being much as it has always been: professional, robust, demanding, supportive, frank, open, honest and enduring. Does that describe and constitute a good and strong business relationship? Well I think it does.
The second area I want to address right up front is the exceptional charge we are taking against our Oil & Gas Helicopter business. In 2016, following a fatal crash in Norway involving one of our competitors and an Airbus EC225 helicopter. As a result, Airbus EC225 helicopters were grounded worldwide whilst the cause of the crash was investigated. In July 2017 the Norwegian and UK Air safety authorities lifted the ban, but in both the UK and Norway oil companies decided that they would no longer accept the use of EC225’s.
As we have reported in the past, Babcock has 13 Airbus EC225 in our offshore fleet of 50 heavy lift helicopters. These grounded assets are obviously a significant drag on our offshore business. In the last two years grounding these aircraft has pulled operating margins in this area of our business down to low single digit. 
So we have taken the decision to re-value these assets to a level where we will be able to either sell them in the used aircraft market or re-purpose them for alternative uses. In fact, the picture here shows the first EC225 that we have successfully re-engineered for firefighting duty in Spain.
Today, the oil price has recovered significantly from the $30 per barrel low point of a few years ago, but there is still volatility in that price, and market activity, especially in the up-stream sector, remains subdued, although over the summer we did experience our first modest growth in revenues.
Our Aberdeen based business has consistently performed well throughout this difficult period. They’ve kept firmly focused on safety and on delivering for our customers. Their determination and commitment has paid off, and unlike our main competitors, we have avoided moving into a loss making situation.
The impact of the impairment and provisions will be to improve the profitability of this part of the business and put us in a strong position to benefit from increasing activity as the market recovers.
The third area I’d like to update you on is our Magnox Decommissioning contract. We have updated you on this a number of times as we work towards the hand back point on 31st August
2019.
In March 2017 the Government announced its intention to terminate the Cavendish Fluor Partnership contract from August 2019. At the time, the Government emphasized that this was not a negative reflection on our performance, and we were awarded a contract to run the project to an agreed end state by August 2019, and we are committed to achieving a smooth transition back to the NDA.
There’s still an extensive scope of work to be completed on the Magnox estate after the contract end date next year, and the NDA has confirmed that it intends to take the contract back in-house. They will then re-contract for the work on a package by package basis.
We are still really confident that Babcock Cavendish will be successful in winning future Magnox work. But, based on our current knowledge of where the NDA are in terms of the overall process, we believe there is now likely to be a time gap between the end of the August termination date and when the NDA will be ready to come back to the market with the packages of work.
For planning purposes, our assumption is that when work ends in August 2019 there will be no follow up work on Magnox for a 2 year period. 
Now that might not be a correct assumption, but based on our best judgment we think that this is the prudent position to take, and from the beginning of next year we will start to see new opportunities develop in a pipeline for Magnox down later. The stepdown in revenue in 2019/20 is now expected to be around £250 million. Our previous guidance was £100 million, with a stepdown in operating profit of around £20 million, against a previous guidance of £7 million.
So let me now move on to some operating highlights for the first half of the year. Across all four sectors, we’ve had a very busy first half to the year. In Marine, we’ve had a full surface warship and submarine programme in the UK, and we also made good progress in our international markets. In Canada we were awarded a CAD 384 million three year extension to our submarine support contract, and in Australia our frigate support contract continued to grow and perform well.
We delivered our first batch of submarine missile launch tube assemblies to the United States as part of the Dreadnought/Columbia common missile compartment. And the Babcock, Bernard Schulte joint venture completed its first LNG Gas Supply Vessel, which will be deployed in the Baltic Sea by the end of the year.
In our Land Sector we prepared 490 vehicles for the British Army as they deployed to Oman for one of the biggest training exercises in recent years. And we were also awarded a £50 million two year extension to our Metropolitan Police vehicle support contract. We mobilised a major training contract at Hinckley Point C for EDF as well.
In the Aviation Sector we achieved full mobilisation on our Hades Project. That project covers
17 Air bases. And we also mobilised on three new air ambulance contracts in Sweden, Norway
and Finland.
In Spain, we were awarded a five year contract from the Region of Valencia for firefighting, emergency coordination and medical services. And in France our FOMEDEC pilot training contract is progressing to plan. Seventeen aircraft have been manufactured, and all the simulators are now up and running.
In Cavendish Nuclear, we made good steady progress at Dounreay, where we continue to implement the Government’s site restoration strategy. And across the Magnox Fleet we continue to make good progress, and are committed to achieving a smooth transition of this contract back to NDA in August 2019. And just last month we opened a new office in Japan to support our ongoing work at both Tokai and Fukishima, and because we’re convinced that opportunities there will continue to develop
During the first half of the year we continued to sharpen our focus around our three key Strategic Markets: Defence, Emergency Services and Civil Nuclear. I’m particularly pleased to report that our International business continues to grow. It is now becoming an increasingly important element in our overall business strategy, with around 30% of our revenue now coming from outside of our UK markets.
In the last few weeks we have made further important breakthroughs in our International Strategy. We are now very close to award on new Marine and Aviation opportunities worth around £200 million. And in both cases it’s a combination of domain knowledge and expertise provided from our Sector teams, combined with our established in-country operations that provide us with the platforms to win this new business. It’s also essential that we remain competitive. So we are innovative, we continually improve our productivity and we improve the quality of our services to our customers. And it’s also vital that at the same time we continue to improve our safety performance across the Group. It’s also crucial for us to focus on our core business where we see future growth and investment opportunities. At the same time, we’ve got to address small areas of the business that are not part of our core activities. During the first half of the year we completed exits from our Offshore Renewable business at Rosyth, our small North American construction support business, and our Powerlines business in South Africa, and we sold our Media Services business. We’ve also reduced our production capacity, mainly in the Marine area. There we will exit the Appledore facility in North Devon, and at Rosyth, we have been right sizing the workforce and facilities as the Aircraft Carrier project enters its final stages with HMS Prince of Wales nearing completion.
We’ve taken these actions I’m talking about to retain our competitive position, and to protect and improve our overall financial performance. The order book remains strong at £18 billion. In the first half of the year we added £2.6 billion of new orders. The bidding pipeline increased by £1 billion to £14 billion during the period, with £3.7 billion of new opportunities being added. And as you can see from this slide, 93% of our order book and 87% of our pipeline opportunities are in our three key markets. Our UK Government and MoD work also increased, and we now have, as I mentioned before, 128 contracts running across the Government. The majority of those contracts are with the MoD, and during the period we added another £650 million to our order book. So I hope that gives you an idea of where we are at the moment and a reasonable picture of what we are doing to continue building on the solid performance we’ve delivered during the first half of the year. 
So I’d now like to hand over to Franco who will take you through some of the detail behind the financial results."
Franco Martinelli,0,"Good morning. This morning I’d like to focus on my priorities in driving shareholder value in four ways; first, sustaining margins; second, generating cash; third, de-gearing; and finally, fourth, improving returns. I’ll also take a minute to explain why joint ventures are really important and why they will be a source of future cash. I'm going to begin with a summary of the key figures for the first half of the year. Our underlying organic revenue was down by 1% at constant exchange rates. Underlying profit has grown by 2.4% at constant exchange rates.
As a result of the actions we're taking to further strengthen the Group we have recognized £120 million of exceptional charges of which £80 million is oil and gas. That's £100 million after tax. The total net cash cost is expected to be around £10 million over the next few years. I will come back to these numbers in more detail shortly.
As you know, cash generation is an important part of our model; and I'm pleased to say that we generated free cash flow of £140 million. We also achieved our target of delivering pre-capital expenditure cash conversion of over 100% and cash conversion works out at over 80% post capital expenditure.
And we continue to reduce our gearing as planned with net debt around £160 million lower than it was at this time last year.
Finally our earnings per share is up 3.1% and we're increasing our interim dividend by 3.6%. That dividend increase shows our continuing confidence in the future."
"As you can see, underlying revenues fell slightly while underlying profits increased. I'll take you through those movements on the next two slides. Our underlying results excludes £120 million of exceptional charges I mentioned earlier.",0,"The exits from our lower margin businesses has led to a year-on-year improvement in underlying margins to 10.9%. Reduced interest charges and a stable tax rate have resulted in earnings per share growth of 3.1%.
So I'd like to be clear about our revenue movements. As you can see from the revenue bridge. There is a £17 million FX impact, and a £15m effect of disposals. Once rebased this gives underlying organic revenue growth down 1.1%.
Then we had £42 million reduction relating to exits from low margin businesses. So taking that into account our continuing business was up 0.5%.
You can see from this next bridge the effect of FX and disposals. The increase in operating profit was driven by a strong performance in Land and a good performance in both Aviation and Nuclear offset by Marine. I will go into more details when I come to look at each sector.
Again, for clarity, we have provided a reconciliation between underlying results and statutory results. The main difference between the two are of course the exceptional costs of £120 million which results from those actions we’ve taken to sharpen our strategic focus and our increased share of joint venture profits.
So looking at the exceptional items in more detail. We’ve broken them down into 3 areas: Oil
& Gas, Capacity Reduction & Restructuring, and Exits & Disposals.
Firstly in reshaping our Oil & Gas business we have taken an asset impairment charge of £38m. That charge reduces our oil and gas assets, mostly the EC225 helicopters, to their market value. We have also recognized an onerous lease provision of £42 million against our leased helicopters. That additional £42 million reflects the cost of these commitments versus current market rates.
Secondly, we have made significant changes to capacity across the Group, including the exit from Appledore shipyard, rightsizing capacity in our other Marine facilities, reducing capacity in Rail ahead of our bid for the new CP6 contracts, and the restructuring of our business relating to Magnox. All together these reductions in excessive capacity have resulted in a charge of £40 million.
And lastly, we have exited a number of low margin businesses. They include: Renewables, North American mining and construction support and Powerlines in South Africa. These costs of these exits have been offset by the proceeds from the sale of our media services business.
So, net of tax the exceptional charge is £100 million. But our total expected net cash cost is only around £10 million. This has been reduced through expected sales of helicopters of around £40 million.
Revenue in Marine was lower in the first half. That reflects the exit of our renewables business last year and the step down in QEC work of £47 million. But excluding these factors the continuing business grew by 2%.
Margins remained stable. A minor change in business mix offset the loss of low margin revenue in both QEC and renewables. We expect revenue for FY19 to be broadly stable year-on-year and that we will maintain a stable margin.
In financial year 20, we expect a step down of 75 million in Marine in relation to the carrier programme. That step down will have a minimal impact on operating profit.
Revenue in Land was down 14.6% with a 33 million impact from business exits and disposals. And they had a £10 million impact from FX movements. As we talked about earlier in the year there was reduced procurement activity in defense and less rail electrification work. The Land Division’s operating profit increased significantly. That improvement came from South Africa in its equipment business, improved contract performance, cost reduction and from better than expected savings in our Holdfast RSME JV. We expect Holdfast RSME JV profits will normalize next year. The increased profits in South Africa came from our buoyant equipment business
For financial year, exits and disposals this year will contribute to a year-on-year revenue 10% lower, but with a strengthening margin. The strong revenue growth in Aviation was largely driven by the delivery of aircraft and simulators on our French FOMEDEC contract. We expect Emergency Services and UK Military Air growth to be second half weighted. Operating profit increased in Aviation but margin declined due to new contracts being at an early stage. As many of you will recall, we typically take lower margins during the initial phase of our contracts.
We expect strong year-on-year revenue growth for financial year 19, albeit with the pace of growth slowing somewhat in the second half and with a softening margin year-on-year. Our Nuclear business delivered good revenue and operating profit growth in the first half. That
solid performance was driven by our Nuclear Services business and increased activity on our
Magnox JV.
Our outlook for financial year 19, is for year-on-year flat revenue with a stable margin. As you heard from Archie earlier our Magnox contract is scheduled to end in August 2019. However, we now think that the NDA procurement strategy will be insufficiently advanced by then for us to assume any further revenue in the short term. So we have changed our modeling assumptions.
Therefore, the financial year 20, Magnox step-down is estimated to have roughly a 250 million impact to revenue and about a 20 million impact to operating profit, compared to previous guidance of 100 million of revenue and 7 million of operating profit.
In financial year ‘21, we expect a Magnox step-down in revenue of 100 million and a corresponding 7 million impact to operating profit. In the medium term we still see Magnox as a significant opportunity. FOMADEC had a 50 million working capital outflow in financial year ‘18 which fully unwinds in financial year ‘19. Slightly larger benefit in the first half, offsetting the guided phasing of working capital. The FOMADEC contract is now cash positive. Full year cash flows are on track as previously guided. Aircraft payments drive CapEx in the first half. But, these aircraft payments will reverse in the second half, as we convert them to operating leases. And, as I said before, we achieved our target of delivering pre-cash conversion of over 100% and post-cash conversion over 80% and we are right on track for the full year cash flows. Free cash flow before pensions was 140 million. That 140 million was driven by -- mainly by improved working capital performance and growing JV dividends. Pension payments in excess of income statement have increased by 9 million which is partly phasing, and I will talk about pensions later.
The net cash cost of exceptionals was £5 million in the first half. Over the last 12 months we have reduced net debt by £160 million. That cuts our net debt ratio -- net debt to EBITDA ratio by 0.3 times. We continue to expect net debt to reduce to around 1.4 times to EBITDA by the end of the financial year, and 1.1 times for financial year ’20, excluding the impact of IFRS 16.
Our net debt of 1.1 billion includes 160 million of finance lease debtors related to FOMEDEC. All of that 160 million will convert into cash in the second half. As of today we have already received nearly 100 million of cash. As always, net debt excludes non-recourse JV debt, which is currently £345 million, mainly held in the AirTanker and Ascent JVs.
We have assessed the impact of IFRS 16 which will impact FY20, and it will be a 0.4 increase to the net debt to EBITDA ratio. This additional debt is unchanged from previous guidance.
You'll recognize this slide, it sets out our capital allocation policies which haven't changed.
Firstly, we will invest in the business to drive growth. We are highly disciplined in applying our investment criteria to support return on invested capital. Any investment we make has got to meet these hurdles or it won't happen.
Secondly, we will de-gear the balance sheet. That gives us the flexibility to make sure we are well-positioned whatever the environment. And we think de-gearing the balance sheet is particularly important during this period of economic and political uncertainty. It also safeguards our credit rating, and provides additional funding for our pension schemes.
Thirdly, we want to return capital to shareholders. We'll do that primarily through a sustainable dividend. Our ordinary dividend is growing, and our free cash flow gives us more than adequate cover for the dividends we're paying. As we continue to reduce debt we will have scope for additional returns.
Our IAS 19 position is now a surplus of £26 million, compared with last half year's deficit of £116 million. This improvement has largely been driven by discount rates, asset performance and our deficit contribution. Whilst it's good news, remember this is an accounting valuation, not a funding valuation.
To remind you, we have three main schemes. In the first half the Devonport scheme valuation was signed off, with no effect on the deficit but an increase in the cash service cost. Our Rosyth scheme is currently under discussion and is more challenging.
The increase in the cash service cost on top of the IAS 19 service cost, will be a cash drag of £5 million, but our cash service cost will in the future be partly offset by increased employee contributions and restructuring.
Finally, we expect to pay a contribution in excess of income statement of around £55 million for FY19.
As I mentioned earlier, our share of JV net debt is £345 million, with the majority in AirTanker and Ascent. This debt is all non-recourse. As you can see, our JVs have significant cash balances due to JV performance ahead of schedule, and that cash is held for scheduled debt repayments and dividends, which you will see on the next slide.
JVs are an important part of our underlying business. They represent 12% of our underlying revenue, and 21% of our underlying profit. They hold distributable reserves of about £140 million, and as the non-recourse debt in the JVs is paid down, they increasingly have more cash to pay out in dividends.
Higher profits in our JVs have resulted in an increase in dividends. We expect cash dividends of around £50 million for financial year '19, and £45 million for financial year '20. The cash gap between net profits and dividends, which particularly affects the asset JVs, has marginally improved year-on-year, but we expect a significant improvement in the coming years.
There is no overall change to Group guidance for FY19. We continue to expect low single digit organic revenue growth for the Group with margins stronger year-on-year. But, we have refreshed our expectations to reflect some of the changes to specific sectors. 
These are some modelling considerations for financial year '20. Firstly, on exits and disposals, we have to have a revenue impact of £40 million with a small profit impact. And on step downs, we expect the step down on QEC as we continue the program to have a revenue impact of £75 million, but at low margin.
We expect the stepdown on Magnox to have a revenue impact of £250 million, and an operating profit impact of £20 million as we continue to the end of the contract. This is more than our previous assumption of an impact of £100 million of revenue and £7 million of profit. This is to reflect an immature NDA procurement strategy solution by the end of August 2019.
Finally, I'd like to be absolutely clear about our priorities. The team's focus is on creating value for our shareholders and our customers, and so we have four priorities. Firstly, to sustain margins. We are on track for this year. In fact, we think that margins will be a little stronger. But we've got to maintain our sharp focus on costs for future years, and continue our disciplined bidding control and our success in avoiding loss making contracts.
Secondly, cash generation. Overall, our cash performance in the first half is in line, and we are on track to meet full year expectations. But we continue to pay close attention to cash. 
Our zero based budgeting model for working capital is beginning to realize benefits. Thirdly, de-gearing. We are on track to reduce our net debt to 1.4 times EBITDA by March 19. That reduction supports a growing dividend and gives us the flexibility we need. Last but not least, to improve returns for our shareholders and to benefit for our customers. I am determined to make absolutely sure that we will tell the Babcock story to the market in a clear and transparent way. 
I hope we're doing that today, and now I'll pass you back to Archie."
Archie Bethel,0,"Thank you very much for the numbers. There was a lot of numbers there, so I hope you were all listening very intently. I would like to spend the few minutes of the presentation just looking forward to the rest of this year and to the medium-term. As well as strengthening and consolidating our strong positions in the UK, as I've said before growing and developing our International business remains a very key priority. Our aim is to establish operations in our chosen territories for more than just one Babcock sector.
In Australia and New Zealand we are already operating across Marine, Land and Aviation sectors with the scale, capability and the management strength to operate locally with agility and flexibility. Canada is on a similar path, and in the very near future we will be operating across two of our four sectors there. And in France, Spain and Italy, we also see the potential for multi-sector operations over the next few years.
In the first half of the year we opened offices in South Korea and Japan. The office in Busan is focused on both naval equipment support, particularly round about the submarine programme there, and provision of Liquid Gas marine transportation systems. And in Japan our initial focus will be on nuclear decommissioning where we will be building on our growing work at Tokai and Fukishima.
Our business model is built around a small number of key business drivers. All four of our sector teams operate in highly complex and regulated environments and markets, and we have the deep expertise and skills that you've got to have to deliver these complex projects, and to deliver them at the highest possible standards. Our customers are government departments, regional governments, government agencies and large scale private sector companies. And our relationships with those sophisticated customers are deep and by their nature long-term
We own and operate large and unique marine support facilities, manufacturing and assembly plants, a fleet of over 500 fixed and rotary wing aircraft, large aviation maintenance, repair and overhaul support facilities, as well as complex facilities to build and support critical military vehicles. We own and operate extensive training facilities to support our customers' operational training requirements. Often that means incorporating cutting edge capabilities in the areas of simulation and artificial intelligence. And a large percentage of our contracts are long-term in nature, and that gives us a clear view of our forward revenues. These unique capabilities and assets give us real competitive edge -- advantage, and they create high barriers to entry for any potential new competitors. The defense markets in the countries where we choose to operate are growing steadily. Both in Canada and Australia they continue to increase their spend on defense and both countries are in the process of replacing and upgrading large parts of their naval fleets. Normal budget pressures mean that initiatives that reduce through-life cost of support are effective and attractive way of maximizing the funds available for new products, systems and platforms, and this is as true in Italy, France and Spain, as it is in the UK, Canada and Australia. In the UK, the government recently confirmed its commitment to spend 2% of GDP on defense, and they confirmed that the strategic programs identified in the 2018 Equipment Plan would continue to be fully supported.
Today emergency services are increasingly being delivered in a more joined up way by making greater use of technology for communications, monitoring, surveillance, and for improving response and reaction times. Babcock is one of the world’s leading providers of Aerial Emergency Services. And as I said a minute ago, we own and operate a large fleet of fixed wing and rotary wing aircraft operating across a dozen or so countries. Air ambulance medical services, aerial fire-fighting, coastal search and rescue, mountain rescue and civil order and surveillance are all critical activities, where helicopters and specialist fixed wing aircraft play a crucial role. The market for these services is growing steadily. Today, more-and-more countries are improving their emergency response by investing in aerial capabilities. For instance in Europe we are seeing a greater pooling of effort. During the summer we deployed a number of our aircraft from our Italian fire-fighting operation to Sweden and we also deployed aircraft to Greece to support fire-fighting there.
The UK has a large legacy of nuclear facilities that are being de-commissioned progressively on long-term programs. Sellafield, Dounreay and the Magnox Fleet are the largest programs currently running. And then, just a few years’ time the ageing fleet of AGR power stations will start coming offline. And they will be replaced by new build capacity. Hinkley Point C is well into its construction phase now and the Horizon Project at Wylfa continues to progress through its detailed planning phase. Support for nuclear facilities and projects creates a strong ongoing demand for nuclear engineering and associated skills and will continue to provide good growth opportunities for us here in the UK. And there are also opportunities emerging internationally. I have spoken previously about our office in Japan and we are investigating opportunities in Spain and Italy where nuclear stations are nearing the end of their design life.
So, what are our immediate priorities? Well we will be continuing to focus the business around our key three markets of defense, aerial emergency services and nuclear. We will continue to focus on margin quality by exiting low-margin businesses and strengthening margins through improving our contract performance. The UK remains our largest market and the UK government our largest customer. We will focus and invest on developing our key strategic partner relationship. As I have highlighted many times, international expansion is key to our future growth and as the results show we are making good steady progress.
But my own personal focus is firmly on providing better performance to our key customers and better returns to our shareholders and in my mind there is no conflict here. The better we perform for our customers, the more business we will win and the better opportunities we will have to provide growing returns to our shareholders.
So let me conclude before handing over to you for questions.
We've had a solid first half with our underlying results in line with expectations and with our full year guidance confirmed. We have tackled the issues of the EC225's and business restructuring head on and we'll see the operational and financial benefits flow through next year and beyond.
We have re-set our expectations on Magnox taking a prudent view but being ready to respond to further opportunities as they emerge. And we have continued to develop our long-term relationship with the UK Government and the MoD as one of their key strategic partners and suppliers.
Fundamentally we are a strong company, as strong as we have ever been in our 128 year history, with a solid balance sheet supporting delivery of a large order book and long-term opportunity pipeline. And our 36,000 strong workforce are one of the most qualified, skilled and experienced workforces anywhere in the world, and they are dedicated to providing the highest quality products and services to our customers.
We have delivered improved financial performance year-on-year for 15 years now and the Board and management of this company are confident that we can continue this run of success.
We will continue to improve our performance and I am confident that the quality of our long-term performance will be recognised, and we will create improved shareholder value.
So, let's hand over to you for your questions. I'm going to ask my executive team to join us up at the front here and we'll take your questions."
Q - Joe Brent,1,"Good morning. Joe Brent from Liberum. Three questions if I may. Firstly, there have been a lot of negative press comments around HMS Vanguard. Can you comment on how that contract is progressing?
Secondly, on Carrier you talk about a step-down in revenues but no step-down in profits. Is that because it's not making much money or because you get a catch-up payment and profits on the tail of that contract?
And thirdly, you've given very explicit guidance around Magnox and the change to expectations to 2020. You've given the absolute number for 2021. Could you give us an indication of the change to guidance for 2021?"
Archie Bethel,1,"Let me start. On Vanguard really I'm not going to say that word again. I mean, we never talk about individual contracts. But believe me CASD, Continuous at Sea Deterrents, it's covered by the Official Secrets Act. I think it's been ridiculous what's been written about it in the papers. All I'm going to comment is that our submarine program is a long-term program; it runs continuously and it is carried out in great, if not secrecy, almost secrecy.
We have maintained it as part of the team that has maintained Continuous at Sea Deterrents for 30 years, and I'm confident we'll continue to do that for the next 30 years. And really that's all I want to say about that program.
And as I said earlier, the inference that there is something different in the relationship between Babcock and the MoD is just simply not true.
On the Carrier project we're coming to the end of the Carrier project. We are in a phase. This contract since we renegotiated it in 2013 the margins aren’t great. And as we come near the end of it there is a kind of tendency in big long naval programs to run a bit at the end. So, again taking a prudent view and we’re not planning for too much more profit out of that contract simple as that.
And I think in Magnox, I can’t remember the numbers Franco, and beyond 20"
Franco Martinelli,1,"Hi good morning, Joe. The answer to that question is obviously for 2020 the step-down was 100 and now it’s 250.And the following year it was 100 and now it’s still 100 in step-down, but actually in absolute terms that’s 150 down in 2021 because we’ve re-base lined it downwards, that’s what we’ve done.
So, we’ve assumed a prudent position of not getting any revenue from Magnox for either 2020 or 2021 other than the contract that we have. We would hope to do better than that, and that’s what we’re going to task Simon to do. And I’m sure he can talk about Magnox in more detail if you want to speak to him."
Joe Brent,1,"So, crudely speaking the impact on guidance for 2021 is similar to 2020 i.e. about 12 or 13 "
Franco Martinelli,1,"Yes, we’ve baselined it downwards, correct."
Joe Brent,1,"Got it, that’s clear, thanks."
