speaker,q&a,content
Operator,0,"Good morning. My name is Lynn, and I will be your conference operator today. At this time, I would like to welcome everyone to the Berry Global Earnings Conference Call. All lines have been placed on mute to prevent any background noise. After the speakers' remarks, there will be a question-and-answer session. [Operator Instructions] Thank you.
Mr. Dustin Stilwell. Sir, you may begin the conference."
Dustin Stilwell,0,"Thank you, and good morning everyone. Welcome to Berry's fourth fiscal quarter 2018 earnings call. Throughout this call we will refer to the fourth fiscal quarter as the September 2018 quarter. 
Before we begin our call, I would like to mention that on our website, we have provided a slide presentation to help guide our discussion this morning. After today's call, a replay will also be available on our website at berryglobal.com under our Investor Relations section.
Joining me from the company, I have Berry's Chief Executive Officer, Tom Salmon; and Chief Financial Officer, Mark Miles. Following Tom and Mark's comments today, we will have a question-and-answer session. In order to allow everyone the opportunity to participate, we do ask that you limit yourself to one question at a time with a related follow-up and then fall back into the queue for any additional questions.
As referenced on Slide 2, during this call we will be discussing some non-GAAP financial measures. The most directly comparable GAAP financial measures and a reconciliation of the differences between the GAAP and non-GAAP financial measures are available in our earnings release and investor presentation on our website.
And finally, I remind you that certain statements made today may be forward-looking statements. These statements are made based upon management's expectations and beliefs concerning future events impacting the company and, therefore, involve a number of uncertainties and risks including, but not limited to those described in our earnings release, Annual Report on Form 10-K, and other filings with the SEC. Therefore, the actual results of operations or financial condition of the company could differ materially from those expressed or implied in our forward-looking statements.
And now, I would like to turn the call over to Berry's CEO, Tom Salmon."
Tom Salmon,0,"Thank you Dustin and good morning everyone. I want to thank you all for your interest in Berry and welcome you to our fiscal 2018 fourth quarter and year-end conference call. This morning, we'll be discussing several topics including an update on the Laddawn acquisition, fiscal fourth quarter and 2018 results, highlights from our three operating segments including investments in both organic growth and cost reduction as well as our expectations for fiscal 2019. Afterwards Mark and I will be happy to answer any questions you may have. 
First I'd like to welcome the 380 employees of our recently completed acquisition of Laddawn.
Laddawn is a manufacturer of blown polyethylene bags and films with a unique to industry e-commerce sales platform which can be viewed at www.laddawn.com. The team has a proven track record in delivering strong organic growth with over $145 million in net sale. And we expect to add annual cost synergies of $5 million. The business had five manufacturing facilities spread across the United States and is operated within our Engineered Materials segment. 
I'm extremely excited with what Laddawn proven web and mobile sales platforms has brought to Berry and we believe Laddawn's highly technical online capabilities will support immediate growth via the e-commerce platform to assisting quicker customer response times and small order fulfillment for the faster growing small and midsize customer base. 
The combination is exceeding our expectation and we will soon be adding other Berry products to this platform. 
Turning to Berry's overall financial results and highlights for the fourth quarter and 2018 fiscal year on Slide 3. During 2018, we were met with significant inflation across many of our key inputs which created short-term pressure on earnings. But we feel positive about what we've accomplished throughout the year and our outlook for the future. We completed two strategic acquisitions, initiated a share repurchase program and made investments for future organic growth while generating record sales, operating EBITDA, free cash flow and earnings per share. 
For the fourth quarter sales grew 9% to $2.054 billion. For fiscal 2018, we generated $7.9 billion of net sale and 11% increase with all three businesses delivering net sales growth in the year. 
Operating EBITDA was $1,380,000,000 and our adjusted earnings per share with $3.37, an increase of 10% and an impressive 5 year compound annual growth rate of 23%. We continue our track record of exceeding free cash flow guidance generating on fiscal year record $634 million free cash flow in 2018. 
Each year we communicate our free cash flow guidance to you and I'm extremely proud of our team successfully exceeding the goal each and every year. Our focus on growing our cash flow and allocating it effectively towards maximizing shareholder value remains unchanged.
Looking at some of our highlights, our consumer packaging business reported strong organic sales growth in the quarter and fiscal year of 8% and 5% respectfully, led by our food service service products driven by stronger demand in quick serve restaurants and convenience stores along with stronger overall end market demand for certain products. 
We're encouraged by the momentum of the divisions delivering four consecutive quarters of positive organic sales growth. Our investments and advantage products such as, our new polypropylene drink cup and lid and our focus on faster growing end markets have proven successful. Our drink cup offering provides a fully recyclable patented design that maintains rigidity, provides clarity for our customers' products and reduces weight. 
We believe these attributes were instrumental in customers' decisions to convert and rollout nationwide our new all clear cup and lid combination to reenergize their drink cup offerings. Our Health, Hygiene, and Specialties division recorded strong quarterly sales growth of 21% as well as a 16% improvement in operating EBITDA including the impact of the recently completed acquisition of Clopay. 
This division record sales growth each quarter in fiscal 2018 totaling 15% for the year and grew 3% organically in the fourth quarter. The integration of Clopay is going as planned as previously noted and we will generate $40 million in annual cost synergies with about half of this amount incrementally benefitting fiscal 2019. This business has brought great people to our Berry family along with leading film technologies into Berry's large product platforms serving our global hygiene customers. 
Inside our engineered material division. We delivered strong sales and operating EBITDA growth for fiscal 2018 of 13% and 12% respectively. It was a very busy year as this business completed systems conversion related to AEP and Adchem acquisitions and successfully completed the acquisition of Laddawn in late August. This business also brought on great people and new technologies that will further benefit our distribution business in the years ahead. As you recall last quarter we announced the new share repurchase authorization of $500 million and kicked off the program purchasing $35 million in Q4. Our financial performance and balance sheet has strengthened considerably over the past several years and are now in a solid position to returning cash to shareholders while still maintaining financial flexibility to execute our strategic plans further strengthen our balance sheet and invest in future growth. 
We expect to continue to execute our on our share repurchase plan in fiscal Q1 given current attractive market conditions and valuations. We will continue to update you quarterly on our progress as we remain committed to a balanced and dynamic capital allocation strategy to maximize the shareholders value which will continue to thoughtfully conclude, investments to grow our business organically, execute strategic acquisitions, debt reduction and return cash to shareholders. We have high confidence in our ability to generate significant shareholder value based on our historic track record and future growth prospects. 
Now I'd like to discuss what we're doing to promote the benefits of plastic. As Berry we continue to believe the profitability of plastics are endless, whether it's used in application such as healthcare, medicine, food storage and spoil and protection product from cellphone to car, plastic is one of the most versatile materials in the planet. We're encouraged by the progress and are partnering with trade organizations to build alliances and improve collaborations across the value chain with key influences specifically around first prevention where we're focused on the enhancement of our recycling infrastructure, second, innovation developing new sustainable technology to supporting the use of reprocessed materials, third education engagement where we're actively engaging with governments industry and consumers to drive effective solutions and lastly cleanup where we're developing solutions to address and cleanup areas of existing plastics waste in the environment. 
Before I turn to Mark, who will review our Berry financial results and fiscal 2019 guidance in detail I'd like to [Audio Gap] our expected $670 million of free cash flow in fiscal 2019. We remain committed to growing our cash flow and delivering on these commitments as we have this year. Mark will provide more detail in his remarks and then I'll come back to summarize our strategy and open the call for questions. Mark?"
Mark Miles ,0,"Thank you Tom and good morning everyone. I'd like to refer everyone to Slide 4 now. As Tom referenced, fourth quarter sales were $2.54 billion which was $173 million or 9% of the prior year quarter, primarily due to recently completed acquisitions and organic sales growth of 3%. From an earnings perspective, we achieved quarterly operating EBITDA of $346 million, higher raw material manufacturing and transportation costs of 9% will partially offset by the recent by the additions of recent acquisitions along with cost reduction efforts and price increases. During a year of significant inflation, we continue to work diligently within all three segments to pass through these increased costs and we remain committed to offsetting them in a productive manner. Just today we announced and we're taking additional pricing actions to recover these inflationary costs.
Now, turning to Slide 5, reported sales for the full fiscal year 2018 was an annual record of $7,869 million compared to $7,095 million in 2017. This 11% increase was primarily due to recently completed acquisitions. 
Operating EBITDA for fiscal 2018 also came in and annual record of $1,380 million. Accounting for the annualized impact of acquired businesses including costs synergies, our adjusted EBITDA was $1,449 million for fiscal 2018.
Our $53 million increase in operating EBITDA was a result of contribution from acquisitions and lower SG&A costs partially offset by cost inflation in excess of our selling prices. 
In the year of significant inflation our cost went up nearly $300 million, we were able to largely offset with $200 million of price increases. As a reminder, plastic resin represents about half of our costs and we have automatic pass-through arrangements on approximately 75% of our purchase presence with the timing lag of about one month.
These pass-through arrangements typically do not cover costs outside of resin. And the majority of our new recovery this past year relates to inflation on cost other than resin such as corrugated boxes, free and colorant to name a few. 
While we experience nearly $100 million of under recovered inflation in fiscal 2018, historically we haven't seen back to back years of negative price cost for resin. 
Looking at the result of each operating segment starting on Slide 6, sales for our engineered material divisions for the quarter was $682 million. The 1% sales order decline from the prior year quarter was primarily driven by lower sale volumes, partially offset by an increase in selling prices along with the contributions from Laddawn acquisition.
The volume headwinds primarily result of material qualifications and development activity on September 2018 quarter to drive future earnings growth as well through ongoing late in the September 2017 quarter.
Operating EBITDA and Engineered Materials division was $122 million which is down 8% from the prior year quarter primarily as a result of incremental volume last year, costs related to our manufacturing cost savings initiatives and the timing lag of inflation recovery.
Next on Slide 7, our Health, Hygiene, and Specialties division delivered sales of $724 million in the quarter compared to $596 million in the prior year quarter. The increase of 21% was primarily attributed to the Clopay acquisition and organic sales growth of 3%.
The organic sales growth was primarily driven by higher selling prices partially offset by softer volumes in baby care and an unfavorable currency impact. 
To the extent weakness in baby care persist in certain regions we are prepared to reallocate our manufacturing capabilities and resources to other markets such as adult incontinence, healthcare and specialty applications.
Operating EBITDA increased 16% in the quarter to $123 million. The $17 million increase in operating EBITDA was primarily a result of the Clopay acquisition and cost reduction initiative partially offset by under recovery and insulation.
Turning to Slide 8, sales and our consumer packaging division were $648 million in the quarter which was $49 million higher than the September 2017 quarter. The 8% organic sales growth was a result of higher selling prices of 6% and volume growth of 2%. 
Operating EBITDA for consumer packaging in the quarter was lower at $101 million compared to $111 million from prior year quarter. The timing lag of recovery and higher raw material transportation and manufacturing cost were partially offset by the volume growth. Our results in the quarter also included increased cost from the startup of new capital expenditures to support our continued growth as well as negative overhead leverage resulting from inventory reductions. 
Slide 9 provides the summary of our income statement for our fiscal fourth quarter and fiscal year. Overall operating income was modestly lower compared to the prior year quarter due to the items we previously discussed that drove the operating EBITDA changes. 
Interest expense was $54 million compared to the prior year expense of $66 million. This decrease was primarily a result of interest rate reductions we achieved from proactive measures to lower our interest costs from completed refinancing. Additionally, we made principle payments of over $300 million on our term loan debt throughout fiscal 2018 and have made an additional $100 million payment to start fiscal 2019. 
In ramping up the income statement, our net income for the quarter was $133 million a 21% increase compared to a $110 million in the prior year quarter. Earnings per diluted share was $0.99 up 22% compared to the prior quarter and adjusted earnings per diluted share increased 3% to $0.90 in the current quarter. 
Next on Slide 10, the company generated a quarterly record of $448 million of cash flow from operations a 13% increase compared to the prior year quarter. Net capital expenditures in the quarter were $66 million and total $333 million for fiscal 2018. We invested a record level of capital in fiscal 2018 to support the organic growth and new product growth initiatives that we have discussed the past few quarters and are starting to see and look forward to the continued sales and earnings growth from these projects. 
Our adjusted free cash flow set both quarterly and annual records at $382 million and $634 million for the September quarter and fiscal 2018 respectively. Our consistently increasing dependable and substantial free cash flow provides us the opportunity to return value to our shareholders and with our new $500 million share repurchase program announced during our last earnings call we've repurchased $35 million of shares outstanding during the September 2018 quarter and as Tom mentioned earlier compelling valuations persist we intend to further repurchasing our shares in fiscal Q1. 
Our financial guidance and assumptions for fiscal '19 are shown in Slide 11. We targeted our fiscal 2019 adjusted free cash flow at $679 which includes $1.36 billion of cash flow from operations partially offset by capital expenditures of $359. Our guidance also assumes constant currency raised in the fiscal 2018 and the normal inflationary environment on our cost. 
Cash interest is estimated to be $270 million, cash taxes at $165 million and working capital and other cash cost of $45 million. 
This concludes my financial review, and I'll turn it back to Tom. "
Tom Salmon ,0,"Thank you Mark, excuse me. As I mentioned earlier, fiscal 2018, we generated record financial results which really proud of our history and predictability having growing our free cash flow and exceeded our target every single year as a publicly traded company. With respect to capital allocation and our strategy for 2019, we will continue to do what Berry does well. Manufacture products within the stable end market, grow our business organically, leverage our sale advantage, locate and integrate accretive acquisitions and generate consistent dependable free cash flow.
On acquisitions pipeline, continues to be very robust with global opportunities in each of our three segments. We feel there is and will be ample opportunity to continue to find accretive acquisitions while applying our proven conservative and disciplined approach. Our successful track record and strategy to uncover acquired businesses the light materials, along with our ability to successfully integrate these businesses in a timely manner and efficiently realign maximum synergies is a core competency of Berry.
We've worked for identify the best people, and best practices of each acquired business and apply those resource and practices to the entire enterprise. This historical discipline track record is the foundation of what has led Berry where we are today which has provided consistent long-term compound annual growth rate of over 20% on revenue, EBITDA and shareholder returns. And while we believe we have a bright future ahead. 
In fiscal 2018, we completed a strategic acquisitions of both Clopay and Laddawn. The Clopay acquisition has strengthened our position within the attractive Health and Hygiene market and broadened our prices as a global supplier to many of the leading consumer and industrial product manufacturers. 
We will continue to work with our global customers to provide an enhanced product offering that reduces cost and provides improved performance in our global hygiene films offerings. 
Laddawn has demonstrated strong organic growth through its proven web and mobile sales platform which targets a faster growing small and medium sized customer base. The combined Laddawn and Berry custom film product portfolio will provide a vast range of product offerings to thousands of valued customers, further strengthening our core films business.
Further, another leg of capital allocation is our share repurchase plan. Our share repurchase plan gives us the opportunity to return on cash to shareholders through opportunistic repurchases and drive long-term shareholder value. With our free cash flow yield 11%, we feel our stock is an attractive investment and anticipate further executing on the share repurchase plan. 
We will continue to be the dynamic, we will continue to be dynamic in our use of cash to drive value for our shareholders and we'll provide updates quarterly on our progress. Next through our strategic decisions on capital deployment, we've been able to demonstrate organic volume growth by providing advantage products in targeted markets. Our record level of capital expenditures in fiscal 2018 and our plan for 2019 is evidence to our commitment and focus on organic growth to drive further market guide for Berry. Let me lay out by segment what we're specifically doing to drive hard organic volume growth. Within consumer packaging, our value proposition and recent success around connectivity, sustainability and cost innovation has led to innovative packaging solutions which addresses unmet needs. A few new products being launched include Verdant which is a unique range of post consumer recycled products for the beauty and personal care market. 
Embark a new range of child resistant containers for the growing legalized cannabis market. And lastly, we partner with Digimark creating a new technology where we can provide printing for our rigid products and allow consumer interactions through the use of their smartphones as well as printing that will enable products to be designed with a full package barcode delivering convenience to checkout. We continue to look for opportunities where we can provide advantage product and targeted markets and I’m pleased to report that we’re continuing to see stronger pipeline and improved give rates across the business and most pronounced in our healthcare and specialty rigid packaging products. Within our health, hygiene specialty division our previously announced $70 million investment in China for State of the Art hygiene products is on target to be commercialized by the end of calendar 2019 and supports our leading position in this global market. 
Additionally as Mark mentioned, the 8K as position has redeployed assets and development resources to support the higher growth area of adult incontinence to the Americas and Europe. We are well positioned with our asset base and product solutions related to discretion and comfort to build on a leading market position in the faster growing incontinence segment. With the ensuing ride to the middle class globally aging population and higher GDP growth rates in developing countries we continue to believe demand will grow in the high value added hygiene product applications. Additionally, in 2018 we experienced strong growth in our industrial and health whitening product line and our pharmaceutical packaging products specifically in whitening product line are previous announced $50 million in North America with Berry's proprietary spin light technology continues construction in our Mooresville, North Carolina location. And lastly, in our healthcare markets, we are expanding in both our offer to build plants and Bangalore, India sites supporting our global pharmaceutical customer base. The investments in our iconic products along with our full line of vial and nasal dispensing products enhance our global footprint in serving our customers in the pharmaceutical packing segment with our continued commitment to innovation and quality. We remain focused on high growth market and applications but we’re partnering with our customers in the commercialization of new products and feel confident these investments will promote our longer-term growth expectations.
And within NDA materials, we’re utilizing our new film technology and flexible packing in our recent investments and value added multi-layer films to support growth in ecommerce which will provide an opportunity for our customers to have a more cost competitive packing solution. Earlier in the year, we secured a multiyear supply agreement with one of our packaging converted partners who specializes in the manufacture and protective packaging solutions for ecommerce, career, fulfillment and a distribution markets. In order to support their expected growth, we’re investing in access of $20 million for capacity expansions over the course of the next six months in multiple Berry facility. Additionally, we’re investing our innovative protection solution product offerings which provided enhanced load containment ultimately reducing the breakage damage and loss incurred in the transportation of goods.
Lastly, we continue to see opportunities with our food and beverage customers to take shares from other substrates with improve film performance, eliminating the needs for additional packaging. The fundamentals were engineering material segment remain positive as reflected by another solid fiscal year. And finally, Berry will continue to take the steps necessary to remain a leader in the markets where we participate through a relentless focus on building and strengthening our competitive advantages ultimately maximize shareholder value. I’m confident that the people at Berry will continue to drive positive results and achieve our goals and mission of always advancing to protect what’s important. 
I thank you for your continued interest in Berry and at this time Mark and I will be glad to answer any questions you may have. 
Operator?"
Operator,1,"[Operator Instructions] First question comes from the line of Mr. George Staphos. Sir, your line is now open."
George Staphos,1,"Hi. Thanks, operator. Hi, everyone. Good morning. Thanks for all the details. Tom, thanks for the rundown on the new products and the like. I guess piggy-backing on that, my questions to start would be really on additional guidance for '19 if it's possible. Can you talk about what kind of EBITDA growth notionally we should see from the three segments? Barring acquisitions and obviously holding raw materials constant and freight constant, should we expect, for that matter, EBITDA growth across each of the three segments? Why? Why not? The related guidance question, if you could, just what assumptions are you making for resin pricing, specifically polyethylene and polypropylene, and also freight in your assumptions? Thanks. And I'll turn it over."
Tom Salmon,1,"George, just a couple comments. We are a continuous improvement culture. Each of the businesses ultimately are measured against and accountable for driving continuous improvement around margins, around revenue growth, productivity, etc. Obviously, we continue to be focused on fully recovering and offsetting the inflation that we incurred in 2018 and 2019. And you'll hear in certain businesses, we've taken the proactive steps to ultimately look toward other ways, other opportunities to increase the types of raw materials used and product composition, both in terms of resin and other raw materials, to ultimately give us maximum flexibility toward times of inflation.
We're not quoting the specific improvement number by business but relative to the forecast for 2019 on inflation, we're assuming flat inflation based on where we ended 2019, going forward, in terms of polyethylene and polypropylene. We realize this is a very dynamic space and, again, that has been traditional with our budgeting process. To just take the ending number on the prior year and carry it forward in the coming year. Mark, any comments?"
Mark Miles,1,"Yeah. Good morning, George. I would say with respect to your specific questions on guidance, while we don't provide guidance by segment, we certainly do expect all three of our segments to grow organically on earnings in fiscal '19. With respect to resin, to Tom's point, we typically project flat on resin. So, flat for the year. And with respect to the other costs, I know you mentioned freight specifically, we certainly have some increases as we lap the increases that occurred kind of early to mid-2018. We've got that accounted for as well. So, some incremental inflation on freight and other costs assumed in our guidance."
Operator,1,"Next question comes from the line of Mr. Ghansham Panjabi. Sir, your line is now open."
