speaker,q&a,content
Operator,0,"Good day. And welcome to the BIO-key International Third Quarter 2018 Earnings Conference Call. All participants will be in a listen-only mode. [Operator Instructions] After today’s presentation, there will be an opportunity to ask questions. [Operator Instructions]
Please note this event is being recorded. I would now like to turn the conference over to Scott Mahnken. Please go ahead."
Scott Mahnken,0,"Good morning and thank you for joining us on today’s call. With me this morning are Mike DePasquale, BIO-key’s Chairman and CEO; Fred Corsentino, Chief Revenue Officer; and Ceci Welch, Chief Financial Officer.
I’d like to remind everyone that today’s conference call and webcast may contain forward-looking statements that are subject to certain risks and uncertainties that may cause actual results to differ materially from those projected on the basis of these statements. The words estimate, projects, intends, expects, anticipates, believes, plan, may, or will and similar expressions generally identify forward-looking statements.
Such forward-looking statements are made based on management’s beliefs, as well as assumptions made in information currently available to management, pursuant to the Safe Harbor provisions of the Private Securities Litigation Reform Act of 1995.
For a complete description of these and other risk factors that may affect the future performance of BIO-key International, see Risk Factors in the company’s Annual Report on Form 10-K and its other filings with the SEC.
Listeners are cautioned not to place undue reliance on these forward-looking statements, which speak only as of the date made. The company also undertakes no obligation to disclose any revision to these forward-looking statements to reflect events or circumstances after the date made.
At this time, I’d like to turn the call over to Mike DePasquale. Mike?"
Mike DePasquale,0,"Thank you, Scott. Good morning, everyone, and thank you for joining us today. In addition to Q3 results announced last evening, we announced that BIO-key has secured orders in excess of $10 million for our WEB-key biometrical authentication software from two Hong Kong-based company’s both focused on technology and the financial services industries in Asia.
Our enhanced WEB-key biometric security platform now incorporates previously licensed multifactor authentication security technology, providing a solution that enables both employees and customers to conduct secure biometric authentication transaction and network access via mobile devices, as well as computers. We expect to recognize $5 million of revenue from this contract in the fourth quarter of 2018 and the balance in the same period next year.
While our financial performance in the third quarter and now with this large contract continues to reflect the variable nature of contract sizes and timing, our year-to-date results clearly demonstrate continued progress in the breadth of biometrics adoptions as enterprises are realizing the urgent need to deploy more user-friendly measures to protect themselves and their customers against unauthorized transactions and data access.
Importantly, the large WEB-key contract this year and the one that we announced in the fourth quarter of 2017 demonstrate that the market is looking -- is starting to look at solutions that can deliver multifactor authentication security at both the device level and in the cloud. Our unique technology delivers on this requirement, providing enhanced security and greater productivity for enterprises seeking to address security requirements across their user base.
We’ve been working towards this large WEB-key deployment over the past two years and so it’s a combination right now that’s exciting, and an exciting milestone for the entire BIO-key organization in the U.S. and in Asia. It is also an important step in our efforts to open the Asian markets for our security solutions.
Turning to other growth initiatives, we continue to advance our dialogue and marketing partnership with Microsoft in support of their focus on driving adoption of their Windows 10 operating system and new Windows Server Solutions for enterprise.
A core differentiator in these new systems is their reliance on multifactor authentication solutions, such as biometrics to deliver enhanced security in a related and very clear move to abandon passwords.
A major third quarter event was our participation sponsorship and exhibition space at Microsoft Ignite 2018 Event late September in Orlando. A key theme from the event was security and enabling password less authentication, including biometrics as a secure approach for users to access their devices and information. We had significant booth traffic and strong customer interest at this event, which led to a very promising number of customer leads that we are now pursuing.
They have been optimistic in the past about the potential of Microsoft to drive enterprise demand for our solutions. What is very different today versus two years ago is the extent to which Microsoft is devoting resources to driving adoption of its newest operating system and server solutions.
As more enterprises embrace Windows enterprise applications, such as Windows Hello for Business, Asure and Windows Servers, we anticipate rising demand for BIO-key’s hardware and software offerings, which are compatible with Windows 10 and earlier OS versions.
Identifying new markets of opportunity remains an important component of our sales and marketing efforts. One such area of market opportunity was identified in the area of voting security, where we were successful in selling our ID Director for Windows software and EcoID fingerprint biometric readers to two Florida County Election Boards. The solutions will be utilized to deliver enhanced security for the identification and authentication of Election Board’s staff members and volunteers managing the voting process.
While it is a small initial contract, we are optimistic in the prospects to expand our reach into this market, which will need to address growing concerns about voter tampering, fraud and possible security breaches, especially in the next two years with the upcoming Presidential Elections.
Similarly, we see potential in the financial services sector, where customer prospects such as banks, credit unions and others are faced with growing levels of regulatory compliance. In the third quarter, a New York regional bank selected BIO-key to enable compliance with the New York State Department of Financial Services Cybersecurity Law.
Our solutions enabled the bank to comply with multifactor authentication requirements for employees accessing company computer devices and connected banking applications, and we look forward to building on this initial deployment.
Also during the third quarter, we launched a strategic partnership with Quantum Business Advisory, an IT infrastructure and security firm that is bringing our solutions to enterprises in India. Given India’s focus on deploying technologies to enhance the country’s economy and the lives of its citizens, we believe it represents a very attractive potential market for BIO-key.
Turning to our corporate structure. During the third quarter we appointed Fred Corsentino as our Chief Revenue Officer, a new role at the company. Fred possesses substantial experience in managing sales processes at emerging technology companies, with a strong track record of success.
In particular, Fred is helping to focus our business development, sales and integrated marketing functions on those areas with greatest potential to maximize growth and bottomline performance. I’m pleased to have Fred join our team and to have you all hear from him directly a little later in this call.
In summary, though our financial performance remains highly variable on a quarter-to-quarter basis, we are very pleased to now be solidly positioned to achieve revenues of $8 million to $9 million for the full year 2018.
Reflecting our outlook, we have revised our full year guidance to $8 million to $9 million in revenue from an initial range of $8 million to $12 million at the outset of the year. Our revised revenue guidance represents anticipated growth of approximately 30% versus last year’s revenue of $6.3 million.
Importantly, while we have positioned BIO-key to achieve very solid year-over-year growth in 2018, as well as expected EBITDA breakeven results, we will enter 2019 with roughly $7 million in contracted sales, which to form a very solid base to achieve further growth.
With that, I’d like now to introduce Fred Corsentino, our new Chief Revenue Officer to comment on his vision and areas of focus moving the company forward. Fred?"
Fred Corsentino,0,"Thanks, Mike. I’m excited to be helping BIO-key advance its revenue growth during the period of such substantial opportunity security solutions. I’ve been on the job six weeks and already have identified several areas where I can apply my experience and skills in advancing BIO-key to the next level.
As Mike mentioned, I bring lots of experience managing sales processes for emerging technology companies. That said, my priority is to streamline and prioritize BIO-key sales processes.
First of my agenda is to develop a consistent sales forecasting methodology. From my experience applying sound forecasting techniques on anticipated customer demand, competitive issues and industry trends can make a substantial impact on your ability to properly forecast and execute on future sales opportunities. BIO-key is now at a point where the development of these disciplines can make a tremendous difference to its future performance.
Next on my agenda, is to evaluate and rationalize our current reseller and channel relationships. Optimizing performance from our various distributor relationships will require implementing a range of initiatives to ensure that our biometric authentication solutions remain high in their priorities and sales efforts.
Now much of our historic sales efforts have been directed towards large enterprise customers, we intend to expand the focus of our sales efforts to address the hundreds of small medium and large enterprise customers’ opportunities that we have developed through our marketing efforts with Microsoft.
While advancing any enterprise sales dialogue takes time and persistence, we do expect these efforts to stop progressing more quickly and by leading these engagements we will have the benefit of greater sales visibility.
Finally, BIO-key’s growth will only be achieved through consistent, systematic and efficient sales efforts, which I believe will require an expanded base of sales talent. We are recruiting heavily to bring together proficient, capable sales professionals who we believe will help us accomplish our growth goals.
There is a lot of work that lies ahead, but based on what I have seen so far in the job, I’m confident that it’s only a matter of time before BIO-key is able to reach a new level of sustainable and recurring revenue.
Now, I would like to turn the call over to Ceci, who will provide an overview of our Q3 financial performance and financial position. Ceci?"
Ceci Welch,0,"Thank you, Fred. BIO-key’s total Q3 2018 revenue decreased 21.5% to $740,000 from $942,000 in Q3 2017, due to lower fingerprint hardware and biometric lock sales, as well as lower service revenue related to the timing of certain products.
Gross margin was negatively impacted as non-cash software license amortization expense rose from $660,000 -- rose to $660,000 in Q3 ‘18, compared to $390,000 in Q3 ‘17. Excluding the software license amortization costs, BIO-key’s Q3 ‘18 gross margin would have increased to 62% versus the 43% in Q3 ‘17, with the difference largely due to the revenue mix that included more high margin software license revenue in Q3 ‘18 versus the prior year period.
Total operating expenses declined $184,000 or 11% to $1.4 million, due to lower selling, general and administrative costs. Lower operating costs relating to primary -- primarily to lower personnel compensation in Q3 ‘18, as well as the absence the NASDAQ uplisting costs that were incurred in Q3 ‘17.
During Q3 ‘18 BIO-key incurred a one-time non-cash expense of $0.4 million related to the modification of outstanding warrants, which were re-priced in connection with our common stock and warrant offering, which I will discuss more in a moment.
Including the warrant modification expense, BIO-key’s Q3 net loss available to common stockholders was $3.1 million or a loss of $0.23 per basic share versus a net loss available to common shareholders of $1.8 million or a loss of $0.28 per share in Q3 ‘17. Per share results are based on approximately 13.1 million and 6.5 million weighted average basic shares outstanding in Q3 ‘18 and Q3 ‘17, respectively.
In August, we completed an underwritten offering of common shares and warrants at a purchase price of $1.50 per unit. The offering was intended to support the company’s working capital needs and growth initiative. Net proceeds from the offering were approximately $1.8 million.
As a result of the non-dilutive provisions related to the existing outstanding currents stock options, the recent common stock offering required that we re-price certain warrants in conjunction with the offering. As a result of lowering -- the lowering of the strike price at certain warrants BIO-key recorded a $1.4 million in non-cash warrant modification expense in the third quarter of 2018.
BIO-key’s net working capital remains constant at $4.7 million as of both September 30, 2018 and December 31, 2017. Net working capital included approximately $1 million of cash and cash equivalents at the close of the third quarter 2018 versus $289,000 of cash at year end 2017.
And with that, I think, we can move on to questions. Operator, could you please start the question-and-answer period."
Operator,1,[Operator Instructions] And looks like today’s first question will be from Anthony Vendetti with Maxim Group. Please go ahead.
Anthony Vendetti,1,"Thanks. Mike, I was wondering if you could talk a little bit more about the -- this $10 million -- $10 million in contracts. It seems like it’s a financial company and a technology company, is it two separate contracts? And then the revenue recognition, did you say, $5 million this quarter and then $5 million all in fourth quarter ‘19 or is that going to be spread out in 2019?"
Mike DePasquale,1,"Okay. So, thank you Anthony for a good question. Let me start, it’s two contracts with two different parties. One is focus on the financial services sector. One is focused in the technology area. It will utilize our WEB-key security platform for a series of different applications. So we’ll talk more about those as they -- as we’re able to, as we approach the New Year.
Yes, we will recognize $5 million in revenue this quarter 2018 and we will recognize $5 million in revenue a year from this period, so this period in 2019. We will be paid for this contract over the next 21 months. So it’s split up such that it will be paid on a monthly basis, starting in February through the course of 21 months for this initial -- and I call this initial $10 million contract."
Anthony Vendetti,1,"Okay. And just to follow-up on the initial, what’s the total opportunity long-term if this is the initial phase?"
Mike DePasquale,1,"I really can’t say, again the orders that we received are north of $10 million, if we’re successful in the deployment of the solutions, as you know the Asian market is significant, it’s growing, its rapidly growing and they are widely adopting and accepting advanced especially mobile technologies.
So we think this has a significant potential for us and not just again in Hong Kong and China, but across Taiwan, Singapore and even into India. We mentioned a few minutes ago that our operation, our partnership in India is really gaining traction now and we’re very optimistic about the potential there.
The size and magnitude of the population there, it just provides a significant opportunity for us. And they are facing the same, especially now, trying to get there, I’ll call it, try to clean up the regulatory act in many of the different countries across Asia.
They are really looking at compliance-related solutions, solutions that can provide greater levels of security and greater levels of transparency, and we kind of fit in that range and the two parties that we contracted with are really going to help us expand our business there."
