speaker,q&a,content
Company Participants,0,"Jill Homenuk - Head, Investor, Media and Government Relations
Darryl White - Chief Executive Officer, BMO Financial Group
Thomas Flynn - Chief Financial Officer, BMO Financial Group
Patrick Cronin - Chief Risk Officer, BMO Financial Group
Dan Barclay - Chief Executive Officer and Group Head, BMO Capital Markets
David Casper - U.S. Chief Executive Officer; Chair and Chief Executive Officer, BMO Harris Bank N.A.; and Group Head, North American Commercial Banking
Cameron Fowler - President, North American Personal & Business Banking"
Conference Call Participants,0,"Ebrahim Poonawala - Bank of America Merrill Lynch
Meny Grauman - Cormark Securities
Steve Theriault - Eight Capital
Gabriel Dechaine - National Bank Financial
Scott Chan - Canaccord Genuity
Sumit Malhotra - Scotia Capital
Mario Mendonca - TD Securities
Darko Mihelic - RBC Capital Markets
Nigel D'Souza - Veritas Investment Research"
Operator,0,"Good morning and welcome to the BMO Financial Group's Q2 2019 Earnings Release and Conference Call for May 29, 2019.
Your host for today is Ms. Jill Homenuk, Head of Investor Relations. Ms. Homenuk, please go ahead."
Jill Homenuk,0,"Thank you. Good morning, everyone, and thanks for joining us today. Our agenda for today's investor presentation is as follows. We will begin the call with remarks from Darryl White, BMO's CEO, followed by presentations from Tom Flynn, the Bank's Chief Financial Officer; and Pat Cronin, our Chief Risk Officer. We have with us today Cam Fowler from Canadian P&C and Dave Casper from U.S. P&C. Dan Barclay is here for BMO Capital Markets and Joanna Rotenberg is here for BMO Wealth Management.
After their presentations, we will have a question-and-answer period where we will take questions from prequalified analysts. To give everyone an opportunity to participate, please keep it to one or two questions.
On behalf of those speaking today, I note that forward-looking statements may be made during this call. Actual results could differ materially from forecasts, projections or conclusions in these statements.
I would also remind listeners that the bank uses non-GAAP financial measures to arrive at adjusted results to assess and measure performance by business and the overall bank. Management assesses performance on a reported and adjusted basis and considers both to be useful in assessing underlying business performance. Darryl and Tom will be referring to adjusted results in their remarks, unless otherwise noted as reported. Additional information on adjusting items, the bank's reported results and factors and assumptions related to forward-looking information can be found in our 2018 Annual Report and our second quarter 2019 report to shareholders.
With that said, I will hand things over to Darryl."
Darryl White,0,"Thank you, Jill and good morning, everyone. Today, we announced strong performance for the second quarter with earnings of $1.5 billion and earnings per share of $2.30 an increase of 5% over last year and this is after absorbing a severance cost in our Capital Market’s pillar. This follows good first quarter results with steady performance in an improved market environment. And for the first half of the year, earnings per share are up 7% in line with our midterm target range and we believe we are on track to deliver that same level of growth in the second half of the year as well.
This quarter was highlighted by solid momentum across our businesses supported by stable economic fundamentals. Looking back, as we headed into fiscal 2018, so six quarters ago, we highlighted key areas of strategic focus where we planned to accelerate our performance. Growth in our U.S. segment improved efficiency, transformation of our business through innovation and the importance of our people and culture.
At our Investor Day in the fall we reiterated these strategies and we formalized specific targets for the bank and our operating groups including achieving a third of our earnings from the United States. We've consistently said that we were confident in the outlook of our businesses in the United States and we are working to grow earnings from our U.S. segment faster than the overall bank. We highlighted our progress and distinctive areas of strength at the bank's AGM in April.
At the beginning of 2008 our U.S. segment contributed about 25% of total bank earnings. After several consecutive quarters of strong performance that contribution has grown to 35% of the bank's earnings so far this year.
More broadly, our operating groups are progressing against their strategies. Canadian and U.S. P&C are delivering good results reflecting strong and diverse loan and deposit growth. Capital Markets and Wealth Management had good operating performance in the quarter in a more constructive market environment. We're committed to our efficiency target of 58% by 2021 and at the same time we're taking disciplined actions to execute against our strategy and position the bank for sustainable growth over the long-term.
For example, we've made organizational changes within our Capital Markets Group to align resources with the revenue environment which impacted operating leverage in the current quarter and will deliver improved efficiency going forward. Our results this quarter include a severance cost which we absorbed in our Capital Markets Group of $120 million pretax negatively impacting our adjusted earnings by $0.14 per share.
Our capital position remained strong and is supporting robust organic growth across our businesses, which as we've said, is our top priority. ROE in the quarter was 13.9% and we announced a $0.03 increase to our quarterly dividend or 7% over last year.
Turning to Slide 5, as I mentioned earlier we're continuing to drive positive momentum from our U.S. platform which remains a clear differentiator for BMO. Year-to-date earnings were up 29% driven by strong growth in U.S. P&C and Capital Markets with pre-provision pretax earnings growth of 20%, positive operating leverage and improved efficiency. We delivered another consecutive quarter of industry-leading commercial loan growth which continues to be high quality and well diversified across industries and geographies.
As I look across the bank we're building on our strong foundation and differentiating strengths to grow our businesses and deepen customer loyalty. For example, North American Commercial Banking our deep sector expertise and collaborative approach to building customer relationships differentiates us in the market, including in the technology sector.
This quarter we introduced a specialized technology and innovation banking group that provides tailored advice and funding to this important industry, as well as integrated cross-border Capital Markets and Wealth Management solutions. These companies are critical to driving innovation and positive change in Canada and we're uniquely positioned to help them grow and compete through every stage of their life cycle.
Wealth Management has an advantage position in the market including in the ETF market where we were ranked number one in Canada for net new asset growth for the eighth consecutive year as well as having leading loan and deposit growth. To further support our strong performance we're taking actions to grow our position with clients including bringing together a full-service brokerage and private banking businesses to deliver best-in-class advice to serve clients' increasingly complex needs.
The coming together of asset and wealth management under one group head along with new leadership in BMO Asset Management positions the wealth business for continued global growth building on its strategic advantages.
In Capital Markets our client driven strategy is clear and unchanged and is delivering good year-to-date operating performance. Investment in corporate banking revenue is up 18% compared to the first half of last year. Our acquisition and successful integration of KGS is performing ahead of expectations and the U.S. business is contributing over a third of capital markets earnings compared to less than 25% at this time last year.
So across the company we've been making targeted investments in technology to drive customer experience and revenue. As an example, in treasury and payment solutions we're partnering with MasterCard Send to enable faster cross border payments for our Canadian clients. For our U.S. customers we've teamed up with Zelle to offer quick and easy business to customer payments. In U.S. Personal and Business banking customers are embracing our new digital capabilities. Since launching our digital account opening platform we've seen significant increases in digital checking account applications primarily by mobile devices which is contributing to our very strong deposit growth.
Our effective use of technology to enable business success including our agile and collaborative approach to innovation was recognized this quarter with two Celent 2019 Model Bank Awards. Collaboration is but one aspect of our distinctive culture as is our commitment to doing what's right and leveraging our role as a trusted financial advisor to create opportunities for lasting positive change in the world.
Consistent with our strong support of gender balance and the advancement of women, I'm proud that BMO is the first Canadian bank to sign the UN and Women's Empowerment Principles which provides a global framework to promote gender equality and empower women in the workplace, marketplace and community.
Looking ahead, we remain confident about the resiliency of the Canadian and U.S. economies supported by population growth, low unemployment, modest inflation, and stable interest rates. We have good momentum across our businesses that will drive performance in the second half of the year similar to the first and the investments we've made position us well for long-term success.
And at this point I'll turn it over to Tom to talk about the second quarter financial results."
Thomas Flynn,0,"Thank you, Darryl and good morning everyone. My comments will start on Slide 8. Q2 reported EPS was $2.26 and net income was $1.5 billion. Adjusted EPS was $2.30 up 5% and adjusted net income was $1.5 billion up 4%. Results this quarter reflect continued good performance in our U.S. segment, strong commercial loan growth on both sides of the border and a stable operating environment.
Adjusting items are similar in character to past quarters and are shown on Slide 24. Net revenue of $5.7 billion was up 8% or 6% excluding the stronger U.S. dollar with growth across all our operating businesses. Expenses increased 10% or 9% excluding the impact of the stronger U.S. dollar. The BMO Capital Markets severance expense of $120 million pretax and the acquisition of KGS accounted for 5% of the expense increase. The remaining 4% was mainly driven by higher technology and employee related costs.
Year-to-date expense growth was 7.3% all in and looking forward for the second half of the year we expect expense growth to be approximately half of that rate. Operating leverage for the quarter was negative given the impact of the severance expense and above 1% excluding it.
Moving to Slide 9 for capital, the common equity tier 1 ratio was 11.3% down 10 basis points from the first quarter. As shown on the slide the racial decline as retained earnings growth was more than offset by higher risk-weighted assets. The higher risk-weighted assets were driven by very strong commercial and corporate loan growth across our businesses which is a reflection of our strength in this area.
Moving to our operating groups and starting on Slide 10, Canadian P&C net income was $615 million up 5% from last year. Revenue growth was 5% driven by higher balances across most products, increased noninterest revenue and higher margins. Total loans were up 6% with commercial loans up 15%. Mortgage growth through proprietary channels including amortizing HELOC was good at 4%. We also had strong deposit growth with personal balances up 9% and commercial up 7%. NIM was flat compared to the first quarter and up 2 basis points from last year. Expense growth was 5% reflecting investment in the business and operating leverage was positive. The provision for credit losses was $138 million and includes a $16 million provision for performing loans.
Moving to U.S. P&C on Slide 11 and my comments here will speak to the U.S. dollar performance, net income for the quarter was $314 million up 12% from last year. Revenue growth was 5% reflecting higher deposit revenue and loan volumes net of loans spread compression.
Average loan growth was 12% with commercial loans up 15% and higher personal loan volumes. With strong deposit growth of 13% Q2 marked our third consecutive quarter of double-digit growth in both personal and commercial deposits. Net interest margin was down 10 basis points from last quarter, 3 basis points of the decline was due to lower interest recoveries in the current quarter, the majority of the balance is attributable to loans growing faster than deposits and tighter spreads in commercial lending.
Expenses were up 6% from a below trend level last year primarily due to higher employee and technology related expenses. Year-to-date operating leverage is strong at 2.6% and expenses were up 4%. Provisions for credit losses were low this quarter largely reflecting a recovery in commercial loans and stable credit conditions.
Turning to Slide 12 BMO Capital Markets net income was $253 million, strong performance in Investment and Corporate Banking and good results in the U.S. segment were offset by the impact of severance expense. U.S. business net income was up 24% reflecting good diversified performance across both Investment and Corporate banking and trading products including the benefit of the KGS acquisition partially offset by the severance expense. Revenue was $1.2 billion and up 18% or 17% excluding the impact of the stronger U.S. dollar.
Investment and Corporate banking revenue increased to 21% reflecting loan growth and higher debt and equity underwriting. Trading products revenue was up 16% with fair value adjustments contributing to above trend interest rate trading and lower equity trading revenue. We had good client activity in interest rate and commodity trading and slower equity trading activity.
Expenses were 31% or 29% excluding the impact of the stronger U.S. dollar with 18% of that growth due to severance expense. The severance expense together with the impact of the KGS acquisition accounting for over 24% of the year-over-year increase in expenses. Provisions for credit losses were $15 million compared to a recovery of $13 million in the prior year.
Moving now to Slide 13, Wealth Management net income was $315 million up 3% from the prior year. Traditional Wealth net income of $236 million was relatively unchanged from last year. Strong net interest income and the benefit of improved equity markets was largely offset by expenses and lower performance fees in asset management from a high level last year.
Average loans were up 16%, the fifth consecutive quarter of double-digit growth and deposits were up 4%. Insurance net income was $79 million up 14% largely reflecting a benefit from market movements in the current quarter relative to unfavorable movements in the prior year. Expenses were well-managed up 2% from last year. Assets under management and administration were up 4% driven by stronger equity markets and foreign exchange.
Turning now to Slide 14 for Corporate Services the net loss was $78 million, unchanged compared to last year as lower expenses were offset by lower recoveries for credit losses. And to conclude, the second quarter results reflect continued good momentum across our businesses. Operating groups are well-positioned for the opportunities and the environment and are focused on execution of our strategies.
And with that, I'll hand it over to Pat."
Patrick Cronin,0,"Thank you, Tom and good morning everyone. So starting on Slide 16, the total provision for credit losses this quarter was $176 million or 16 basis points which is up from 13 basis points last quarter. Our PCL on impaired loans increased $23 million to $150 million or 14 basis points this quarter, while our PCL on performing loans was $26 million compared to $10 million last quarter. Of note, this quarter had a large U.S. commercial recovery absent which the PCL would have been 20 basis points which is in line with recent guidance and our ongoing expectations.
Now turning to each of the businesses, in the Consumer segment of Canadian P&C PCL on impaired loans was up marginally quarter-over-quarter and in the Canadian Commercial segment our impaired provisions were $15 million increasing from a low level last quarter. PCL on impaired loans for U.S. P&C increased slightly by $3 million to $18 million.
Now last quarter you may recall was characterized by a large consumer recovery related to an insurance settlement while this quarter includes a similarly sized commercial recovery. As a result of these two items, U.S. Consumer provisions are up quarter-over-quarter while U.S. Commercial provisions are down. Excluding the recovery, U.S. P&C provisions on impaired loans are broadly in line with recent experience and expectations.
PCL on impaired loans for Capital Markets was $12 million compared to $1 million provision in Q1. Variation in Capital Markets PCL is expected for this portfolio given its size and the nature of the exposures. A $26 million provision on performing loans in the quarter was primarily due to portfolio growth and small increases attributable to modest credit quality movements and some modest changes in our macroeconomic outlook.
Now turning to Slide 17, formations increased quarter-over-quarter as business and government formations were higher across a handful of industries including oil and gas. Within that segment, the majority of formations related to two accounts on which we do not expect to take provisions. Formations in the other industries were related to company specific events reflecting normal variability in our corporate commercial portfolio with no underlying sectoral trends.
Consumer formations increased largely in Canadian residential mortgages as a result of the implementation of a new collections platform in the quarter. Looking out over the next few quarters we expect loss rates will continue to be low in this segment. The ratio of gross impaired loans to total loans was 53 basis points this quarter which while increased slightly from last quarter is three basis points lower compared to the prior year.
The second quarter continued the recent trend of strong wholesale loan growth. Similar to prior quarters the growth remains broad based across industries is from both existing and new clients, and is our credit quality that is consistent with the broader portfolio.
In summary, our PCL results this quarter adjusting for the large commercial recovery were in line with our experience over the past few years and our expectations. Our guidance for PCL over the longer term has not changed.
I will now turn the call over to the operator for the question-and-answer portion of today's presentation."
Operator,1,"Certainly, thank you. [Operator Instructions] The first question is Ebrahim Poonawala with BOA Merrill Lynch. Please go ahead."
Ebrahim Poonawala,1,"Good morning. I guess to start out, if you could touch on commercial loan growth both in Canada and the U.S. very strong both year-over-year and quarter-over-quarter, if you could just, and I know you mentioned it was broad based, but would appreciate if you can talk about some of the divers as this growth coming from particular industries and just the pricing environment for the business? And also what the sensitivity would be if the macro deteriorates, like do you still expect this double-digit growth to continue in the back half the degree of confidence? Thank you."
Cameron Fowler,1,"Good morning, thanks for the question, it's Cam Fowler speaking. I'll start with the Canadian Commercial loan growth and I'll pass it to Dave Casper to talk about the U.S. The first thing I'd say is it is strong growth, it's not a surprise to us, I've mentioned in the last several calls and indeed our Investor Day that we've been investing in both capacity in the commercial business as well as diversification. And you can see in our next line our revenue line and our balance line and the investment we made on the commercial business which is 150 new relationship managers.
The growth is of a higher of a very high quality I guess is what I would say. We're particularly pleased with the diversification. I think no fewer of seven or no fewer than seven or eight sectors that are growing in the double-digit range and it is particularly well distributed across the country in that all regions are also participating at that level. And there is no particular sector within that that I would point to that is outsized or growing beyond what the average of the book is. And so I would start with that quality point.
You made a question about the outlook, our quarter-on-quarter number is relatively strong. I wouldn’t expect that 5% quarter-on-quarter number to maintain necessarily, so some degree of moderation perhaps, but for now from a capacity and diversification perspective we feel very confident to the book. Dave?"
