speaker,q&a,content
Company Participants,0,"Mike Huseby - Chairman and CEO
Tom Donohue - EVP, CFO
Barry Brover - EVP, Operations and EVP, Barnes & Noble College
Kanuj Malhotra - EVP, Corporate Development and President, Digital Student Solutions
Lisa Malat - COO, Barnes & Noble College"
Conference Call Participants,0,"Alex Fuhrman - Craig-Hallum
Ryan MacDonald - Needham
Greg Pendy - Sidoti"
Operator,0,"Good morning. My name is Simon and I will be your conference operator today. At this time, I would like to welcome everyone to the Barnes & Noble Education Fiscal 2019 Year End Earnings Conference Call. All lines have been placed on mute to prevent any background noise. After the speakers' remarks, there will be a question-and-answer session. [Operator Instructions]. Thank you.
Mr. Tom Donahue, you may begin your conference."
Tom Donohue,0,"Thank you. Good morning and welcome to our fourth quarter and full fiscal year end 2019 earnings call. Joining us today are Mike Huseby, Chairman and CEO; Barry Brover, EVP of Operations; Kanuj Malhotra, President of Digital Students Solutions; Lisa Malat, Chief Operating Officer, Barnes & Noble College; as well as other members of our senior management team.
Before we begin, I would remind you that the statements we will make on today's call are covered by the Safe Harbor disclaimer contained in our press release and public documents. The contents of this call are for the property of Barnes & Noble Education and are not for rebroadcast or use by any other party without prior written consent of Barnes & Noble Education.
During this call, we will be making forward-looking statements with predictions, projections and other statements about future events. These statements are based upon current expectations and assumptions that are subject to risks and uncertainties, including those contained in our press release and public filings with the Securities and Exchange Commission. The company disclaims any obligation to update any forward-looking statements that may be made or discussed during this call.
At this time, I'll turn the call over to Mike Huseby."
Mike Huseby,0,"Thanks, Tom. Good morning everyone and thank you for joining us. Fiscal 2019 was truly a transformative year for BNED. I’m proud of all that our people accomplished as we continue to pivot our platforms and offerings to digital delivery.
Fiscal year 2019 results were in line with our expectations as we continue to generate significant EBITDA and as a result strong free cash flow. We’re making important changes throughout our organization as we continue our digital pivot.
We are very encouraged by our significant progress including the development of our first internally developed digital study product initially introduced as bartleby textbook solutions and now branded as bartleby learn.
Unification of the BNC and MBS sales teams are creating an expanded and incentivized new business sales team with a revitalized go-to-market strategy. The continued growth of our FirstDay inclusive access program would substantially increase courseware sales penetration volumes when adopted.
The upcoming launch of our BNC adoption and insights portal, a new courseware adoption and insights platform for faculty and academic leadership leapfrogs our prior adoption platform, an important enhancement to our institutional sales capabilities, and the introduction and completion of a pilot of four highly curated concept shops focused on elevating our in-store experience. Each concept shops drove very meaningful improvement in sales trends in our pilot stores during the test period.
Additionally, this fiscal year we have begun to make important investments to drive growth for our general merchandize business in fiscal '20 and '21, including drop-ship capabilities this fall and the next generation digital commerce platform expected to be live in fiscal '21.
As disclosed in this morning’s press release, we have realigned our reporting segments to reflect our new go-to-market approach. We now have the following three reportable segments; retail, wholesale and DSS. The new retail and wholesale segments reflect changes we have made internally to combine physical and virtual store sales teams to more proactively identify and actively pursue new institutional business.
The retail segment combines the operations of the former BNC segment with MBS direct’s virtual bookstore sales operations from the former MBS segment. The wholesale segment is comprised of the MBS wholesale business which provides a comprehensive selection of new and used textbooks at a lower cost of supply to approximately 3,500 physical bookstores, including our retail segment’s 772 physical campus bookstores.
Our wholesale business also sources and distributes new and used textbooks to our 676 virtual bookstores. Additionally, through our wholesale segment we saw hardware and a software suite of applications that provide inventory management and point-of-sale solutions to approximately 400 college bookstores.
The DSS segment operating components of student brand and bartleby remain unchanged. We believe the realignment of resources and related reporting segments will deliver significant benefits and allow BNED to deliver growth and net new store contracts.
Our campus stores, whether physical, virtual or a combination of both, provide incredible value to institutions across the country and are a key competitive differentiator for BNED. We’re already starting to see the positive impacts of our larger and combined new business sales force.
In fiscal 2019, net new store sales were impacted by some large competitive losses and fewer new business wins. So far in fiscal '20, we expect annualized net new store sales to be approximately 35 million as we drive new business wins and narrow competitive losses. We are very encouraged by these initial results of our new unified sales teams.
We introduced our DSS reporting segment just one year ago and by this upcoming fall rush, bartleby learn is expected to grow to offer nearly 2 million step-by-step homework solutions across approximately 1,200 titles. Students can also now access a relatively new and developing Q&A feature to ask homework questions to experts virtually.
We experienced a strong initial demand for bartleby learn which added more than 50,000 subscribers during our first in-store sales push in our spring rush period. We are focused on and anticipate continued bartleby subscription acquisition growth as we head into our fall rush period and greet a brand new cohort of students.
Our physical footprint on campuses nationwide together with our deep knowledge of student course material consumption remains a significant competitive advantage allowing us to better inform and manage the cost of our bartleby content development.
Our entire company is focused on growing bartleby subscribers in recognition of the value we can deliver to both students and institutions and also the high margins this business will contribute to BNED as it scales.
DSS is a much different business than our historical one. The power of leveraging all of our physical and virtual assets together is unique to us and will become evident as bartleby scales. The success of our DSS segment is key to unlocking shareholder value and we are very focused on making that happen.
Our DSS offering also complement our institutional offerings and can bring added value to our partners and the students that they serve. We recently completed a survey of more than 100,000 students nationwide which found that nearly 50% of first year students are interested in paying a one-time cost for access to all supplemental digital tools and resources that are bundled with tuition.
We believe there’s a strong opportunity to offer these types of bundled offerings through BNC FirstDay, our inclusive access model, delivering institutional digital product bundles and an inclusive access model would accelerate bartleby scale objectives with minimal acquisition costs while mitigating the churn so normally associated with such digital subscription products. We are actively exploring institutional bartleby offerings that determine the optimal packaging and pricing.
FirstDay is a strong example of the value we can bring to partners from a content distribution standpoint. Inclusive access has become increasingly popular on college campuses as institutions look for solutions that will drive down cost and enhance outcomes for students.
Entering fiscal '19, we had already entered into additional distribution agreements with the three largest [hired] [ph] publishers. This year we expanded our digital distribution and FirstDay relationships with multiple publishers including Oxford, Wiley, Macmillan Learning, SAGE and Norton enabling us to offer even more content through our FirstDay platform.
Inclusive access models are incredibly important in terms of the increased penetration that they drive. At our schools using FirstDay we see sell through of more than 90% versus the traditional sell through rate of approximately 35%. So even if digital content pricing is lower than physical content ASPs, the increased volumes result in a better business model for both BNED and the publishers and importantly more affordable prices for students.
As more content moves digital in the long term, FirstDay high sell through penetration is expected to be a significant driver of revenue. We continue to see success with our FirstDay model with revenue from FirstDay sales increasing 92% year-over-year.
To further enhance the value we offer institutions, this summer we are launching the BNC adoption and insights portal, a new innovative platform that will transform how faculty and academic leadership research, submit and monitor course material selections, affordability and student success.
This tool provides a highly personalized user-friendly experience, actionable insights with high-impact [reporting] [ph] dashboards and more. The initial reactions to the portal from current and prospective clients as well as publishers who may benefit from the platform has been incredibly positive.
We’re installing this platform in a relatively small number of schools in August and look forward to rolling it out to more campus partners prospectively. Tools such as this adoption and insights portal are important to our strategy for packaging and pricing digital offerings that solves for multiple pain points that our college university partners as well as their students and faculty are facing. Accordingly, the value of this and other tools we are investing in and offering to campus partners is directly contributing to recent new business success.
In our physical stores, we have introduced some exciting changes to strengthen our advantage as the official on-campus retailer. In four of our stores, we have successfully completed an innovative and promising pilot of highly curated and relatively concept shops focused on elevating our store experience. We’re very pleased with the initial results of these pilot concept shops which show higher customer engagement and improvements in sales trends during the test period. We plan to introduce these new concepts to an additional 70 stores this summer.
We are also very pleased to announce an exciting collaboration with Urban Outfitters, a favorite brand of our students. This partnership with create a one-of-a-kind retail experience in our stores bringing trend-relevant apparel and home décor direct to the college consumers. Urban Outfitters concept shops are planned for introduction in some of our stores beginning this fall.
Looking ahead, we are continuing to make important strategic investments to drive increased levels of success in our retail business to make some important strategic investments to drive increased levels of success in our retail business, particularly in the areas of general merchandize and emblematic [ph] apparel. This includes advanced digital commerce capabilities that will extend our product assortment and real-time availability for customers.
We expect to see incremental online sales growth in the first half of this fiscal year when we greatly expand our online assortment for our new drop-ship capabilities and other in-customer engagement enhancements. In fiscal 2021, we expect to launch our developing new generation digital commerce platform which will further unlock sales growth by leveraging dynamic product discovery, personalization, promotions and user experience tools to ensure that shopping experience for customers across all our stores physical or virtual is best-in-class.
Historically, we have under invested in our e-commerce platforms and we have substantial upside to capture by making online shopping and fulfillment a much better experience for our customers. Fiscal 2019 as I said has been a year of significant change and progress towards our objective of pivoting to a leading provider of both digital and physical offerings to institutional and student customers we strive to delight.
Fiscal 2020 will be a year when we will continue to allocate human expense and investment capital to our digital pivot, but we also expect to begin to see more meaningful operating results from these investments as we expect to grow bartleby subscribers, increase general merchandize sales, continue to add inclusive access model customers and add significant net new managed store business.
We will continue to manage our cost structure to reflect the realities of our physical book-related trends during this transition period we are in. We would also like to thank our entire workforce for being fully dedicated as shown by the very personal commitments and contributions each of them are making during this transition period. Our people are contributing substantially to our purpose and strategy while also essentially investing in BNED’s future with the understanding that their personal economic successes are tied to BNED success.
In our wholesale segment, revenue was down 13.5% year-over-year primarily due to lower demand. We continue to transform our wholesale segment to position MBS as an innovative service provider to the industry while also exploring additional ways to utilize MBS’ advanced distribution capabilities as in the case of publisher consignment rental programs.
As a reminder, under these agreements we do take titles for the rental books but earn margin and a fee for processing the rentals for the publishers. This model has faced market acceptance and publisher execution issues. We are working closely with the two large publishers with whom we have consignment rental agreements to facilitate improved execution with the Fall Rush of the more than 700 titles subject to this program.
While we originally anticipate that the benefits from these consignment rental programs will be more recognized in fiscal 2019, we now anticipate increased cash flow benefits to be recognized this fiscal year.
While the public market appears the value of BNED as a traditional and perhaps even troubled retailer, the strength of our assets such as our store footprint, distribution capability and general merchandize business together with our investments in digital such as bartleby, inclusive access and our adoption and insights portal are already beginning to yield positive momentum.
BNED has a unique set of assets and a strategic business model that are very hard to replicate. We remain confident in our role as a leading aggregator and distributor of educational content both within and outside of our store footprint.
Our management team continues to lead the execution of our strategy for digital transformation and both change at this scale is challenging and never happens fast enough, our entire company is energized and confident in BNED’s future and future value.
As we prepare for the upcoming Fall Rush we are highly focused on leveraging the unique strengths and expertise of each of our business units to help drive success for all of our customers.
I’ll turn it back over to Tom now for the financial review."
Tom Donohue,0,"Thank you, Mike. Please note that the fourth quarter ended on April 27, 2019 consisting of 13 weeks. All comparisons will be to the fourth quarter of fiscal 2018, unless otherwise noted.
As Mike stated and as disclosed in this morning’s press release, we realigned our business and sales organization into the following three reportable segments; retail, wholesale and DSS. The retail segment combines the operations of the former BNC segment with the MBS direct virtual bookstore operations. The wholesale segment is comprised of MBS wholesale business and the DSS segment remains unchanged.
Total sales for the quarter were 334.4 million compared with 357.7 million in the prior period. This decrease of 23.3 million or 6.5% was comprised of a 15.2 million decrease from the retail segment, a 5.8 million decrease from the wholesale segment and a 0.2 million decrease from the DSS segment.
Comparable store sales in the retail segment increased by 0.9% in the quarter as compared to a 2.0% increase in the prior year period. Comparable store sales for the full year declined 5.1% consistent with our expectations.
Comparable textbook sales for the quarter increased 0.9% as compared to the prior year increase of 1.8%. Comparable textbook sales for the full year declined 8% also consistent with our expectations.
Textbook sales continued to be impacted by lower average selling prices of course materials, enrollment declines and student’s purchases from publishers directly as well as other online providers.
Net sales for the wholesale segment for the quarter were 14.1 million, a decrease of 5.8. Net sales for the full fiscal year were 223.4 million, a decline of 35 million or 13.5%. Wholesale sales were down primarily due to lower demand.
DSS sales were 5.5 in the quarter compared to 5.6 in the prior year period. Sales for the full year were 21.3 million as compared to 15.8 million in the prior year. The consolidated gross margin rate for the quarter was 35.1%, down from 35.9% in prior year period.
The consolidated gross margin rate for the full fiscal year was 25.9%, up slightly from 25.3% in the prior year period. This is primarily attributable to a shift of lower margin digital products and higher contract cost related to contracting all the new store contracts.
Selling and administrative expenses in the fourth quarter decreased by 7.6 million or 7.2% compared with the prior year period and decreased 9.9 million or 2.3% for the full fiscal year. The decrease in the retail segment for the quarter and the full year was primarily the result of decreases in physical store payroll and operating expenses, a decrease in a lot of our digital operations, a decrease in virtual store payroll and operating expenses and a decrease in corporate payroll and infrastructure.
Wholesale expenses decreased in the fourth quarter and the full year primarily due to lower payroll expenses and professional fees. DSS selling and administrative expenses increased in the quarter and the full year primarily due to the ongoing cost associated with the development of bartleby as well as cost related to the student brands and other digital offerings.
Corporate services in the quarter and the full year increased as a result of higher professional fees. During the fourth quarter, due to the change in our segment presentation and reporting units, we performed an interim goodwill impairment test and concluded that the carrying values of the retail and wholesale reporting units exceeded their respective fair values. As such, we recognized the non-cash goodwill impairment loss of 49.3 million or 36.5 million after tax on a net tax basis consisting of the carrying value of goodwill allocated to each of those segments.
Additionally, as a result of certain other operational changes, we recognized an 8.5 million non-cash impairment loss primarily related to certain other long-lived assets. We recognized the 4.7 million and 7.2 million charge of restructuring and other charges during the fourth quarter and during fiscal year 2019, respectively. Restructuring and other charges are primarily comprised of severance and transition payments related to senior management changes, employee termination cost and benefit cost.
Our cash balance at the end of the quarter was $14 million, a slight decrease compared to the 16.1 million in the prior year period. There was 133.5 million in outstanding borrowings compared with 196.4 million in outstanding borrowings in the prior year period. The decrease in borrowings for the year is primarily attributable to the improved free cash flow.
In fiscal 2020, we expect the average debt to be approximately $100 million with peak borrowings of approximately $200 million fully repaid during our Fall Rush with additional borrowings until the end of the fiscal year. This is a similar pattern to fiscal 2019.
CapEx for the fourth quarter was 14.7 million compared with 12.7 million in the prior year. CapEx for the full fiscal year was 46.4 million as compared to 42.8 million in the prior year. Increases in CapEx were due to our continued investment in digital.
Currently, our retail segment operates 1,448 college, university and K-12 school bookstores comprised of 772 physical bookstores and 676 virtual bookstores. As of today, we have contracts to open an additional 78 stores in fiscal 2020 with 37 additional known closings. This would bring our total physical and virtual store count to 1,489 locations net of closed stores.
For fiscal 2020, we expect consolidated adjusted EBITDA to be between 90 million and 100 million. Due to the continued investments, capital expenditures are expected to increase from fiscal 2019 by approximately $10 million and are expected to be in the range of 50 million to 60 million.
We expect free cash flow to be between 25 million to 40 million as compared to the 39.7 million in fiscal year 2019. We define free cash flow as adjusted EBITDA less capital expenditures cash interest and cash taxes.
With that, we will open the call for questions. Operator, please provide instructions for those interested in asking a question."
Operator,1,Certainly. [Operator Instructions]. Your first question comes from the line of Alex Fuhrman with Craig-Hallum Capital. Your line is open.
Alex Fuhrman,1,"Great. Thanks very much for taking my question. I wanted to ask about the outlook for next year. I apologize if I missed this maybe in the prepared remarks but didn’t see a revenue guidance in the press release. So just curious as you’re thinking about your EBITDA and free cash flow guidance for the year, just what type of revenue trends are baked into that? And specifically looking at the new reportable segments, is there anything major to call out in terms of trends you’re seeing so far this year on the top line?"
Mike Huseby,1,"Hi, Alex. This is Mike. We decided not to give revenue guidance. There’s so much change in business model around – here’s an example like publisher consignment rental where we don’t take titles of books, we only book the fees and the margin that we receive off those transactions. We want to get away from comp store sales because we get thrown into the retail bucket. While it’s important information, we’ll continue to disclose it. We really are trying to focus managing the business on margin and cash flow as we move to more and more digital, the deals that we’re cutting with publishers and other partners are really more focused that way. So in terms of revenue trends, I think the one thing that we have alluded to is the new business. We’re really happy with – we’re pleased thus far with the new sales force and what they’re doing and just our approach to go-to-market approach. So we’ve given some information on what we expect or at least have experienced thus far in net new store sales. I think there’s no reason to believe that the trends that we’ve been seeing are going to change markedly as it relates to physical books in the coming year. Trying to forecast average prices and what publishers are doing in the mix has proved to be very difficult. For example, we sold a lot of lower margin looseleafs types of publications to schools last year instead of following through on the publisher consignment rental. So the revenue forecast to us just aren’t as germane as trying to give the market a sense of what EBITDA and free cash flow look like in CapEx. 
CapEx is really important because of the investments that we’re making and how they’re driving the expansion of the products and accelerating the time of digital. One thing I talked about during the comments is the adoption and insights portal that we’re rolling out. That’s been invested in. We’ll see the benefits of that. But the important thing there also is that it’s really a tool that’s needed by colleges and ones that we’re showing it to in proposals and other current situations really want these tools now to manage what’s increasingly complex business for them. So the answer to your question simply, we’re not giving revenue guidance. We’re not going to talk about forecasting the specific trends unless something we have fairly high degree of confidence on, but I don’t think that on the physical side the trends directionally will change from where they’ve been in the last few years. We don’t tend to get value based on revenue and revenue movements. All our conversations and our valuation in the public market seem to be more based around EBITDA and what we’re doing with pivoting to digital such as we’re emphasizing this, we’re managing to."
Alex Fuhrman,1,"Sure. That’s helpful. Thanks. And then if I could ask just about the digital segment specifically I guess the bartleby piece. It sounds like you’ve got some nice early signs of subscriber growth there. Just wondering what it’s really going to take for you to get that business and turn it into a growth engine? Obviously there’s a big competitor out there with a similar product that’s been doing very, very well over the last couple of years. Do you feel that you have the content is as robust as you need it to be to really be able to put the foot on the gas in terms of marketing or is there maybe some lifting still there to happen, just curious where you feel that product is heading into the new school year?"
