speaker,q&a,content
Operator,0,"Ladies and gentlemen, thank you for standing by. Welcome to the Brooks Automation Q4 2018 Financial Results Conference Call. [Operator Instructions] As a reminder, this conference is being recorded Monday, November 19, 2018.
I would now like to turn the conference over to Lindon Robertson, Executive Vice President and Chief Financial Officer. Please go ahead."
Lindon Robertson,0,"Thank you, Operator and good afternoon, everyone. We would like to welcome each of you to the fourth quarter financial results conference call for the Brooks fiscal year 2018 ended on September 30 of this year.
A press release was issued after the close of the markets today and is available at our Investor Relations page of our website, www.brooks.com, as are the illustrated PowerPoint slides that will be used during the prepared comments during the call.
I would like to remind everyone that during the course of the call we will be making a number of forward-looking statements within the meaning of the Private Litigation Securities Act of 1995. There are many factors that may cause actual financial results or other events to differ from those identified in such forward-looking statements. I would refer you to the section of our earnings release titled The Safe Harbor statement. The Safe Harbor slide on the aforementioned PowerPoint presentation on our website and our various filings with the SEC including our Annual Reports on Form 10-K and our Quarterly Reports on Form 10-Q. We make no obligation to update these statements should future financial data or events occur that differ from the forward-looking statements presented today.
We may refer to a number of non-GAAP financial measures, which are used in addition to and in conjunction with results presented in accordance with the GAAP. We believe the non-GAAP measures provide an additional way of viewing aspects of our operations and performance, but when considered with GAAP financial results and the reconciliation of GAAP measures, they provide an even more complete understanding of the Brooks business. Non-GAAP measures should not be relied upon to the exclusion of the GAAP measures themselves.
On the call with me today is our Chief Executive Officer, Steve Schwartz. We will open with his remarks on the business environment and our fourth quarter highlights and we will provide an overview of the fourth quarter financial results as well as the fiscal year financial results and a summary of our financial outlook for the quarter ending December 31, which is our first quarter of our fiscal year 2019. We will then take your questions at the end of those comments.
With that, I would like to turn the call over now to our CEO, Steve Schwartz."
Steve Schwartz,0,"Thank you, Lindon. Good afternoon, everyone and thank you for joining our call. We're pleased to report to you on the results from a strong Q4 and on another fiscal year of excellent performance.
Fiscal 2018 was a very important period for the company as we believe that it's demonstrates a high level of operating and strategic agility. In the year, we grew revenue 19% and EPS by 27% and this was following our fiscal 2017 year when we grew revenue 24% and earnings by more than 150%.
Additionally, in Q4, we announced two significant business transactions that will not only be transformative but which meaningfully repositioned the company on a trajectory that we've been aiming toward for a number of years. It's been no small feat to keep the business running with increased profitability, strong revenue growth above the rate of the underlying market opportunity and simultaneously implementing company changing transactions.
It's a testament to a very capable and engaged Brooks' team and though our results have been exceptional what energizes us even more is that we have yet not yet begun to recognize the value of these transactions in our performance. We truly believe that we are in the earliest days of what's an opportunity of tremendous value creation from the capability that we've constructed.
As we enter fiscal 2019, we're in the midst of an uncertain semiconductor equipment environment, but it's important to note that these are still historically very high levels of spending. We are making the most of it as we've retooled our product and technology offerings to take advantage of high growth sectors that continue to outperform the overall space.
And you'll see in our results that the semiconductor portion of our business has performed much better than if we've been only a subsystem component supplier to front-end equipment companies.
On the life sciences front, the demand drivers for the capabilities that we've crafted remain solid and the opportunities are growing at a pace that also sustains strong growth for many years to come.
The addition of GENEWIZ capability to our offerings significantly enhances, not only the value proposition to our customers, but also brings meaningful potential customer synergy, as I will discuss more in my remarks about GENEWIZ.
To put a finer point on how we view the current market environment, even in a flat to modestly down year in 2019 wafer fab equipment spending, we are confident that our semi business will grow year-over-year.
And by year end, we expect that life sciences will once again grow 20% organically and should exit 2019 at close to $400 million run rate, bringing life sciences to more than 40% of overall revenue. In his remarks, Lindon will put this perspective into an outlook for overall business and he will give you our thoughts on implications for 2019 and beyond.
We have a lot of information to share with you today and we'll do our best to provide clarity as we described the impact of the many changes that are occurring in the company. Lindon will speak in a moment about our financial results and he'll orient you toward our future state and outlook in terms of continuing operations, which excludes semiconductor cryogenics and includes GENEWIZ.
In my remarks about Q4, I will mostly focus on non-GAAP performance as if we have not announced the sale of our cryogenics business, as we feel it's important and useful to describe our performance against the expectations that we set one quarter ago.
With that as an introduction, I'll begin. We had a strong finish to 2018 with Q4 revenue of $208 million and $0.40 of non-GAAP EPS. On a sequential basis from the June quarter, life sciences was up 2% and semiconductor decreased by 10%, both consistent with our guidance and expectations. I'll give a brief summary for each of the two business segments before I comment on the implications of our recent strategic moves and I'll start with life sciences.
Q4 revenue was $51 million, up 16% year-over-year, in total and 6% organically. In Q4, the sample storage business grew 19% year-over-year, consistent with the range we've observed since we entered this business three years ago. Automated storage systems were down 7% in the quarter, but still up 14% for the full year compared to 2017. There remains some variability in this portion of the business but this is a good growth market for the long-term.
In one important development, we had a breakthrough in our new cryo sample management area as we received two orders totaling 16 B3C cryo storage systems from one of the leaders in cell therapy with an approved drug. Most of these systems are planned to be shipped in the second half of our 2019 with the units being used across the workflow to help the customer to manage QC, work in process, to stage final products and for the long-term storage of retained doses.
This is a major milestone for the cryo product offerings and a very meaningful endorsement of our technology solution in this complex temperature critical cold chain. It's exactly for this type of application that we extended our cold chain offerings into cryogenic temperatures. We look upon this meaningful first win as one seed planted with much more opportunity ahead.
A few of the full year highlights include revenue of $197 million, up 32% from fiscal 2017, organic growth was 14%. Operating profit expanded to $9 million and we grew backlog to $273 million, up approximately $15 million from one year ago. We completed two acquisitions, 4titude and BioSpeciMan.
And for the year, we added 200 new customers, a 20% increase year-over-year and orders from these new and our existing customers is what gives us confidence in our ability to re-accelerate growth headed into 2019. All in, 2018 was a strong building year for the life sciences business. We met our 30% growth commitment and we integrated two new acquisitions and introduced several innovative new products to the market.
One of the most notable achievements in 2018 was our agreement to acquire GENEWIZ, a hugely capable growth company that particularly fills an opening in our cold chain offering. As we announced on November 15, we have closed on the acquisition of GENEWIZ and already we are going full speed ahead with our integration and assimilation of the company.
GENEWIZ has an annual revenue run rate of more than $120 million and has been growing more than 20% per year. They're more than 1,100 people strong and more than 250 employees are advanced degree genomics experts. GENEWIZ currently serves more than 4,000 customers worldwide and they bring tremendous capability to Brooks.
Their principal lines of business involve the reading and writing of genes, an extremely valuable set of offerings to customers for whom we already manage samples. We're fortunate to add GENEWIZ's capabilities to our sample management offerings as their customer focus and high-quality offerings are a perfect cultural and performance fit with what we've created at Brooks.
In terms of what it means to have GENEWIZ as part of the company, we see more growth opportunities from the additional services we can provide to our respective customers, sample management to GENEWIZ customers and more genomic services to our current customers. Additionally, there exists more leverage opportunities for our complementary global footprints, especially GENEWIZ's very strong presence in China, and Brooks' capabilities in Europe.
Looking ahead, expectations for our total life sciences business include higher growth in the core life science business, as we accelerate off the low point at September and start to move back toward our long-term 18% to 20% growth capability. And for the 2019 fiscal year, we anticipate that both sample management and GENEWIZ will deliver 20% growth and we'll exit the September quarter close to a $400 million run rate.
In terms of business build out, we still have an appetite for more samples, both by the addition of new customers and from the addition of more samples from existing customers. We also continue to look for, and evaluate complementary acquisitions of sample storage providers that meet our quality and value criteria. But our immediate priority is to assimilate GENEWIZ, to ensure continued growth and to capitalize on revenue synergies between sample management and GENEWIZ offerings.
As we move into 2019, we're focused on delivering more of the profit potential, which should come from a business of this size. We're a couple of quarters behind on results from some of our operational improvement initiatives, but we are focused and committed to delivering these improvements without sacrificing the growth opportunity that's inherent in this business. I emphasize that we are in the earliest days of the definition and capture of this market opportunity and we're building a business for the long haul.
I'll now turn to our semiconductor business. Our semiconductor engine continues to drive us forward. Design win activity was once again robust and from an operation standpoint, we delivered more gross margin improvement, even as revenue lightened by 10% from the June quarter, coming into the $157 million.
Despite the drop in the September quarter, semi revenue was still up 14% over the same quarter one year ago, and overall semi revenue for the full year was $631 million, up 16% from fiscal 2017. Our key segments continued to provide our growth and importantly, we will retain all of our same growth drivers after the sale of the cryo vacuum business. I'll address each of them now.
Not surprisingly, our vacuum automation business was down sequentially in the September quarter as Tier 1 OEM shipments were sharply curtailed, as demand has slowed. In the aggregate, vacuum automation was down sequentially 25% in the September quarter, consistent with the pattern in the industry for lower front-end process tools shipments and some inventory burn off.
However, inclusive of the slowdown in the September quarter, our year-over-year performance in vacuum automation remained very strong, with revenue up a full 18% in fiscal 2018 compared to a year earlier. This is the result of a combination of the expansion and deposition in etch markets, plus the results of our persistent market share increases, as we continue to win vacuum systems business from Tier 2 OEMs and we replaced more legacy internal vacuum robot designs from Tier 1 OEMs.
We ended the year strong in advanced packaging, with revenue for the quarter coming at $14 million, bringing our full year total to $56 million, up 23% over fiscal 2017, and double the $28 million we delivered in 2015. Our customer base continues to expand, as does the number of design wins we're capturing, assuring us a strong position as the market develops. And although we cannot accurately predict the market for this opportunity, we know that the technology trend, coupled with our high design win and market share positions us well for the future.
In contamination control solutions, revenue was $23 million, up 8% sequentially with CCS reticle storage business contributing $7 million in the quarter, up from $4 million in the June quarter. TCS revenue, excluding reticle stocking, was approximately $16 million, down 8% from June. We believe that the combination of CCS with the reticle stocking business represents a valuable long-term growth vector for the company.
Our outlook for CCS is for growth again, in the December quarter. And order activity is giving us confidence that the March quarter may be a stronger quarter as we've seen in two years, as the 7-nanometer early buildout activity looks to be starting in the first part of calendar 2019.
In terms of our outlook for the overall semiconductor business, in December, we have a chance to demonstrate the value of our diversified growth portfolio. We forecast our semiconductor business to be flat plus or minus a few percent, led by CCS strength, systems growth for advanced packaging, and Tier 2 OEMs, and new design wins coupled with relatively flat and stable outlook for vacuum robots, as we believe any inventory effects were mostly cleared in the September quarter.
At this juncture, we're forecasting March to be an up quarter, making September and December the low points for us in the cycle. If this is the case, then our semiconductor low point this cycle will be approximately 12% below our June peak, yielding performance that is more resilient compared to the business of US-based Tier 1 OEMs and the subsystem suppliers for these OEMs. This we believe is a meaningful and significant testament to the semiconductor product portfolio that we've transformed into, and this holds true including or excluding the semiconductor cryogenics business.
We are pleased with the performance of both our semiconductor and life sciences businesses and we're eager to deliver on the next phase of our growth agenda. For those of you who have been following our transition, you aware that we're in the middle of a strategic transformation of the company. And with the two significant transactions that are underway, we are eager to begin to deliver on the next level of performance afforded by our company with profitable growth prospects in not one, but two very attractive technology markets.
Our strategy to focus on technology advanced high growth, high value automation opportunities has been central to the improved performance of our semi business and we're pleased with the position that we solidified over these past few years with both Tier 1 and Tier 2 equipment makers, as well as end-user chipmakers, thereby, creating a broader customer and application base and building stronger positions in Asia, where we have customers who uniquely serve customers in region.
In life sciences, we've created a unique value platform in the management of samples for pharmaceutical and life sciences companies, research and academic institutions and myriad startup ventures, who now have a means to manage faster trials without the burden of having to create their own sample management infrastructure.
With the addition of GENEWIZ to our offering, we have a tremendous value-added capability for genomic analysis across a wide spectrum of offerings, plus additional services like gene synthesis, for which existing customers will be able to utilize one supplier for many of their bio sample processing needs.
That said, in the near term that is, our Q1 and Q2, there will be some significant perturbations to the numbers that we report, in terms of both revenue and earnings per share from what we've delivered lately.
As we move the semiconductor cryogenics business to discontinued operations, and in Q1, we will report only a partial quarter of GENEWIZ revenue. Additionally, we maintain many transition-related costs associated with the transfer of one business, and the assimilation of another that will continue to flow through our P&L for a few more quarters.
As we conclude these transactions, and re-establish a more normal business pattern, you will witness a higher growth, more profitable company emerge as a result. As we effect this transition, we will report all of these movements with clarity and precision, and we will ask you to keep sight of the upshot of our transformation that will begin to prove out in the following key deliverables.
One, even with the sale of the cryo vacuum business, which contributed approximately $200 million of 2018 revenue, we intend to at least match 2018 revenue in 2019. Two, the growth of our new continuing business should be inherently higher and less volatile than our already high growth business.
Three, profitability as measured by earnings per share is expected to recover to last year's peak quarters by the middle of 2020. And four, one year from now, more than 40% of our revenue will come from life sciences, even as we grow our semiconductor business. This is a significant transition indeed, and we believe an opportunity to deliver tremendous customer and shareholder value.
And that concludes my formal remarks. I'll now turn the call back over to Lindon."
Lindon Robertson,0,"Thank you, Steve. Please refer now to the PowerPoint slides available on the Brooks website under our Investor Relations tab.
To start the remarks, I would like to draw your attention to Slide 3, providing a quick snapshot of results and the GAAP results at the top, you will see a very different revenue numbers than what you are accustomed as we have moved to a split of the continued and discontinued operations view. The revenue of $160 million excludes revenue from the semiconductor cryogenics business, which is pending the closure of the sale that is expected to occur in our second fiscal quarter of 2019.
Looking at the non-GAAP stated below, you can see that when we include the cryogenics business, our revenue came in at $208 million or 7% lower than Q3. It is also interesting that in the comparison of the year-to-year growth rates, when you remove the cryogenics revenue, the total growth is lifted from 14% to 19%.
This will of course vary in any short period of time, but this is indeed the indication of the longer-term our portfolio will see faster growth as we move to the future. Non-GAAP earnings per share on the same definition of the business in which we have discussed and guided in the past, came in at $0.40.
On Slide 4, we will dive deeper into the non-GAAP P&L as if the business remained entirely integrated, just as we guided at the end of last quarter. First, I'll connect you with the revenue, I just showed on the prior page. In the first column, you see fourth quarter results for the cryogenic revenue included in the $208 million. This result, as I said, was 7% lower than the third quarter, 14% higher than one year earlier and non-GAAP operating margins expanded 80 basis points on the revenue growth and leverage showing up in gross margin and operating expenses.
Below operating income, we saw $2 million of interest expense from our term loan, which was new year-over-year and we had $1.9 million of income from the cryogenic joint venture and also, a lower tax rate this quarter. In total, earnings per share was 15% higher on 14% revenue growth compared to the fourth quarter of 2017.
On the right side of the page, you see the full-year results of 2018, where we had $1.57 in earnings per share for the year, which is 27% higher than the prior year. It was a year of high performance for Brooks. The revenue growth of 19% includes cryogenic revenue in both years, life sciences delivered 32% growth and the total of semiconductor grew 16%. Gross margin expanded 180 basis points, driven by improvement in semiconductor solution margins.
Operating expenses shows growth with revenue, a portion of which was driven by new acquisitions. We did see improving tax rates for the year at 11% versus 15% in 2017. However, offsetting this interest expense of $8 million was incremental for the year, reflecting approximately 4% interest rates on the $200 million term loan.
The joint venture income decreased this year to $6.8 million and I'll highlight that this joint venture income is from our share of the UCI venture in Japan. This aligns with the cryogenics business which is being sold, so when we transition to the continuing operations view, you will not see this line item. Overall, we report 27% earnings per share growth on the 19% revenue growth all in, the definition of how you have known us in the past with the cryo business included.
Let's turn to Slide 5, and I will translate to our new continuing operations view so that we can focus on the future for the remainder of our discussion. This is the same time period of Q4 in 2018 full year under the continuing operations accounting treatment. You will immediately notice the revenue of $160 million for the fourth quarter and $632 million for the full year does not include the cryo business. You can see the higher growth rates in each column for continuing operations after removing the cryogenics business. In the area of margins, we have reallocated the infrastructure, which is shared across the business lines.
The total of cost and expense, which was allocated to the cryogenics business was in the range of $20 million annually. This puts approximately 1 point of pressure on gross margin, and an additional four points in expense for an approximate total of 5 points on operating margins. Below operating margins, the income from the joint venture goes with the sale, as I said earlier.
In summary, there are some temporary headwinds to the separation of the cryogenics business as we will see pressure on margins in the near term. We are of course revisiting the infrastructure for efficiency opportunities in 2019, looking to reduce some of the stranded cost. But let's keep this in the context of transformation.
We are receiving $675 million cash price for the business we sold, the portfolio is tuned for higher growth rates and we'll gain back the leverage as we have kept the higher profit drop through, which will accumulate quickly. More about this in a few moments, but for now, let's turn to the segment performance.
I will address semiconductor first on Slide 6. The semiconductor business has provided strong growth for two years straight now, as Steve has commented, 15% growth this year came despite a softer year in contamination control solutions. The growth has been driven by strength in the advanced functionality of our MagnaTran LEAP robots and the expansion of system sales and to the second tier OEMs. You may recall from Analyst Day in June that Dave Jarzynka outlined the value of new design wins from 2017 and 2018. We're seeing that value play out now and the gross margin movement is also aligned with this value.
It is important to note, once again the reallocation of our corporate and shared cost into the segments. As the cryogenics businesses is sold, we have reallocated our G&A and our other cost, resetting the baseline of operating margin. The semiconductor business is impacted by 5 points of operating margin in 2018.
Moving on to Slide 7, we see life sciences. I want to first highlight that this segment was also impacted by the reallocation of the stranded cost to the tune of about three points on operating margins. Revenue has continued to make progress in life sciences, this page provides a really clear picture of our revenue story for the year. At our year-end call at this time last year we indicated the revenue will grow more than 30% in 2018 based on what we were owning at that time. Our growth rate came in at 32% year-over-year.
The Canada-based storage services business, which we acquired in the third quarter had a very small impact and does not move the growth rate. We made the growth target as we expected. And the life sciences business has had 13 consecutive quarters of sequential growth. It is a steady track.
With that said, we acknowledge the organic growth rate has slowed again this quarter. As Steve explained, the pipeline of contracted customers and expected contracts gives us confidence in a 20% growth again this year. This gets us to about $235 million in 2019. I should note for you that we anticipate an approximate $5 million impact from the - on an annual basis, from the new revenue recognition standards, which becomes effective for us immediately in the first quarter. The $235 million target allows for this change.
Regarding gross margins, the life sciences business saw a sequential progress in most portions of the business in the fourth quarter, but still missed the store systems target due to higher cost to produce the stores. Going forward, the business sees a partial step of progress in our first quarter, but not all the way to 40%. In total, we expect this portion of our life science business to be in the range of $51 million to $53 million in revenue and to bring gross margins above the 39% level.
Let's move on to the balance sheet on Slide 8. You could note that the assets held for sale treatment was handled and for the discontinued operations of the cryogenics business, there's a line for this, in the short term and the long-term asset section.
Also notable is the increase of the goodwill and intangibles, all driven by the acquisitions in the year, that being 4titude and BioSpeciMan in our life sciences segment and Tec-Sem in our seminar semiconductor segment. Net of the acquisitions and divestitures, we had flat performance year-over-year and receivables day sales outstanding and inventory turnover.
As a reminder, the strength of our balance sheet allowed us to move forward with the acquisition of GENEWIZ for $450 million, which will add to the balance sheet in this first fiscal quarter of 2019, along with $350 million of incremental debt. If you look further into the second quarter, we expect to pay down much of the debt as we expect to close the sale of the semiconductor cryogenics business. That price again was $675 million. If you net the two deals, we expect to yield approximately $90 million of net cash. We intend to pay down all of the $350 million incremental debt and a portion of the $194 million that you still see on the balance sheet today.
Turning to Slide 9, we report on our cash flow. In 2018, we produced $74 million of operating cash, of which $31 million came in the fourth quarter. It is notable that $47 million was added to working capital. As I indicated on the balance sheet, our performance metrics on working capital was consistent with our growth, so we are well positioned for 2019 in this area.
CapEx was a normal year for us in 2018 at $13 million. I will highlight now, that we expect an increase in this line in 2019 to a range of approximately $30 million to $40 million. We estimate $20 million to $25 million is aligned with our traditional businesses, including the advancement of product and semiconductor, and growth for life science sample management. The other $10 million to $15 million will support GENEWIZ growth. We paid out $28 million in dividends to shareholders in the year and finished the year with $251 million of cash on the balance sheet and a net cash position of more than $50 million.
Now turning to Slide 10, let's take a look toward the future. Last week, we have just completed our largest acquisition yet in the life sciences space. The addition of GENEWIZ extends our ability to serve our customers in managing samples. Genomic services, including sequencing and synthesis, is a critical input for research and development and most dimensions of advancing health care today.
More than 4,000 customers in pharma, biotech and academics, around the world are using GENEWIZ as their sequencing and synthesis service provider. A deliverable in this business is high quality data, assistance in the research steps to solve challenging analysis, and fast delivery to accelerate the steps of research.
GENEWIZ has driven growth of 25% over the recent years, reaching $120 million over the 12-month period of our 2018 fiscal period. You can see, they have secured premier customer relationships, in which many are shared in our life sciences sample management business, of many will be new relationships on both sides. It is a significant step in building our comprehensive offerings to sample-based services.
Based on the November 15 closure of the acquisition, we expect GENEWIZ to contribute approximately $120 million of revenue in the remaining 10.5 months in our fiscal year 2019 and we expect it to carry non-GAAP gross margins of approximately 50%.
Let's go to Slide 11 to look at the impact from the acquisition of GENEWIZ, and the pending sale of the semiconductor cryogenics business to our Brooks growth trends. As already explained, the cryogenics business has moved to discontinued operations. This business had $196 million of revenues, so we reset the revenue for continued operations at the $632 million level. As we look specifically to 2019 revenue expectations, I can build you back to the $828 million level, and a little higher, as we expect to completely replace it within the year.
The GENEWIZ business is expected to add $120 million to our business, as I just mentioned. We remain on a 20% revenue growth in the life science sample management business, providing approximately $40 million of incremental revenue for the year.
In the semiconductor segment, we will show you the guidance in a moment, indicating an approximate flat quarter-to-quarter revenue trend on the continuing operations. However, this is approximately $13 million higher than the first quarter of 2018. And as Steve has already indicated, we see some signs of expansion in the second quarter and some confidence for the year.
Overall, we believe the total of these to bring our 2019 fiscal year back above the $828 million seen in 2018, but replacing the cryogenics business with higher growth components, we expect that earnings per share with this to exceed $1 per share. Remember, this is transformational period, where life sciences will become approximately, well somewhere more than 40% of the revenue, and will be increasing in profit margin.
We will also reduce some of the stranded cost, and be stronger as we leave the year. And from there, we anticipate revenue growth range to approximately 15%, getting us to exceed to excess of $1 billion by 2021. This represents 17% to 20% growth rate in life sciences, and an 8% to 10% in our semiconductor automation business.
The transformation ramp and objectives are set with the ramp of revenue replacing and catching the historical level of revenue within this year, then catching the operating profit and margins in 2020. And we believe the business is positioned to be a growth business for the long time to come.
So, let's turn to Slide 12, and look at the guidance on this quarter of transformation. We see the revenue being in the $170 million to $180 million range. This reflects an estimate of semiconductor to be flat quarter-to-quarter, life science sample management to expand another 2%, and the addition of $13 million to $16 million of the GENEWIZ business in revenue.
Earnings per share of $0.17, reflects consistent profit contribution of the semi segment, and about a 1 point of improved gross margin in life sciences. When you combine this with approximately $3 million additional interest expense, and a higher tax rate, now expected to be in the range of 23%. GENEWIZ is expected to be accretive in the quarter, nearly offsetting the incremental interest expense.
So, this concludes our prepared remarks. I'll now turn the call back over to the operator to take some questions from the lines."
Operator,1,"[Operator Instructions] One moment please for the first question, which comes from the line of Patrick Ho with Stifel. Please go ahead."
Patrick Ho,1,"Thank you very much for the information, on a very busy time for you guys. Steve, maybe first off, on the semiconductor side, your outlook is very promising, particularly given some of the commentary from your component peers. Can you discuss, I guess on the vacuum automation side of things, what's the difference in terms of the inventory work down time period, where the buying habits or the purchasing habits of customers that lead you to bounce back sooner from this inventory work down that others are seeing?"
Steve Schwartz,1,"Yes, Patrick. So, we know we burned some inventory in the September quarter, but we're continuing to ship components to the Tier 1 OEMs. So, we think we're in pretty good balance there and we've been able to meet the requirements they have. So, I don't know that there was as much inventory build, because if we sell a robot for each particular configuration, it's specific to a tool type.
So, it's not like they can use a single robot for seven or eight different platforms. So, we think we've been pretty tight and pretty close there. Indeed, there was some excess inventory, but we think that part is largely been burned off.
In terms of the additional automation components that we ship, in addition to Tier 1 OEM robots, we ship systems, vacuum systems to Tier 2. Suppliers in those markets are not necessarily all front-end. So, some of those are advanced packaging applications, and so when we look at the next quarter health of the business, we believe that we're starting to see in December, and maybe even the March quarter some expansion of the vacuum automation systems that go to non-North America equipment maker, Tier 2 who supply to back-end providers in Asia, if you will."
Patrick Ho,1,"And my follow-up on the life sciences then, I know obviously, you just closed the GENEWIZ acquisition that's going to be additive on a going forward basis. But driving to that 20% target growth rate that you have for fiscal year '19, how do you look at it based on the visibility, and I guess, some of the road map that you have today, is it going to be driven really by a lot of your services business? Or is it, are you going to see more systems sales in fiscal year '19 to get to that target growth rate?"
Steve Schwartz,1,"Yes, so Pat, we got a couple of elements here. For sure, we anticipate that the services business will continue to march steadily along. We are in the high teens and 20% range for the sample management business. And from a GENEWIZ standpoint, yes, indeed it's additive and they've been growing at a rapid rate and they don't see a slowdown. So their next-gen sequencing, the gene synthesis, the Sanger business has been pretty dependable and so we think those components will remain strong.
From a store standpoint, I'll give you a little bit of perspective here, because we know this is a little bit heavier lift, the backlog remains strong. We've got some operational issues to continue to work through, Dusty and his team are really focused on this, but as I mentioned, we're a couple of quarters behind but we do have 20 projects underway and even though the year-on-year, quarter-in September was 7% down from a year ago, the business in the aggregate was up 14% and that's the kind of growth opportunity that exists in the stores business and we think we'll be able to sustain that.
One of the reasons that we've brought attention also to the backlog is the customer base, we increase the customer base by almost 20% to 200 more customers on a base of about 1,000 that we had a year ago. And we have increased backlog and in a couple of instances, we're just waiting for - I think we are more aggressive in our assumptions about when some of the collections and trials would start and we know those have been pushed so far one by a quarter and another by two quarters so that business is in backlog and we'll start to see that out in the Q2, Q3 timeframe in terms of even a boost to the services business.
So, we have some proof to bring to the table here, but we're pretty confident about the backlog that exists and the opportunities there but 20% still feels like the right growth rate and again, we can see it in the customer base and in the backlog."
Operator,1,"[Operator Instructions] The next question comes from the line of Paul Knight with Janney. Please, go ahead."
