speaker,q&a,content
Company Participants,0,"Katie Turner - ICR
Seth Goldman - Executive Chair, Board Member
Ethan Brown - President and Chief Executive Officer
Mark J. Nelson - Chief Financial Officer and Treasurer"
Conference Call Participants,0,"Ken Goldman - J.P. Morgan
Adam Samuelson - Goldman Sachs
Robert Moskow - Credit Suisse.
Kevin Grundy - Jefferies
Alexia Howard - Sanford C. Bernstein
Clay Williams - William Blair
Chase West - Consumer Edge Research"
Operator,0,"Good day, ladies and gentlemen, and thank you for your patience. You’ve joined Beyond Meat First Quarter 2019 Earnings Conference Call. At this time, all participants are in a listen-only mode. Later, we will conduct a question-and-answer session and instructions will be given at that time. [Operator Instructions] As a reminder, this conference maybe recorded.
I would now like to turn the call over to your Host, Katie Turner for opening remarks."
Katie Turner,0,"Thank you. Good afternoon and welcome to Beyond Meat first quarter 2019 earnings conference call and webcast. On today’s call are Seth Goldman, Executive Chair; Ethan Brown, Founder, President and Chief Executive Officer; and Mark Nelson, Chief Financial Officer.
By now everyone should have access to the earnings press release and Form 8-K issued today after market close. These documents are available on the Investor Section of Beyond Meat's website at www.beyondmeat.com.
Before we begin, please note that all of the financial information presented is unaudited and during the course of this call, management may make forward-looking statements within the meaning of the federal securities laws. These statements are based on management's current expectations and belief and involve risks and uncertainties that could cause actual results to differ materially from those described in these forward-looking statements. Please refer to the company's prospectus on Form F1 filed with the Securities and Exchange Commission and the company's press release issued today for a detailed discussion of the risks that could cause actual results to differ materially from those expressed or implied in any forward-looking statements made today. Please note on today’s call management will refer certain non-GAAP financial measures such as adjusted EBITDA as well as pro forma basic and diluted net loss per common share. While the company believe these non-GAAP financial measures provide useful information for investors, the presentation of this information is not intended to be considered in isolation or is a substitute for the financial information presented in accordance with GAAP. Please refer to today’s press release for a reconciliation of the non-GAAP financial measures to the most comparable measures prepared in accordance with GAAP.
Now I would like to turn the call over to Seth Goldman."
Seth Goldman,0,"Thank you, Katie, and good afternoon, everyone. We appreciate you joining us on our first earnings call as a public company. It was great to have the opportunity to meet many of you during the course of our IPO roadshow in May. Ethan, Mark and I look forward to meeting more of you when we attend investor events this year.
Last month Beyond Meat became the first plant-based meat company to successfully complete an initial public offering on a major U.S Stock Exchange. This was an important milestone for Beyond Meat and our sector as a whole, further demonstrating the potential of our plant-based innovations to appeal to a broad range of customers, including those who typically eat animal-based meats, positioning us to compete directly in the $1.4 trillion global meat industry.
The capital we raised from the IPO will provide the resources for long-term growth as we build and scale our business in the U.S and expand our operations internationally. I would like to extend special congratulations and thanks to our passionate and dedicated team, who made the IPO and our success possible. Between our management and Board of Directors, we have assembled a leadership team with significant experience in food and science to help fuel Beyond Meat's culture of innovation.
Finally, I want to stress that at Beyond Meat we are executing on what we believe is an incredibly robust long-term growth journey. And for that reason we are providing a 2019 annual outlook and long-term financial target, which Mark will review in more detail. Our guidance philosophy is to reflect anticipated growth within our existing business and any confirmed distribution wins achieved to date.
We believe this is a prudent approach given the inherent variability and the timing of new distribution wins, particularly in the foodservice channel. We will continue to maintain the operational flexibility needed to make strategic decisions as opportunities present themselves during the year. We look forward to continuing to update you on our progress in the coming quarters.
And now, I would like to turn the call over to our Founder and CEO, Ethan Brown."
Ethan Brown,0,"Thank you, Seth. Good afternoon, everyone. It's great to be speaking with all of you on our first earnings call, following our successful IPO. I will briefly review our first quarter financial highlights, provide an overview of Beyond Meat's business model, and discuss the key reasons we believe we are well positioned for long-term growth in the U.S and globally. Mark will then review our financial results in more detail, discuss our guidance and long-term financial targets. After that we will open the call up for your questions.
We are pleased to report a strong first quarter. Total net revenue increased 215% to $40.2 million compared to Q1 last year. We also saw positive trends in our key profit metrics. Gross profit margin increased over 1,000 basis points year-over-year and nearly 200 basis points sequentially. Adjusted EBITDA improved 50% from the first quarter of 2018 to a loss of $2.1 million continuing on march toward profitability ahead of our initial plan.
Given that many of you are new to our story, I want to take a little more time on this first call to provide an overview of our business model and global growth strategy. At Beyond Meat, our focus is squarely on the center of the plate protein, a segment traditionally is seen very little in step change innovation. We began with a simple question, do you need an animal to produce meat? The common understanding of meat is it has to come from a chicken, cow or pig or some other type of animal.
When we think about meat, we define it in terms of its composition. And as it turns out, meat is at a high-level, an assembly of amino acids, lipids, trace minerals and vitamins and water. We’ve developed a scientific and technological understanding as well as infrastructure over the past decade to assemble these core parts into the architecture of meat, drawing directly from plant-based sources.
We understand and use the architecture of meat to present these inputs in a way that to the best of our ability today offers the same satisfying taste, texture, aroma and nutritional benefits as animal-based meats. So instead of running plant materials in the form of feed to an animal to build meat, we are bypassing the animal and using plants to build meat directly.
We view our work as a progression of advancements, some big, most incremental toward a build of meat from plants is indistinguishable from its animal protein equivalent. Since the first days of the company, we do this in dialogue with the consumer. The voice of the consumer is deeply embedded in our products. We ask our scientists and engineers what can science do, but we ask the consumer what should science do. And here is what they told us. They’ve made it very clear that they don’t want [indiscernible] in their food, that they don't want artificial ingredients, that they feel they have too much soy and wheat in their diets already, they want familiar and short ingredient list.
It is this dialogue that led us to trademark the phrase ""eat what you love, because we believe that we are enabling consumers and their families to continue to enjoy and even increase their consumption of burgers and sausage by using our plant-based meats and avoiding some of the concerns they may have around animal derived meats.
Lastly, in addition to learning from the consumer, our willingness in the last 10 years to enter the market while still iterating the product has given Beyond Meat an important first mover advantage in several key markets. Our work begins at our innovation center, the Manhattan Beach project. The name reflects our shoreline location, but more importantly it's designed to evoke the spirit of the group of men and women who came together at the University of Chicago during the Second World War. Namely to tap into that notion that the assembly of bright scientists, engineers and managers together with the goal of this urgent, global and societal in nature can bring to life was previously residing only in imagination.
Here we work to make obsolete, our very own products on the shelf today, while introducing new products across our core categories of beef, pork and poultry. We capture this organizational mindset in a formal process which we call the Beyond Meat rapid and relentless innovation program. Our approaches resonate strongly of consumers and allowed us to achieve tremendous growth, becoming a leading disruptor in the meat category.
Over the past two years, we generated total revenue CAGR of over 130% and to broad distribution across more than 30,000 points-of-sale in both retail and foodservice channels.
To start 2019, Beyond Meat has made noticeable strides securing a runway for continued growth. We launched two new products, breakfast sausage and ground meat, which are generating significant positive consumer responses. We’ve continued to rollout in foodservice for Beyond Burger 2.0, already in this 2.0 burger platform for retail release later this summer.
We've also introduced our products in Del Taco and Carl's Jr. to much fanfare and most recently Tim Hortons began testing our new breakfast sausage in select stores. We've also made progress extending our international reach. What’s so exciting for us about the quick serve restaurant channel is it every time the consumer sees the product on the menu, it's the Beyond Meat brand. We are building our brand alongside these important partners.
Operationally, our team continues to push forward to keep a strong demand for our products. We’ve improved the efficiency of our manufacturing process. We’ve tripled our manufacturing capacity from last summer and we secured ample protein supply for not only our existing supplier, by bringing on a new U.S based supplier.
As we move forward, our growth strategy [indiscernible] innovating, including improving existing products and launching new ones. Expanding brand awareness, growing our distribution channels and investing in infrastructure and capacity to be able to serve the army's global market demand.
In a point that one can only find exciting as we look to the future, with all this activity we're still in the very early innings of growth. Based on recent Nielsen panel data, Beyond Meat has just 2% household penetration in the United States. Just as we this tremendous runway ahead we see uniquely compelling future internationally.
Beyond Meat is not only in the United States and Canada, we’ve also begun to respond to significant demand for products across Europe where we recently launched distribution and announced the new manufacturing partnership with Zandbergen World's Finest Meat, a leader in international protein supply chain. In addition, we’ve also secured limited distribution in parts of South Africa, Chile, Australia and Korea among others. While we know there's a lot of room for growth ahead, we also want to be disciplined, that [indiscernible] pursue these opportunities. Our team will look for top tier distributors that can bring the product to the right market in the right way.
In 2017 and 2018, we experienced sudden, yet sustained uptick in demand that led to temporary shortages in product supply. Subsequently, we made significant strategic investments in our own internal production capacity to support an accelerated growth trajectory. Our team is not only increasing internal capacity, but also clicking the rate of throughput across our machines.
Externally, we continue investing downstream processing partners in the form of co-packers. And finally in terms of our core ingredients of plant protein, which is today predominantly [indiscernible]. We took steps to make sure that we’ve contracts and supply in place to grow at the rate we expect for 2019 and beyond. In summary, we believe Beyond Meat is incredibly wealthy, listen for growth in the U.S and internationally.
I would like to now turn the call over to Mark Nelson, our key financial officer, who walk you through our first quarter financials."
Mark J. Nelson,0,"Thank you, Ethan, and good afternoon everyone. It's great to be speaking with you on our first earnings call as a public company. We are very pleased with our first quarter financial results and the significant opportunities for growth ahead. We’ve made meaningful investments to build a revolutionary business. As we expand our development in the U.S and multiple markets internationally. While this approach requires strong investment. In the short-term, it creates the foundation for us to leverage and scale in the medium to long-term.
As Ethan indicated, net sales in the quarter were $40.2 million, up $215% compared to the first quarter last year. This strong start gives us confidence in our expectation to exceed total net revenues of $210 million for 2019 representing a growth rate in excess of 140% compared to 2018.
Growth in total net revenues for the first quarter of 2019, growth in total net revenues for the first quarter of 2019 was driven primarily by an increase in sales of the Beyond Burger, expansion in the number of retail and foodservice points of distribution, including new strategic customers and greater demand from our existing customers.
From a distribution channel perspective, retail channel net revenues increased 111%, while restaurant and foodservice channel net revenues increased 491%, off of a smaller base versus the first quarter of 2018. This significant increase in our restaurant and foodservice volume drove our net revenues through this channel to represent over 50% of our total net revenues in the quarter.
On the product side and as a reminder, we had discontinued our frozen chicken strip product line during the first quarter of 2019, which caused our frozen product gross revenues to decline by 5%. However, as beyond meat continues to concentrate more on its fresh platform. This has delivered an increase of 304% in our fresh product gross revenues.
Now representing 90% of our total gross revenues for the first quarter of 2019. We will continue to focus on expanding distribution across retail and foodservice channels and increasing sales velocity of our fresh products. This is supported by increased supply of our product through the investments we are making on the manufacturing front that E-than discussed earlier and increased demand across retail and foodservice channels, and increasingly international customers seeking to add plant-based options to their menus.
Gross profit in the quarter was $10.8 million or 26.8% of net revenues. In the first quarter of 2019 compared to $2.1 million or 16.1% of net revenues for the first quarter. The 8.7 million increase in gross profit and the more than 1,000 basis point gross margin increase was primarily due to a greater amount of product sold, driving improved production operating leverage efficiencies. The greater proportion of revenues from beyond meat's fresh platform products also contributed to the improvement in gross margin.
Going forward over the next several years, we expect gross profit improvement will be delivered primarily through improved volume leverage, through our internal manufacturing footprint, materials and packaging input cost reductions, totaling fee efficiencies and improve supply chain distribution and logistics costs. total operating expenses were $16.1 million or 40% of total net revenues compared to $7.6 million or 60% of total net revenues in Q1 last year. This primarily includes R&D expenses of $4.5 million, a $2.9 million increase compared to Q1 last year or 11.2% of total net revenues and SG&A expense of $11.2 million, an increase of $5.4 million year-over-year or 27.8% of total net revenues.
The increase in operating expenses largely reflects higher personnel costs as we continue to expand our internal capabilities as well as higher expenses to support our expanded operations. Adjusted EBITDA was a loss of $2.1 million for the first quarter of 2019 compared to an adjusted EBITDA loss of $4.3 million in the first quarter of 2018. The improvement in adjusted EBITDA was primarily a result of our strong revenue growth and resulting gross margin achieved in the first quarter, in excess of growth in our operating expenses.
Looking ahead, we expect adjusted EBITDA to be approximately breakeven for the full-year of 2019. Additionally, while we do not provide quarterly guidance, due to the timing of product innovation launches at retail and new foodservice distribution expansion, we do expect Q2 and Q3 to represent the strongest net revenue and profit contribution quarters of the year, providing approximately 55% of our total annual net revenues with the expectation that Q3 will be greater than Q2.
Now shifting to our capital structure. Subsequent to the end of the our first quarter on May 6, 2019 we completed our initial public offering in which Beyond Meat issued 11,068,750 shares of common stock at an IPO price of $25 per share. This resulted in net proceeds of approximately $252.5 million, after deducting underwriter discounts, commissions and estimated offering expenses.
Of note, the company's $35.4 million cash balance and total debt outstanding of $30.4 million as of March 30, 2019 does not include the proceeds from our IPO. Capital expenditures totaled $3.8 million for the first quarter of 2019. Using the proceeds from our IPO, we continue to plan to primarily invest in current and additional manufacturing facilities, expand our research and development and sales and marketing capabilities as well as for working capital and general corporate purposes.
On May 31, 2019 subsequent to the IPO there were 60,122,797 shares of common stock outstanding. As we look ahead at the plant-based meat industry, we believe we have a unique opportunity at Beyond Meat to achieve strong growth today and for many years to come. Over the long-term, we expect gross margin will approach the mid-30% range. Along with adjusted EBITDA as a percentage of net revenues approaching the mid-teens level. With both of these measures approaching profitability levels in line with other best-in-class consumer packaged goods companies.
With that, I will turn the call back over to Ethan."
Ethan Brown,0,"Thank you, Mark. In conclusion we are off to a great start in 2019. We delivered a very strong and balanced first quarter, and believe we have significant momentum for the journey ahead.
With this, I would like to turn it over to the Operator for questions. "
Operator,1,"Thank you, sir. [Operator Instructions] Our first question comes from the line of Ken Goldman of J.P. Morgan. Your line is open."
Ken Goldman,1,"Hi. Thanks so much. I wanted to ask about the guidance for revenue exceeding $210 million. Obviously, you're leaving yourself not even a range, but just a big number that we can plug in there. So can you walk us through a little bit what can go right that can get this number much above $210 million and alternatively, I don’t want to say what can go wrong, but certainly what things that might go right that don’t happen necessarily that bring you back down to that $210 million levels. I just want to get a little bit of the sense of the puts and takes potentially?"
