speaker,q&a,content
Company Participants,0,"Wendy Sun - Investor Relations
Vincent Qiu - Chairman and Chief Executive Officer
Robin Lu - Chief Financial Officer
Junhua Wu - Chief Operating Officer"
Conference Call Participants,0,"Alicia Yap - Citigroup
Eileen Deng - Deutsche Bank
Joyce Ju - Bank of America Merrill Lynch
Monica Chen - Credit Suisse
Billy Leung - Haitong International
Sally Chan - CLSA
Tian Hou - T.H. Capital
Chris Zhou - Blue Lotus"
Operator,0,"Good morning, ladies and gentlemen, and thank you for standing by for Baozun's First Quarter 2019 Earnings Conference Call. At this time, all participants are in a listen-only mode. After the management's prepared remarks, there will be a question-and-answer session. As a reminder, today's conference call is being recorded.
Before we begin, we would like to express our sincere apologies to Baozun and every participants on that call that due to a human mistake by the conferencing provider, the call wasn't able to take place as scheduled yesterday and the Company had to postpone the call. On behalf of the conferencing provider, we would like to extend their apologies to all of you for the inconvenience caused.
I will now turn the meeting over to your host for today's call, Ms. Wendy Sun, Investor Relations Director of Baozun. Please proceed, Wendy."
Wendy Sun,0,"Thank you, operator.
Hello, everyone, and thank you for joining us today. Once again, we apologize for postponing the call yesterday and for the delay in notification. As the operator just mentioned, we experienced some technical difficulties with our conference call service provider which we were not able to respect in time to hold the call at our original scheduled time. Thank you for bearing with us as this issue was sorted.
Now, on the call today from Baozun, we have Mr. Vincent Qiu, Chairman and Chief Executive Officer; Mr. Junhua Wu, Chief Growth Officer; and Mr. Robin Lu, Chief Financial Officer. Mr. Qiu will review business operations on Company highlights, followed by Mr. Lu, who will discuss financial and guidance. They will be available to answer your questions during the Q&A session that follows.
Before we begin, I would like to remind you that this conference call contains forward-looking statements within the meaning of Section 21E of the Securities Exchange Act of 1934 as amended and as defined in the US Private Securities Litigation Reform Act of 1995. These forward-looking statements can be identified by terminologies such as will, expect, anticipate, future, intend, plan, believe, estimate, target, going forward, outlook or similar statements. Such statements are based upon management's current expectations and current market and operating conditions and relate to events that involve known or unknown risk, uncertainties or other factors, all of which are difficult to predict and many of which are beyond the Company's control, which may cause the Company's actual results, performance or achievements to differ materially from those in the forward-looking statements.
Further information regarding these and other risk, uncertainties or factors are included in the Company's filings with the US Securities and Exchange Commission. The Company does not undertake any obligations to update any forward-looking statements as a result of new information, future events or otherwise, except as required under applicable laws.
Finally, please note that unless otherwise stated, all figures mentioned during this conference call are in renminbi.
It is now my pleasure to introduce our Chairman and Chief Executive Officer, Mr. Vincent Qiu. Vincent, please go ahead."
Vincent Qiu,0,"Okay. Thank you, Wendy, and thanks to everyone joining our earnings call today.
We're very pleased to announce a strong start to the year, with PMV increasing by more than 58% and our total revenue increasing by nearly 40% year-over-year, driven by healthy growth from both product sales and services.
China's e-commerce sector, already the largest in the world, continues to generate strong and healthy growth momentum as online shopping increasingly integrates into the daily lives of the nation's consumers. Sales in the apparel category, especially sporting goods and menswear as well as electronics and the cosmetics categories performed well during the quarter and continue to gain growth momentum into the second quarter of 2019.
As China's leading brand e-commerce service provider, we continue to strategically invest in developing innovative technologies that will allow us to lead the industry into the next phase of the e-commerce revolution. Our cutting edge omnichannel solutions, integrated retail operating supporting system, big data driven analytics and highly targeted digital marketing services are all able to seamlessly empower our brand partners to make better business decisions, improve operating efficiency and benefit from the enormous growth potential they have.
In early 2019, we strategically restructured our growing organizations of three key groups, namely ECG, E-Commerce Group; LSG, Logistics and Supply Chain Group; and TIC, Technology Innovation Center.
We're positioning our business for the future by creating a more effective and focused framework to serve our expanding portfolio of brand partners. To be more specific, ECG will focus on generating high quality GMV, mainly by concentrating on creating add value for partner brands, accelerating customer acquisition and pooling resources into market development. LSG will focus on boosting service quality to provide brands with more efficient and customized warehouse, logistics and supply chain solutions as well as improving direct to consumer capabilities. TIC will be our growth engine, the catalyst that will enable growth and technological improvements through our integrated system infrastructure alongside a chain of automated and AI innovations. I strongly believe this reorganization will enhance our creativity, improve efficiency and bring more value to our brand partners and shareholders.
This year, we have continued to drive the acquisition of more brand partners, with a key focus on high quality GMV categories that strike a balance between quantitative and qualitative GMV goals. During the first quarter, we added a net of 15 new brands which bring the total number of brand partners to 200 for the first time, an increase from 156 a year ago and a new milestone in our corporate history. Newly added brands during the quarter were primarily in the FMCG, apparel, food and health and cosmetics categories. Some of these new brand partners, to name a few, include a leading domestic FMCG brand, a German health food brand, a French swimwear brand, a Spanish fashion brand and a number of global cosmetics brands.
We're seeing greater contribution in GMV growth from new brands as they mature at a more rapid pace compared to previous years, which demonstrates just how effective our omnichannel solutions are at rapidly allowing our brand partners to tap into China's massive e-commerce market.
Digital marketing continues to be one of our most powerful tools when it comes to customer acquisition and enhancing our value added services for existing brand partners. Our digital marketing services are so effective as we fully leverage the accumulative expertise achieved from a decade of brand e-commerce. And big data driven analysis, which makes our digital marketing strategy highly ROI driven -- this in turn generates best-in-class offerings with highly customized content creation, cross-channel optimization and the behavioral profiling of targeted users.
Our digital marketing services are becoming increasingly powerful as we focus on high quality GMV brands, conversion possibilities of potential partners to become GMV partners, along with better ROI orientations. We are very pleased with the increasing market acceptance and industry recognition our services have been receiving. This quarter, we were certified by Alibaba's strategy center as a qualified service partner and are delighted to be the only e-commerce service provider to receive such an honor.
Our technology and innovation center is hard at work on a number of new innovative modules and tools that will be developed and deployed across three key systems: a cloud based system that helps brands set up the official brand stores and official brand WeChat Mini programs, our Retail Operation Support System or ROSS, with digital tools to improve efficiency and automation, reduce operating costs and a continuous upgrade of our core e-commerce systems. Our priority this year will be on streamlining productization and developing deployment strategies for these modules and tools.
As part of this strategy, we grand opened our new R&D center in Chengdu in March this year. Our team in Chengdu will be at the center of the latest technology trends and has a wide pool of lower-cost talents to groom.
During the first quarter, we also launched a cloud system, Baozun Cloud, which was upgraded to a hybrid cloud model with a combination of serial of cloud resources in both long-term and short-term application scenarios. This highly customized Baozun cloud will greatly enhance our storing and computing capabilities for SaaS platforms and technologies to effectively address the increasing demand from our brands and enhance elastic scalability of our system.
Baozun cloud, as a light structure, will also enhance our integration of resources and improve overall efficiency. Our investments are paying off as our services and products continue to gain wider recognition across the industry. We were once again recognized as Timo six-star e-commerce service provider based on a suite of performance measures including operational capabilities, brand development capabilities and service ratings. This is the highest level of recognition by Timo.
In this first quarter, we launched partnership with a leading domestic FMCG brand who is also a top ranking brand in the world at their sector. For a brand of such huge scale, over first three months of operations, our service already helped them to achieve a significant GMV growth target and the partner view this as fantastic results. Actually, we decided to move further and formed a JV with them in end of April [indiscernible] to enable them benefiting this new era of e-commerce and the enormous growth opportunities. We believe this JV offers a truly unique value proposition by combining Baozun's in-depth knowledge of e-commerce and integrated technology together with the brand's comprehensive offline network and the leadership position in the FMCG sector.
On that good note, I will pass the call over to Robin to go over our financials. Thank you."
Robin Lu,0,"Thank you, Vincent.
We delivered another solid quarter of GMV increasing by 58% year-over-year. Non-distribution GMV, in particular, increased by nearly 62% year-over-year. Most importantly, we continued to grow our business at a sustainable and well-balanced manner, which we believe will better position us to drive growth over the long term and allow us to generate value for our brand partners.
This April, we also issued our five-year convertible bond with a put on the third year and an interest rate of 1.625%. Net proceeds were around $270 million. With the substantial financial flexibility, we expect the use of the proceeds [indiscernible] to help support our growth initiatives -- our working capital over the next five years and the potential investment opportunities that may come up. This financing will further optimize our capital structure and lower our weighted average cost of capital.
Now let's go over the first quarter 2019 financial results in details. We believe year-over-year comparison is the best way to reveal our performance. Our percentage change I'm going to give will be on that basis. Once again, please note that all figures mentioned in this financial review section are in RMB.
Firstly, total GMV during the quarter increased by 58% to CNY7.83 billion. Our focus remains on growing our non-distribution business which showed GMV increase by 62% this quarter to CNY1.5 billion, in which service fee model is leading the pace. Total net revenues increased by 40% to CNY1.29 billion. Product sales revenue increased by 34% to CNY618 million. This record high growth rate in most recent three years of product sales was primarily attributed to more brands being introduced in the past 12 months and the solid performance of our existing brands due to the popularity of their products. Services revenue increased by 45% to CNY669 million during the quarter. The increase was primarily attributable to the rapid growth of the Company's consignment model and the service fee model, and in particular, the strong growth in digital marketing services.
Total cost and operating expenses were CNY1.24 billion compared to CNY893 million in the same quarter last year. In particular, cost of products increased to CNY509 million from CNY739 million last year primarily due to increase in product sales revenue. Gross margin of product sales remains flat 17.6%. Fulfillment expenses increased to CNY288 million from CNY211 million last year, mainly due to an increase in GMV from our distribution and the consignment model business and partially offset by improvements in efficiencies. As a percentage of GMV, our fulfillment expenses ratio improved to 3.7% from 4.3% a year ago, mainly as a result of early stage operating efficiency improvements from a couple of cost savings initiatives.
Sales and marketing expenses increased to CNY311 million from CNY221 million last year, in line with GMV growth as well as high growth from digital marketing services. As a percentage of GMV, our sales and marketing expenses ratio improved to 4% from 4.5% a year ago, mainly attributable to labor efficiency leverage and the improved profitability profile for digital marketing services.
Technology and content expenses increased to CNY88 million from CNY50 million a year ago and CNY84 million last quarter. The increase was primarily due to our continued investments in technology during the first quarter. Our investments in technical innovation and productization totaled CNY23 million, up from CNY13.5 million last year.
G&A expenses increased to CNY45 million from CNY32 million last year, primarily due to an increase in administrative corporate strategy and business planning staff.
Income from operations increased to CNY46 million with operating margin of 3.6% compared with 3.1% in the same quarter of last year. Just a footnote. Net income from operations and the bottom line below have embedded accounting treatment on leasing expenses following adoption of ASC 842 effective on January 1, 2019.
All in all, non-GAAP income from operations was CNY65 million, an increase of 42% from CNY46 million last year. Non-GAAP operating margin remained flat at 5% on top of higher investments in technological innovation and productization during the quarter. Offsetting interest income, net interest expenses totaled CNY6 million compared with CNY2 million last year and CNY3.5 million last quarter, primarily due to the increased short-term bank loan position. While we completed the CB financing in April with a much lower interest rate of 1.625%, we have also retired some existing short-term bank loans which bear much higher interest rates.
In first quarter, net income attributable to ordinary shareholders of Baozun increased 128% to CNY34 million. Basic and diluted net income attributable to ordinary shareholders of Baozun per ADS were CNY0.59 and CNY0.57, respectively, compared to CNY0.27 and CNY0.25, respectively, during the same period of last year.
Non-GAAP net income attributable to ordinary shareholders of Baozun increased by 55% to CNY53 million. Basic and diluted non-GAAP net income attributable to ordinary shareholders of Baozun per ADS were CNY0.91 and CNY0.89, respectively, compared with CNY0.57 and CNY0.54, respectively, for the same period of last year.
As of March 31, 2019, we had CNY577 million in cash and cash equivalents and short-term investments compared with CNY514 million as of December 31, 2018.
Turning to guidance. Based on current macroeconomic and operating conditions, for the second quarter of 2019, we expect total net revenues to be between CNY1.55 billion and CNY1.6 billion, which represent a year-over-year growth rate of approximately 34% to 38%, in which services revenues to increase by over 40% on a year-over-year basis.
This concludes our prepared remarks. Thank you. Operator, we are now ready to begin the Q&A session. Thank you."
Operator,1,"Thank you, sir. Ladies and gentlemen, we will now begin our question-and-answer session. [Operator Instructions] Your first question is from Alicia Yap from Citigroup. Your line is now open. Please go ahead."
Alicia Yap ,1,"Hi. Good evening, management. Thanks for taking my questions. I have one question. Could you elaborate a bit more and help us to maybe reconcile the differences between how the Company's effort in getting a higher quality GMV, which should imply higher take rate, while the implied take rate for the service revenue this quarter actually shows some declining trend. And similarly, based on your 2Q GMV and revenue guidance, it also seems to suggest that blended take rate will be similar to have some pressure on the service revenue. So can you help us understand the reasons? And should we expect to see the higher quality GMV eventually should translate to a higher take rate and revenue growth over time? Thank you."
Robin Lu,1,"Hello, Alicia, it's Robin, and thanks for your question. Quality of GMV is the strategy, I mean, the Company is pursuing. And give you some color about Q1. As we remember, back in -- in the -- from the beginning of the Q1, I mean, some lower take rate categories like electronics brands, which rebounded -- I mean, the GMV growth rebounded very quickly in Q1, which really lowered down our blended take rate in Q1. As we have explained before, when you look at the blended take rate, the major or the primary factor is the mix of the categories, which means if you have more GMV coming from the lower take rate categories, I mean, your blended take rate will be negatively affected. And I think that is a major factor in Q1. And there is another minor factor I would describe. Yes, we are -- when we develop our new brands, most of the brands are in very high take rate categories. But there you need some ramp-up to reach the ideal take rate level, which means -- for example, if you do the business very properly in the upfront way, do the store operations and [indiscernible] additional marketing and other services, record consignments, maybe, and then the take rate will be ramped up to some certain level as we agree for the both parties. So it takes some time. I mean, in general, the larger the brand is, and the longer the time is. So you still need some time to say the result for our take rate improvement. However, I would reiterate that quality of GMV is our target and our strategy. We are working very hard on that, and the new brands we acquired, they have a certain [indiscernible] take rate. So we hope in the mid term, we will see the result. Thank you."
Alicia Yap,1,Thank you.
