speaker,q&a,content
Operator,0,"Greetings and welcome to the Catasys Third Quarter 2018 Earnings Conference Call. At this time, all participants are in a listen-only mode. A question-and-answer session will follow the formal presentation. [Operator Instructions] As a reminder, this conference is being recorded.
I will now pass the floor over to a representative of the company. Thank you. You may begin."
Adam Prior,0,"Thank you, operator, good afternoon and thank you for joining us. Before I turn the call over to management, I would like to make the following remarks concerning forward-looking statements. All statements in this conference call, other than historical facts are forward-looking statements. The words anticipate, believe, estimate, expect, intent, guidance, confidence, target, project, and other some expressions typically are used to identify forward-looking statements.
These forward-looking statements are not guarantees of future performances, but may involve and are subject to certain risks and uncertainties, and other factors, that may affect Catasys' business, financial condition and other operating results, which include but are not limited to the risk factors described in the Risk Factors section of the Form 10-K and Forms 10-Q as filed with the SEC. Therefore, actual outcomes and results may differ materially from those expressed or implied by these forward-looking statements. Catasys expressly disclaims any intent or obligation to update these forward-looking statements.
During this call, we may also present certain non-GAAP financial measures. Our press release with the financial tables issued today, which is located on our website, www.catasys.com, includes a definition of these non-GAAP financial measures, a reconciliation of these non-GAAP financial measures with the closest GAAP financial measures, as well as a discussion of why we think these non-GAAP financial measures are relevant to our results. These financial measures are included for the benefit of investors, and should be considered in addition to GAAP measures.
With that, I now like to turn the call over to Mr. Terren Peizer, Chairman and CEO of Catasys Inc. Please go ahead, Terren."
Terren Peizer,0,"Thank you, Adam, and welcome, everyone. Also with me on today's call are Rick Anderson, President and Chief Operating Officer; and Christopher Shirley, our Chief Financial Officer. As our usual format, I'll begin with an overview, Rick and Christopher will discuss the operating and financial results. And then, I'll return to discuss Catasys' outlook for 2019 and beyond. We'll then take any questions that you may have.
We have accomplished a great deal in 2018, setting our company up to [recap] [ph] the benefits of accelerated enrollment growth in 2019 and onwards. In my view, Catasys is the company that best addresses the behavioral health issues facing this country and that is why our health plan partners understand our value proposition and partner with us.
Our comprehensive outpatient treatment solutions combine big data, analytics and AI technology with HI, Human Interaction, giving Catasys the unique ability to enroll, engage and modify the behavior of a treatment and care avoidant population that is in need of our help.
Our health plan partners have seen the results of our solutions, effective treatment for their members, and a return on their investment through cost savings which goes straight to their bottom line of medical loss ratios. During the third quarter we are pleased to announce the geographic expansion of the OnTrak solution with Aetna into four new states: Florida, Georgia, Iowa and Nebraska.
With this program's expansion into Iowa and Nebraska, OnTrak is now available in 22 states. We are also excited to begin working with a new regional health plan partner, Capital BlueCross, whose eligible commercial members will be able to take advantage of our OnTrak solution in the first quarter of 2019.
Catasys has had continued success in treating and improving the health of our enrolled members, saving both patients and insurers on healthcare costs through our OnTrak program. Our treatment solutions and methods deliver tangible results. And because of that, we have seen a tremendous uptick in our new business pipeline in 2018 through the signing of contracts with new health plan partners and program expansions with existing customers.
In the first half of 2018, we announced enrollment launches with three new national health plan partners: Humana, Cigna and Anthem. As of this call, six of the largest health plans in the country are now offering our OnTrak solution.
Anthem is the second largest health plan and the largest Blue Cross Blue Shield provider in the country. We also announced program expansions with HAMP and HCSC, the second largest Blue Cross Blue Shield provider and the fourth largest plan in the country.
We now have contracts with three Blue Cross Blue Shields and the two largest Blues in the country. This augurs well for more Blue Cross Blue Shield contracts in the future. All of these achievements have led to the continued increase of our outreach pool of eligible members, resulting in increased enrollment and billings. Billings increased 210% year-over-year from Q3 2017 to Q3 2018 and were up 21% from the Q2 this year.
As a result of the continued ramp up of our outreach pool, we enrolled 1,180 new members to the OnTrak program in the third quarter of 2018, up 65% from the prior year period. The outreach pool has grown to approximately 38,000, a 52% increase from the end of 2017. In 2018, we have made several investments to improve our infrastructure and organizational efficiencies in preparation for increased business expansions as indicated by our health plan partners. And as I will explain later, this is only the beginning of our planned growth trajectory.
Q3 results were in line with our internal projections, given the record billings performance in July, which did not contain any special items. In 2018, we have had continued success in expanding relationships with existing health plan partners and launching enrollment with new customers. As a result, we achieved $14.5 million in billings for the first nine months of 2018 and fully expect to achieve our previously provided guidance of $20 million in annual billings for 2018, notwithstanding the structural billing issues impacting our largest customer, Aetna, which represents more than 50% of our outreach pool in 2018 and has been operating at less than 50% of anticipated enrollment capacity due to these billing issues.
We have been working diligently with Aetna to address these issues and expect to have them mostly resolved by December 1 of this year. This resolution should have a significant positive impact on 2019, given the anticipated increase in the outreach pool size and associated enrollments and resulting increase in billings and revenue.
As we noted in our last call, we'll be shifting from using billings as the metric of focus in 2018 to GAAP revenue in 2019. Revenues have increased significantly year-over-year from 2017 in part due to our adoption of the new revenue recognition standard, which Christopher will expand upon during his review of the financial results.
Catasys more than doubled revenues in the 9 months ended September 30, 2018 to $9.6 million from $4.7 million in the prior-year period. We prefer to take a conservative approach to guidance, given the large size of our health plan partners and the many divisions involved in these partnerships, data issues that may arrive, extended periods of contract execution, launch delays and other unforeseen developments.
That being said, we anticipate achieving $35 million in revenues for 2019 in light of accelerated enrollment growth during the coming year with the numerous operational successes achieved in 2018, including enrollment launches with three new health plan partners and several program expansions with existing customers.
$35 million is approximately 150% growth over this year's analyst GAAP estimate. We certainly hope to outperform this number and are taking the necessary steps now to accelerate our company's growth. Our outreach pool of eligible numbers continues to ramp up as a result of these new launches and expansions, and we continue to invest in our healthcare solutions and support systems, to ensure, we are able to support our growing enrollment population.
We are well positioned to execute on our growth strategy as we head into 2019 and we look forward to exceeding expectations this coming year.
With that, I will turn the call over to Rick to discuss our operations. Rick?"
Rick Anderson,0,"Thanks, Terren. Those of you who are familiar with the Catasys' business already know that our growth is primarily driven by the ongoing increase in our outreach pool of eligible members, which subsequently leads to increase enrollment and revenue. Our current outreach pool of eligible members grew 6% to approximately $38,000 from $36,000 in August 28.
As Terren mentioned, we have been working to resolve the structural outreach and billing issues with our largest customer, Aetna, and expect to do so in December. With these matters behind us and our continued on-boarding of new customers and expanding relationships with existing partners we expect to ramp up in our outreach pool to continue as we head into 2019 and beyond.
During the third quarter of 2018, we expanded OnTrak-A into four additional states, Iowa Nebraska, Florida and Georgia making OnTrak available in a total of 13 states with Aetna. With the launch of OnTrak-A in Iowa and Nebraska, OnTrak is now available in 22 states, up from 20 states at the end of the second quarter of 2018.
During the third quarter, we also entered into an agreement with Capital BlueCross, a health insurer in Pennsylvania, eligible commercial Capital BlueCross members are anticipated to have access to Catasys' OnTrak solution starting the first quarter of 2019. This new contract and the OnTrak-A expansions in the third quarter bring additional momentum to the outreach pool growth in 2018 and 2019, and can be tied to several successes in the first half of 2018.
We've launched OnTrak enrollment with three of the nation's leading health plan providers, Anthem commercial members in California, Cigna Medicare Advantage members in Tennessee and Humana for commercial members suffering from substance use disorders in 16 states. In addition, we executed on program expansions with existing partners HCSE and Health Alliance Medical Plan.
As Catasys is now contracted with seven of the nation's largest health plan providers, program expansions with our existing partners are a key to our future growth and more importantly reflect the success that our OnTrak solutions have had in improving member health and lowering healthcare costs across the country. We remain in discussions with several of our customers regarding expansions in the form of new state, new lines of business and expanding coverage to include additional population such as depression anxiety.
We look forward to announcing more launches and expansions in the coming months, driving the continued growth of our outreach pool and enrollment as we head into 2019. In past calls, we have stated it takes approximately 12 months to get a newly launched program to full enrollment rate. We have been working to shorten this ramp time line and are seeing signs of improvement with each launch.
We generally average 20% or better enrollment rates subsequent to the ramp. We expect to see an uptick in enrollments in 2019 given all of the new launches and additional expansion in 2018, and as we fully result the structural billing issues with Aetna.
I will now turn it over to Christopher for an overview of our financial results."
Christopher Shirley,0,"Thank you, Rick. I encourage everyone to review our press release from this afternoon, if you have not done so already. In addition, as stated earlier, we filed our quarterly report on Form 10-Q prior to this call, which will include details regarding our consolidated financial position and results of operations within the MD&A section of that filing.
As a reminder, the way Catasys' books revenues, depends on how our health insurance partners pay us. Some of our partners pay per month for each member enrolled, some pay our fee over a limited number of visits to one of our network providers and others pay in advance for the program.
Payments made in advance of service delivery result in deferred revenue. In accordance with the new accounting standard, we book 2018 revenues in the same period that the services are delivered. We report revenue in net of claims adjustments to accurately reflect the amount, we expect to collect.
Member revenues subject to performance guarantees are monitored over time to ensure revenue accurately reflects our expected outcome. Additionally, visit related revenue may be delayed up to three months from initial enrollment due to the on-boarding and ramp-up time it takes for the provider visits to occur. Because of these variances in how we book revenues, we have shared another metric, billings. For the total amount we invoiced our customers on a monthly basis, as a comparison to revenues.
We provided 2018 guidance using this billings metric, but as Terren stated earlier, we are shifting to providing guidance for 2019 in GAAP revenues. As such, we will continue to share progress on billings for the remaining 2018 periods, but we'll cease doing so after reporting year end 2018 results. Billings for the third quarter increased to $6.3 million, up 210% from $2 million in the third quarter of 2017, and up 21% from $5.2 million in the second quarter of 2018.
As we noted in the Q2 call, Aetna has been operating at less than 50% capacity and represents more than 50% of our outreach pool in 2018. Structural billing issues impacting this customer have resulted in lower than expected billings and revenue. However, as we expect these issues to be fully addressed by December 1, we expect to see a significant increase and not only our outreach pool size, but also billings and revenue.
Billings for the nine months ended September 30, 2018 increased 127% to $14.5 million compared to $6.4 million in the prior year period. Revenue for the third quarter of 2018 increased 266% to $4.4 million from $1.2 million in the prior year period. This was driven by the launch of enrollment with three new health plans and continued to enrollment growth in expansions from existing plans in the first nine months of 2018.
Revenue increased to 104% to $9.6 million for the nine months ended September 30, 2018 from $4.7 million during the same period in 2017. As I mentioned earlier, the way we book revenues depends on the client and for our largest customer revenue growth lags enrollment growth, because they pay our fee over a number of visits to one of our network providers, and it takes time for the member provider visits to occur.
Deferred revenue, which is recognized this revenue over the period in which each member in our program is enrolled was $5 million at September 30, 2018, a 73% increase from $2.9 million at December 31, 2017. The increase was a result of the significant increase and new billings in advance of services in the third quarter.
For the third quarter of 2018, the net loss was $4.4 million or $0.27 per diluted share compared to a net loss of $3.1 million or $0.06 per diluted share in the prior year period. The increased loss was a result of increased operating expenses related to investments in healthcare services to support our growing number of enrolled members and incremental investments and driving technological innovation forward at our company.
For the first nine months of 2018, net loss was $12.8 million or $0.80 per diluted share compared to a net loss of $10.9 million or $0.30 per diluted share in the prior year period. In June of this year, we entered into a $10 million debt financing comprised of a receivable facility agreement of $2.5 million with Heritage Bank of Commerce and a four-year term loan of up to $7.5 million with Horizon Technology Finance Corporation.
During the second quarter, we received $5 million from the Horizon term loan upon initial signing with the additional $2.5 million subject to the company's achievement of billings of at least $5 million during any three months prior to November 30, 2018, which we achieved in both the second and third quarters.
We drew on this additional $2.5 million with Horizon during the third quarter, which is reflected on our balance sheet for the period ended September 30, 2018. To date, we have not needed to drawdown on the $2.5 million receivable facility with Heritage.
With that, I'll turn it back over to Terren for closing remarks."
Terren Peizer,0,"Thank you, Christopher. I'd like to take some time to discuss our outlook and what I see in Catasys' future. In my earlier remarks, I mentioned that we are taking steps to position our company for accelerated growth in 2019 and beyond. We recently announced some significant changes to our board, which we expect to continue fine tuning as we look to accelerated growth.
We've been quite vocal in Catasys commitment to technological innovation and introducing new products to better serve our growing health plan partners and associated member base. Following our appointment of Jeremiah Stone to the new Chief Technology Officer role in July, we appointed three seasoned health care executives to our board as part of the strategy to remain at the forefront of healthcare technologies, while maximizing our future growth trajectory.
We were thrilled to welcome to our board, Ed Zecchini, Sharon Gabrielson, and Diane Seloff, each with decades of experience specializing in different areas of healthcare. Ed possesses over 30 years of executive experience at various innovative healthcare and information technology businesses, and we expect that he and Jeremiah together can help Catasys expand its technology piece and further accelerate the scaling up our business.
Diane's over 25 years of experience as a proven operator will prove valuable as we look to expedite our growth trajectory, and we are excited to tap Sharon for experience of business development and creative market driven solutions to maximize our growing Administrative Services Only, or ASO, and employer self-funded businesses, and related opportunities as we start to see traction on that side of our business.
In the coming months, we expect to make other additions to our board, which we hope will include recruiting high profile C-Suite executives from national health plans. With 2018 coming to a close, we are enthusiastic about our prospects heading into 2019. I was recently asked by many shareholders and investors alike to what do I attribute the outperformance of our company's stock this year and how do I value our company.
First, I'd like to point out that our equity has been performing well since the beginning of 2016. Our equity is up 550% since January 4, 2016, and up 300% since the beginning of this year alone, I believe, the best is yet to come. Returning to my thoughts on our stock outperformance, we have built up an incredibly strong health plan contract base with seven of the eight largest national plans now under contract with us, three of which we signed in 2018.
I will touch on how valuable these relationships are in a moment, and while it would be an inappropriate for me to comment on our share price, I will try to provide some of my perspective as an investor in Catasys having invested over $20 million of my own personal capital into the company's equity we seem to have established an organic revenue growth rate of 100% plus based on our existing contracts, imminent new contracts and expansion plans and the one-year nature of our ramps. I see this persisting for years to come.
As previously mentioned, next year looks like 150% growth rate. Today, we traded approximately 10 times this year's revenues. Given our annual revenue guidance of $35 million for 2019, and then approximate private market value multiple of 10 times revenues for comparable peers and our space, and the fact that we are in the very early stages of our growth, you can get a sense of where I see our value today.
Obviously, the market is beginning to discount our near future, let alone our longer-term prospects. However, I firmly believe that this is just the beginning. Whether at the end of 2019 or the first half of 2020, I can foresee exponential growth, significantly greater than the 100%-plus I mentioned occurring.
We expect to close out 2018 with approximately 50,000 eligible members in our outreach pool. I see us getting to 100,000 at some point in 2020. Given our model of taking a year to ramp-up to enrollment rate of 20% of the outreach pool, this translates into a run rate of enrolling 20,000 members at approximately $6,500 per enrolled member. And as we continue to expand throughout 2020, you can reasonably get to a run rate of 150 million in revenues one year out from some point in 2020.
The growth does not stop there. 100,000 outreach pool is miniscule when looking at approximately 4 million in eligible members in our existing product today. Again, this is only the beginning for us. And I should add that these numbers only apply to our announced OnTrak product today. We are working in earnest to expand our product offering and are also looking to expand our footprint within the healthcare industry, within health plans and self-funded employer market.
While we look to expand within the behavioral health space, we envision being the highest value provider of an efficient delivery system of healthcare services in general. We anticipate expanding into other disease states. To say the least, I am very excited about our future.
Turning back to our contracts, with seven of the eight major health plans in the country, we are beginning to see their value beyond our immediate revenue streams. We are in a very competitive space with approximately 300 behavioral health startups and approximately 800 healthcare IT start ups out there.
It has been reported that BCs and private equity firms alike underestimated the long-timelines required to gain health plan traction. Catasys knows this all too well, experience these extreme growing pains over the years and has paid its dues. It can take two years just to execute a contract, not to mention the years it might take to obtain a customer's attention and a program's adoption.
This is not what the BC and private equity community had calculated, and not timeframes that they are quite familiar with. As a result of our traction with the largest plans, we are increasingly becoming a possible distribution conduit for the best products and technologies out there. We are examining and evaluating these opportunities to accelerate our revenue growth and will seek to take advantage of suitable JV and/or M&A opportunities as they become available, which will accelerate our model on a non-dilutive or anti-dilutive basis.
As Catasys' largest shareholder, I am mindful of dilution. During the 2018 second quarter, we did a favorable debt raise to support our company's accelerating growth. Given our capital light model, strong customer base and growing revenue streams, we continue to have access to debt capital and will access it prudently as we work to capitalize on future growth opportunities with sensitivity to dilution to our partnered shareholders.
We have continued to be proactive in investor outreach and I expect to be visiting several major cities in the coming weeks and months. Here at Catasys, we are pleased with how our business pipeline has accelerated in 2018 and look forward to realizing the results of these efforts in 2019 and beyond.
With that, operator, we can now open it up for Q&A."
Operator,1,Thank you. [Operator Instructions] Our first question is from the line of Richard Close with Canaccord Genuity. Please proceed with your question.
Richard Close,1,"Great. Thank you. Congratulations on another good quarter here. First question I have is maybe on the 50,000 outreach members or expecting to close the year with the round 50,000. Can you walk us through that a little bit? And then, what the level was in terms of here the third quarter 38,000?
You did announce Aetna, four new states, and then the Capital Blue Cross. So just walk us through maybe second quarter 36,000 to the 38,000 at the end of the third quarter and then the 50,000 for the year-end."
Terren Peizer,1,"Sure. First of all, thank you, Richard. First of all, the numbers didn't go up much during the year, because we just downward the number for things such as data issues or coding issues, and things alike. The jump from 38,000 reported today to 50,000-ish is primarily the result of the Aetna coding problem being solved. So as a result, we then increase our eligible lives accordingly.
Hold on, Rick want to add to that."
Rick Anderson,1,"And the one other additional thing, Richard, that we have is, as we factor in new predictive models, those also identify additional members. And we're anticipating some of those models going into effect that will also raise those numbers as we go into the end of the year."
