speaker,q&a,content
Company Participants,0,"Georgia Lo - Investor Relations
Pin Tai - Chief Executive Officer & President
Heng Chen - Executive Vice President & Chief Financial Officer"
Conference Call Participants,0,"Aaron Deer - Sandler O'Neill
Chris McGratty - KBW
Michael Young - SunTrust
Gary Tenner - D.A. Davidson
Matthew Clark - Piper Jaffray
Lana Chan - BMO Capital Markets
David Chiaverini - Wedbush Securities"
Operator,0,"Good afternoon, ladies and gentlemen and welcome to Cathay General Bancorp's First Quarter 2019 Earnings Conference Call. My name is Andrew and I'll be your coordinator for today. At this time, all participants are in a listen-only mode. Following the prepared remarks there will be a question-and-answer session. [Operator Instructions] Today's call is being recorded and will be available for replay at www.cathaygeneralbancorp.com.
Now, I would like to turn the call over to Georgia Lo, Investor Relations of Cathay General Bancorp."
Georgia Lo,0,"Thank you, Andrew and good afternoon. Here to discuss the financial results today are Mr. Pin Tai, our Chief Executive Officer and President; and Mr. Heng Chen, our Executive Vice President and Chief Financial Officer.
Before we begin, we wish to remind you that the speakers on this call may make forward-looking statements within the meaning of the applicable provisions of the Private Securities Litigation Reform Act of 1995 concerning future results and events and that these statements are subject to certain risks and uncertainties that could cause actual results to differ materially.
These risks and uncertainties are further described in the Company's Annual Report on Form 10-K for the year ended December 31, 2018, at Item 1A in particular, and in other reports and filings with the Securities and Exchange Commission from time-to-time. As such, we caution you not to place undue reliance on such forward-looking statements, which speaks only as of the date of this presentation. We undertake no obligation to update any forward-looking statements, or to publicly announce any revision of any forward-looking statements to reflect future developments or events, except as required by law.
This afternoon, Cathay General Bancorp issued an earnings release outlining its first quarter 2019 results. To obtain a copy please visit our website at www.cathaygeneralbancorp.com. After comments by management today, we will open-up this call for questions.
I will now turn the call over to our Chief Executive Officer, Mr. Pin Tai."
Pin Tai,0,"Thank you, Georgia and good afternoon. Welcome to our 2019 first quarter earnings conference call. This afternoon, we reported net income of $66.7 million for the first quarter of 2019, a 4.5% increase when compared to a net income of $63.8 million for the first quarter of 2018. Diluted earnings per share increased 6.4% to $0.83 per share for the first quarter of 2019 compared to $0.78 per share for the same quarter a year ago.
In the first quarter of 2019, our gross loans grew by $281.6 million to $14.3 billion, or an increase of 8% on an annualized basis. The increase in loans for the first quarter of 2019 was primarily driven by the growth in commercial mortgage loans and residential mortgage loans of $164.7 million, or 9.8% annualized and $109.8 million or 11.9% annualized respectively. We anticipate loan growth in 2019 of between 7% to 8%.
For the first quarter of 2019, our total deposits increased $384 million, or 11.2% annualized to $14.1 billion, primarily as a result of a Chinese New Year CD promotion. We continued our stock buyback program and repurchased 233,700 shares of our stock at an average cost of $36.80 per share in the first quarter of 2019. We may purchase additional shares during 2019 depending upon stock price, general business, and market conditions and other certain risk factors.
With respect to the trade dispute between the U.S. and China, we continue to monitor and evaluate potential impact to our loan portfolio. As of March 31, 2019 we are not aware of any loan accruals or charge-offs that were linked to the imposition of the tariffs. Borrowers that we believe could be adversely impacted by the current tariffs will hold approximately 2.3% of the total loans.
With that, I will turn the floor over to our Executive Vice President and Chief Financial Officer, Heng Chen to discuss the first quarter 2019 financials in more detail."
Heng Chen,0,"Thank you, Pin and good afternoon everyone. For the first quarter, we announced net income of $66.7 million or $0.83 diluted earnings per share. Our net interest margin was 3.7% in the first quarter of 2019 as compared to 3.75% in the first quarter of 2018 and 3.77% for the fourth quarter of 2018.
In the first quarter of 2019, interest recoveries and prepayment penalties added only two basis points to the net interest margin, compared to five basis points for the first quarter 2018 and three basis points for the fourth quarter of 2018. We expect our net interest margin for the remainder of 2019 to be between 3.63% and 3.73%.
Non-interest income during the first quarter of 2019 increased by $7.6 million to $12.9 million when compared to the first quarter of 2018. The increase was primarily attributable to a gain of $4.2 million from equity securities, compared to a loss of $3.8 million in the prior year quarter. Non-interest expense increased by $10 million or 16.4% to $71 million in the first quarter of 2019, when compared to $61 million in the same quarter a year ago.
For the first quarter of 2019, the increase in non-interest expense was primarily due to a $5 million increase in the amortization expense of investments in low income housing and alternative energy partnerships, $1.8 million increase in salaries and employee benefits expense, a $1.6 million increase in the provision for unfunded commitments and a $1.3 million increase in marketing expense.
The effective tax rate for the first quarter of 2019 was 21.8% compared to 22.8% for the first quarter of 2018. We hope to complete an investment in a new solar tax credit fund during the second quarter. While there are no assurances that we will complete any such investment, if we proceed and complete such investment, we project that our full year 2019 effective tax rate will be approximately 19% to 19.5% and the second quarter effective tax rate will reflect the year-to-date catch-up to the new full year effective tax rate.
Solar tax credit amortization was $4.5 million in the first quarter of 2019. We project solar tax credit amortization of approximately $17 million in 2019 with $4 million a quarter for the remainder of 2019. At March 31, 2019, our Tier 1 leverage capital ratio decreased to 10.68% as compared to 10.83% at December 31, 2018. Our Tier 1 risk-based capital ratio decreased to 12.42% from 12.43% at December 31, 2018 and our total risk-based capital ratio decreased to 14.12% from 14.15% at December 31, 2018.
Net recoveries for the first quarter of 2019 were $0.2 million, compared with net charge-offs of $1.1 million in the fourth quarter of 2018 and net recoveries of $1.8 million in the first quarter of 2018. There was no loan loss provision in the first quarter of 2019 and in the fourth quarter of 2018 compared to a loan loss reversal of $3 million in the first quarter of 2018.
Our non-accrual loans increased by $14.9 million to $56.7 million or 0.4% of period-end loans as compared to the end of the fourth quarter of 2018. Most of this $14.9 million increase is from one loan of $10 million that is past due maturity, which we believe will be paid off by the end of April. Pin?"
Pin Tai,0,"Thank you, Heng. We will now proceed to the question-and-answer portion of the call."
Operator,1,[Operator Instructions] Your first question comes from the line of Aaron Deer with Sandler O'Neill. Your line is now open.
Aaron Deer,1,"Hi, good afternoon everybody."
Pin Tai,1,Hi Aaron.
Aaron Deer,1,"Heng I appreciate the margin guidance. I was hoping just to get a little bit more color on what's behind that and obviously you had some very favorable results with the CD campaign in the first quarter.
As you look at the CDs that are going to be maturing here in the second quarter, can you give us a sense of what the pricing is on those maturities and what rate you might expect to see renewals coming on at?"
Heng Chen,1,"Yes. So, Aaron I think we have a steady stream of brokered CDs that are maturing and it's -- I guess the good news is at the -- in mid-March that rate for new brokered CDs was 2.58%.
And then just this last week on Monday, we were issuing new brokered CDs at 20 basis points lower. And so in terms of -- as you know we have two CD promotions; the Chinese New Year which was at 2.35% for under $100,000 and 2.4% for over $100,000; and then the summer CD program promotion last year was 2.25%.
I think based on the trajectory of interest rates come August of this year if we go forward four quarters, we're hopeful that we can renew our summer CD at a lower rate given the forward interest rate curve.
So, I think that's something that's going to help stabilize our NIM over time. But once again the second quarter will be lower than Q1 based on what we see."
Aaron Deer,1,"Okay, that's helpful. Thank you. And then on the non-accruals, you mentioned that there was a look it sounded like a $10 million commercial real estate loan. Is there expectation that that's going to be paid down because the borrower's currently marketing a property is that what's going on in there? And it looked like C&I was up a little bit too?"
Heng Chen,1,"Yes, well that was a C&I loan, okay? Unfortunately, our borrower was out of the country for most of the first quarter and we were unable to be able to renew the loan for that reason.
The -- we also have another -- a smaller CRE loan that we expect to renew in the second quarter. That was past due maturity but it was very well secured."
