speaker,q&a,content
Operator,0,"Ladies and gentlemen, thank you for standing by. Welcome to Cellcom Third Quarter 2018 Results Conference Call. [Operator Instructions] As a reminder, this conference is being recorded.
You should have all received by now the Company’s press release. If you have not received it, please contact Cellcom’s Investor Relations team at GK Investor & Public Relations at 1-646-688-3559 or view it in the News section of the Company’s website, www.cellcom.co.il.
I would now like to hand the call over to Mr. Ehud Helft of GK Investor Relations. Mr. Helft, would you like to make your beginning statements?"
Ehud Helft,0,"Thank you, operator. I would like to welcome all of you to Cellcom Israel’s Third Quarter 2018 Conference Call. And I would like to thank management for hosting this call today.
With us here on the line are Mr. Nir Sztern, the CEO; and Mr. Shlomi Fruhling, the CFO. Nir will open by providing a summary of the main highlights of the results, followed by Shlomi who will review Cellcom Israel’s financial performance in further detail.
Before I turn the call over to Mr. Sztern, I would like to remind our listeners that on this call, management’s prepared remarks may contain forward-looking statements, which are subject to risks and uncertainties, and management may make additional forward-looking statements in response to your questions. Therefore, the Company claims the protection of Safe Harbor for forward-looking statements that is contained in the Private Securities Litigation Reform Act of 1995 and Israeli Securities Law of 1968.
I note that actual results may differ from those discussed today. And therefore, we refer you to the more detailed discussion of the risks and uncertainties in the Company’s filings with the Securities and Exchange Commission, including under risk factors in the Company’s annual report for the year ended December 31, 2017, filed under Form 20-F, which was filed on March 26, 2018, with the SEC.
In addition, any projections as to the Company’s future performance represent management’s estimates as of today. Cellcom Israel assumes no obligation to update these projections in the future as market conditions change.
I would now like to hand over the call to Mr. Nir Sztern. Nir?"
Nir Sztern,0,"Thank you, Ehud. Good day to all of you, and welcome to our third quarter 2018 results conference call.
During the third quarter, we continued to grow in the fixed-line segment, while at the same time focused on building and developing future growth engines for Cellcom Israel; I’ll discuss these in a few moments. On the cellular side, the market remains tough for all players. The competitive environment in the mobile sector remains tough and can be seen by the continued decline in service revenues in the current quarter.
In early November, we announced the change to our pricing model of several packages offered to our customers, launching a number of new and simple packs? These include an increase in pricing along with an increase in the packages content without a built-in price increase at the end of the first year as was typical until now. We continue to be the market leader in over-the-top TV in Israel and our strategy continues to be a success. As of today, we have 213,000 households subscribe to our television service; our market share stands at around 12%.
In the third quarter, we continued to invest in the viewing experience of our customers and we added new sports content as well as content for children. We offer our customers TV services, together with Internet, cellular and fixed-line services, making up a quad play package. Cellcom Israel is the only local Company that offers a full quad package with an attractive all-in price, providing savings for the customer. At the same time, we increased our total income per household and customer loyalty. Our quad play activity brings us new subscribers to full end-to-end service and many of them stay with us for the long haul.
Our long-term strategy is to continue to broaden the communication service we offer, bringing new growth engines in new areas has focused on this year at internet infrastructure. Throughout this year, we have been laying down our fiber optic network to the home. We have reached 120 -- approximately 120,000 households throughout Israel as of today that are within the coverage range of our fiber optic network and are able to join our Super Fiber service. We’re preparing for the completion of the contemplated IBC transaction that we first announced a few months ago, so that within the next three years, we’ll offer internet service over optic fiber to more than 0.5 million households in Israel.
We announced today that we entered into a memorandum of understanding with the Israel Infrastructure Fund or IRF for IRF’s co-investment in IBC. This will be carried out in equal parts between Cellcom Israel and IIF. We see IIF’s entry as an equal partner to IBC subject to the completion of the transaction as an important step in addressing, both IBC and internet infrastructure in Israel.
As a background, IIF, which was established in 2007, is the first and largest infrastructure fund in Israel, specializing in the infrastructure sector. IIF currently manages $1.9 billion on behalf of its managed funds and is backed by leading Israeli financial institutes, as well as investors from Europe and North America. We believe that entering IBC in partnership with IIF and alongside, Israel Electricity Company, already in the near future, will generate a real revolution in the Internet infrastructure field in Israel and will place Cellcom Israel in a leading competitive position in the advanced landline infrastructure market.
IBC’s license has the exclusive right to deploy fiber optic through the Israeli Electric Company or IEC infrastructure, enabling the provision of speeds of up to 1 gigabytes per second, 20 times what is typically today in Israel. We expect it to enable us to make significant saving in terms of existing fixed-line infrastructure and will allow us to offer value added products and services to our customers. We’re very excited with the potential of all of this in this respect.
As we move towards 2019, we’re taking steps in order to improve the results in the Cellular segment while continuing to grow in fixed-line with our TV and triple offering. We’re also working hard to roll out fiber-to-the-home, a network which is expected to decrease wholesale cost, increase revenue and offer the best internet user experience.
And with that, I’d like to turn the call over to our CFO, Mr. Shlomi Fruhling for a review of our financials. Please, Shlomi."
Shlomi Fruhling ,0,"Thank you, Nir, and good day to all of you.
I will provide a summary of the results. The details can be found in the press release we issued earlier today.
Revenue for the third quarter of 2018 totaled NIS 910 million, 6.7% lower than the NIS 975 million reported in the third quarter of last year. The decrease in revenue was due to a 3.4% decrease in service revenues and 16.8% decrease in equipment revenue. It is important to note that the third quarter included New Year’s holiday season in Israel. So, there were relatively less working days than the third quarter of the last year, which impacted equipment sales.
The fixed-line segment service revenue grew 6.2% over the third quarter last year, partly compensating for the 9.2% decline in the cellular segment service revenue over third quarter last year. The growth in fixed-line segment service revenue was due to the growth in our subscriber base in TV and internet infrastructure services.
Third quarter EBITDA was NIS 184 million or 20.2% of revenues and 18.6% decrease compared with NIS 226 million or 33.2% of revenue in the third quarter of last year. Third quarter EBITDA from cellular segment was NIS 111 million compared with NIS 160 million in the third quarter of last year. And the EBITDA from the fixed-line segment was NIS 73 million compared with NIS 66 million in the third quarter of last year. 
Third quarter net income was NIS 1 million compared with the net income of NIS 32 million in the third quarter of last year. Third quarter free cash flow was NIS 34 million compared with NIS 105 million in third quarter of last year, mainly due to decrease in receipts from customers and operators, from higher cash capital expenditures in fixed assets, from an increase in payments to employees due to the employee voluntary retirement plans from the second quarter of 2018. This decrease was partly offset by decrease in purchase of user equipment.
Our cash capital expenditures during the third quarter of 2018 totaled NIS 160 million. As of the end of the quarter, our net debt stood at approximately NIS 2.3 billion. Our cellular subscriber base was 2.825 million at the end of the third quarter, increasing by 16,000 subscribers in the quarter. The cellular subscriber churn rate in the third quarter was 10% compared with 11.5% in the third quarter last year. ARPU in the cellular segment for the third quarter was NIS 52.5 compared with NIS 57.8 in the third quarter last year, a slight improvement from NIS 51.8 in the previous quarter. 
With that, I’d like to open the call for questions. Operator?"
Operator,1,"[Operator instructions] The first question is from Michel Klahr of Citibank. Please go ahead. Michel, Please go ahead."
Michel Klahr,1,Hi. Can you hear me okay. 
Nir Sztern,1,"Yes, Michel. "
Michel Klahr,1,"Yes. Hi. Thanks for taking my questions. Firstly on mobile, you put those price increases at the beginning of November. I think what’s the -- are they sticking, how’s that working out so far? And also on mobile, the -- on the second quarter call, I think you made a comment about you had a big provision and the costs were meant to be coming down. How’s that working out? If I look at year-on-year, there’s a big decline in mobile EBITDA. So, I am just trying to kind of understand the trajectory of that line item? Thanks."
Nir Sztern,1,"I am not sure we understood the second question, but I’ll answer the first question and then maybe you can clarify the second one again. So, like I said, we increased the prices for our packages that we’re selling on the beginning of November. I can say that we’re very satisfied with the results. What we said is that we’re offering new price plan that on the one hand increases price by NIS 10; on the other hand, gives a lot of benefit to the customers, in terms of data usage that they can use for, in their favorite apps. So, around two weeks since we launched it; we’re very happy with the results."
Michel Klahr,1,"Okay. Thanks. I’ll just clarify my second question. If I look at year-on-year decline in EBITDA, it’s kind of almost NIS 50 million, and I know you said some of that because of the holiday. But, I know you’ve got a cost cutting program in place; you’ve raised prices. How should we think about the trajectory for mobile EBITDA going forward? Is it -- how long -- are those prices having enough of a price increases, having enough of an impact, and at the same time is your cost cutting having enough of an impact, those kind of mobile declines, mobile EBITDA declines can start to stabilize?"
