speaker,q&a,content
Operator,0,"Greetings, and welcome to the Cognex Third Quarter 2018 Conference Call. At this time, all participants are in a listen-only mode. [Operator Instructions]. As a reminder, this conference is being recorded.
I would now like to turn the conference over to your host, John Curran, CFO. Thank you. Please begin."
John Curran,0,"Thank you, and good evening, everyone. I'm John Curran, Cognex's CFO, and I'd like to welcome you to our third quarter earnings conference call. With me on today's call are Rob Willett, Cognex's President and CEO. Dr. Bob Shillman, Cognex's Chairman won't be joining us this evening. He sent his regards and he looks forward to talking with you on our next call. Please note that our earnings release and Form 10-Q are available on the Cognex website at www.cognex.com. Both contain detailed information about our financial results.
During the call, we may use a non-GAAP financial measure if we believe it is useful to investors, or if we believe it will help investors better understand our results or business trends. You can see a reconciliation of certain items from GAAP to non-GAAP in Exhibit 2 of the earnings release. Any forward-looking statements we made in the earnings release or any that we may make during this call are based upon information that we believe to be true as of today. Things can change, however, and actual results may differ materially from those projected or anticipated. You should refer to our SEC filings, including our most-recent Form 10-K for a detailed list of these risk factors.
With that, I will now turn the call over to Rob Willett."
Robert Willett,0,"Thanks John, and hello everyone. Thank you for joining us today. I am pleased to report our results for the third quarter of 2018. We have a tough comparison to the exceptional record setting results that we reported in Q3 of 2017. Other than that comparison this year's Q3 results were very good. We've report keep the second best revenue, net income and EPS from continuing operations in the company's 37 year history.
Revenue in Q3 was $232 million, down 13% from last year's record setting performance and up 10% on a sequential basis. It was also slightly above our guidance for the quarter.
Gross margin in Q3 was slightly higher both year-on-year and sequentially, mainly attributable to a favorable mix towards higher margin product.
We continued to invest in sales and engineering for our long term growth. Although our rate of increase has slowed in recent quarters, we're committed to delivering industry leading vision and ID products to our growing customer base. We believe that we invest more in industrial machine vision and barcode reading technology than any company in the world. And it is that investment that will continue to drive our growth and profitability over the long term.
In Q3, operating margin expanded on a sequential basis to 34%, demonstrating that substantial leverage that incremental revenue has on our business model.
During the quarter, Cognex performed well in many end markets, of course one significant exception was consumer electronics, which is our largest market. As we expected, revenue in Q3 from consumer electronics was substantially below the extraordinary level reported a year ago.
Excluding consumer electronics, revenue grew in mid-single-digits year-on-year. Looking at our performance in our second and third largest markets, revenue from automotive was flat year-on-year in Q3 after growing much faster than expected in many quarters. Demand softened in our major regions during the summer months, since then we've seen a sequential improvement in the Americas and Europe.
In logistics, our Q3 comparisons do not reflect the strength we see for Cognex products. Better viewed on an annual basis, revenue from logistics has grown more than 50% in the first nine months of this year.
At this point in the year, I spent a lot of time in the field with our sales force, visiting large customers and prospects to understand their requirements and their plans for automation in 2019 and 2020. This year, I came back more excited than ever about how Cognex machine vision and ID will improve quality and delivery and drive down costs. Many large retailers are now planning to follow the example of the world's largest e-retailers in automating their distribution centers. They actually a lot more business for Cognex in the years to come.
Interest is particularly high for our AI based deep learning vision. Cognex deep learning vision technology allows manufacturers to perform inspection tasks that were previously very difficult or impossible for rule based machine vision. Many of our AI customers are now moving from trials where they train our deep learning tools to factory floor deployment in industries such as medical devices, automotive and consumer electronics.
The development of our sales force continues to be a critical part of our effort to broaden and grow our business. In the third quarter, we recruited, trained and equipped many sales noise that will build the capacity we need to drive future growth. We've made good progress in increasing the reach of our sales channels to access new and growing markets for machine vision and develop closer ties with customers.
I will now turn the call over to John for financial details from the third quarter."
John Curran,0,"Thank you, Rob. As we go through the financials, Please note that our results reflect the retroactive adoption of the new revenue standard took effect on January 1 of this year. The sale of certain accessories that we historically reported on a net basis are now reported on a gross basis. This is not change our gross margin dollars, but our gross margin percentage has decreased from historical rate by 1 to 2 percentage points.
Now for our Q3 highlights. As Rob noted, Q3 revenue was $232 million, a decrease of 13% year-on-year. This decline is primarily attributable to the exceptional growth we achieved in Q3 of last year across our business, led by consumer electronics. Gross margin of 75% was up slightly year-on-year and within our long term target range
Operating expenses totaled $95.5 million for the third quarter, an increase of 10% year-on-year. Our spending was slightly above guidance mainly due to the higher than expected revenue in the quarter. While we continue to be prudent in terms of discretionary spending and best thing for the future remains a key to our success. This includes maintaining our strong commitment to engineering and the continued expansion and development of our sales team.
Turning to our new ERP system, we successfully implemented SAP in Q3 and used it to close the quarter. There's still more work to be done to fully implement the new system, but we believe it provides an excellent foundation for future growth.
Operating margin in Q3 was 34%, an increase 4 percentage points compared with Q2 of 2018 and driven primarily by the higher revenue level. The eight point decrease in operating margin from a year ago, mainly reflects last year's record breaking revenue in our previously mentioned investments in engineering and sales.
Moving next to taxes. If we exclude discrete items, our tax rate was 16% as expected. Our discrete items in the quarter fell into three categories, with the largest related to the Tax Cuts and Jobs Act of 2017. And finalizing our 2017 4tax returns, we recorded a net benefit of $7.7 million based on new regulatory guidance for the 2017 Tax Act. We also recorded $2.8 million in benefits associated with the exercise of employee stock options and $1.7 million in benefits primarily related to the release of tax reserves.
On a GAAP basis, we reported earnings of $0.45 per share for Q3 of 2018. This compares with $0.57 per share in Q3 of last year.
Looking at revenue year-on-year from a geographic perspective. In the Americas, revenue increased over Q3 of 2017 due to growth in several and markets, including logistics, automotive and life sciences. Internationally, revenue declined because of this quarter's substantially lower contribution from consumer electronics. Lower spending by large customers in OLED display and smartphone manufacturing was most noticeable in Europe and to a lesser extent in our other agent region. It was partially offset by growth in automotive and other industries. Also impacted by lower OLED, smartphone related revenue was our Greater China region.
Moving on from the income statement. Our balance sheet remains very strong. We exited the quarter with $809 million in cash and investments and no debt. We continue to have sufficient capital to support our organic growth objectives. Our M&A plans and for sharing our ongoing success with our shareholders through stock buybacks and dividends. In that regard, we repurchased nearly 4,000 shares of Cognex stock in Q3 and we plan to continue to buy back stock in Q4 subject to market conditions and other factors.
As announced tonight, the board has authorized a new $200 million stock repurchase program, which will begin once our current $150 million plan is completed. About $53 million remains available under the existing plan. Also our Board of Directors has increased the quarterly cash dividend to $0.05 per share. This is payable on November 30 to all shareholders of record on November 16.
With that I will turn the call back to Rob."
Robert Willett,0,"Thank you, John. In terms of guidance, we expect that fourth quarter revenue will be between $180 million and $190 million. At the midpoint that range represents a slight increase year-on-year. We expect a $15 million headwind from last year's high level of investment in OLED display and smartphone manufacturing. We will be glad to have those tough comparison behind us as we move into next year.
Excluding this OLED smartphone reduction, we expect year-on-year growth in Q4 of approximately 10%. That's slower than we'd like, due to softness we're seeing in China where customers are becoming more cautious and slowing their spending plans.
Gross margin for Q4 is expected to continue to be in the mid-70% range and lower than we reported tonight for Q3. Operating expenses are expected to be roughly flat on a sequential basis. Lastly, we expect the effective tax rate will be 16% excluding discrete tax items.
We will now open the call to questions. Operator, please go ahead."
Operator,1,Thank you. [Operator Instructions] And thank you. Our first question comes from line of Jim Ricchiuti from Needham & Company. Please proceed.
Jim Ricchiuti,1,"Hi. Good afternoon. I wonder if you could talk a little bit Rob, about the business ex consumer electronics which is clearly going to be more volatile. But just I wonder if you could talk about what you're seeing in the market just in light of some of the concerns that concerns being some slowing in the automotive market and it looks like that cuts across geographic regions as well as you know potential implications from the trade care of issues in China as it may relate to demand in some of your other regions?"
Robert Willett,1,"Yeah, Hi Jim. You're asking a pretty broad question there. But I'll start answering and perhaps in your follow-up, you can go to specific areas. Okay, so I say you know it Q3, we perform well in most end markets against some tough comparison. We had some good growth in America from logistics, automotive grew but not as quickly as it has been, from life sciences. And in Europe, I think we saw some slowing down in automotive. Greater China we saw broad slowing down. But I think really Europe, China and Asia in Q3 were down year-on-year a lot due to the decline in consumer electronics. So I think when strips that out, we saw general growth across all of our major region with the exception of China. So that's kind of a bit about the industry's overall. You asked a little bit about automotive, so let me kind of speak a little to automotive.
So automotive was slower than normal in the Americas and Europe. And it's always slower in summer in Europe, but it was slower this year. But what we've seen in both Americas and Europe is has improved in recent weeks. I think Europe may have been slower in automotive through the summer, partly to do with some of the new emissions regulations that I think was causing a bit of a bottleneck in automotive production and probably spending in working automation. So we saw that happening. We've seen a lot of growth in automotive over the years, over the last few quarters I should say. In the long run, we expect it to grow at 10% and it's been growing faster than that but in the last quarter it grew more slowly than that. So I would say in the long run though you know automotive business showing any signs of saturation, I think it's just more attentiveness among customers.
So then Jim, if I turn to sort of Q4 outlook and we think about markets. We still have obviously as I talked about lingering headwind since some OLED smartphone and you were asking specifically not about that. I think other than China, we expect you know decent but not exceptional growth among many of our end markets. And I think as we said excluding that smartphone OLED business, we would expect about 10% growth for the rest of the business and I think we're going to see slowing in China. So you can think better than that across the other regions in general. So I don't know if that answers your question."
Jim Ricchiuti,1,"No, that's helpful, Rob. I had one follow-up because you suggested I think logistics portion of the business. You might have experienced somewhat slower growth than normal in Q3 and yet, if I heard you correctly, you're expecting that to pick up again. And I'm just wondering what occurred in Q3 that was somewhat unusual relative to recent quarters?"
Robert Willett,1,"Yes, I want to be cleared, our logistics business is growing really quickly and we just happen to have a lower revenue quarter in Q3, really more - it was a matter of timing, it's not to do with the overall growth. The business in the logistics is growing very, very quickly. It has grown more than 50% in the first three quarters of this year and we expect to go on growing very rapidly."
