speaker,q&a,content
Operator,0,"Greetings, and welcome to the Chegg Third Quarter 2018 Earnings Conference Call. At this time, all participants are in a listen-only mode. A brief question-and-answer session will follow the formal presentation. [Operator Instructions]. As a reminder, this conference is being recorded.
It is now my pleasure to introduce your host, Tracey Ford. Thank you. Tracey, you may begin."
Tracey Ford,0,"Good afternoon. Thank you for joining Chegg’s third quarter 2018 conference call. On today’s call are Dan Rosensweig, Co-Chairman and CEO; and Andy Brown, Chief Financial Officer.
A copy of our earnings press release, along with our Investor presentation, is available at our Investor Relations Web site, investor.chegg.com. A replay of this call will also be available on our Web site. We routinely post information on our Web site and intend to make important announcements on our media center Web site at chegg.com/mediacenter. We encourage you to make use of these resources.
Before we begin, I would like to point out that during the course of this call, we will make forward-looking statements regarding future events, including the future financial and operating performance of the company. These forward-looking statements are subject to material risks and uncertainties that could cause actual results to differ materially from those in the forward-looking statements. We caution you to consider the important factors that could cause actual results to differ materially from those in the forward-looking statements.
In particular, we refer you to the cautionary language included in today’s earnings release and the risk factors described in Chegg’s quarterly report on Form 10-Q filed with the Securities and Exchange Commission on July 30, 2018, as well as our other filings with the SEC. Any forward-looking statements that we make today are based on assumptions that we believe to be reasonable as of this date. We undertake no obligation to update these statements as a result of new information or future events.
During this call, we will present both GAAP and non-GAAP financial measures. Our GAAP results and GAAP to non-GAAP reconciliations can be found in our earnings press release and the investors slide deck found on our IR Web site, investor.chegg.com. We also recommend you review the investor datasheet, which is also posted on our IR Web site.
Now, I will turn the call over to Dan."
Dan Rosensweig,0,"Thank you, Tracey, and welcome everyone. As we close out another back-to-school season, we are excited about the continued growth of our business. Our team remains focused on our goals to lower the cost of education and accelerate the path from learning to earning.
As a result, Chegg services revenue grew 37% in Q3 on 45% subscriber growth year-over-year. The strength of our brands is as powerful as ever with over 80% brand recognition amongst college students. This has led to great financial results which Andy will walk you through shortly.
As we approach 2019, we are even more excited about our future. It is clear to us that the more we invest in content and services that address students biggest pain points, the larger the opportunity will be for Chegg.
The education industry is a $1 trillion market of which over 15% of the U.S. population participates on an annual basis, representing over 7% of the U.S. GDP. This is a giant market that is going through dramatic change and we believe we are one of the driving forces behind that change as we are pushing the industry to realign with its most important constituent, the student.
Modern students lead busy and demanding lives. Three out of four college students are working while they are in school and over 25% of college students are parents themselves which is not surprising given that 40% of today’s students are over the age of 25.
They are also being asked to take on more debt than any generation before them to pursue their education without a clear path showing their investment will yield the ROI that they seek and they need.
That is why we remain focused on putting the needs of the student first and in doing so we are seeing strong demand for the products and services we offer and the way we offer them; online, on-demand, adaptive, affordable, personalized and backed by human help.
We continue to expand the number of offerings, the depth, breadth and quality of our services all to improve student outcome. We believe this expands the TAM, increases engagement and positively impacts the business model. This is evident in the results that we have seen thus far this year, and I want to walk you through the highlights as well as some of the updates on our most recent initiatives.
Chegg Study remains the center of our flywheel. We continue to invest in expanding the content and modalities to serve students and, as a result, we now have over 34,000 ISBNs and almost 25 million questions answered and archived. That represents 41% growth, year-over-year, in our propriety catalog of expert answers and solutions.
This drove over 110 million content views in Q3 alone, up 51% year-over-year. We will continue to invest in Chegg Study because, when we do, we have seen increased engagement, higher retention, lower customer acquisition, which has yielded increased subscribers and higher margins.
While we are investing in our core, we are also investing in our future. We are seeing strong initial demand for our new subscription services, Chegg Math and an enhanced version of Chegg Writing.
With over 40% of college students requiring remediation in Math, English, or both, these are key subjects where we are starting to leverage A.I. and machine learning to expand our product offerings and provide greater support to a broader range of students. Last quarter, we launched our math product on mobile to provide students increased access to help when, and where, they want it.
Chegg Writing now addresses more pain points around the subject of writing, including plagiarism, grammar, sentence structure, and more. With our recent acquisition of WriteLab, we are now expanding the types of writing support we offer, in a more personalized and adaptive way. In Q3 students uploaded over 1 million papers to our new writing service and they continue to rely on our citation and bibliography services, creating over 64 million citations in this quarter alone.
While technology and A.I. allows us to accelerate and improve the learning experience for many students, they have also made it clear that they benefit from human help. That is evident as over 60% of our Tutor customers come from other services across the Chegg platform.
They are increasingly turning to chat and other text-based solutions to get help at the time, and in the format, that works best for their demanding schedules. We expect to introduce new chat-based capabilities on the platform, for both students and tutors, in the second half of 2019.
As we look to the future of our business, our mission remains the same; to save students time, save them money, and help them get smarter. We believe the more content, products and services we offer students, the more we can increase their opportunities to learn new skills and master their classes.
This is why we recently began testing the Chegg Study Pack, a bundle that offers overwhelming value to students and includes Chegg Study, Chegg Writing, and Chegg Math all for one affordable price.
In addition to saving money and improving their grades, research shows that 85% of students say they are in college to get a better job. So, we feel that Chegg CareerMatch will be an important part of their future.
We were excited about our first on-campus launch of Chegg CareerMatch in Q3, as our team hosted events at the University of Central Florida. We interacted with thousands of students on campus and were delighted by the feedback we received.
Our team is hard at work incorporating the insights we gathered into our product experience and we are enthusiastic about the impact Chegg CareerMatch can have on student’s abilities to go from learning to earning.
We are very proud that we have built a mission-driven company and we think the industry is being influenced by the work our team is doing and is moving increasingly in a direction that we believe will benefit students.
We couldn’t have gotten to this point without an ambitious, creative and amazing team, which is why we were thrilled to place in the top 50 of Fortune’s Top 100 Best Medium Sized Places to work list in our first year of applying for this distinction.
We want to take a moment to thank our employees and we are deeply grateful for their commitment and dedication to increasing access to education by lowering the cost, improving the outcome, and always putting the student first.
And with that, I will turn it over to Andy. Andy?"
Andy Brown,0,"Thanks, Dan, and good afternoon, everyone. Chegg had a great third quarter with our business metrics and financials ahead of our expectations. These strong results give us the confidence to raise our guidance again for 2018.
We are also providing our initial outlook for 2019, which represents continued growth and leverage in the model. We are extremely proud of what the Chegg team has accomplished, as students are increasingly relying on Chegg’s integrated platform of connected educational services to improve their outcomes.
For the third quarter, total revenue was 74.2 million, with both Required Materials and Chegg Services revenues exceeding our expectations. This strong top line performance drove gross margins to 73.2%, a significant increase over the 64.3% we achieved in Q3 of 2017.
This resulted in adjusted EBITDA of 12.5 million, more than double of what we achieved in Q3 of 2017 and well above our expectations, demonstrating the leverage of our model.
We ended the quarter with approximately 475 million of cash and investments on the balance sheet. We believe the strength of our balance sheet and our operating model, which generates cash, is one of the strongest in the education industry.
Based on the great results of the fall semester rush, we are increasing our guidance for 2018, even after incorporating the anticipated costs associated with responding to the data incident that we announced in late September.
For Q4 we now expect total revenue between 90 million and 92.5 million with Chegg Services revenue between 78 million and 79.5 million, gross margin between 75% and 76% and adjusted EBITDA between 33 million and 34 million, which represents approximately 60% growth year-over-year.
As a result, we are now increasing our full year 2018 guidance. We now expect total revenue between 315 million and 318 million with Chegg Services revenue between 250 million and 252 million, gross margin between 74% and 75% and adjusted EBITDA between 81.5 million and 82.5 million, or approximately 26% EBITDA margin, growing more than 75% year-over-year.
And finally, we expect CapEx to be between 32 million and 35 million, with approximately 80% being used to fuel expansion of content and add new modalities such as video for our subscription services. We believe these investments increase engagement on our platform, expand our TAM and create more value for students.
Turning to 2019. Our initial expectation for total revenue is approximately 388 million with Chegg Services revenue growing approximately 30% to 326 million. We expect Chegg Services revenue and subscriber growth rates to be more closely aligned in 2019, as the subscription portion of our revenue becomes a larger contributor. We expect gross margin to be approximately 75% and adjusted EBITDA margin to expand 3 points to 29%, or 112 million.
For those of you modeling 2019 by quarter, we expect Chegg Services and Required Materials revenue to be seasonally similar to 2018. However, our quarterly adjusted EBITDA cadence will shift slightly due to expenses associated with the acquisitions of WriteLab and StudyBlue. Details of which have been provided in the earnings press release and the investor deck on the IR Web site.
In closing, we had another strong quarter in Q3. We delivered above the high end of our expectations, giving us confidence to increase full year guidance and provide a strong initial outlook for 2019, all while continuing to invest in both the content that powers our existing services and building out our new services to improve student outcomes.
With that, I’ll turn the call over to the operator for your questions."
Operator,1,Thank you. We will now be conducting a question-and-answer session. [Operator Instructions]. Our first question comes from Jeff Silber with BMO Capital Markets. Please go ahead.
Jeff Silber,1,"Thanks so much. I hate to bring this up right at the beginning since you guys had a good quarter, but can you give us a little bit more color on what happened with the security breach, what you found so far and what your plan is to make sure this doesn’t happen again? Thanks."
Dan Rosensweig,1,"Yes. Hi. It’s okay. It happened. We wish that it hadn’t and we’re grateful to our team on how quickly they rallied. We don’t really have much to add to the question of what happened. That’s all in the 8-K that we filed. But any results of that are reflected in our guidance, in our forward-looking guidance, which I think you can see means there really wasn’t anything significant one way or the other as it relates to our business. So we don’t really have much to add with the exception of we acted very quickly. Once we found out what the situation was, we reacted very quickly.
We made sure that we communicated as aggressively as we could, as quickly as legally was possible. We notified everybody on our list whether they were current customers or not just out a courtesy and our students responded incredibly quickly and incredibly well. And it’s a shame that we live in a world where they are used to this. But there’s a lot of this going on in the Internet. And so we don’t have much to add other than what we already filed in the 8-K for all the reasons that you can imagine, but I’m proud of the way our team responded and you can see the results are what they are which have been really great results."
Jeff Silber,1,And you don’t think it’s had any impact on subscriber growth since then?
Dan Rosensweig,1,"Again, when I look at where we finished and when I look at what our guidance is, I would suggest that we’ve not seen anything meaningful one way or the other. To be honest with you we didn’t expect that that would be the case because in this particular case what they got access to was no credit cards, no financial information, none of that stuff. So there was no change in anybody having to change their credit card.
There was no change in any of their behavior that they needed to do with the exception of changing their password and that is something that we regularly do anyway for security reasons. So over the course of the period between now and then, it’s been business as usual over the spectrum of time. On given days, there were different things that had to happen. We mailed out, we got responses, those kinds of things. But overall, we are very comfortable with our guidance."
Jeff Silber,1,"Okay, fair enough. Can we shift back to the business? Can you talk a little bit about what you found in terms of the pilots with Study Pack so far?"
