speaker,q&a,content
Company Participants,0,"Kimberly Esterkin - Director, Investor Relations
Henry Stupp - Chief Executive Officer
Steve Brink - Chief Financial Officer "
Conference Call Participants,0,Eric Beder - SCC Research
Operator,0,"Greetings, and welcome to the Cherokee Global Brands First Quarter 2020 Earnings Conference Call. At this time, all participants are in a listen-only mode. [Operator Instructions] As a reminder, this conference is being recorded.
I would now like to turn the conference over to your host, Kimberly Esterkin, Director, Investor Relations."
Kimberly Esterkin,0,"Thank you, and good afternoon. Speaking today will be the company's Chief Executive Officer, Henry Stupp; and Chief Financial Officer, Steve Brink. Before I hand the call over to management, please note that on this call, certain information presented contains forward-looking statements.
Forward-looking statements are neither a prediction nor a guarantee of future events or circumstances, and are based on currently available market, operating, financial, and competitive information and assumptions. Our actual results could differ in a material manner from those expressed in such forward-looking statements for any reason, including those listed in the company's SEC filings. The company assumes no obligation to update any such forward-looking statements. Please also note that past performance is not a guarantee of future results.
Further, this conference call includes a discussion of non-GAAP financial measures as the term is defined in Regulation-G. The most directly comparable GAAP financial measures and information reconciling these non-GAAP financial measures to the company's financial results prepared in accordance with GAAP are included in the earnings release, which is posted on the company's website at cherokeeglobalbrands.com.
And with that, I'll hand the call over to Cherokee Global Brands Chief Executive Officer, Henry Stupp."
Henry Stupp,0,"Thank you, Kim, and good afternoon everyone. We appreciate your support on today’s earnings call. As we complete the first quarter fiscal year 2020 and enter into the second, we remain focused on delivering on our pledge to think like a retailer and connect with consumers. 
Even as a retailer strategies diverse significantly from the past in order to establish new and diversified revenue streams. Our ability to diversify our portfolio across geographies, customers, categories, and consumer touch points along with our focus on driving profitable growth led to a 14% improvement in adjusted EBITDA, and a 12% decline in SG&A year-over-year.
While our bottom-line performance continues to improve due to cost saving measures, our royalty revenue for the quarter was somewhat lighter than anticipated taking into effect non renewed or expired licenses and the divestiture of Flip Flop Shops. With that said, we’ve decided to adjust our guidance for the fiscal year.
Although, we now have stronger control of our expenditures and profitability than ever before, macro forces namely the threat of tariffs and Brexit have resulted in lower top line growth. We think it prudent, therefore, to revise our guidance at this time and are lowering our revenue and EBITDA estimates for the fiscal year. Steve will get into the specifics later in the call.
Despite these market conditions, from an operational standpoint, Cherokee Global Brands continues to benefit from the combination of our portfolio of high equity brands and our platform of capabilities that leverages our design services model into new revenue streams. Our unique 360-degree platform positions us as a full-service resource for each of our retail and wholesale licensees.
In addition, our recent shift from a direct-to-retail licensing model to one that encompasses wholesale and retail licensing partnerships enables us to grow our own brands and create and develop brands and products for others. We've recently introduced these new revenue streams and we are in advanced discussions to expand our design service relationships into numerous markets with the leading retailers.
From a strategic perspective, as we continue to grow and enhance Cherokee Global Brands for future success, we have begun to add new skill sets to our Board of Directors. In the beginning of May, we announced the appointment of Patti Johnson as Chair of our Audit Committee. Patti's prior experience managing the financial and accounting operations for large global retail operations, such as Charlotte Russe and Old Navy has proven to be a strong addition to our team in her short tenure on our Board.
Then, just last week, we were thrilled to announce the appointment of current Director, Evan Hengel, as Chairman of the Board. Evan has been a member of Cherokee's Board of Directors since October 2018 and his extensive business and financial experience, including M&A and restructuring in the apparel and consumer industries has and will continue to significantly contribute to our Board.
And last but certainly not least, from marketing and branding perspective, as I mentioned last quarter, at the end of June, we are excited to reconfirm that Cherokee Global Brands will officially be re-branded as Apex Global Brands. Towards the end of June, Apex Global Brands will begin trading on NASDAQ under the ticker symbol, APEX, A-P-E-X. 
At that time, we shall transition from Cherokee Global Brands to Apex Global Brands, both in name and ticker symbol, as we mark the expansion of our brand portfolio from a mono-branded company to a house of high equity lifestyle brands, and we leverage our platform synergies and position ourselves as a true thought leader in the global expansion of our brands and services.
Leveraging the unique Apex platform, our own brands will be able to grow into new categories and markets without limitation. At the same time, our retail partners and licensees will be able to expand their global reach and relevance, as our retail licensee partners are now collaborating to market a vastly expanded assortment of products. 
We believe that our shareholders will witness the transformation of our company into a streamlined organization that can leverage our current and future brands distinct strengths to reach new levels of profitability.
We believe we are heading in the right direction, cutting costs to improve shareholder returns, appointing key individuals to strengthen our strategic direction and rebranding to reflect the changing world of retail. We are now better positioned to deepen our relationships with retailers and to help our partners deliver more product and introduce new categories faster than ever before. I am optimistic about our future and look forward to continuing to sharing our progress.
Before discussing our brands further, I'd like to hand the call over to Steve Brink, our CFO, to review the first quarter 2020 results and updated financial guidance. Steve?"
Steve Brink,0,"Thanks, Henry. And good afternoon, everyone. Revenues for our first quarter were $5.1 million, compared to $5.4 million in the prior year's first quarter. This 6% decrease is primarily due to the expiration of the Cherokee brand license in South Africa, as well as our divestiture of our Flip Flop Shops franchise business in June 2018. In Q1 last year, we had approximately $800,000 of revenue overall from non-renewed licenses in the Flip Flop Shops business that we sold. Excluding these items, our organic revenue growth was 9% for the quarter.
As Henry noted, first quarter product sales of our licensees in Europe were hampered by the economic uncertainty surrounding Brexit. We think this trend may continue in the future quarters. People are also concerned about the impact of potential higher tariffs on apparel and footwear if the United States enacts the announced 25% tariff on goods produced in China, commonly known as Tranche IV.
We believe our licensees are being proactive to reduce their exposure to higher tariffs by moving production to countries that aren't exposed to these tariffs and by negotiating lower costs with existing suppliers. However, it's possible that if these tariffs are enacted, prices may increase in our branded products being sold in United States. In turn, this could result in lower retail sales and lower royalty revenue to us.
Now, back to our results for the quarter. The overall decline in royalty revenue in the first quarter was partially offset by revenue from our new design services agreement in China. This agreement continues to demonstrate the value of our product development capabilities. Also, on a positive note, we continue to see the beneficial effects of our restructuring efforts in our operating expenses this quarter. On a year-over-year basis, our ongoing SG&A expenses were down 12% in the first quarter, while our adjusted EBITDA increased 14%.
Total interest expense for the quarter was $2.2 million, compared to $1.7 million in the prior year. This increase was primarily due to our increased debt level, along with higher non-cash interest charges related to our new term loan. Again, this is not all cash interest. Our interest expense includes $1.6 million of cash interest, plus $600,000 of non-cash charges for the amortization of deferred financing costs.
Our income tax expense also includes non-cash components. We generated net operating losses in the quarter in both the United States and Europe and we're not recognizing the benefits of these NOLs in our income statement because of previously established valuation allowances. The result is that we have non-cash tax expense reflected in our income statement, which totaled $300,000 for the quarter. Cash taxes were also $300,000 for the quarter.
Our operating profit for the quarter was $600,000 compared to an operating loss of $200,000 in the first quarter of the prior year. Excluding the one-time and non-cash items, our adjusted EBITDA was $1.2 million for the quarter, a 14% increase from $1.0 million in the first quarter of fiscal 2019. This improvement was driven primarily by lower SG&A combined with the organic growth of our ongoing licensees.
Now, let's review liquidity. We ended the quarter with $1.7 million of cash on hand. Our long-term debt totaled $54.8 million net of debt issuance cost, $1.4 million of this obligation is current. One of our lenders who has issued stock warrants when we refinanced our credit facility back in August 2008 exercised their warrants in the first quarter. This resulted in $600,000 of cash proceeds.
Now, let's turn to guidance. As Henry noted, we are revising our guidance for fiscal 2020, which for us will end on February 1, 2020. We've changed our revenue expectations for the balance of the year, taking into account the continued uncertainty surrounding Brexit and the potential impact of higher tariffs going forward. We've also taken steps to further reduce our SG&A in the upcoming quarters, compared to our previous expectations.
We now anticipate revenues to range from $24.5 million to $26.5 million, SG&A to range from $14 million to $15 million and adjusted EBITDA to range from $10.5 million to $11.5 million. This guidance indicates revenue growth of up to 8% for the full year and EBITDA growth ranging from 7% to 17%.
As you probably know, NASDAQ requires our share price to be over $1. Our shares haven't traded over a $1 recently and we've now passed the time frame that we had for us to regain compliance with this bid price rule. There's been some activity lately in this regard.
Our shareholders approved last week a reverse stock split that our Board of Directors can implement, if necessary, to achieve a $1 stock price and remain on NASDAQ. But our one-year compliance window expired before that could happen and NASDAQ advised on June 5 that our stock would be de-listed unless we appeal that decision. 
We did file an appeal and expect to present our plan to regain compliance with NASDAQ's appeals panel. Because we filed an appeal, NASDAQ will defer any de-listing action until the hearings panel hears our case and makes a decision. You'll find additional details regarding these requirements in our 10-Q that was filed this afternoon.
Now, I'll turn the call back to Henry to add more color regarding our results."
Henry Stupp,0,"Thank you, Steve. I'll now provide some highlights on our core brands for the first quarter of 2020. Starting with the Hi-Tec portfolio, which comprised 50% of our total revenue for the period. The Hi-Tec brand portfolio, which includes Hi-Tec, Magnum, Interceptor and 50 Peaks achieved revenues of $2.5 million for the quarter, down only slightly from $2.6 million in the prior year.
Although, revenues in Europe for the quarter were impacted by the economic uncertainty related to Brexit, we're today marketing an expanded range of apparel, footwear and accessories sold by department stores and major sporting goods and specialty retailers globally. Outside of Europe, distribution of Hi-Tec branded footwear, apparel and accessories in Latin America and Asia are in the early stages, but growing.
We look forward to exploring category expansion opportunities as we scale the brands in these regions. Through our licensees’ efforts, we've recently expanded our footprint in Asia with major distribution partners in China and South Korea. And we will continue to expand the Hi-Tec portfolio in Asia, Latin American, and India in the coming months.
We're also seeing positive results with Magnum branded footwear and we added new product categories, such as apparel and accessories to expand our product assortment. Magnum is one of the world's fastest growing military, technical and service industry brands. We will continue to increase awareness for Magnum through marketing activations and new licenses in the coming months.
Our exclusive distribution agreement with Walmart North America continues to drive success for Interceptor and here too category expansion will be key to growth. As I noted last quarter, we are in discussions to expand the Interceptor globally in footwear, apparel and accessories in early fiscal 2021.
And now, I'll turn to the Cherokee brand, where sales of $1.5 million were down approximately $0.6 million year-over-year, largely due to non-renewal or expiration of legacy partners, along with our transition from direct-to-retail to a wholesale licensing model.
As legacy relationships are replaced and business models shift, we know that a sustainable growth plan exists for the Cherokee brand domestically. Nevertheless, this will take time and we, along with our best-in-class licensees, are committed to making this happen.
Today, we offer a wide assortment of Cherokee men's, women's and children's products across multiple channels, retailers and licensees. Our licensee’s expertise and commitment to the Cherokee brand will be key to our growth strategy and the efforts are progressing, particularly for Cherokee Kids and School Uniforms. As we expand distribution to new channels and with new partners and leverage our new Apex platform, we look forward to realizing positive comps for the Cherokee brand in the future.
On the global front, we continue to identify additional licensees to build upon our European base. We continue to pursue multi-category, multi-channel approach for our global retail partnerships, including new licensee partnerships in Japan, China and continued expansion in Europe. Partnering with best-in-class licensees will remain a key aspect of our growth strategy.
Our sales and marketing efforts are gaining traction for our portfolio brands, including new licenses and distribution for Everyday California. Recently, we have signed a long-term license with Chedraui in Mexico and our domestic licensees secured placement with key retailers. We're also in discussions to secure new licensees for both Liz Lange and Sideout.
And lastly, I'll review our Tony Hawk brand, which now includes our street-wear lifestyle brand Tony Hawk Signature. With the transition from our legacy direct-to-retail model to wholesale licensing base, we expect positive future results over the coming quarters. While relatively new, our core wholesale licensees are focused on building brand momentum securing fair placement with the leading retailers in Europe, Asia, Australia, and of course, North America.
The actions we've taken to stabilize our financial position and refresh our business model have put us in a solid position to expand reach for the brands we own, the brands we create, and the brands we elevate for others as well into the future. 
Our transition to Apex Global Brands in the coming weeks represents natural evolution for our company. We're entering this new chapter with an operational model that is stronger and a business model that is more balanced and diversified than ever before.
Thank you again for your time. We'll now open up the call to your questions. Operator?"
Operator,1,"At this time, we will be conducting a question-and-answer session. [Operator Instructions] Our first question comes from the line of Eric Beder with SCC Research. Please proceed with your question."
Eric Beder,1,Good afternoon.
Henry Stupp,1,"Hi, Eric."
