speaker,q&a,content
Company Participants,0,"Julie Lorigan - VP of IR
Bonnie Brooks - interim CEO and President
Todd Vogensen - CFO"
Conference Call Participants,0,"Susan Anderson - B. Riley FBR
Kimberly Greenberger - Morgan Stanley
Janine Stichter - Jefferies
Roxanne Meyer - MKM Partners
Janet Kloppenburg - JJK Research
Gabby Carbone - Deutsche Bank"
Operator,0,"Good morning, and welcome to the Chico's FAS First Quarter 2019 Earnings Conference Call. [Operator Instructions]
I would now like to turn the conference over to Julie Lorigan, Vice President of Investor Relations. Ms. Lorigan, please go ahead."
Julie Lorigan,0,"Thank you, Anita, and good morning, everyone. Welcome to Chico's FAS first quarter 2019 earnings conference call and webcast. Joining me today are Bonnie Brooks, our interim CEO and President; and Todd Vogensen, our Chief Financial Officer. Our earnings release issued today can be found on our website at www.chicosfas.com under Investor Relations, Press Releases.
Let me caution you today that today's comments will include forward-looking statements about our current expectations, assumptions, plans, estimates, judgments and projections about our business and our industry, which speak only as of today's date. You should not unduly rely on forward-looking statements. Important factors that could cause actual results or events to differ materially from those projected or implied by our forward-looking statements are included in our earnings release issued this morning and our SEC filings and in the comments that are made on this call. We disclaim any obligation to update or revise any information discussed in this call, except as may be otherwise required by law.
And with that, I will turn the call over to Bonnie."
Bonnie Brooks,0,"Thank you, Julie and good morning everyone.
In the first quarter, we made significant changes to the Company's leadership and reset our priorities. We initiated a search for a new CEO, have brought in new talent within the brands, and actions are now underway across the Company with a focus on three distinct areas that we believe will positively impact our results.
On today's call, I will review these new priorities and provide an update on our performance. Following my remarks, I'll turn the call over to Todd for a review of our financial results in more detail and then we will take your questions.
As you know, I stepped in as interim CEO in April after having been a member of the Chico's FAS Board since 2016 and having spent more than three decades in the retail apparel industry. Over these past weeks, I have been working directly with our teams to examine product, review our quality and styling and evaluate marketing for all three brands.
I have also been in the field engaging with customers, partners, including new vendors and speaking with other stakeholders. This work as interim CEO and my experience in executing successful turnarounds of other major apparel retailers helped us define three new operating priorities which we have implemented internally and are sharing today.
These include first, driving stronger sales through improved product; second, optimizing the customer journey by simplifying, digitizing and extending our unique and personalized service; and third, transforming our sourcing and supply chain operations to increase product speed to market and improved quality.
Actions are underway in each of these areas. But before I review those actions, let's address our first quarter performance. Top and bottom line results were in line with our expectations for the first quarter with performance mixed by brand.
Karen McKibbin, started as Chico's new brand President on April 1st, and the brand has already benefited from her influence. Under her direction, Chico's is elevating both the quality and overall aesthetic. Customers responded favorably to our spring and summer assortments which reflected a more balanced product architecture. At Soma, we continue to deliver positive results. Successes in our two key focus areas of bras and sleepwear helped drive a 3.4% comp sales increase.
We saw particular success with our Enbliss range extension, which is on track to be the number one bra franchise in our portfolio. We also saw excellent momentum with our Cool Nights sleepwear and with our shirt - our sleepshirt in high demand and our customer continuing to buy our mix-and-match separates.
At White House Black Market, misses in color and print resulted in a first quarter comparable sales decline. However, we took immediate steps to course correct by bringing in new merchandising and design talent and adjusting future product. I'll talk more about this shortly.
I want to emphasize now that even with the improvement at Chico's and the continuing growth at Soma, we know more must be done to improve performance and value creation. We are not standing still. Let me provide additional color on the work underway.
First, our priority is to drive stronger sales across our entire portfolio. In the past six weeks, we have put the customer at the center of everything we are doing. This means we have taken many projects and distractions that were on the agenda, completely off the agenda, if they do not relate to the customer and sales.
This is a customer that I know well and have built many profitable sales around for decades in apparel. This is a customer that is at the center of the actions we are now taking in our brands. Job one for our business is creating exciting, wanted, and affordable fashion in each of the brands.
This is what myself and the team leaders have been spending significant time on assessing the DNA of the brands and aligning that DNA to the customer, the product, the marketing and the stores and online selling tools.
We have significant opportunities in product styling, quality, fit and allocation at each of our brands and we are working to strengthen our market position through more effective digital marketing.
I've been intimately involved with our brand presidents to review, revise and distort our product for required depth and designing marketing plans for the back half of the year to ensure we execute and drive sales.
At Chico's, in addition to Karen, we have recruited new talent in both product and marketing. The team is continuing to elevate the quality, fit and aesthetic of the product and it's focused on having a balanced assortment with wardrobe essentials, memorable pieces and thoughtful collections.
Key items continue to be an important component of our assortments, and we have added category depth and strength. We have also reset the layout of our stores and of our online presentation to reflect these merchandising changes. We are now telling our customers a cohesive story of what we stand for and making our stores more inviting with improved visual impact of new and current products.
As to marketing, the team is focused on improving our voice of the customer by increasing our focus on digital. Next, at White House Black Market, our colors and prints in the first spring delivery were not aligned to our customer closely enough.
However, these are issues that are within our control and we are taking swift action to adjust our product and brand position for the fall and holiday season as mentioned earlier.
In addition, we have a more rigorous testing capability in place for merchandise approvals, and have hired a seasoned expert executive to specifically address print and color throughout the organization. We have adjusted our assortments where possible for Q3 and we anticipate more meaningful visual improvement in the balance of fall and with the holiday deliveries.
We are also well underway in a search for a new head merchant for our White House Black Market brand and expect to make an appointment in the near-term. During the transition, Kim Roy, who joined our Board in February is working with the brands and myself during this period to assist with product and merchandising.
Kim has more than 30 years of experience in the retail industry particularly in women's apparel. Most recently Kim spent 13 years as Group President of Ralph Lauren and had both sales and product responsibility. We are pleased to be able to tap into Kim's eye and her expertise.
At Soma, we are investing in growth, driven by our focus on innovation and new product launches, we continue to gain traction in bras and sleepwear. We have a major new bra launch in our Vanishing franchise in the back half of the year and additional innovation and new launches planned as we look out to next spring.
We are testing new value sets around gifting occasions and sleepwear as well. Our product initiatives are supported with a strong marketing program, focused on digital and influencers which is driving growth in new and reactivated as well customers. So, next, our second focus area, optimizing the customer journey to drive sales.
We have invested in technology to digitize the customer experience in a way that meets her heightened expectations for seamless, fast and transparent service. We are now using StyleConnect, a newly developed proprietary tool that syncs to the Company's legacy clientele program and can drive sales both online and in-store across the network.
We have expertise with creating a personal connection with our customers that drives loyalty and further strengthens the connection. And now digital is being enabled for the first time with StyleConnect.
We are training our sales associates on how to utilize this technology to build wardrobes for our customers and we are starting to see traction in our test model as customers respond to our messaging, our style boards and fashion advice tailored specifically to their needs. In addition, this summer, we will take the next step in executing our customer journey strategy with the implementation of buy online and pick up in stores across all banners.
And our third key focus area is sourcing and supply chain transformation. In supply chain, we are working to fully digitize our end to end operations, to allow for a more seamless integration from vendor through fulfillment to customer. We recently engaged in a full network study to optimize our distribution network and evaluate alternatives.
To support our focus on elevating product, styling and quality, we are also making changes to our sourcing. We have worked diligently to consolidate our vendor base for both product consistency, speed and volume advantages that we have not had in our business today.
For example, over the last year, we have reduced our vendor base by almost 25% and through ongoing negotiations with our vendors, we believe there is opportunity for even more consolidation and scale and the benefits that, that brings.
At the same time, we continue to reduce our China manufacturing concentration. We are all well aware of the tariffs on product from China and before moving on, I want to spend a moment providing an update on our sourcing from this country.
Over the last year we have reduced our product manufactured in China by approximately 20% as we continue to diversify our countries of origin, and continue to further reduce our penetration there.
As for the tariffs, we have had minimal impact today from the imposed 25% duty on a limited amount of Chinese products, but we anticipate a significant impact, if the proposed 25% tariff on the fourth tranche of goods announced on May 5th goes into effect.
We are working on mitigating strategies, including engaging with our vendors, on cost sharing agreements and managing and adjusting our forward buys and product pricing.
Before I turn the call over to Todd, I'd like to update you on the status of our search for a permanent CEO, which began seven weeks ago. We have been impressed by the caliber of candidates that we are seeing. And importantly, they too believe in the Company and in the market opportunities for our brands.
The CEO search is proceeding ahead of our expectations and we look forward to keeping you updated. In summary, we are making important changes across the organization. These improvements will take time to translate into financial results, but having led previous turnarounds, I am confident we are on a better path forward for the Company and for our shareholders.
Todd?"
Todd Vogensen,0,"Thanks Bonnie, and good morning everyone.
Before we begin, our comments and discussion of first quarter financial results will be on an adjusted or non-GAAP basis. You'll find the GAAP to non-GAAP reconciliation schedule included with our press release issued this morning. With that, we reported comparable sales for the first quarter down 7% in line with our previous outlook and reflecting the soft start to the quarter across all of our brands.
We did see strength in e-commerce which increased low double digits compared to last year's first quarter. We believe our ongoing investment in our omni platform and customer journey will continue to fuel healthy growth in this channel.
Moving to the bottom line, we reported first quarter adjusted earnings of $0.05 per diluted share which excludes the accelerated depreciation charges related to our retail fleet optimization program. Merchandise margin was down slightly primarily due to the higher levels of discounts at White House Black Market to clear through spring product. Merchandise margin at both Chico's and Soma was up compared to the prior year.
We exited the quarter with total inventory down 4.5% compared to last year. Overall, gross margin was down 250 basis points slightly better than our expectations. The decline primarily was due to costs related to the expansion of our omni channel programs and deleverage of fixed costs on reduced sales. This also excludes the impact of accelerated depreciation charges related to our fleet optimization program of 100 basis points.
Moving to SG&A expenses, first quarter SG&A was down $1 million compared to last year and was in line with our expectations. Our balance sheet remains strong and we ended the quarter with $168 million in cash and short term investments and $54 million in debt. We anticipate that we'll generate strong positive free cash flow for the full year.
We continued to focus on our capital expenditures on investments in technology and existing store remodels and refreshes. Consistent with our prior outlook for 2019, our plan for capital expenditures remains at $55 million. We invested $8 million in the first quarter. We closed eight stores in the first quarter and we're on track to close 60 to 80 stores in fiscal 2019, previously announced as part of our retail fleet optimization plan.
In the first quarter, we returned $10 million to shareholders. In the trailing four quarters, we have returned approximately $124 million to shareholders in the form of dividends and share repurchases. We currently have approximately $55 million outstanding under our existing share repurchase authorization.
Now turning to our financial outlook for the second quarter and our updated outlook for the full year of 2019, this outlook excludes expected net charges related to the retail fleet optimization plan.
For the second quarter of fiscal 2019, compared to last year's second quarter, we expect a mid single digit decline in total net sales and consolidated comparable sales reflecting a sequential improvement in sales trends in both our Chico's and Soma brands and softer sales in our White House Black Market brand.
Gross margin as a percent of net sales to decline approximately 200 basis points to 250 basis points due primarily to incremental costs associated with our omni-channel programs and deleverage of fixed costs from lower sales. And our SG&A expenses will be approximately flat reflecting ongoing cost management, offset by investments in Soma marketing.
For the full year of 2019, compared to last year, we expect a low to mid single digit decline in total net sales and consolidated comparable sales versus our previous guidance of a low single digit decline in total sales and comparable sales.
This outlook takes into consideration our first quarter performance and reflects improved sales trends across all brands in the second half of the fiscal year driven by the key priorities and actions that Bonnie outlined earlier.
Gross margin as a percent of net sales will be down 50 basis points to 100 basis points, versus our previous guidance of approximately flat to down 50 basis points due to incremental costs associated with our omni-channel programs and deleverage of fixed costs from lower sales.
The improvement in the second half trends for our full year outlook for gross margins is driven by the expected improvement in sales trends across all brands in the second half of the year.
SG&A, we expect to be down approximately $10 million versus our previous guidance of approximately flat reflecting investments in Soma marketing, offset by ongoing cost management. And lastly, our fiscal 2019 tax rate in the range of 35% to 40% which excludes accelerated depreciation related to our fleet optimization plan.
Note that for the second through fourth quarter of fiscal 2019, we anticipate our tax rate to normalize in the range of 25% to 28%. Overall, our bottom line earnings expectations are roughly the same as our prior guidance. We've re-balanced components of our P&L to account for a weaker first half and a stronger second half of the year.
Now, I'll turn the call back over to Julie for Q&A."
Julie Lorigan,0,"Thank you, Todd. At this time we'd be happy to take your questions and I'll turn it back to Anita to begin."
Operator,1,[Operator Instructions] The first question today comes from Susan Anderson with B. Riley FBR. Please go ahead.
Susan Anderson,1,"Nice to see the improvement in the Chico's brand. And, also I think, maybe if you could just talk about inventory levels across the brands, I guess will there be the need for additional clearing in second quarter and then as it relates to gross margin, I may have missed this, but did you guys say what merch margin was in second quarter? And then if you could talk about your expectations for, I mean in first quarter, sorry if merch margin in second quarter and then the back half too, that would be great. Thanks."
Todd Vogensen,1,"Absolutely. So inventory levels across brands. For Chico's and White House, we've been managing the inventory really in line with sales and being proactive in how we go about doing that. That did cost us a little bit of merchandise margin as we went through the first quarter nothing terribly significant. We've been managing our inventory pretty tightly and as we go into Q2, I would say much the same.
We've set ourselves up with inventory overall in solid position. Our sales particularly for White House are expected to be lower than we probably would have budgeted. But we've also positioned our inventory fairly well. So no significant impact to maintain margin in the second quarter.
Across inventory levels, what I would tell you is, again for Chico's and White House, we really are managing those inventory levels in line with our overall sales expectations and we'll have some areas where if we see opportunity, we will invest behind those. The bigger opportunity really will be through Soma.
And in Soma with the tailwind we have, with the programs we have planned, you will see an increase in Soma inventory particularly as we get into the second half."
