speaker,q&a,content
Operator,0,"Good day, ladies and gentlemen, and welcome to the Cinedigm Corporation Fiscal 2019 Second Quarter Earnings Call. At this time, all participants are in a listen-only mode. [Operator Instructions] As a reminder, today’s conference is being recorded.
I’d now like to introduce your host for today’s conference, Ms. Jill Calcaterra, Executive Vice President. Ma’am, please go ahead."
Jill Calcaterra,0,"Good afternoon, and thank you for joining us today for our second quarter fiscal 2019 earnings conference call. Participating in today’s call are Cinedigm’s Chairman and Chief Executive Officer, Chris McGurk; Chief Financial Officer, Jeffrey Edell; and our General Counsel and Head of Cinema Equipment Business, Gary Loffredo.
Before I hand the call over to management, please note that on this call certain information presented contains forward-looking statements. These statements are based on management’s current expectations and are subject to risks, uncertainties and assumptions. Potential risks and uncertainties that could cause the company’s business and financial results to differ materially from these forward-looking statements are described in the company’s periodic reports filed with the SEC from time to time.
All of the information discussed on this call is as of today, November 14, 2018, and Cinedigm does not intend and undertakes no duty to update future events or circumstances. In addition, certain financial information presented in this call represents non-GAAP financial measures.
And now, I’d like to turn the call over to Chris McGurk."
Chris McGurk,0,"Thanks, Jill, and thanks everyone for joining us on the call today. Overall, our results for the second quarter were in-line with our expectations. We added new partnerships with both domestic and Chinese content providers and platforms to distribute content, expanded our ad-supported and subscription OTT footprint with key new partners and continued our business development efforts for the flow of content and OTT channels both into and out of China.
Over the last several quarters, we’ve been focused on expanding our OTT footprint in three key areas. OEM integrations, scaled ad-supported platforms, and scaled third party subscription platforms. Importantly, both OEM and scaled ad-supported platforms provide immediate reach engagement and revenues. And third-party subscription platforms allow us to expand our OTT subscription and viewership base with minimal to no marketing expenditures.
In the OEM area, we closed two significant deals. The first is with XUMO, a fast-growing advertising and technology company that delivers VOD and live OTT channels direct-to-consumers through smart TV integrations. Through strategic partnerships with LG electronics, VIZIO and Panasonic, XUMO has developed technology that enables Cinedigm’s channels to be consumed with advertising via simple one-click access, no app installs or registration is required.
That model has generated engagement 8 times higher than average depending on the specific device used, it enables our ad-supported businesses growth to track right alongside smart TV shipments from XUMO's huge OEM partners. The initial results of our OTT channels on XUMO have been very promising and are currently exceeding XUMO’s and our own internal forecast for both engagement and watch time.
The second major OEM deal that I am very happy to announce on this call is with Samsung. One of the largest manufacturers of smart TVs globally. We are officially launched on select Samsung smart TVs as of today, bringing Dove Channel and CONtv to Samsung's TV plus video service. We think this is an important deal for our linear and AVOD OTT strategy. We expect other channels to launch on this platform in 2019.
In the coming quarters, look for additional channel launches as we expand our OTT footprint with other smart TV OEMs telcos and other cable providers. In terms of scaled ad-supported ODP platforms, we also closed two significant new deals with the market leaders in the ad-supported space, Roku and Tubi. Last week, we announced that WHAM Network and CombatGo went live on the Roku channel. Roku's free house-channel available to the company's 24 million user base has an expansion into large sports programming.
We also recently announced the deal to distribute our entertainment channels Dove Channel, CONtv and Docurama on Tubi, one of the largest independent ad-supported OTT channels available. And we expect to go live this month. With these deals, our networks begin driving immediate revenue from two of the largest and most engaged AVOD platforms available to consumers.
Lastly, with regards to third-party subscription channels, we recently launched the subscription version of our channels Dove, CONtv, and Docurama on DISH Networks, as well as their OTT product, Sling TV, the market leader among virtual MVPDs. We anticipate at least two additional deals similar to this with a major MVPD and another major OEM and we think this trend illustrates how our subscription channels can thrive both on traditional, as well as next-generation programming services.
The rapid expansion of our distribution footprint through multiple deals with scaled platforms this quarter is not an anomaly. With a tremendous ongoing growth of the OTT sector, we anticipate continued expansion domestically and internationally for the foreseeable future. We currently have more than two dozen similar distribution deals in the pipeline at various stages of negotiation. With each new launch or individual platform, we are potentially adding five or six figures per deal in monthly revenues steady state. So, we expect our OTT business will scale up very, very rapidly.
As illustrated by this wave of deals I just outlined, we are aggressively taking advantage of the rapidly growing and high potential AVOD OTT market segment. There are a variety of reasons for this. So, let me elaborate. The advertising-based video on demand market or AVOD is estimated at $27 billion in the U.S. alone and is growing at more than 30% year-over-year. As the OTT streaming market evolves, research now indicates that consumers are generally willing to pay subscription fees for just two to three streaming video services. 
Research also indicates that more and more millennial's and older viewers well-conditioned to viewing content for free, and also very comfortable with ad-based programming are cutting cords, joining the OTT streaming revolution, and making their new channel viewership decisions. That means there is a big and growing opportunity to provide robust free AVOD offerings for viewers who are much more content and much more diversity and breadth of content than what those two to three subscription services that they are generally willing to pay for have to offer.
So, the demand for quality AVOD offerings is clearly huge and will continue to grow rapidly as more and more consumers make their choices in the OTT space. Not only is the AVOD opportunity massive from a market and growth standpoint, but also from a business model perspective. The financial profile of AVOD revenues is extremely appealing because it is less capital intensive, requires less upfront and ongoing investment in content in the subscription VOD business and continues to utilize our existing library of content.
In addition, he AVOD market is currently being served by an array of smaller scale competitors and thus provides an opportunity to quickly leverage Cinedigm’s broad channel portfolio, our ability to secure quality partnerships with key AVOD players like the recent agreements I just mentioned with Roku, Tubi and XUMO, and also leverages our proven capability to deploy a huge volume of content assets into the business via our library and digital acquisition efforts.
As such, we are working aggressively to take advantage of all this by launching channels and securing multiple new platform partnerships in the AVOD space. This new business should drive a significant increase in OTT streaming revenues as we head into the second half of fiscal 2019. And at the same time, we’re also exploring opportunistic ventures to scale up even more quickly in this high-growth high margin space. This focus on AVOD will continue to enhance our unique ability to generate four separate revenue streams off of the huge of OTT streaming ecosystem where most of our competitors can only generate a single OTT revenue stream.
In addition to advertising revenues, Cinedigm’s three other OTT revenue streams are subscription fees, digital content licensing, and SaaS service fees. Also, during the quarter, we expanded our premium content library, including the acquisition of 10 seasons of the popular Drama Heartland, which is already resonating solidly in our Dove Channel, worldwide distribution rights to the Aurora Games and North American distribution rights to the military drama, SGT. Will Gardner to be released in select theatres on demand in digital in January 2019.
It’s also important to note that we’ve become more and more successful with the targeted green lighting of independent film co-productions, which have been key drivers of our studio business and provide very important content fuel for our OTT streaming efforts. Recent coproduction titles, which have limited investment risk in our part such as Traded, American Violence, Hickok, Gangster Land and Silencer have generated projected IRRs of between 52% on the low-end and 291% on the high-end.
Given those kind of returns, we will continue to release more of those film properties as we drive towards profitability in our overall content entertainment business. And we are pleased to announce we started production on another coproduction in the hot western genre called The Outsider, with very strong cash and multigenerational appeal that should deliver strong results in calendar 2019.
With regard to China, during the quarter we announced a partnership to produce a China-based multi-season series about literary, adventurer, Emily ""Mickey"" Hahn, which will further expand our content library. This multi-season series targeted as a U.S.-China coproduction will chronicle the life of the fiercely independent American journalist who introduced exotic Shanghai and Greater China to US readers before World War II and is based on extensive, exclusive material including two autobiographies, one biography in the vast archives of the Hahn estate.
Besides this Emily Hahn Shanghai project, we also signed an agreement with Youku, China's largest web streaming video service and owned by Alibaba to distribute 30 of their original feature films to all platforms in North America. We expect to announce several similar new distribution partnerships with other leading Chinese streaming and entertainment companies shortly.
During the quarter, we also announced key details about the planned launch in calendar year 2019 of Bambu, our Chinese content OTT channel in North America aimed at the younger American audience. We are rapidly moving forward with content supply arrangements and programming strategies for this new OTT channel with several top Chinese entertainment companies and will announce the specifics soon.
We expect this programming to include over 70 original films and dozens of recently aired top-rated shows from two of the top entertainment studios in China. Based on the very positive response to our announcement from leading North American streaming services, we fully expect to obtain widespread quality distribution for Bambu across the entire OTT ecosystem.
Overall, our support from Chinese media companies and regulators stems from our business model of supporting bilateral content flow in OTT initiatives, which are clearly significant positives for Chinese and American audiences, content producers, and distributors. That support combined with the fact that we have the only majority Chinese equity investment in the US media company, approved by both China and the U.S. government in the last two years has been intently noticed in both China and in Hollywood providing a competitive advantage, while at the same time, raising our profile to relevant major players in the content and OTT businesses.
As we have stated previously, we expect all this China activity to generate significant new revenue streams for the company via content licensing, theatrical and digital revenues, from Hollywood releases in China and also OTT. Additionally, we have been continuing our outreach in a Hollywood with our strategic Chinese Partner, Starrise Media, to identify high-profile films with strong potential for release in China. We expect to make some announcements regarding that initiative soon.
And with that, I’ll now turn the call over to Jeff for a review of our financial results."
Jeffrey Edell,0,"Thanks Chris. Before I discuss the financial results, I would like to point out that effective April 1, 2018, we revised our public financial reporting to more closely and directly reflect how we review and evaluate the company's operating performance. Beginning with the first quarter of fiscal 2019, we now report our financial results in two primary segments. Our cinema equipment business that we previously called Digital Cinema, Phase 1 and Phase 2 and services, but we’ve now changed that to avoid confusion with our digital revenues and our content and entertainment business segment or CEG, as we sometimes refer to it.
In addition to the consolidation of segments referred to above and the renaming, we also provide OTT streaming and related digital revenues. Please note that all prior periods of the results, they have been reclassified for comparison purposes to reflect these new reporting segments as well. Our legacy cinema equipment business includes the nonrecourse financing vehicles and administration for the Digital Cinema equipment that we installed in movie theaters throughout the United States, Canada, Australia and New Zealand, approximately 7 to some over 10 years ago.
This group also provides fee-based support services to over 12,000 movie screens, as well as directly to exhibitors and other third-party customers in the form of monitoring, billing, collection and verification services. Our Content & Entertainment segment includes ancillary market aggregation and distribution of entertainment content in branded and the curated OTT digital network business, providing entertainment channels and applications.
Additionally, under the new accounting ASC 606 that’s in effect for this new year, which standardized contracted revenue recognition across companies worldwide. We now provide revenue breakdowns of our OTT streaming and related digital revenues. In making these the changes, we believe investors will have a clear view of the primary focus of our strategy, which is to build our streaming OTT network business.
For the second quarter of fiscal 2019, consolidated revenues were 13.7 million. As expected, total consolidated revenues for this quarter declined as a result of the contracted decline in our cinema equipment business as the combination of the 10-year deployment contracts and cost recoupment contracts are at various stages of reaching the end of their terms. We had strong sales activity for the second quarter with total billings in the physical DVD and Blu-ray business increasing 9% year-over-year, while specifically the OTT channel revenues for the quarter were up 23%.
Direct operating expenses decreased in the second quarter of fiscal 2019 to $2.3 million, which is down 11%, compared to prior year period, primarily due to revenue mix, which caused lower royalty cost and lower pre-unit fulfilment cost on the majority of the physical distribution business. Year-to-date direct operating expenses are also lower, compared to last year, due to a reduction in the content advance amortization in the content and entertainment business segment.
Also, net interest expense decreased 35% to 2.6 million in the second quarter, compared to 4 million in the second quarter a year ago. The decrease is primarily as a result of the reduced debt balances compared with prior period, particularly the full payoff of our former convertible debt balance. Our total debt is now 67.1 million or 43% lower than it was 12 months ago. During this quarter, Bison Capital replaced its prior $10 million loan with a new one, and subsequent to the quarter closed, arranged a $5 million financing to replace our mezzanine notes that came due loans This shows the substantial commitment that Bison continues to make into Cinedigm.
Additionally, exclusive of our bank revolver, which expands and contracts based on seasonality, the overall company debt has been reduced by 1.65 million during the quarter. The net loss attributable to common shareholders for the fiscal quarter of 2019 was 3.6 million, a 53% improvement, compared to $7.5 million loss in the second quarter of fiscal 2018.
This significant improvement is primarily the result of decreased interest costs, due to much lower debt balance, the reduction in depreciation expense as systems continued off-line, the full impact of our significant cost streamlining efforts are kicking-in, and the improved margins from the performance in our content and entertainment group, and of course our business shift into OTT streaming.
As mentioned in our prior earnings call, we are making great progress with our investment in our new rights management and content delivery system to reflect our transition and commitment to our OTT AVOD model. Today, we have invested significant capital in this initiative and expect to be testing the results shortly. This new system will allow for better controlled databasing of our content right, as well as enabling us to speed up the delivery of massive volumes as content to digital and OTT platforms worldwide. This is required for us to continue to be a leader in the OTT space, particularly in the rapidly growing AVOD segment that Chris described.
Additionally, this will accelerate our ability to monetize content versus the more manual processes that we have been employing here and to generate SAAS revenues by licensing our technology solutions to third-parties. As Chris highlighted, our greenlighting process continues to prove effective with our results ranging up to 291% IRR for a particular project, which far exceeds our minimum IRR of 25% after tax threshold. 
We attribute this to the fact that we have significant market data by genre, which allows us to determine appropriate investment amounts in content. The Western genre for instance continues to outperform with the key content producer and we continue to keep that pipeline full with another key Western release due in Q4. Given our size, smarter and constantly evolving greenlighting decisions based on up-to-the-minute market data, we are essentially able to drive enhanced IRRs and streamline our revenues.
With that, I’ll now turn the call back to Chris. Chris?"
Chris McGurk,0,"Thank you, Jeff. In summary, we’re making good progress expanding our OTT footprint by increasing our library of content and our channel portfolio and launching it at all in additional platforms like the channel launches on Samsung Smart TVs I announced earlier. We were also aggressively building our presence in the high growth high margin AVOD market through new channels, platform partnerships and licensing deals as evidenced by the Tubi, Roku and XUMO agreements I also discussed.
We are also beginning to monetize many of our other new partner agreements and that should provide growing revenues over the next few quarters. In China, where our investment from Bison and business partnerships are allowing us to operate in an advantaged business situation versus our competitors, our new bilateral content and streaming channel agreements such as our Youku film deal, and the planned launch of Bambu will begin to provide us with significant additional revenues in an opportunity to further transform our business and to the on the company operating is a true China U.S. content and OTT channel studio.
And with that, we’ll now take any questions you may have. Operator?"
Operator,1,[Operator Instructions] Our first question comes from Barry Sine with Dawson James. Your line now open.
Barry Sine,1,Hi. Good afternoon. Congratulations on the quarter.
Chris McGurk,1,"Thank you, Barry."
Barry Sine,1,"First, you talked about, you’ve got content in so many different moving pieces in so many different areas, and I know we’ve talked in the past about how you had unique ways to keep your content cost down, Liberty Media had their Analyst Day today and they talked about the skyrocketing cost of content creation. One of the examples they gave is that Amazon is going to spend $1 billion to create five seasons of Lord of the Rings, I don't think you're going to spend quite that much in some of your new series, but could you talk about what you spend on content and the ways that you have to manage your content acquisition and creation costs?"
Jeffrey Edell,1,"Sure Barry. This is Jeff. So, remember when you move aside small little productions that we could be doing in the OTT space, really what we’re doing is, we're focused on buying completed movies or catalogues of libraries. So, we just look for a content producer, let's just say, they could be spending anywhere from $1.5 million to $10 million on a particular movie, but that’s their cost, that’s their burden. We develop our own internal IRR and investment strategies based on what it takes for us to get a specific return of more than 25% after tax.
So, it doesn't matter if you created a movie that cost you 5 or 3 to 2, the deal we would offer you might be $300,000, $400,000, $500,000, $600,000 and that’s about all the risk that we're going to take on domestic and we try to make sure that in a 12 month to 18 month period of time we’ve gotten back all off our advance so our returns can kick in. So that’s why we’re not really tied in necessarily to the ballooning costs of movies per say at this point in time."
