speaker,q&a,content
Company Participants ,0,"Gregg Lampf - Vice President, Investor Relations
Gary Smith - President and Chief Executive Officer
Jim Moylan - Chief Financial Officer
Scott McFeely - Senior Vice President, Global Products and Services"
Conference Call Participants ,0,"Paul Silverstein - Cowen
Simon Leopold - Raymond James
Tejas Venkatesh - UBS Securities
Rod Hall - Goldman Sachs
Michael Genovese - MKM Partners
Samik Chatterjee - JP Morgan
Jeff Kvaal - Nomura Instinet
Alex Henderson - Needham
Jim Suva - Citi
Meta Marshall - Morgan Stanley
Catharine Trebnick - Dougherty
Fahad Najam - Cowen
Tim Savageaux - Northland Capital"
Operator,0,"Good morning. My name is Lisa and I will be your conference operator today. At this time, I would like to welcome everyone to the Ciena Fiscal Second Quarter 2019 Financial Results Conference Call. All lines have been placed on mute to prevent any background noise. And after the speakers' remarks, there will be a question-and-answer session. [Operator Instructions]. Thank you. 
Gregg Lampf, Vice President of Investor Relations, you may begin your conference."
Gregg Lampf,0,"Thank you, Lisa. Good morning and welcome to Ciena's 2019 fiscal second quarter review. With me today is Gary Smith, President and CEO; and Jim Moylan, CFO. Scott McFeely, our Senior Vice President of Global Products and Services will join us for the Q&A portion of today's call.
In addition to this call and the press release, we've posted to the Investors section of our website an accompanying investor presentation that reflects this discussion as well as certain highlighted items from the quarter. Our comments today speak to our current view of the market environment and our industry position, our fiscal second quarter financial performance as well as our guidance for the fiscal third quarter and an update to our review outlook for fiscal '19.
Before turning the call over to Gary, I will remind you that during this call we will be making certain forward-looking statements. Such statements including our guidance and any commentary about our long-term financial targets are based on current expectations, forecast and assumptions regarding the company and its markets that include risks and uncertainties that could cause actual results to differ materially from the statements discussed today. 
These statements should be viewed in the context of the risk factors detailed in our most recent 10-Q filing and in our upcoming 10-Q filing which is required to be filed with the SEC by June 13, and we expect to file by that date. 
Today's discussion also includes certain adjusted or non-GAAP measures of Ciena's results of operations. A detailed reconciliation of these non-GAAP measures to our GAAP results is included in today's press release. Ciena assumes no obligation to update the information discussed in this conference call whether as a result of new information, future events or otherwise.
With that, I will turn the call over to Gary."
Gary Smith,0,"Thanks, Gregg, and good morning, everyone. Today we reported a very strong quarter across all of our financial and performance metrics. This included revenue growth in all major product segments and customer verticals. This reflects our balanced growth and continued market share gains. Order flow significantly exceeded revenue in the quarter, giving a strong visibility and increased confidence across our business. This performance is driven by the combination of our outstanding execution of a very deliberate and long-term strategy, as well as favorable competitive dynamics.
Specifically, we consistently achieved technology leadership across our portfolio and continue to build a diversified customer base in high growth markets, all at global scale and with deep customer relationships.
As a result, we continue to outpace the competition across multiple dimensions. And we believe that we represent the strongest and most stable partner to customers around the world. This combination in turn is riding consistent and differentiated financial performance, including better than expected performance in Q2, and is enabling us to significantly increase our revenue outlook for the remainder of the year. 
Over the past few years, there have been several notable shifts happening in the communications industry, including evolutions in network design and technology, as well as changes to the profiles of the customer base and the competitive landscape. Our Q2 results illustrate the very positive impact on our business of how these shifts are playing out today for Ciena. Specifically, demand for capacity in its various forms remains robust across our customer segments, geographies and market verticals. And we are intensely focused on executing and delivering on this robust demand.
Also, the industry structure continues to currently redefine really by a flight to quality where customers are more intently seeking out vendors who offer leading innovation and engagement models, and do have the financial strength and sustainability to deliver on these over the long-term. 
Other industry dynamics also continue to occur, but with perhaps less of an effect overall on our business. In particular, customers in certain geographic markets continue to evaluate rebalancing their network spend in the face of an overdependence on certain Chinese equipment vendors. 
Although the benefit of this to our business directly is difficult to discern, it has been a dynamic that has been in place for some time. And we believe it to be relatively minimal impact on our business at this stage. As we have said consistently, in addition to these favorable industry dynamics, it is also the strong execution of our strategy to deliver the industry's leading innovation, while diversifying our business and leveraging our global scale that is underpinning our success.
With respect to innovation leadership, our competitive position continues to strengthen, particularly given our focused investments in optical packets and Blue Planet Automation software. And our strong financial results are a direct reflection of the fact that the market firmly believes Ciena has the strongest offering today and the most credible roadmap for the foreseeable future. Our current portfolio as well as our roadmap including feature sets and the timing of market introductions are frankly unmatched in the industry today. 
As we head into the second half of the year, demand for WaveLogic Ai continues to grow. And we will further extend that optical leadership with our WaveLogic 5 program, which remains on track to deliver single wavelength 800 gig systems later this year. Just as importantly, this innovation and time-to-market leadership is enabled by our significant investment capacity, which ensures that we have the depth and flexibility in our development to remain ahead of the competition.
Moving to diversification, Q2 frankly was yet another great illustration of the breadth for the customer base and the benefit it provides to our business. We had a strong showing from North American Tier 1 service providers, webscale players and in Asia-Pacific, specifically Japan. With North American service providers, we continue to benefit from their spending on densification initiatives, metro, access and aggregation buildouts, and ongoing long haul investments.
In Q2, both of our 10% customers were North American Tier 1 service providers. The breadth of our webscale business is expanding and our relationships with these customers are deepening. This is driving differentiated growth and continued share gains in this important vertical. Once again in Q2, three of our top 10 customers were webscale companies, including one that was just a fraction under 10% of total revenue. 
We are also accelerating share capture and landing new wins with service providers globally, including in Asia Pacific, beyond India. We expect these three customer groupings to be among the significant drivers of our business in the second half of fiscal 2019, and finally, with respect to the market advantage we have with our global scale. Because of how we’ve strategically grown our business around the world including within key customer segments and with well resourced and focused innovation agenda aligned to their priorities, we essentially have strong exposure to higher growth markets. That combined with our world class go-to-market organization including the largest optical sales team in the industry, positions us to foster the deepest and broadest customer relationships that exceed those of any other vendor. 
In summary, it is the confluence and continued execution of these multiple elements, together with favorable industry dynamics that are enabling us to deliver outstanding financial performance and continued share gains. 
With that, I'll ask Jim to take us through the Q2 results and our higher outlook for the rest of the year. Jim?"
Jim Moylan,0,"Thanks, Gary. Good morning, everyone. We delivered a very strong top-line performance in Q2 with revenue of $865 million, representing 18% growth year-over-year. Some highlights in our Q2 revenue include: packet revenue of $73 million, up 15% from Q2 of last year; Blue Planet Automation software and services revenue of $12.4 million, keeping us on track to achieve our fiscal ‘19 target of $50 million to $60 million. 
With respect to Q2 revenue across customer verticals, non-telco revenue was $295 million, up 17% year-over-year; direct webscale revenue contributed revenue of $167 million, up 31% year-over-year; and subsea revenue was $63 million, up 23% year-over-year. 
Moving to gross margin, our Q2 adjusted gross margin was 43.9%, above our estimated range due to higher cost reductions than expected and a confluence of favorable mix factors. Q2 adjusted operating expense was $269.7 million above our guidance range. The increase in operating expense was related to the timing of certain R&D projects, as well as slightly higher variable compensation given the strong quarterly performance. Year-to-date, we are essentially on plan for OpEx, except for the higher compensation expense just mentioned. 
With respect to profitability measures in the second quarter, we delivered adjusted operating margin of 12.7%, adjusted net income of $76.2 million and adjusted EPS of $0.48. 
In addition, in Q2, our adjusted EBITDA was $131 million and cash from operations was $104 million. We ended the quarter with approximately $818 million in cash and investments. Finally, we continue to execute on our share repurchase plans. During the second quarter, we repurchased approximately 1.2 million shares for $45 million. We are on target to buy back approximately $150 million in share value by the end of our fiscal year. 
Before I move on to guidance, I want to comment briefly on two current geopolitical matters impacting markets in general and potentially our industry. First, regarding US-China trade tensions and overall relations, we have not seen any substantive impact on our business to-date. While there are many elements to this situation given the global nature of supply chains, it is important to note that unlike many others in our industry, we have almost no revenue exposure to China. Second, regarding the potential for tariffs on imports to the US from Mexico, the situation is light breaking, it’s very fluid and we can't be sure what if anything will ultimately put in place -- be put in place and for how long. For now, we are evaluating a range of alternatives and mitigation strategies to address the potential effects on our manufacturing and distribution operations in Mexico. 
If the initial 5% tariff is put in place next week as proposed, our preliminary analysis which reflects several conservative assumptions around our ability to mitigate indicates that it could impact our Q3 gross margin by as much as 1%. I emphasize that this is a preliminary and very conservative number.
The situations with China and Mexico are highly uncertain at the moment and we will continue to monitor them carefully. Importantly for you, we have not factored into our outlook today any significant potential effects of either of these matters, and we do not believe they will fundamentally alter our competitive position or the benefits yielded by our innovation leadership diversification and global scale.
Looking ahead, in fiscal third quarter 2019 we expect to deliver revenue in a range of $915 million to $945 million and adjusted gross margin in the 42% to 43% range. Given our strong results in the first half of fiscal '19, and our projections for the second half of the year, we are in a position to increase our revenue guidance for the full fiscal year. Specifically, we now expect to achieve annual revenue growth this year in the range of 13% to 14%.
As I said before, we are on plan for OpEx year-to-date, except for some variable compensation expense booked in Q2. And we expect to be essentially on plan for the rest of the year, except for the potential for higher compensation expense if we perform to our revised expectations. With our new guide, we anticipate incurring higher compensation-related expense of approximately $10 million per quarter in the second half of the year. With that, we expect operating expense in the third quarter to be approximately $270 million.
In closing, we posted a very strong set of results today for our fiscal second quarter, including continued market share gains in every vertical. In addition, our strong visibility gives us increased confidence for the fiscal year, reflected in our higher revenue outlook for 2019.
In a market that continues to grow in the low to mid-single-digits range, continued execution of our strategy and a strong set of industry dynamics are positively influencing our business and enabling us to advance our competitive position.
With that, Lisa, we'll now take questions from the sell-side analysts."
Operator,1,Thank you. [Operator Instructions]. And our first question comes from the line of Paul Silverstein from Cowen. Your line is open.
Paul Silverstein,1,"Jim, first a clarification. Certainly 42% to 43% gross margin guidance that incorporates the potential for that 1% average impact, is that correct?"
Jim Moylan,1,"Oh! No, it does not. No, 42% to 43% is our range of gross margin that we believe we will see for the third quarter and the rest of the year for that matter."
Paul Silverstein,1,"So if the mix consists of 5% proposed that’s put in place, that’d be additional 1 percentage point impact, just because…"
Jim Moylan,1,"Yes. To emphasize that, that's a very conservative number."
Paul Silverstein,1,"Alright. Now for the question, Gary, Jim, it sounds like you've had a pretty decent fee change in your outlook for the webscale folks. I think 90 days ago you were talking about that group of customers being softer in the second half of the year. So some of the growth you just put off and I think I heard Gary comment that you're expecting a strong second half of the year out of that group. And obviously, we're all aware in the investment community of your peers that have cited issues one step or another. Can you revisit that and give us some insight what's going on there? 
And then one related question on the 600-gig versus 800-gig concern that you've now got competitors shifting 600-gig based platforms in the rest of Ciena, it doesn't sound like that’s sort of an impact driving, if you could address those two issues?"
Jim Moylan,1,"Let me start Paul. Just to be clear, we never spoke of weakness with respect to the webscale. We said that we were going to have a good year with webscale but that we were not going to grow for this year as much as we grew last year. Remember, we grew 140%, or something in that vertical last year. We said we were going to have a good year. And we were going to grow. All of the comments about weakness in our webscale business came from other places and not from us. 
I’ll now let Gary address the other question. "
Gary Smith,1,"Yes, so specifically, we still think the webscale market is growing in the single to low double-digits. We're going to grow above that market rate. Basically, we're going to continue to take share. And that's driven by two elements. One, the technology and innovation leadership that's appreciated there, and the embedded relationships that we have with them as well. But I want to be clear that the growth that we're talking about in the second half is multifaceted. It is not just webscale. We’ve done very well in webscale, and we have a good visibility to that. But service provider business in North America, very strong. The wins that we've had with global Tier 1s are also beginning to play through, specifically markets like Japan, very strong. So, it is a balanced growth strategy that we've been pursuing. And we're seeing the benefits of that in our broad-based projections that frankly are going to be better than we’d anticipated going in, based on those set dynamics.
Scott you want to talk about the 600 gig?"
Scott McFeely,1,"Paul it’s Scott. In terms of the competitive dynamics, I'd say this, in Q2, we had a record quarter in terms of demand and shipment for our existing WaveLogic product portfolio. As we look in the second half of the year, that is accelerating off of that record height. So that's a window into the competitive dynamics, if you like. If you couple that with our announcements around WaveLogic 5, and the market leading innovation that that brings, and the fact that we're well on the execution path of that as we thought we would be when we made the announcement, we're very comfortable in terms of our competitive position. But more importantly, I think if you look at the second half guidance we have here, that's backed up with great visibility and demand across that portfolio."
Paul Silverstein,1,"So just to sort of clarify on the webscale and I apologize I’m speaking loosely. But the flattening that you've previously referenced relative to the explosive growth that you've enjoyed, what do you -- can you give us insight as to what you're expecting in terms of growth from that customer base in the second half of the year? "
Jim Moylan,1,"We were up 31% for the quarter. I'm not going to comment on the growth rate, it's going to be good this year, but it's not going to be 140%, it would be strong. We're going to take share."
