speaker,q&a,content
Company Participants,0,"Doug Murphy - President and CEO
John Gossling - Executive Vice President and Chief Financial Officer"
Conference Call Participants,0,"Adam Shine - National Bank Financial
Jeff Fan - Scotiabank
Aravinda Galappatthige - Canaccord Genuity
Drew McReynolds - RBC
Vince Valentini - TD Securities
David McFadgen - Cormark Securities
Maher Yaghi - Desjardins"
Operator,0,"Good morning. My name is Jack, and I will be your conference operator today. At this time, I would like to welcome everyone to the Corus Entertainment Q3 2019 Analyst and Investor Conference Call. All lines have been placed on mute to prevent any background noise. After the speakers' remarks, there will be a question-and-answer session [Operator Instructions]. Thank you. As a reminder, this call is being recorded.
I will now turn the call over to Mr. Doug Murphy, President and CEO of Corus Entertainment. Please go ahead, sir."
Doug Murphy,0,"Thank you, Jack, and good morning everyone. And welcome to Corus Entertainment's fiscal 2019 third quarter earnings call. I’m Doug Murphy. And joining me today is John Gossling, Executive Vice President and Chief Financial Officer.
Before I read the cautionary statement, I’d like to remind everyone that there are a series of slides that accompany this morning's call. You can find them on our website at www.corusent.com under the Investor Relations section.
Now, let's move to the standard cautionary statement found on Slide 2. Today's discussion contains forward-looking statements that may involve risks and uncertainties. Additional information concerning factors that could cause actual results to materially differ from those in our forward-looking statements, are contained in the Company’s filings with the Canadian Securities Administrators on SEDAR.
I’ll now turn to our third quarter results on Slide 3. I'm pleased to share that for a third consecutive quarter, we've achieved strong results. We delivered $458 million of consolidated revenue, up 4% for the quarter and driven by a 10% increase in television advertising. These television advertising results exceeded our expectations.
Consistent with what we have seen so far this year, we've a number of contributing factors to the strong performance, including increased yield on our networks, momentum with our audience based buying, innovative new advertising formats, direct-to-consumer advertisers spenders and double-digit growth in digital advertising.
In terms of consolidated segment profit, we were consistent with the prior year at $171 million. Doug, will take you through the details later in the call. We're very pleased to report, that our leverage target has been achieved one quarter ahead of our goal, which is a direct reflection of the disciplined execution excellence of our talented team. These Q3 results once again improved the Company's financial flexibility.
This improved financial flexibility enables us to invest in our core business and make additional investments as we build for the future, both of which were evident in our recent upfront held in early June.
Moving to Slide 4. I want to share what's new and exciting for the upcoming year on our Corus networks. Global Television is a powerhouse brand in Canada with 16 hours of simulcasts, and just the right balance of new and returning series this fall. Our 16 returning series include fan favorites, New Amsterdam, 911, The NCIS franchise and Survivor. And we have 12 new series on the schedule, including the debut of FBI: Most Wanted, a spin-off of the popular series FBI, two of the budgets new dramas at the LA screenings this year, the Prodigal Son and Evil and for its 11th and final season, the hit comedy Modern Family.
Now, turning to Slide 5. Our specialty channel portfolio is equally powerful, and features five of the top 10 specialty channels in Canada, including the sports channels for the year-to-date with W Network, Showcase, History, AC TV and Y TV being those five monster channels. Put simply, we have more top 10 specialty channels than any other broadcaster in Canada, and remain steadfast in our pursuit of smart opportunities to strengthen our channels and grow our audiences.
Over to Slide 6. Last quarter, we highlighted our partnership with Hallmark, and a significant audience growth that resulted on W Network. This quarter, we rebranded the channel action into Adult Swim. A brand with strong appeal to the coveted male millennial audience, Action had broad distribution, but declining audiences, so is a perfect target for a rebranding. The results speak for themselves. A hugely successful launch this past April has catapulted Adult Swim into a top 10 specialty entertainment channel for this demo.
Adult Swim delivered exciting new series, such as Harley Quinn from the DC Universe, and a number of new seasons of fan favorite animated adult programming, including Robot Chicken, Family Guy, and the long awaited fourth seasons of Rick and Morty. This is a great example of our specialty channel portfolio optimization strategy and action.
I’m now on Slide 7. Our steadfast commitment to maximize audiences across our networks underpins our efforts to better monetize them. One of the key elements of our ad tech strategy is to build and deliver audience segments to help advertisers target audiences that are most meaningful to them. Our audience segment sales accounted for 16% of our total TV ad revenue in Q3.
Further we're building momentum towards the full-scale launch of our automated audience based baying technology Cynch, a platform that will deliver and drive greater efficiency, improve ease of transacting and provide fast accurate reporting. To date, we have on boarded more than 50 buyers and we will soon launch a new user interface and add inventory from global and our kids network.
Corus has been and will continue to advocate for the need to work together as an industry in Canada. A good example is audience segment selling, something that is critical to the future of TV advertising, not just in Canada but around the world. And industry wide made in Canada solution using common audience segments would create a more robust and effective ecosystem for advertisers and agencies to better target audiences from maximum campaign impact and accelerate the transformation of how we sell Television.
This industry initiative is gaining traction and we are very pleased to announce that advertisers will be able to buy common audience segments from both Corus and Rogers this fall, covering nearly half of the TV landscape.
Turning to our regional content business beginning on Slide 8. Another key strategy of ours is to
diversify our revenues for the sale of our content around the world. The Corus advantage is a pillar of our own more content strategy where we maximize the CRTC required spending on Canadian program expenditures or CPE to build an ever-growing slate of programming that drives ratings on our network in Canada and is then sold internationally. Nelvana and Corus Studios are at the heart of this strategy.
The recent reorganization of our executive team announced in February has brought an intensified leadership focus to this important growth strategy at Corus.
Let’s hone in on the latest developments at Nelvana and Corus Studios. Increasing our slate of Nelvana content we will diversify our revenues as we sell these series internationally, and reap the benefits of a return to merchandising revenue growth in the years ahead. We had 15 series that will be delivered or are in production this year and that’s up from nine series in 2018.
Together, Nelvana and Corus kids networks have collaborated on seven new and returning animated series. Two of these series, namely Agent Binky: Pets of the Universe and the Remarkable Mr. King are from our Kinds Can Press publishing business, Canada's largest children's publisher, providing an impressive source of intellectual property to synergistically fuel future growth in our kids' content business. We remain committed to priming the pump in Nelvana as we set the stage for growth later this year and into fiscal 2020.
Now to Slide 9. Corus Studios has announced 19 series for 2020 with 11 dynamic new series, including Wall of Chefs, Junior Chef Showdown, Big Home Overhaul and Big Timber as well and importantly, we are building on our most successful franchises announcing subsequent seasons of the hit show Save My Reno, Backyard Builds, FireMasters and Home to Win with a fresh take on Home to Win for the holidays. We're committed to growing our very successful portfolio of faster reality and livestock programming to drive audiences on our networks here in Canada and for sale around the world.
Over to Slide 10 and I want to take a moment to celebrate the tremendous success of HDTV's highest rated series in over a decade, The Island of Bryan, a top three hit show across all Canadian specialty entertainment this spring. This is a true success story for our Corus Studios content team. Stay tuned for the highly anticipated second season as Bryan and Sarah work to restore that awesome resort in the Bahamas.
Now looking at Slide 11. As a pure play media and content company, we have purposely decided not to invest in our own distribution platforms, but rather focus on what we do best, building premium channel brands with great content. Our preferred approach has always been to build scale through deep strategic partnerships with our distributors. We all know the way people watch content is changing. Our content and our brands must be accessible and discoverable in the evolving market here in Canada. We must anticipate where our viewers are going.
We were extremely excited to announce the launch of Stack TV, which is designed to target cord-cutters and cord-nevers, now available in Canada via virtual distributor Amazon Prime video channels. A first offering of its kind for Corus, Amazon and Canada, Stack TV is an example of how we will deliver our diverse portfolio of premium broadcast content and brands to new audiences in a growing segment of the population that are turning to streaming platforms.
With Stack TV, Canadians with a Prime video subscription can pay an incremental fee to access 12 of our most popular live broadcast networks, including lifestyle, drama and kids network and global, as well as all of those on-demand. And in addition to Stack TV, we launched a standalone Nickelodeon subscription video-on-demand channel for Canadians, delivering the very best of Nick's live action animation and Nick Junior programming to audiences in a new and exciting way.
Turning to Slide 12. In the past year, we have purposely set out to increase our delivery of both millennial and male audiences. We spoke a moment ago about how Adult Swim was a first step in that direction. Here's a second step. Corus recently announced a 360 degree partnership with the global media company, Complex Networks. It is the number one entertainment brand in United States for males 18 to 24, with more views than Netflix in its demo, and it is number two with women 18 to 24. Complex offers a portfolio of premium video-first brands, delivering Corus significant reach with millennials and Gen-Z.
Corus will act as the exclusive ad sales partner for Complex Networks in Canada, and will license content from their diverse library to be distributed on both linear channels and on-demand this fall. Complex Networks' Hot Ones from the food brand, First We Feast will get will get a one-hour block on global television, following Canada's number one late night show for millennials and adults 25-54 Saturday Night Live.
We will also manage complex social channels in Canada, extending our offering for advertisers across those platforms. And here's step three as we pursue these younger audiences. Global television's fall schedule will be home to one of the most successful and lucrative YouTube stars, Lilly Singh, and her new show, a Little Late Lilly Singh. The show will air Monday to Friday night after the Late Show with Stephen Colbert.
These initiatives amplify our reach bringing advertisers both the passionate, young millennial audience and increasing our reach with males in the entertainment and lifestyle space, providing a great and attractive alternative to sports when you're an advertiser.
Moving to Slide 13. We are also creating new types of great content and making it available in more places as we follow our audiences into these growing digital and social markets. I'd like to briefly mention two exciting initiatives as examples of its expansion into short form content. The first is a deepening of our partnership between Twitter and our social digital agency, so.da with the launch of Twitter Originals, fueled with so.da. This next phase of our strategic partnership will see custom content for advertisers built exclusively for Twitter.
Second, given the emerging opportunities in custom social video, we also announced the launch of Soda Originals, newly produced premium short form social content series that will run across Corus powerful channel brands and platforms, further enabling us to pursue opportunities in the fast growing digital video market. These are two examples of taking Corus' proven brands and content expertise to new and growing platforms.
Looking at Side 14. The Global TV app at 3 million downloads and growing has been expanding on to new platforms, including Chromecast, Android, iOS, Apple TV and Amazon Fire. This last month, Corus became the first premium broadcaster to launch on Roku, the leader in the U.S. connected TV syreaming gaming market. In addition, global news.ca has seen tremendous success so far this year, reaching over 12 million unique visitors and is the number one private online news site in Canada.
News is an important priority for Corus, and I want to take a second to acknowledge our high quality journalism and the award winning news teams we have across the country. Now, more than ever, there is a broad appreciation for quality journalism, trusted news sources. And Corus is committed to bringing our news content to more people across more platforms.
With that, I'll now turn things over to John, who'll walk us through our Q3 financial results."
John Gossling,0,"Thanks very much, Doug and good morning, everyone. I'll start on Slide 15. As Doug mentioned earlier, for a third consecutive quarter, we once again delivered overall revenue results that exceeded our expectations, driven by an impressive double digit TV advertising growth.
Our Consolidated revenues increased to $458 million for the quarter and that was up 4% from the prior year. Consolidated segment profit of $171 million was consistent with the prior quarter with the sale of TLN in the quarter negatively impacting segment profit by approximately $2 million year-over-year.
The significant improvements in the top line were offset by cost increases related to $2 million swing in stock based compensation expense, which was driven by depreciation in our share price, a $6 million increase in direct cost of sales, which includes $3 million increase in programming costs and a $9 million increase in general and administrative costs related to variable success based compensation plans pension costs and increased marketing investments in the quarter. As a reminder, we had close to $2 million recovery in stock-based compensation expense in Q4 of last year, which will impact our comparable for next quarter.
Consolidated net income attributable to shareholders for the quarter was $66 million or $0.31 per share, which includes an accounting estimate change in the current year related to useful lives of our television brand intangible assets. For the third quarter of 2019, this resulted in an additional $17 million in amortization expense, which reduced net income attributable to shareholders by $12 million or $0.06 per share basic. Further details can be found in this quarter's MD&A.
Free cash flow of $90 million improved from that $88 million in the prior year quarter. This result was driven by significantly better working capital management, partially offset by higher payments for programming, more film investment spend and higher capital expenditures.
Looking at Slide 16. As we announced earlier this month, we successfully amended and extended our existing credit facilities. Furthermore, we remain committed to deleveraging and have made total bank debt repayment of $190 million so far this year. Importantly, our strong Q3 results coupled with our revised capital allocation policy have enabled us to reach our leverage goal one quarter earlier than anticipated.
This is a significant accomplishment, once again illustrating disciplined execution by our entire team. Our net debt to segment profit is now 2.92 times as of the end of Q3 compared to 3.28 times at the end of the prior fiscal year. We will continue to focus on improving our financial flexibility while investing to build the future.
Now, let's turn to our TV results for the third quarter as detailed on Slide 17. Overall, TV segment revenues were ahead of our expectations, up 5% in Q3 attributable to our significant TV advertising revenue growth, up 10% in the quarter. We continue to benefit from several factors, as Dough mentioned, including increased deal on our networks, momentum with our audience based volumes, innovative new advertising formats such as L-Frame, direct-to-consumer advertiser spend and double-digit growth in digital advertising.
Of note this quarter, we saw strength in the entertainment, telecommunications and food advertising category, which was partially offset by continued softness in the automotive category. We're reporting our Q3 results 10 days earlier than the previous quarter. And as a result, we're not yet in a position to definitively state that we will report TV advertising growth in Q4, although, we're cautiously optimistic that we will see growth. For Q4, which is a seasonally smaller quarter, we do not expect the level of TV advertising growth that we reported in Q2 and Q3.
Subscriber revenue was down 4% versus the prior year due primarily to the disposition of TLN and the lack of large distribution renewals this quarter. The $1 million decrease in merchandizing, distribution and other revenues over the prior year reflect lower backend payments from our own content and soft publishing revenue compared to the previous year that was partially offset by higher animation software revenues from Toon Boom.
Looking forward, we note that in Q4 of the prior year, we benefited from a sizable multiyear subscription video-on-demand licensing deal of $4.5 million that will not recur in the current year. TV expenses in our third quarter increased by 5% over the prior year. Direct costs of sales were up 4% with programming amortization expense increasing $3 million on higher Canadian programming costs.
G&A expense were up 7% and that was mainly from variable success based compensation costs, driven by the strong TV advertising revenue growth and as well higher pension costs. TV segment profit increased 4% in Q3, reflecting the strong top line growth. TV segment profit margin was 40%, a solid results and consistent with the prior year comparable period.
Next, let's turn to our Radio results as outlined on Slide 18. Radio segment revenues decreased 4% in Q3. From an advertising category perspective, automotive continues to be the largest contributor to that decline. Regionally, Alberta is still being impacted by ongoing economic weakness and Toronto continues to be a work-in-progress from a ratings perspective. Although, we did see some ratings improvements for that cluster in the most recent ratings book.
The benefits of our revenue diversification strategy continued in markets where we have Radio and television as we focus on those clients even both local TV and radio advertising solutions. Radio segment profit decreased $1.7 million in the quarter given the challenging revenue results. Our segment profit margin of 26% was below the 30% in the prior year.
And before I turn things back over to Doug, I would also like to highlight that we declared a quarterly dividend of $0.06 for Class B share, payable in September as detailed in our press release this morning.
With that, back to you, Doug."
Doug Murphy,0,"Thank you, John. Over to Slide19. Our results over the last few quarters validate that our plan of course is working; another quarter of TV advertising growth, another quarter of this demonstrable deleveraging and another quarter of making smart investments for the future.
Before I conclude, I'd like to specifically comment on the state of our broadcasting industry in Canada today. As you all know, the Government of Canada is in the process of reviewing the broadcasting, telecommunications and copyright acts. Our broadcasting policy was written for a system with closed borders. One, where television and radio broadcasters had a relative monopoly over audiences and governments acted as gatekeepers. As we all know, that world does not exist anymore.
The media marketplace is an entirely open one, and this is a global media industry now. Our competitors are massive. They are unrestricted and unregulated. Audiences can find content online, on-demand wherever and whenever they want. And piracy remains a significant issue in Canada with in-action from Ottawa. Many foreign Internet companies do not collect or pay taxes in Canada, and foreign media companies are not required to contribute to the Canadian media system. This is untenable. And Corus is advocating for rapid change.
We envision and aspire to a stronger and bigger Canadian media and content sector, one that can better compete at home and on the world stage. And while we advocate for a more level playing field and await change, we are not standing still. We will continue to do everything within our control to win.
Finally, onto Slide 20. We do have a lot to be excited about. Our great channel brands and premium content are getting stronger, and are making their way into more places, building audiences. We are loading the basis with new digital and social content initiatives, diversifying our revenues into fast growing markets. Our slate of own content is growing, which sets the table for future increases in international revenue from both broadcasters and streaming platforms, and merchandising.
Our advanced advertising and data initiatives are really taking hold. And we have achieved demonstrable success as the advocate for an industry solution based on common audience segments. And finally and importantly, our focus on driving free cash flow and decreasing our leverage in line with a revised capital allocation policy will enable us to build future financial flexibility.
In closing, we would like to thank our talented team who continue to work very hard to deliver these strong results. And to thank all of you for your support of Corus as we work to deliver on our long term plan and build for the future.
John and I will now be happy to take any questions you may have. Back to you, Jack."
Operator,1,"[Operator Instructions] Adam Shine with National Bank Financial, your line is open."
Adam Shine,1,"So maybe talk -- let’s start with costs. I mean, one thing indicative in the quarter was relatively similar net trends Q3 versus the Q2. But obviously, that was achieved within the context of tougher or tougher cost comps with respect to TV and arguably, corporate costs as well. John touched on the corporate cost items. But on the TV side, certainly the strength of TV ad sales growth is hitting you with ad sales commissions, and maybe there's some other timing issues around programming spend. Maybe Doug or specifically John, can you please speak to that dynamic and maybe also talk to efforts underway to address some of those cost items with further saving initiatives?"
John Gossling,1,"Adam, it's a very good point and obviously, one that we expected. That's why I gave a little bit more commentary in my prepared remarks. So we've looked at this, I'd say in many, many ways given the results for the quarter. And you touched on the sequential Q2 to Q3, that's important to look at. Q3 is a much bigger quarter revenue wise and also programming wise. So that does tend to result in some increases when you look at it sequentially. Although, I think a lot of the main categories were pretty much flat.
When I look at it year-over-year, I think the important thing to remember and as much as we don't want to relive 2018. Last year was a very difficult revenue year for us. And Q3 was a case. Remember we also did the dividend change in Q3 last year. So there were a lot of things happening where frankly everything was turned off. We weren't spending money on marketing. And a lot of the comp items were actually going down rather than up. So we're comping against pretty tough numbers in Q3 last year on the expense line. I'd say that accounts for about half of the increase this year for it looking at more normal levels.
And then you're right, I mean there's things that are happening. If you look at the mix of our revenue, and Doug spent a lot of time talking about some of the new revenue streams. Those types of revenues, whether they're digital or other new forms of advertising, they are going to come with a different cost structure. So whether that's because they're cloud based systems, or because they're digital and they have revenue share attached to them. Those things, new initiatives were probably about $4 million in the quarter of increased costs.
So there are a lot of things that are pressuring it. I think, going forward, we’re going to remain very focused on these costs. Some of them in a self adjust with results and some of them will come with new platforms. But that doesn't mean that we'll just accept that and we'll figure out ways that we can try to buffer those and make sure that we're not seeing these expense growth that we've had. It is really coming down to -- it was a very difficult comp for us. And we knew we're going to see this. But it was an even better quarters as well than we expected. So that's the story cut many different ways."
Doug Murphy,1,"Let me just add some more color to that. Let's go back to first principles. We always talk about maximizing the audiences, monetize audiences and rationalize the operating model. And those principles are driven deep into our team. We're maximizing audiences by going into new places. We're going into unregulated diversified revenue sources of market growth in the digital social video areas. We all know you want us and we all want to achieve consistent revenue growth. We've demonstrated that now three quarters in a row.
These investments in these new markets are going to require us to fund additional headcount and prepare the table to get to more meaningful growth from these new sources. So there will be modest OpEx drags going forward as we look to expand away from the regulated linear system. But that is a necessary investment in terms of getting to a future state where we diversified our revenue base. And we will always look at them to take costs out of the legacy business where we think we can invest those same resources in new and growing areas to achieve better returns."
