speaker,q&a,content
Company Participants,0,"Kevin Cook - VP, Corporate Development and Investor Relations
Marty Cole - Chairman
Tom Reilly - Chief Executive Officer
Arun Murthy - Chief Product Officer
Jim Frankola - Chief Financial Officer"
Conference Call Participants,0,"Phil Winslow - Wells Fargo
Chad Bennett - Craig Hallum
Jack Andrews - Needham
Tyler Radke - Citi
Rishi Jaluria - D.A. Davidson
Zane Chrane - Bernstein Research
Michael Turits - Raymond James
Matt Coss - JPMorgan"
Operator,0,"Good afternoon. My name is Chantal, and I will be your conference operator today. Welcome to the Cloudera First Quarter Fiscal 2020 Quarterly Results Conference Call. All participant lines have been placed in a listen-only mode to prevent any background noise. After the speakers' remarks, there will be an opportunity to ask questions [Operator Instructions]. Please note this conference is being recorded.
Your host is Kevin Cook, VP, Corporate Development and Investor Relations. Kevin, you may begin your conference."
Kevin Cook,0,"Thank you, Chantal. Good afternoon. And welcome to Cloudera's first quarter fiscal 2020 conference call. We will be discussing the results announced in our press release issued after market close today. From Cloudera with me are Marty Cole, Chairman; Tom Reilly, Chief Executive Officer; Arun Murthy, Chief Product Officer and Jim Frankola, Chief Financial Officer.
During the course of this call, we will make forward-looking statements regarding future events and the future financial performance of the company, including those as merged with Hortonworks. Generally, these statements are identified by the use of words, such as expect, believe, anticipate, intend and other words that denote future events.
These forward-looking statements are subject to material risks and uncertainties that could cause actual results to differ materially from those in the forward-looking statements. We caution you to consider the important risk factors that could cause actual results to differ materially from those in the forward-looking statements in the press release and on this conference call. These risk factors are described in our press release and are more fully detailed under the caption Risk Factors in our Annual Report on Form 10-K, our quarterly report on Form 10-Q and our other filings with the SEC.
During this call, we will present both GAAP and non-GAAP financial measures. Non-GAAP measures exclude stock-based compensation expense and amortization of acquired intangible assets. In addition, we provide a non-GAAP weighted average share count for fiscal 2020. These non-GAAP measures are not intended to be considered in isolation from, a substitute for, or superior to our GAAP results, and we encourage you to consider all measures when analyzing Cloudera's performance.
All numbers reported for prior periods are presented for Cloudera on a standalone basis since the merger report was closed on January 3, 2019. And as such, there is no comparative year-over-year financial information for combined company. For complete information regarding our non-GAAP financial information, the most directly comparable GAAP measures and a quantitative reconciliation of those figures, please refer to today's press release regarding our first quarter results. The press release has also been furnished to the SEC as part of a form 8-K.
In addition, please note that the date of this conference call is June 5, 2019. And any forward-looking statements that we make today are based on assumptions that we believe to be reasonable as of this date. We undertake no obligation to update these statements as a result of new information or future events.
Now, Marty Cole, Chairman of Board of Directors."
Marty Cole,0,"Thank you, Kevin. It’s good to be here with all of you today. Although, today’s call is focused on our fiscal first quarter results, I want to address briefly the other news we announced today.
In a separate release, we announced that Tom Reilly will be retiring effective July 31, 2019, and that the Board has appointed me Interim-CEO. I will work closely with Tom over the coming weeks to help ensure a smooth transition and to lead the company’s executive team, while the Board conducts a search for a permanent CEO.
The Board has formed a search committee and engaged a leading executive recruiting firm to identify Cloudera's next Chief Executive. I want to take this opportunity to express my thanks to Tom for all of his contributions to Cloudera over the past six years. Tom has been an important part of Cloudera's growth, and he has led us through many major milestones. We certainly wish him well in his future endeavors. I look forward to working more directly with our talented employees, supporting our customers and expanding our key partnerships. I continue to be very excited about Cloudera’s future.
Tom, over to you to discuss this quarter's results."
Tom Reilly,0,"Thank you, Marty for the kind words. Likewise, I'm very excited about Cloudera's future and the innovation we're bringing to market. However, for several reasons, I’ve decided that this summer is the right time for me to retire. I've reached agreement with the Board, and I will resign from my role as CEO of Cloudera at the end of our fiscal quarter. Cloudera is well positioned with the merger integration largely complete, an exciting roadmap in place, and an aligned and seasoned executive team. The company will benefit from a new leader who will bring a different perspective and experience with large scale operations.
All right. Let’s turn to discussion of our first quarter fiscal year 2020 results. With respect to Q1, we’ll cover three topics in addition to providing detailed financial information. First, we'll offer quick update on the merger with Hortonworks. Second, we'll discuss the factors that are affecting customer buying behavior and impact our full-year outlook. And lastly, we'll update our progress in delivering the Cloudera Data Platform, CDP, our next-generation cloud offering.
Total revenue in the first quarter was $187 million. Subscription revenue was $155 million. And operating cash flow was positive $11 million. The year-over-year comparisons on these numbers are not meaningful as Q1 results benefit from the merger with Hortonworks. Annualized recurring revenue was $672 million at the conclusion of the quarter, representing 21% year-over-year growth.
Now, let's get to the details with a quick merger update. Integration and execution of the merger continues to go well. We're now operating as one company with one strategy and one vision. People related integration work is done, and we are pleased with the way that the merged executive team is functioning. The cost synergies that we estimate at the time of the merger announcement have been validated and are being realized ahead of plan. The only remaining work is integrating several back-office systems, and this will be an ongoing process.
Now, let me share what did not go well in Q1, and what our plans are for addressing it. In our first quarter as a merged company, we experienced headwinds in bookings from existing customers. These customers generally represent more than 90% of our growth who are the focus of the quarter's activity. We've analyzed the challenges encountered in the quarter, and believe that two factors primarily contributed to the bookings impact.
First, the announcement of our merger in October 2018 created uncertainty, particularly regarding the combined company roadmap, which we rolled out in March of this year. During this period of uncertainty, we saw increased competition from the public cloud vendors. Second, the announcement in March of Cloudera Data Platform, our new hybrid and multi-cloud offering, created significant excitement within our customer base. CDP is compelling as it addresses many of our customers' most pressing needs. However, our rapid execution on the cloud data platform has caused some customers to wait until it’s released to renew and expand their agreements.
Our conviction about the company's market opportunity and customer demand for hybrid and multi-cloud solutions remained strong. Customer feedback on CDP and its differentiating features validates our belief in Cloudera's competitive position as well as our ability to innovate in our target markets. Indeed, now that we have trained our sales reps and clearly articulated our detailed product roadmap, we are seeing significant pipeline growth.
Fundamentally, we believe that our vision for an enterprise data cloud that extends from the Edge to AI is spot on. Large global enterprises have complex business use cases requiring multiple analytic functions. These enterprises require hybrid cloud services that have data and workloads in both their data centers and in the public cloud. What they're asking for is the ability to seamlessly move their data workloads to the optimal location to minimize costs and maximize efficiency. They also want one consistent model for security, governance, compliance, and management.
Finally, they plan to use multiple public clouds and open-source software to avoid vendor lock-in. We believe that CDP uniquely addresses all of these customer requirements in an elegant and differentiated way. CDP development is on plan and timing for its release this summer has not changed.
Arun Murthy, our Chief Product Officer, will now provide an update on CDP and some of its many innovative features."
Arun Murthy,0,"Thanks Tom. Hello, everyone. As discussed last quarter, the merging of the engineering teams came together quickly and frankly, better than expected. All major product and component rationalizations and roadmap decisions were made swiftly, and I'm proud of how fast the team has begun to execute.
For example, in the first 30 days following the merger, we made Cloudera Data Science Workbench available to legacy Hortonworks customers. Similarly, we delivered the Cloudera data flow for legacy Cloudera customer base within the first 90 days. In the same time frame, we also delivered a brand new product, Cloudera Edge Manager, which opens up new IOT use cases for all our customers.
Our product portfolio continues to broaden and deepen, which leads me to the most significant update initiatives, the Cloudera Data Platform. The element of CDP is going remarkably well. The engineering team is laser focused on vision for the enterprise data cloud. CDP remains on track for availability to customers this summer in the public cloud as a hybrid SaaS offering and later this year as a private cloud offering.
As previously mentioned, we have already seeing encouraging signs from customers who're excited about the new cloud native platform. Like Tom, I have met many customers recently and their collective feedback is that CDP is differentiated and superior to what in the market today, particularly this leverages newer industry standard such as Kubernetes and containers for key workloads. It also addresses key needs and pain points with them as they make public cloud a key component of their enterprise architecture.
Cloudera Data Platform is more than just new release for the cloud. In fact, CDP leads products to competition in a number of key areas, particularly around security, automation and cloud migration. In order to help you all understand what our customers care about, I will spend a minute to highlight three unique differentiators about CDP among the main.
First, CDP offers intelligent migration, which uses powerful policy based controls to automate data movement between on-premise cloud systems and cloud object stores. This enables not only one time migration, but also ongoing incremental movement of both data and uniquely metadata, such as schema, security policies, leading edge and provenance. Furthermore, CDP provides seamless role-based and attribute based active control for data movement across security, domains in hybrid and multi-cloud environment.
Second, cloud bursting. CDP addresses unpredictable business or user demand by bursting analytical workloads in public clouds, along with the relevant data to complement data center capacity. Third and importantly to cost conscious customers, CDP performs adaptive scaling. This allows us to adjust cloud resources automatically used by analytical workloads by scaling them up when demand increases and even more crucially, scaling them down for dynamically optimizing costs, all in a completely automated manner without any performance impact.
Developing these innovations this quickly would not have been possible without the combined talent, technology and experience of the new Cloudera. As one company, we're proud to develop the industry's first enterprise data cloud with thoughtful analytics across hybrid and multi-cloud environment, controlled with sophisticated security and governance policies, making it easier and safer to roll out new use cases from the Edge to AI.
With that, back to you, Tom."
Tom Reilly,0,"Thank you, Arun. We're excited about CDP and so our customers. Our customers' interactions regarding CDP clearly validate our vision, strategy and current competitive position. In the end, it all comes down to customers and helping them gain insights and extract value from data.
This past quarter, we won 59 new customers, all of which were competitive battles, but we're advantaged by our merger and our enterprise data cloud vision. After training our new filed organization on the new products and roadmap, our rate of pipeline generation has accelerated, more than doubling from the beginning of the quarter to the end.
We have presented our roadmap in one-on-one executive briefings or group sessions to well over 1,000 enterprises, representing more than half of our customer base. These interactions are invaluable from removing uncertainty, gaining substantial feedback and developing engagement on new used cases and expansion opportunities. And finally, our largest customers are all eager to participate in our CDP data program.
Additionally, we also have customers who have some amazing new use cases with significant business impact. Let we share some of these customer stories and how our current cloud capabilities help them. First, ATV Financial, there're the largest financial institution in Alberta, Canada with over $54 billion in assets. They chose Cloudera running on Google Cloud for secure data management.
Our platform is being used and in just framework to move data between on-premises and cloud storage for transparent data ownership and trusted data operations. Adopting a hybrid cloud data platform has resulted in 90% faster data analytics, improving key collaboration through faster embedded decision making, and also increasing operational efficiency. With CDP intelligent migration, use cases like ATV can further benefit from the secure and automated data movement across on-premises and public clouds.
Next Clearsense, a Florida based healthcare analytics provider has developed a cloud based HIPAA compliant healthcare data ecosystem running on Cloudera. Clearsense selected us for our secure open source hybrid cloud architecture. This has enabled us to deliver multi-tenant subscription based predictive analytics services to smaller, rural and underserved healthcare providers.
Using Cloudera, we are able to provide near instant access of patient information that previously took weeks to assemble and deliver. CDP is sophisticated and our security and government policies are indented to benefit use cases like Clearsense's, providing increase enterprise control without compromising user experience.
Lastly, one of our more exciting case studies involve Lufthansa Technik, a leading provider of technical aircraft services. We introduced this use case on a call last year, shortly after having been selected during the initial planning. They've showed Cloudera running on Microsoft Azure for their cloud based analytics platform, because we provide the scalability and availability their customers need.
I’m proud to share that their deployment is now in production and is delivering 40% reduction in predicted components removal. I encourage you to check out the Lufthansa Technik video on our website to get the full story, and how they're disrupting aviation industry with data. Going forward, CDP's adaptive scaling is intended to benefit use cases like Lufthansa Technik with automated performance optimization.
Finally, our partner community has responded very favorably to both our merger and more importantly, our road map. They view the new Cloudera as a market standard, aligning us to focus our efforts on a single partner rather than two or three. I’m pleased to announce that we've expanded our relationship with a very important global partner, IBM. This partnership was significant for Hortonworks and one of the factors driving Cloudera's desire to merge the companies. Our partnership with IBM is now more significant in several aspects.
We've amended the terms of agreement with IBM to soon include our complete portfolio of product offerings and services. For example, IBM sales force for the first time is able to resell our enterprise data. Likewise, the Cloudera sales force can now resell many of IBM's products, including Big SQL. I am very encouraged by momentum that our companies have continued to generate together since the merger. We had a number of significant joint wins this past quarter. And with our new agreement in place, we expect that only to continue.
Now, I’d like to turn it over to Jim to review our financials. Jim?"
Jim Frankola,0,"Thanks, Tom. Hello everyone. I’ve previously shared, revenue for the first quarter was $187 million and subscription revenue was $155 million. Operating cash flow for the quarter was positive $11 million. Because of the merger, comparative year-over-year information on these items is not meaningful. As Tom highlighted, it was a difficult quarter for us from a bookings perspective and I will discuss this in connection with annualized recurring revenue in a moment.
We concluded Q1 with 929 customers who started at or have grown to more than $100,000 of ARR. The number of customers spending more than $1 million is in excess of 140. Both of these numbers are roughly flat with Q4 and are reflective of the customer wait and see attitude that Tom described. It is important to note that our largest customers continue to bring workloads to the platform. Annualized Q1 dollar-based churn for this cohort is substantially better than average at approximately 6%, and these customers continue to expand.
In Q1, we completed the work to determine end of quarter annualized recurring revenue rather than the adjusted ARR number that we shared in connection with Q4 results. As expected, ARR and adjusted ARR growth rates were similar. ARR for fiscal Q1 was $672 million, up approximately 21% year-over-year. Whereas adjusted ARR was $668 million, up approximately 20%. Details with respect to ARR definition and trends can be found in the supplemental materials on our investor relations website.
As I review the remainder of the income statements, note that unless otherwise stated, all references to expenses and operating results are on a non-GAAP basis. Historical non-GAAP results are reconciled to GAAP results in the press release issued earlier today. Our adjustments from GAAP to non-GAAP are limited to stock-based compensations and amortization of M&A related intangibles.
Total gross margin for Q1 was 73%, driven by subscription gross margin of 85%, both leveled with Q1 of last year. Operating expenses were $172 million for the first quarter or 92% of revenue, including in operating expenses are $25 million of merger related expenses. Excluding these amounts, operating expenses were 79% of revenues in Q1. This is a significant improvement from 98% of revenue in Q1 of last year. It reflects the rapid achievement of our planned cost synergies and increased operating leverage since the merger.
In particular, sales and marketing expense dropped from 54% of revenue in the year ago period to 47% of revenues this quarter, and R&D fell from 33% of revenue to 25%. The $25 million of merger related expenses include severance and retention costs and third party fees associated with integrating the systems and processes of the combined company.
Overall, operating loss was $35 million in Q1, representing an operating margin of negative 19%, burdened by 13 percentage points of merger related expenses. Excluding these expenses, operating margin would have been negative 5% for the first quarter, a substantial improvement over Q1 '19's operating margin of negative 25%. Loss per share was $0.13 in the first quarter based on 271 million weighted average shares outstanding compared to a loss per share of $0.18 in the first quarter of fiscal year 2019.
Now, turning to the balance sheet and cash flow. We exited Q1 with $547 million in cash, cash equivalents and marketable securities and restricted cash, up from $541 million at the end of Q4 '19. Operating cash flow for the first quarter was $11 million, which includes $25 million of merger related spending.
Cash flow performance was better than expected due to strong execution of merger synergies in both headcount and non-headcount related spending and higher than planned collections. Every functional area is on track or ahead of plan with respect to the operational elements of the merger. Capital expenditures were $3 million in the quarter. Total contract liabilities, which comprised deferred revenue and other contract liabilities, were $486 million at the end of the first quarter. RPO was $720 million.
I will conclude by providing initial guidance for fiscal Q2 and updated guidance for fiscal year 2020. We expect Q2 total revenue to be between $180 million and $183 million, and subscription revenue in the range of $155 to $157 million. Net loss per share is projected to be $0.11 to $0.08 based on $274 million weighted average shares outstanding. For fiscal year 2020, we expect total revenues to be between $745 million and $755 million and subscription revenue in the range of $635 million to $645 million.
As you'll recall from our discussion last quarter, our intention is to show Cloudera's organic quarterly performance and top line momentum in the most transparent way possible. Annualized recurring revenue based on the book-of-business at the end of the quarter removes the effects of the merger, including accounting changes, billings durations and licensing extension, and is the best representation of underlying economic activity.
Based on our sales pipeline in a typical length of an enterprise software sales cycle, we believe that Q2 will be the trough for bookings growth. Coupled with soft Q1 bookings, first half bookings performance will weigh on growth rate through the balance of the year. We expect ARR growth in Q2 to be between 10% and 12%, declining to 0% to 10% in Q4.
We continue to believe that modest improvements in subscription gross margin can be achieved by Q4 as we integrate customer support. Services margins will turn down over the next couple of quarters as we apply more technical resources to support customer success.
Total operating expenses will continue to decline over the course of the year as merger-related expenses moderate. Non-merger related operating expenses will roughly flat. Our investments are in place, allowing us to deliver on the CDP roadmap and position us for sustained growth.
For fiscal year 2020, net loss per share is projected to be $0.32 to $0.28 based on $280 million weighted average shares outstanding. We expect operating cash flow for fiscal year 2020 to be negative $95 million to negative $75 million. While merger cost synergies are coming in greater than planned, operating cash flow will be impacted by the bookings softness that we are now forecasting for the first half.
I would like to note two factors that impact cash flow this year, projected OCS includes approximately $59 million of merger related payments. Additionally, as discussed on last quarter's call, billings and cash flow will continue to be impacted by the adoption of Cloudera annual billings convention for their former Hortonworks business. Bookings growth is expected to accelerate in the second half this year. This will be evident in the sequential ARR growth in Q3 and Q4.
Although, CDP will be available in the second half, we do not have adequate data or pipelines model or trades out adoption. And given the nature of the subscription business, we believe that the revenue impact from CDP bookings and deferred customers' expansions will take several quarters to pair and GAAP revenue. Until the trajectory of that growth and the investment levels necessary to support become clear, we will not attempt to project an intermediate term operating model for the combined company.
I will not return the call to Tom."
Tom Reilly,0,"Thank you, Jim. Before we take your questions, I'd like to offer some concluding comments. I'm very encouraged by the rapid progress we're making with our merger. The new Claudera has the resources scale, customer base and partnerships to compete extremely well in the modern era of data analytics.
We have a roadmap that is only exciting to our customers, but it's significantly accelerated as compared to either company could have achieved independently. We believe that we are well positioned for the second half with merger integration behind us and a competitive cloud offering in market very soon.
I want to thank our employees for their commitment and perseverance in joining ranks, aligning behind the single strategy and staying customer focused. I also thank our partners for rallying behind our strategy and delivering great value in the market together. I thank the open source developer community for their innovative and collaborative spirit. My thanks to our many customers and the amazing solutions they're developing with our platform. And finally, on behalf of all Clauderans, I would like to extend a thank you to my friend and colleague, Claudera’s Co-Founder, Mike Olson, who is also retiring this summer.
As a reminder, Arun Murthy, our Chief Product Officer, will join Jim and my-self for the Q&A portion of the call. Operator, let's begin the Q&A portion of the call please."
