speaker,q&a,content
Company Participants,0,"Helen Jing Zhu - Investor Relations
Fu Sheng - Chairman and Chief Executive Officer
Vincent Jiang - Chief Financial Officer"
Conference Call Participants ,0,"Wendy Huang - Macquarie
Hillman Chan - Citi"
Operator,0,"Good day and welcome to the Cheetah Mobile First Quarter 2019 Earnings Conference Call. All participants will be in a listen-only mode. [Operator Instructions] After today's presentation, there will be an opportunity to ask questions. [Operator Instructions] Please note this event is being recorded.
I would now like to turn the conference over to Jing Zhu of Cheetah Mobile’s Investors Relations Department. Please go ahead."
Helen Jing Zhu,0,"Thank you, operator. Welcome to Cheetah Mobile’s first quarter 2019 earnings conference call. With us today are our Chairman and CEO, Mr. Fu Sheng; and our company's CFO, Mr. Vincent Jiang. Following management's prepared remarks, we will conduct a Q&A section. Before we begin, I refer you to the Safe Harbor statement in our earnings release, which also applies to our conference call today, as we will make forward-looking statements.
At this time, I would now like to turn the conference call over to our company's Chairman and CEO, Mr. Fu Sheng. Please go ahead."
Fu Sheng,0,"Thank you, Jing Zhu. Hi, everyone. First, while our first quarter 2019 financial results met management’s expectations, revenues accelerated, but we may face some challenges to grow our revenues in the near-term. Additionally, we plan to increase our investment in AI which may reduce our profitability in the short-term as our AI business is still in its early stage of development. The recent global business environment has brought some difficulties to our overseas business. In addition, we are still facing challenges resulting from misleading statement made by a third-party in late November 2018. The impact of misleading statements on our business was more significant that we expected. Also we have issued several public statements to clarify and explain the situation. Those allegations implicate considerable damage to our brand reputation and resulted to a pause in our collaboration with some of our business partners in the overseas market.
Cheetah Mobile’s audit committee has conducted an independent review of these allegations with outside counsel Skadden, Arps and independent data auditing firm AlixPartners to review, dislodge or identify any information inconsistent with the company's previous disclosures. We have informed our business partners about the conclusion of the review. Some of them have resumed business relations with us but some of them still have not, including Facebook, even though Facebook had preapproved the selection of auditing firm. We are committed to providing the high quality advertising product and service to our business partners. We plan to engage reputable third-party approach, encouraging companies to intensively monitor our ad service. We hope that by taking this additional step we can fully adjust the content our overseas business partners may have as a result of last year's allegation. 
Second, our utility product business and the mobile entertainment business has continued to collectively deliver, help revenues and profit as well as generate cash flow. In the quarter, our utility product business had about RMB500 million in revenue and RMB123 million in operating profit. Revenues from mobile games grew by 73% year-over-year to RMB302 million.
In the second half of this year, we will take some measures to allow our utility product business and mobile entertainment business to continue collectively generating decent profit and cash flow. Those measures include: First, cost control within our utility product business and mobile entertainment business. Second, we will streamline and refine our product lines. Third, we will over time have coverage chapters to focus more on AI business.
In addition, we have a strong balance sheet and balanced product development team building in fact industry-leading application for users. As of first quarter of 2019, we had $510 million in cash and the cash equivalents, restricted cash and short-term investments as well as $277 million in long-term investments. Within these long-term investments are several well-known projects such as WiFi Master, [Piano Tiles] and Codemao.
Over the years, we have also built up our committable R&D team, which has been continuously rolling out chart-topping utility apps. Our robust utility products and mobile entertainment business, strong balance sheet and talented product development team will allow us to downsize during this time. So, we have sharpened our focus on our AI business. Our setbacks in the overseas market made us recognize that our mobile Internet business had relied too much on our business partners in the past. And that’s also why we decided to focus more on AI, which will allow us to build our own ecosystem and eventually driving our long-term growth. 
AI industry is still in its early stage of development. Together with Beijing OrionStar, we already have a full chained AI technology and several announced AI-based products to serve both consumers and enterprise. Cheetah Mobile is also the single largest shareholder of Beijing OrionStar. Over the year, we have build out a committable R&D team, which had continuously rolled out chart-topping utility apps. By leveraging our in-house AI technology and its additional results is received from our collaboration with OrionStar. We believe our R&D team will continue to develop in innovation, AI driving products and service that can help our users to improve their productivity and solve their real world problems. 
During the quarter some of our AI products have already shown some early encouraging progress. We have built more use case for our AI products such as English language learning, international sharing, voice assistance and others. 
Finally, we recognize that challenges lie ahead. And our AI business will take some time to show meaningful revenue contribution. However, I’m confident that our AI strategy is on the right track and we believe with focus and determination we will able to rejuvenate our company's growth. 
With that, we will now turn the call to our CFO Vincent Jiang who will go through the details of our first quarter financial results."
Vincent Jiang,0,"Thank you, Sheng, and hello, everyone. Total revenue in the first quarter of 2019 was RMB1.09 billion, reaching the high end of our revenue guidance. This result was primarily driven by our mobile and entertainment business which saw revenue increase by 42% to RMB556 million year-over-year and represented 51% of our total revenue. 
We also incurred an operating loss of RMB18 million on a GAAP basis. On a non-GAAP basis, we generated an operating profit of RMB9 million. The decline in the operating profit compared to previous quarters was mainly attributable to our increased investments in AI technologies, which amounted to roughly RMB98 million in the first quarter of 2019. 
Our utility products and related services business continue to earn profits. Losses from our mobile entertainment business narrowed significantly and non-GAAP net income attributable to Cheetah Mobile shareholders was RMB34 million in the quarter.

I will expand on the result of the quarter, please note that all financial numbers are in RMB terms unless otherwise noted. In the first quarter revenue from mobile entertainment business increased by 42% year-over-year to RMB556 million, in particular this increase is attributable to increases in revenues from mobile games and LiveMe, our live streaming business. 
Revenues from our mobile game grew by 73% year-over-year to RMB302 million, mainly due to the incremental revenue contributions from Bricks n Balls which is a game that started to ramp up towards the end of Q2 2018. 
Additionally, our flagship titles, including Piano Tiles 2, Rolling Sky, and Dancing Line were still very strong in the first quarter of 2019. We also launched several casual games during the quarter. Although those casual games contributed to revenue growth, such contributions were insignificant. 
Revenue from LiveMe was up 17% year-over-year to RMB255 million. This increase was primarily driven by several initiatives introduced at the beginning of the year, which helped to improve ARPU. These initiatives also helped to improve user interaction, competition and engagement for broadcasting hosts, so paying users spend more on our platform. 
Revenues from utility products and related services were RMB498 million, decreasing by 33% year-over-year. In terms of monetization, our legacy utility products business has faced some headwinds. For example, first, PC revenue continued to decline as of our user traffic continued its migration to mobile. In the first quarter of 2019, PC revenues decreased by 5% to RMB120 million. Second, some of our business partners in overseas markets have paused their collaborations with us as a result of the allegations made by a third-party last year. As I mentioned in the previous scripts, Cheetah Mobile’s audit committee has conducted an independent review of these allegations with outside counsel from experts at both Skadden and AlixPartners. The review did not identify any information inconsistent with the company's previous disclosures. 
In the first quarter of 2019 revenues from our mobile utility product business in overseas market decreased by 54% this year-over-year to RMB145 million accounting for 13% of our total revenues and representing a decrease of 28% from the prior year period.
Turning to other internal companies. Our utility product business in the domestic markets has been negatively affected by the unfavorable macro environment as we are using advertising model to monetize traffic. Other revenues grew by 299% year-over-year RMB31 million largely benefiting from the sales of Cheetah Mobile Translator in China, which Fu Sheng just mentioned in his script.
Turning to profit margins. Our gross profit decreased by 5% year-over-year to RMB719 million in the first quarter of 2019. Gross margin remained stable at 66% year-over-year in the same period. Non-GAAP operating profit were RMB9 million in the quarter, down from RMB145 million in prior period.
I will now turn to profit margins for specific segments. In the first quarter of 2019, non-GAAP operating profit for utility products and related services decreased to RMB123 million from RMB265 million in the first quarter of 2018, mainly due to a decrease in revenue from overseas markets. 
Non-GAAP operating losses from our mobile entertainment business reduced to RMB44 million from RMB75 million in the prior period. Such improvement was attributable to our increasing operating leverage and strict management of costs and expenses for LiveMe. They were also attributable to our improved operating profit for flagship games which were partially offset by our initiatives to launch new titles. Non-GAAP operating loss for other business was RMB70 million, mostly due to our investments in AI technologies and businesses. 
Now I’ll turn to our revenue outlook. Please note that the following forward statements reflect our current and preliminary reviews and are subject to change. With respect to the second quarter, we expect our total revenue to be between RMB920 million and RMB950 million. 
Looking ahead, we will implement stricter cost controls for our legacy utility product business and mobile entertainment business. We will also commit additional resources to our AI business. We expect our utility product business and our mobile entertainment business to continue collectively generating profits and cash flows. However, we may sacrifice short-term profits to increase our investments into AI initiatives, which would help to secure sustainable and long-term growth for the company. 
Finally, again we want to emphasize that the company has a very strong balance sheet. As of the first quarter of 2019 we had US$510 million in cash and cash equivalents, restricted cash and short-term investments. We also have US$277 million in long-term investments. 
This concludes our prepared remarks. Operator, now -- we're now ready for taking questions. Thank you."
Operator,1,[Operator instructions] Our first question today comes from Wendy Huang with Macquarie. Please go ahead. 
Wendy Huang,1,"Thank you. So I will ask in Chinese first, then translate into English [Foreign Language]. 
I have two questions. The first is about the revenue model, and also the potential monetizations from AI. So given the current investment you are making in AI or AI product you're having now, so what's the most likely brand new models out of it? And second, so I wonder what's the major structural issue you are facing for your legacy utility business right now? Is it the overall advertising market issue or is it overseas market inconsistent issue or there's other problems out there? And also regarding the recent Huawei and also Google dispute, if Huawei is already banned to use Google's android system, how would that actually potentially indirectly impacted your overseas business? Thank you."
Fu Sheng,1,Okay. [Foreign Language]
Vincent Jiang ,1,"Yes, first of all from the traditional utility product there are two sides of an impact. First of all, is the android operating system itself. Right now, the factors have been taking more and more of these features into the device and by themselves, not to the privileges, that may provided to the developers."
