speaker,q&a,content
Operator,0,"Hi, everyone. Welcome to CannaRoyalty Corp.’s 2018 First Quarter 2018 Financial Results Conference Call. As a reminder, this conference call is being recorded on Tuesday, May 29, 2018. At this time, all participants are in a listen-only mode. Following the presentation, we will conduct a question-and-answer session. Instructions will be provided at the time for research analysts to queue up for questions. [Operator Instructions]
I will now turn the call over Jonathan Ross, Head of Investor Relations for CannaRoyalty Corp. Please go ahead, Mr. Ross."
Jonathan Ross,0,"Thanks, Sharon. Good morning everyone and thanks for joining us today. CannaRoyalty Corp.’s first quarter 2018 financial results released this morning. The press release, financial statements and MD&A are available on SEDAR as well as on our website, cannaroyalty.com.
Before I pass the call over to management, we’d like to remind listeners that portions of today’s discussion include forward-looking statements. There can be no assurance that such information will prove to be accurate or the management’s expectations or estimates of future developments, circumstances or results will materialize. As a result of these risks and uncertainties, the results or events predicted in these forward-looking statements may differ materially from actual results or events.
Risk factors that could affect results are detailed in the Company’s annual information form and other public filings that are made available on SEDAR, and we encourage listeners to read those statements in conjunction with today’s call.
The forward-looking statements in this conference call are made as of the date of this call. CannaRoyalty disclaims any intention or obligation to update or revise such information, except as required by applicable law, and CannaRoyalty does not assume any liability for disclosure relating to any Company mentioned herein. CannaRoyalty’s financial statements are presented in Canadian dollars and the results discussed during this call are in Canadian dollars unless otherwise indicated.
I will now pass the call over to Marc Lustig, Chief Executive Officer of CannaRoyalty Corp."
Marc Lustig,0,"Thanks, Jon. Good morning everyone and thank you for participating on our earnings call. I’m joined today by Francois Perrault, Chief Financial Officer; and Afzal Hasan, President and General Counsel.
Given that our last call was just over a month ago, we are going to keep our prepared comments relatively short today to ensure we get to any questions. Our team has been hard at work, building what we believe will be a market-leading platform in California and a marquee name in the Canadian publicly traded cannabis sector.
Over the past five months, we have announced the acquisition of substantial revenue generating Canada’s operators including distributors Alta and River that generated US$31.9 million in revenue in 2017. Also Kaya produced US$8 million in revenue in 2017 including the revenue that was generated by the former manufacturer of Bhang edibles. FloraCal generated US$6.4 million in revenue in 2017 along with US$3.2 million in EBITDA. The impact of these transactions and the true financial power of the platform we have assembled will become very apparent in Q2 as sequential revenue ramps significantly. This will carry over into Q3 when we expect to have our recent transactions including River and FloraCal on our books for a full quarter. And these revenues are growing as outlined in our May 4th announcement, record monthly sales at Alta as well as a banner month of sales for River.
In 2017, we made a calculated decision to focus on distribution as a means to achieve our long-term objective of becoming a leading cannabis consumer products company. The reason we focused on distribution is that in California distributors occupy a unique position at the nexus of the value chain. They collect taxes for the state, ensure product quality for consumers through robust lab testing, facilitate the growth of exciting consumer brands and ensure the dispensary operators have access to a full product shelf.
The value of the data that we control, the access to growing brands and the dispensary relationships that we have fostered, are all long-term competitive advantages as we aim to on-board the winners in the cannabis brand game.
Over the past several months, we have established a beachhead in Canada to eventually bring our leading products home and we expect to continue to make progress on this significant opportunity over the balance of the year. So, stay tuned for developments in Canada.
I would like to take this opportunity to welcome Mike Ruscetta as the CEO of Trichome which we own 70% of and which is in the process of being launched. So, look for news on that front soon. Mike is an incredibly qualified capital markets professional and a proven investor. I would also like to thank Afzal Hasan for his significant contribution to our strategic direction and the execution of that strategy over the past year, and welcome Afzal in his new role as President.
I will now pass the call over to Francois for some detail on the financials."
Francois Perrault,0,"Thanks, Marc and good morning, everyone.
As Marc discussed, 2018 has been -- has already been a very active year for CannaRoyalty as our team works to seize a historic opportunity to become a leading cannabis consumer products company in the State of California, and eventually, globally.
Q1 was a transitional quarter, so I won’t spend a lot of time diving deep into the numbers but the most notable change from last quarter is that we consolidated our Kaya and Alta acquisitions, which took effect on March 27th. The total purchase consideration for these entities was just over $14 million, split roughly $1 million to tangible net assets, $5 million to intangibles and $8 million to goodwill. It’s important to note that our Q1 income statement only reflects about $85,000 in product sales from these businesses, since we only closed these transactions on March 27th, as I mentioned earlier.
I would also remind you that we took the opportunity during Q1 to consolidate the manufacturing of all our in-house brands into Kaya’s license production facility in Oakland, California. Because we relied solely on Kaya for all our production, sales for CannaRoyalty’s GreenRock Botanicals and Soul Sugar Kitchen branded products in the quarter consisted only of activity from March 28th to March 31st. Moving production in-house was an important exercise as it gets us away from using contract manufacturing from these product lines.
Kaya now produces all of CannaRoyalty’s branded products as well as Bhang cannabis products sold in the State of California. We expect the consolidation of manufacturing operations under Kaya will drive substantial quarter-over-quarter growth through the remainder of 2018 starting in Q2. This transition was a primary reason for the decline in quarterly sequential revenue and was part of the reason for the weak gross margin performance during the quarter. As Marc mentioned, we expect this situation to revert rapidly and sustainably starting in Q2, which is already well underway.
We held Q1 operating expenses roughly steady with the prior quarter but we expect to scale expenses and investments significantly in the coming quarters on infrastructure and human capital as we remain laser focused on our plan to grow our product sales in California and eventually globally. Our cash position exiting the quarter was stronger, given $4.7 million and one proceeds received. Following the end of Q1, our cash position increased further. On April 13th, we closed the bought deal financing and on the 18th, the over-allotment was exercised, bringing in a total of $16 million in net proceeds and we also have $10 million available on our operating line with Sprott.
I’d now like to hand it over to Afzal Hasan, our new President."
Afzal Hasan,0,"Thanks, Francois.
Our acquisitions of Alta, Kaya and River have and will provide us with the foundational elements required to support the global cannabis consumer product brand for the future. I would like to build on what Marc said for a moment, because although we do want to be a global products business in the cannabis industry, we’re taking a different route than most other cannabis players in the market today. No matter what those industry players may suggest, nobody can pick [ph] the future of Coke or Pepsi or cannabis today with any degree of certainty.
Our belief is founded on a variety of factors identified during our three-year history as a diversified multi-jurisdictional investors. A major reason is that the mix of cannabis products that will be on the shelves in a few years will be different than the products that are on the shelves today. We are confident of this, based on our historical observations of substantial changes in the base edibles and other products on shelves in the markets that allow them as well as first hand evaluation of a multitude of products currently in development. It is an involving space. And with widespread adult use legislation and the introduction of new consumers into the market, the speed of change will only increase.
The exceptions to this general principle are products that have already reached an advanced stage of development. Cannabis flower is one of those categories, which is why we saw a significant opportunity in FloraCal, one of River’s most successful producers. While flower will still evolve to some degree, its cultivation has been refined over millennia. Although many can cultivate flower well, FloraCal was unique to us because we’re able to home their art of cultivation into a consistent authentic CPG product with highly scalable production.
By positioning ourselves strategically between promising brands and leading California retailers, we are well-positioned to enable the growth of the brands of the future and seize on the opportunities to work with them both in California as well as globally. Being a distributor also allows us to support the growth of our downstream retail partners. Just yesterday, we announced an agreement with Posh Green, a premium San Francisco based delivery service to expand our distribution network in the state and also gain experience with cannabis product delivery.
Coming back to my original point, although we may be different from our cannabis competitors, we bear strong resemblance to mature market players in other industries where buying global leading brand companies in alcohol, soft drinks, coffee, snack foods and tobacco is a robust distribution platform and this is how CannaRoyalty is positioned in the cannabis space. We are confident that California is where the global brands of the future will emerge and grow. California’s regulators are committed to an open and competitive market, both on the product side as well as right through the distribution chains to consumers. California has proven its ability to influence popular culture and built sustainable consumer brands across sectors. With the support of regulatory framework, we are confident that the California cannabis brands will similarly have a significant global impact.
At this point, I’d like to ask the operator to open the lines for questions."
Operator,1,[Operator Instructions] And your first question comes from Matt Bottomley with Canaccord Genuity. Please go ahead. Your line is open.
Matt Bottomley,1,"Good morning. Thanks for taking my questions. Yes. So, maybe just a few quick housekeeping items before I get into the sort of bigger picture stuff that’s been going on with you guys over the last few months. Just on the product sales again, trying to just get my head around at how to look at that line item before consolidation comes in Q3. So, bringing in some of the production in-house, obviously you saw the decline from about -- I think it was around $250 million last quarter down to $85,000 this quarter. I understand that it only incorporates the tail end of March there. But what’s the best way to look at the magnitude of what you’re potentially able to run at, given your in-house capacity now? Are you -- magnitudes higher than where you were in Q4 on a go forward basis or where does your in-house capacity sit?"
Afzal Hasan,1,"Yes. So, this is Afzal. Thanks for your question. The answer for that question is, it’s a little bit multifaceted. What you’ve seen on our financial statements is a few days worth of revenue of products that were sold at the end of that quarter but production was going on through the close of the month. We had -- I think, we’d announced at some point in December a few large sales that we had made just before our initial [ph] production. So, what we aim to do is load up our distributors with products so that we are able to have a smooth transition from one manufacturing facility to the other.
On your question about what the revenue rate is going to look like, I would highlight that we have taken on a number of brands since Q4 that includes Bhang chocolate, Bhang edibles and also production of our own brands that are included over there too. So, you should see substantial growth over there compared to what our own in-house product sales were because we have a number of other products on the shelves. And you can also take a look at how Alta has been doing with some of the numbers that we put out information about how they have been doing with the distributor in the month of April which was quite well compared to their historical performance. So, we are confident that we are going to see a fair amount of growth into the future on both categories."
Matt Bottomley,1,"Just last question on the quarter. The royalty margin, just curious on what’s driving pressure there. I don’t know if it’s an accounting thing or what. But just curious, the margin the last few quarter has been coming down, I think negative this quarter. Is there a particular reason or a fundamental reason for that?"
Francois Perrault,1,"Yes. Hey Matt, it’s Francois. You hit it. It’s an accounting thing. It’s tied to the River royalty. We continued to make investments on -- if you recall, the River royalty is a $5 million investment and we’ve concluded these $5 million in this quarter. And for accounting reasons, we had to go and retro the amortization all the way back to the beginning of the royalty, which was May. So, there’s sort of a one-time catch-up and the amortization on that royalty. And just so you understand, this may not be intuitive either the amortization on a royalty investment because it’s a fixed term investment, goes into cost of sales. So, the one-time catch-up was the regular amortization, was enough put the River royalty margin into negative territory."
