speaker,q&a,content
Company Participants,0,"Norm Miller - Chief Executive Officer
Lee Wright - Chief Operating Officer"
Conference Call Participants,0,"Brad Thomas - KeyBanc Capital Markets
Brian Nagel - Oppenheimer & Co
Rick Nelson - Stephens Inc
John Baugh - Stifel"
Operator,0,"Good morning and thank you for holding. Welcome to Conn's Inc. Conference Call to discuss Earnings for the Fiscal Quarter Ended April 30, 2019. My name is Sherry. I'll be your operator today. During the presentation all participants will be in a listen-only mode. After the speakers’ remarks, you will be invited to participate in the question-and-answer session. As a reminder this conference call is being recorded. The company's earnings release dated May 31, 2019 was distributed before market opened this morning and can be accessed via the company's Investor Relations website at ir.conns.com.
During today's call, management will discuss, among other financial performance measures, adjusted EBITDA, adjusted net income and adjusted earnings per diluted share. Please refer to the company's earnings release that was issued today for a reconciliation of these non-GAAP measures to the most comparable GAAP measures. I must remind you some of the statements made in this call are forward-looking statements within the meaning of the federal securities laws.
These forward-looking statements represent the company's present expectations or beliefs concerning future events. The company cautions that such statements are necessarily based on certain assumptions, which are subject to risks and uncertainties, which could cause actual results to differ materially from those indicated today. Your speakers today are Norm Miller, the company's CEO; and Lee Wright, the company's COO.
I would now like to turn the conference call over to Mr. Miller. Please go ahead, sir."
Norm Miller,0,"Good morning, and welcome to Conn's first quarter of fiscal year 2020 earnings conference call. I'll begin the call with an overview and then Lee will complete our prepared remarks with additional comments on the financial results. Fiscal year 2020 is off to a strong start as record first quarter retail gross margin, combined with the best credit segment performance we have achieved in five years, drove a 54% year-over-year increase in first quarter earnings per diluted share. While we are disappointed by first quarter retail sales, the significant year-over-year improvement in overall net income demonstrates the power of our business model.
As we focus on growing retail revenues, we believe we have a significant opportunity to expand profitably for many years to come, and I'm encouraged by the direction we are heading. Given the company's strong financial position, our commitment to generating shareholder value and our confidence in the future, I'm pleased to announce that our Board of Directors has approved a $75 million stock repurchase plan.
I am also very pleased with this morning's announcement on the enhancements to our leadership team. To review this morning's press release, Lee Wright has been promoted to the new role of Chief Operating Officer, Rodney Lastinger is joining Conn's as our new President of Retail, George Bchara has been promoted to Chief Financial Officer and Ryan Nelson has been promoted to Chief Accounting Officer.
Since I joined Conn's as CEO four years ago, you have continually heard me talk about the importance of leadership and the need to enhance our recruiting, retention and development capabilities. Today's announcement demonstrates the significant progress we have made across these three critical areas and follow the September 2018 promotion of John Davis to President of Credit and Collections. Lee, JD and George were early members of our new leadership team and they played critical roles in our financial and operation turnaround and made significant contributions to build the leading platform that is in place today.
It's also important for us to attract proven leaders from outside of our organization. Rodney is joining Conn's as President of Retail after a successful 18-year career at Target Corporation. Most recently, Rodney served as Senior Vice President of Stores and was responsible for managing the Southern U.S. region of Target, which comprised of over $21 billion in sales, 85,000 team members and 565 stores. The team looks forward to working with Rodney as his experience managing a large retail operation will help us capitalize on our significant growth opportunity.
We are well positioned to create sustainable value for shareholders, and we have assembled a proven, experienced and motivated leadership team to take the company to the next level. So with this introduction, let's look at our first quarter results in more detail, starting with our credit business. First quarter credits results were excellent. Our credit spread for the first quarter was 980 basis points representing the highest spread in five years, as a result of our net yield of 22.1% and the net charge-off rate of 12.3%. As our credit performance continues to improve, we are focused on maintaining appropriate underwriting standards, and we will not increase credit risk to drive retail sales.
In addition, we are proactively managing underwriting at our new stores to control credit performance. First payment default rates at our new stores continue to be 20% better than the company average. Overall, portfolio performance has benefited from stable underwriting, a healthy economic environment for our core customer and the enhancements we have made in our collection and recovery efforts. As a result, the 60-plus day delinquency rate was 8.7%, representing a 40 basis point improvement from the same period last fiscal year. The improvement in the 60-plus day delinquency rate accelerated from the 20 basis point year-over-year decline the company experienced in the fourth quarter. 
Improving our recovery process has also been a strategic focus as higher cash recoveries result in lower net charge-offs and reduced loss rate on our allowance for bad debt. For the first quarter of fiscal year 2020, we collected $6.5 million of recoveries, an 18% increase from the same period last year and more than we collected in all of fiscal year 2017.
We have built a strong recovery platform, and we are on track to collect annual recoveries exceeding $20 million this fiscal year. First quarter credit results demonstrate that we can operate a roughly breakeven credit business with approximately 1,000 basis points of credit spread. The net loss before taxes of the credit segment, which includes interest expense was only $1.4 million in the first quarter and in line with our breakeven goal. In addition, credit segment profitability increased by $14.3 million over the prior year period and improved $45.5 million versus the first quarter of fiscal year 2017.
We remain focused on maintaining a stable credit business, and I'm confident in our ability to manage risk going forward, especially as our retail growth accelerates. With a solid credit platform in place, we are focusing more of our efforts on creating a best-in-class omni-channel retail business.
So let's review the drivers of our retail segment and the strategies we are pursuing to grow revenues. First quarter retail sales were lower, primarily due to the benefit Hurricane Harvey rebuilding efforts had in the first quarter of last fiscal year. We expect this trend to continue to the second quarter of this fiscal year with the potential for some residual impact in the back half of the fiscal year due to pull forward of the replacement cycle in the Harvey markets.
Unfortunately, first quarter retail sales in both Harvey and non-Harvey markets were weaker than expected. We believe this was primarily due to an higher-than-anticipated mix of online source credit applicants who typically have a lower approved and utilized rate, a disruptive transition to our new e-commerce platform and the delay in tax refunds, which we believe impacted sales by reducing discretionary buying power across many of our markets.
We actively monitor our application volume as it is an important metric for our retail business due to our unique in-house credit offering. In fiscal year 2019, over 700,000 application or 56% of all credit applications were completed through our website. In the first quarter, the mix of applications originated online grew faster than expected, which resulted in a 325 basis point decline in the approval rate from the same quarter last fiscal year and negatively impacted sales.
Online applicants have lower approval rates because they historically demonstrate higher credit risk compared to customers that apply within our stores. As a result, we are very cautious towards online applicants, and we will not increase credit risk to drive quarterly retail sales.
Also affecting first quarter retail sales was the transition to our new online platform, which took place in late March. The initial implementation impacted the customer experience on conns.com, increased page load times and interrupted our online application process. These online platform implementation issues and delayed tax refund caused lower overall applications than expected.
Application volume has increased over 9% month-to-date in May compared to a decline of over 2% in the first quarter of fiscal year 2020. While we are disappointed by the effect that this had on first quarter sales, the implementation of the new website was a critical milestone in our long-term e-commerce strategy. With our trend of higher online applications and desire to create a seamless experience for customers, we have been creating an end-to-end online solution regardless of the applicants financing needs.
I'm extremely excited to announce that our core customer can now transact with us entirely online using our in-house credit offering as a result of our enhanced and secured website, advanced IT infrastructure and proprietary underwriting capabilities. For nearly 60 years, Conn's has been in the credit business and the launch of our e-commerce channel is a significant milestone in the 129-year history of our company.
Our analytics team has spent the past year refining our underwriting strategies to ensure that these sales fit within our risk tolerance and maintain our 1,000 basis point target credit spread. With the majority of applicants already online, we have a great opportunity to grow sales in this channel, while now providing an omni-channel experience for our customers. In addition, our existing logistics infrastructure, warehouse locations and last-mile delivery capabilities are fully scalable as we already offer next day delivery across our 14-state store network.
To highlight the magnitude of our opportunity, e-commerce sales represented less than $3 million last fiscal year and were only completed with our highest credit quality customers through a personal credit card or Synchrony card. For the month of May alone, online sales were approximately $1 million. This was achieved without fully marketing or promoting this channel, and sales in May are already approximately one third of last fiscal year's total e-commerce sales. 
Over the past year, we have also talked about investments we are making in our retail platform, which include both the focus on higher margin and better best products, enhancing our merchandising strategy and improving our retail execution.
I'm pleased to report we made progress in all three fronts during the first quarter. Last year's expansion in the gaming demonstrates our success rolling out new categories that resonate with our customers. These efforts drive traffic and support our retail gross margin expectation, while achieving strong credit results and what was historically a riskier category. We are using this positive experience we had in gaming as the basis for our overall category expansion strategy, which includes our recently launched test in cellphones, our upcoming test in flooring and our continued test and expansion of smart home products. 
We also remain focused on newness within our categories and during fiscal year 2020, we are executing large-scale transition of products across all categories. This includes enhancing our appliance assortment, adding additional gaming PCs and Chromebooks to our home office collection, refreshing most of our mattress offerings and continuing to update our furniture assortment with on-trend styles and colors. 
Our value-added product strategy, which is supported by our affordable credit offerings, continues to resonate with our customers. Our product strategy is also benefiting retail gross margin, which increased 40 basis points from the first quarter of last fiscal year to a first quarter record of 40.0%. We believe an annual retail gross margin above 40% is sustainable as we continue to benefit from our better, best product strategy.
In addition to our merchandising enhancements, we continue to make significant improvements in our retail execution. For example, our penetration rate of lease-to-own sales was 8.4% for the first quarter, up from 7.5% in the prior fiscal year quarter. As you can see, we have a solid retail foundation in place, and we are now starting to expand our marketing efforts to drive traffic of our core target customer to both our website and into our stores. This includes a new marketing campaign, refreshing the Conn's HomePlus brand, new and unique promotions and intensifying our media efforts, both on- and off-line. 
As the tenure of our Chief Marketing Officer and his team grows, we are excited about the many opportunities we have to expand our reach as well as connect with and empower our customers.
During the first quarter of fiscal year 2020, we opened four new stores, including stores in Texas, Louisiana and Alabama. We also opened another new store in Texas this month. New store revenues and credit performance continue to be in line with our expectation, which provides us with increasing confidence in our retail expansion plan.
With our enhanced credit model in place, new stores are ramping at a slower rate compared to the company's growth phase in fiscal years 2013 to 2016 as we closely controlled credit risk. We expect sales of new stores to mature to our company average over time, which will contribute to same-store sales growth as these stores increase the amount of recurring customers and enter the comp base.
In the current year, we now expect to open between 14 and 15 new stores in existing states, which will all be in our new store layouts featuring an enhanced customer experience and a more efficient sales process. With only 128 stores in 14 states, we have significant and long-term opportunity to expand our store base.
While retail sales have started out slower than desired, we are excited about the opportunities we have to produce consistent retail growth in the future. First quarter results demonstrate the strength of our business model and the positive evolution of our company. We continue to believe our retail model and credit platform can consistently support total annual retail sales growth of 8% to 10%, and I'm excited about the opportunities we have in fiscal year 2020 and beyond.
With this, let me turn the call over to Lee."
Lee Wright,0,"Thanks, Norm. Consolidated revenues were $353.5 million in the first quarter of fiscal year 2020, a 1.4% decrease from $358.4 million for the same period last fiscal year.
GAAP net income improved 53.2% to $19.5 million or $0.60 per diluted share for the first quarter of fiscal year 2020, compared to $12.7 million or $0.39 per diluted share for the prior fiscal year quarter.
On a non-GAAP basis, adjusting for certain charges and credits and loss from extinguishment of debt, net income for the first quarter of fiscal year 2020 was $0.58 per diluted share compared to $0.40 per diluted share for the same period last fiscal year.
Adjusted EBITDA was $50.4 million or 14.3% of total revenue for the first quarter of fiscal year 2020 compared to $42.9 million or 12% of total revenue for the same period last fiscal year. Reconciliations of GAAP to non-GAAP financial results are available on our first quarter press release that was issued this morning.
First quarter of fiscal year 2020 retail revenues were $262.2 million, a decrease of 4.9% from the same quarter last fiscal year. We achieved record first quarter retail gross margin of 40%. The 40 basis point year-over-year improvement in retail gross margin was a result of the continued benefit of our better, best product strategy, which is enabled by our strong credit platform. An increase in retrospective commission on our warranty sales due to lower exchanges also helped first quarter retail gross margin. Regarding the ongoing trade negotiations and tariffs, we are actively monitoring the current and potential impact.
Our merchandising team has been proactively working with our suppliers to diversify production outside China since the specter of tariffs arose last year. We have made substantial progress in doing so with our primary focus on furniture. The actions already taken already or in progress will lessen the impact of tariffs while product cost for items remaining in China will increase and result in higher average retail prices if the 25% tariff continues for a prolonged period.
Retail SG&A expense was $79.6 million, an increase of approximately $1.9 million for the same quarter in the prior fiscal year, while retail SG&A expense as a percentage of revenue deleveraged 220 basis points to 30.4%, primarily due to the decline in revenues and increased cost for new stores.
We plan to open 14 to 15 new stores this fiscal year compared to seven stores last fiscal year. We typically start incurring costs associated with new stores approximately six months ahead of opening and there will be additional expenses incurred throughout the fiscal year as we prepare to open these locations. We remain focused on strategies to control SG&A expenses. However, to ensure our ability to successfully manage future growth, we will continue make investments to our platform, which includes expanding our store base, opening a new Houston distribution center and implementing state-of-the-art ERP and loan management systems.
Finance charges and other revenues for the credit segment were a first quarter record of $91.3 million for the first quarter of fiscal year 2020, up 10.5% from the same period last fiscal year. The increase versus the first quarter of fiscal year 2019 was primarily due to a yield of 22.1%, an increase of 130 basis points from the same period last fiscal year.
During the quarter, we also began to recognize retrospective insurance income following a period of higher claims and no retrospective insurance income as a result of Hurricane Harvey. First quarter net annualized charge-offs as a percent of the average outstanding balance were 12.3%, a 20 basis point increase over the prior fiscal year period.
Provision for bad debts in the credit segment was $39.9 million for the first quarter of fiscal year 2020, a decrease of $4 million from the same period last fiscal year, primarily due to a strong portfolio performance. The allowance for bad debt in uncollectible interest as a percent of the total portfolio was 13.5% at April 30, 2019, which was down approximately 20 basis points from the prior fiscal year period.
As Norm mentioned, for the first quarter of fiscal 2020, we collected $6.5 million of recoveries, an 18.3% increase from the same period last year. SG&A expense in the credit segment for the first quarter increased 3.1% versus the same quarter last fiscal year and on an annualized basis as a percentage of the average customer portfolio balance was 9.8% compared to 9.9%. The increase in credit SG&A expense primarily reflects the continued investments we are making in our recovery efforts and in increasing compensation costs.
Interest expense for the first quarter was $14.5 million, which declined 13.8% for the same period last fiscal year as a result of continued year-over-year deleveraging and reductions in our all-in cost of funds. For the first quarter, annualized interest expense as a percentage of average portfolio balance was 3.7% compared to 4.5% for the same period last fiscal year.
Average net debt as a percentage of average portfolio balance was 60.5% compared to 67.3% for the same period last fiscal year. Last month, we closed a new ABS transaction with an all-in cost of funds of 5.26%, which was the lowest all-in cost of funds we have achieved since re-entering the ABS market in 2015. ABS notes currently outstanding include all classes of our 2019 A and 2018 A notes and the B and C classes of our 2017 B note. We currently expect to complete one additional ABS transaction during the current fiscal year.
I'm very pleased with the improvements we continue to make in our capital position. The Board's decision to approve a $75 million stock repurchase program reflects Conn's strong balance sheet and diverse funding sources. In addition, we expect to fund the anticipated growth in our portfolio as a result of new store openings and same-store sales growth through internally generated funds and our existing capital sources.
Before opening the call up for questions, I want to reveal a couple of housekeeping items. First, we expect our annual effective tax rate to be between 25% and 27% for the full 2020 fiscal year. Second, we adopted the new lease accounting standard this quarter, resulting in an increase in lease-related assets of $223 million and an increase in lease-related liabilities of $216.8 million. The difference between the lease-related assets and liabilities was recorded as an adjustment to retained earnings as of February 1, 2019.
Please see our 10-Q for the period ending April 30, 2019, which will be filed later today for additional information on our adoption of the new lease accounting standard. With this overview, Norm and I are happy to take your questions. Operator, please open the call up to questions."
Operator,1,Thank you. [Operator Instructions] Our first question is from Brad Thomas with KeyBanc Capital Markets. Please proceed.
Brad Thomas,1,"Hey good morning, Norm and Lee. And thank you for taking my question. Wanted to ask about same-store sales and then ask about gross margins. Starting first just with same-store sales. You addressed that obviously in the prepared remarks, but any ability to give us some more color around maybe what degree the website changeover and maybe some increased applications with the new website had on your same-store sales in 1Q."
Norm Miller,1,"Sure, Brad. Good morning. Well when you look at, obviously, we’re disappointed with the sales momentum in the first quarter and really driven by the same-store sales really driven by three things. The first was the transition that I talked about in the prepared comments, both our e-commerce site and the website, Magento 2, did occur at the end of March and that coupled with the credit quality of the traffic to our website.
Our estimation is a combination of those two items has cost us about 400 basis points of the same-store sales. We saw that as we mentioned, again, with total number of applications being down for the quarter. And then the third piece being the delay in the tax refund. With the government shutdown, we estimate that cost us about 150 basis points in specifically discretionary spending. When you see the breakout, you will see appliances are actually positive from the same-store sales standpoint, but the furniture and mattress and electronic, some of the discretionary products were actually down."
Lee Wright,1,"Yes, in non-Harvey is what we’re really talking about here, Brad."
Norm Miller,1,"Yes. I’m bridging towards non-Harvey, I’m sorry."
