speaker,q&a,content
Company Participants,0,"Tom Edwards - CFO and COO
John Idol - CEO"
Conference Call Participants,0,"Oliver Chen - Cowen and Company
Randy Konik - Jefferies
Matt Boss - JP Morgan
Kimberly Greenberger - Morgan Stanley
Paul Lejuez - Citigroup
Dan Stroller - Nomura Instinet 
Alexandra Walvis - Goldman Sachs"
Operator,0,"Good day, and welcome to the Capri Holdings Limited Fourth Quarter Fiscal 2019 Earnings Conference Call. Today's conference is being recorded.
At this time, I'd like to turn the conference over to Tom Edwards, Chief Financial Officer and Chief Operating Officer of Capri Holdings. Please go ahead."
Tom Edwards,0,"Good morning, everyone, and thank you for joining us on Capri Holdings Limited's Fourth Quarter Fiscal 2019 Conference Call. Before we begin, let me remind you that certain statements made on today's call may constitute forward-looking statements which are subject to risks and uncertainties that could cause actual results to differ from those we expect. Those risks and uncertainties are described in today's press release and in the company's SEC filings, which are available on the company's website. Investors should not assume that the statements made during this call will remain operative at a later time, and the company undertakes no obligation to update any information discussed on the call.
In addition, certain financial information discussed today will be presented on a non-GAAP basis. These non-GAAP measures exclude certain items related to transaction, transition and integration costs associated with the Jimmy Choo and Versace acquisitions; restructuring and noncash impairment charges primarily associated with underperforming retail stores. Unless otherwise noted, all information on today's call will be presented on a non-GAAP basis. To view the corresponding GAAP measures and related reconciliations, please view the earnings release posted to our website earlier today at capriholdings.com.
I would also like to provide an update on our revised segment reporting structure. Given our recently expanded group, each of our 3 brands now forms a segment. In addition, we have created a Capri Holdings corporate cost category for activities that support our overall group. Together, these 4 elements comprise total Capri results.
Please note that costs now included in our Capri corporate category were previously allocated to the Michael Kors brand. The Michael Kors operating margin has been adjusted accordingly for all reporting periods, and historical results will be provided in this format with a separate 8-K filing in addition to our 10-K filing. Going forward, we will discuss results and guidance at the total Capri Holdings level as well as in our 3 brand segments. Finally, I would like to note that all comparable store sales numbers that we discuss today are on a constant currency basis, which is how we will be reporting these numbers going forward.
Now I would like to turn the call over to Mr. John Idol, Chairman and Chief Executive Officer."
John Idol,0,"Thank you, Tom, and welcome to our fourth quarter fiscal 2019 earnings call. Looking back, 2019 was a transformational year for Capri Holdings. We expanded our fashion luxury group with the addition of Versace, one of the world's most storied Italian luxury brands. We delivered robust growth for Jimmy Choo and continue to execute against Michael Kors' 3 strategic growth pillars: product innovation, brand engagement and customer experience.
Taken together, we believe our 3 brands position Capri Holdings to accelerate revenue growth from $6 billion to our long-term goal of $8 billion. We expect to grow Versace from $900 million to $2 billion in revenue, expand Jimmy Choo from nearly $600 million to $1 billion in revenue while building Michael Kors from $4.5 billion to $5 billion.
Now turning to our full year. We were pleased to report that Capri Holdings delivered double-digit revenue and earnings growth. Revenues were $5.2 billion, an increase of 11% compared to the prior year. Earnings per share of $4.97 increased 10% versus last year, including $0.13 dilution from the Versace acquisition.
The addition of Versace was a milestone in the strategic expansion of our global fashion luxury group. We have quickly and successfully integrated this new acquisition into Capri Holdings and have already begun to implement our growth initiatives to rapidly expand the brand's global presence. We are building on a base of strength and momentum as Versace delivered double-digit revenue and comparable store sales growth over the past year.
For Jimmy Choo, we successfully executed against our growth plans and delivered double-digit revenue results in fiscal 2019. Comparable store sales increased mid-single digits during the year, led by our iconic footwear offerings, and the brand is now positioned to accelerate its accessories expansion. Operating earnings were above our expectations, and Jimmy Choo was accretive to fiscal 2019, a full year ahead of our initial expectations.
Michael Kors delivered stable results for the year, with revenue flat and overall operating margin in line with the prior year. Comparable store sales were down 1.4% for the year. These results were consistent with our expectation to stabilize and rebalance Michael Kors in order to reposition the brand for long-term growth. Taken together, we are encouraged with our strategic and operational progress in fiscal 2019 and believe we are well positioned to deliver on our long-term growth targets.
Turning to fourth quarter results. For Capri Holdings, we exceeded our expectations on both top and bottom lines. Revenues in the fourth quarter were $1.3 billion and increase 14% year-over-year, reflecting the addition of Versace, growth for Jimmy Choo and flat revenue for Michael Kors. Earnings per share of $0.63 was above our expectations and flat to prior year, including dilution from our acquisition of Versace.
Moving to Versace. We were pleased with fourth quarter results. Our revenue of $137 million, ahead of our expectations. Comparable store sales grew in the high single digits driven by strength in ready-to-wear and footwear. In women's ready-to-wear, Versace's spring themes resonated with customers. The collection was bold and refined, mixing a vibrant blend of colors and Versace symbolism. The iconic hibiscus and Versace alphabet prints combined past and present with a modern, youthful attitude. Versace's trademarks adorned streetwear pieces that were colorful, playful and strong while more formal styles displayed novelty detailing and iconic hardware.
The men's line exuded confidence and employed further interpretations of the Versace trademark symbols, including heritage prints, the Medusa and vintage logo presented in new forms. The men's offerings range from streetwear to formalwear, highlighting the breadth of the offerings in our menswear collections.
Building on the brand's artistic range, another focal point for the quarter was a capsule collection with Kith, one of the most influential fashion retailers. The collaboration presented Versace's signature opulence through Kith's trademark streetwear lens and resonated with customers. On the red carpet, Versace continued to dress celebrities with unparalleled glamour and luxury from Donatella's atelier, including Taylor Swift, Sandra Oh, Irina Shayk, Henry Golding, Constance Wu, Rosie Huntington, Regina King, Chloe and Halle Bailey, Angelina Jolie, Ariana Grande, Chadwick Boseman, Naomi Campbell and Cardi B.
In footwear, performance was led by the continued expansion of fashion active. In our core active offering, the Chain Reaction line remained our bestseller. To build on this momentum, we expanded Chain Reaction with a capsule collection featuring a collaboration with renowned musician 2 Chainz. The capsule collection was led by the 2 Chain Reaction. This sneaker that merged 2 Chainz' aesthetics with Versace's classic Greek key detailing, love lettering and iconic chain-link sole. The capsule included athletic wear and was well received.
In terms of brand awareness and engagement, Versace supported the Kith and 2 Chainz collaboration with extensive social media coverage. The brand also held 2 runway shows during the quarter. The men's show reflected on the modern concept of a man, challenging stereotypes to display different facets of character through style choice. The show also featured signature pattern silks and animal prints, ranging from vibrant colors to highly refined tailored offerings.
The women's show explored the house's code through a new lens with a focus on the iconic Versace safety pin in newly embellished interpretations. The collection highlighted other signature features such as Barocco silk prints, the Greek key and elegant gold chains that adorned several styles. The show was also marked by the debut of the brand's new Barocco V logo, a bold symbol of the brand's aesthetic heritage, which was prominently featured on the new Virtus handbag collection. The Virtus was presented in a variety of silhouettes and finishes, including V pattern quilting, vibrant color combination and mixed materials.
Both shows were met with critical acclaim, drawing press and celebrities from around the world. During the quarter, Versace's Instagram followers grew to 17 million, an increase of 45% over prior year. Additionally, Donatella's personal Instagram followers reached 4 million, demonstrating the power of the Versace brand.
Moving to Jimmy Choo. We were pleased with fourth quarter results as revenues grew nearly 30% and comparable store sales increased in the mid-single digits. Comparable sales were driven by continued strength in footwear, partially offset by softer handbag performance as we continue to transition to our new accessories platform.
In footwear, several new fashion collections showed strong performance, including Bing, a luxury mule with crystal-encrusted detailing; and Lavish, a suede pump with black and silver glitter tulle overlay. Romy remained the bestseller in our 24:7 line.
In fashion active, the newly introduced Raine sneaker highlighted in our spring campaign featuring Kaia Gerber quickly became a bestseller. The Raine features luxurious calfskin with a bold logo sole and is offered in glitter fabric in a variety of luxe color combinations. Our recently launched DIAMOND Sneaker featuring a clear sole, silver laces, crystal shimmer, suede was also an instant success and quickly sold out in many styles. Sales of Raine and DIAMOND are both exceeding our expectations. Jimmy Choo continued to dominate the red carpet with celebrities such as Beyoncé, Brie Larson, Emilia Clarke, Emily Blunt, Lady Gaga, Amy Adams, Penelope Cruz, Jennifer Lopez, Kylie Jenner and Mary J. Blige all photographed wearing our shoes.
In accessories, we introduced the first fashion group under our new design team as we begin to position this category for future growth. This new collection called Helia futures Jimmy Choo's star signature quilt design crafted on Napa leather and is highlighted in our spring campaign with Kaia Gerber. Initial consumer response was positive.
In our existing collections, performance continued to be led by Callie, a timeless and elegant clutch offered in suede and satin with a variety of embellishments ranging from crystals to pearls.
In terms of brand awareness and engagement, our Helia bag and Raine sneaker launches were supported by broad marketing and social media campaigns featuring Kaia Gerber. Kaia's authenticity transcends generation and is the perfect representation of the dynamic energy of the Jimmy Choo brand. We also expanded our customer outreach in Japan during the quarter, launching on LINE, Japan's preeminent social media platform. Initial response was very strong with significant engagement and rapidly expanding following. During the quarter, Jimmy Choo's Instagram followers grew to 10 million, an increase of 26% versus last year.
Now turning to Michael Kors' fourth quarter revenue, which was in line with our expectations and flat compared to prior year. Comparable store sales declined 1% including headwinds from our watch and jewelry categories.
Moving to our product performance. In accessories, Michael Kors Collection, the Bancroft group remained a customer favorite, particularly in color blocking styles. The new Bancroft midsized shoulder satchel was introduced with novelty treatments from the runway and showed strong results. In our MICHAEL Michael Kors line, Whitney remained the bestselling group, led by novelty iterations such as quilting, seasonal denim and embellished hardware mixes.
During the quarter, we introduced Cece, which features an elegant foldover silhouette lock and key detailings as well as studded metal finishes. This new group that effortlessly takes the customer from day to night was an immediate success. Our Michael Kors Signature styles continued to show strong demand. We remain under-inventoried in this classification, and we'll take a larger position in coming quarters. We continue to plan to grow Signature to approximately 30% of our retail fleet accessory sales by the end of the year.
Moving to footwear. Performance was driven by fashion active, which was led by our bestselling Skyler, Felix and Kendra sneakers. The recently launched Olympia rapidly became a bestseller, and our new luxe cheetah hair calf treatments launched across multiple categories were well received.
In women's ready-to-wear, fashion items featured on our Bella Hadid campaign resonated, particularly outerwear with metallic foil and butterfly embroidered novelty detailing. In dresses, Michael's spring collection incorporated soft feminine treatments highlighted by floral sequins, lace and seasonal colors and were well received.
In our men's business, in sportswear, our signature Greenwich polo remained a top seller while customers responded enthusiastically to our burnished letter jean jacket and baseball jackets with color blocking. Our men's accessories collection continued to show strong growth, led by our pebbled leather Grayson group. Backpacks were our top sellers in the quarter, led by Grayson, Henry and Kent groups. We expanded our signature product representations, including a signature athletic capsule that performed well.
In our watch category, despite our initiatives to mitigate declines in this segment, the overall watch category remains more challenged with declines above historical levels. We continue to focus on accelerating our fine jewelry line to offset watch declines longer term.
With respect to brand awareness and customer engagement, Michael Kors was the #1 most engaged brand during New York Fashion Week on social media. This performance was driven by Michael's fall runway show which was inspired by the glamour, fun and energy of Studio 54. The show highlighted alluring pieces that conveyed romance and opulence.
We also saw a positive response to our exciting MICHAEL Michael Kors spring campaign featuring supermodel Bella Hadid as the new face of our brand. Bella's quintessential jet set attitude radiated across social media, print and in store. We continued to expand our database globally, reaching approximately 36 million customers, a 27% increase over last year. We increased our global social media audience by 9% to over 45 million followers, both of which demonstrate the strength and desirability of the Michael Kors brand.
Now moving to our expectations for Capri Holdings for fiscal 2020. Fiscal 2020 will be an investment year for our company as we invest more heavily in Versace and Jimmy Choo to capitalize on the long-term opportunities for both of these preeminent luxury houses. We expect to deliver double-digit revenue growth as we build momentum and scale for our group. Earnings per share are expected to be approximately flat to prior year, including anticipated dilution from the first year of Versace acquisition and a higher tax rate. This performance will be driven by clearly defined initiatives in each of our 3 luxury brands.
Starting with Versace. We will execute against our growth initiatives. First, we will build on Versace's luxury runway momentum driven by Donatella's fashion vision. Second, we will enhance the brand's powerful and iconic marketing by adding significantly to the company's spending levels to expand engagement and monetize our large social media following. Third, we will increase the brand's global retail footprint, opening approximately 30 new luxury stores this year.
Fourth, we will accelerate e-commerce and omnichannel development, leveraging Capri's capabilities to launch omnichannel in the year. And fifth, we will expand Versace's accessories and footwear business with the addition of new design teams that will be led by Donatella's creative vision to develop compelling new collections. With these resources in focus, we intend to significantly expand our accessories signature offering for fall 2020.
For Jimmy Choo, in fiscal 2020, we expect to grow revenues double digit and expand our operating margin moderately. First, we will continue our footwear innovation led by Sandra Choi's design vision to create glamorous red carpet fashion collections while placing renewed emphasis on building the rapidly growing fashion active classification. Second, our strategy to expand accessories penetration remains on track. We recently launched the Madeline group, which is performing well in our retail stores. Looking ahead, we plan to introduce our first-ever signature JC collection in the fall supported by a 360-degree marketing campaign featuring Kaia Gerber.
Third, we will continue our retail expansion program and add approximately 30 new stores. Given the strong success of our recent openings, we have decided to target a global fleet of 300 stores, which represents a 50-store increase from our prior expectations.
For the Michael Kors brand, we expect fiscal 2020 revenues to be slightly below prior year while delivering stable operating income margin. We will continue to execute on our strategic growth initiatives. First, we will maintain our focus on product innovation, delivering fashion and newness across all product categories as well as expanding our successful signature offering driven by Michael's vision. Second, we plan to continue to increase brand engagement by leveraging Michael's leading social media presence and enhancing our 360-degree marketing efforts. Third, we plan to enhance customer experience by expanding our customer database, continuing to remodel stores and broadening our successful clienteling program.
In conclusion, fiscal 2019 was a transformational year for Capri Holdings. With the combined power of our 3 iconic founder-led fashion brands, Versace, Jimmy Choo and Michael Kors, we have positioned Capri Holdings to accelerate revenues to $8 billion over time and deliver multiple years of earnings growth. We believe our fiscal 2020 initiatives will position us for growth, and we look forward to sharing more details at our upcoming Investor Day on June 4.
Now let me turn the call over to Tom."
Tom Edwards,0,"Thank you, John. Starting with the fourth quarter. Revenue of $1.3 billion increased 14% compared to last year, driven by incremental Versace revenue, strong growth at Jimmy Choo and flat Michael Kors results. Net income of $95 million and diluted earnings per share of $0.63 were ahead of our expectations.
Moving to revenue performance by brand. Versace revenues were $137 million, which was ahead of our expectations and represents high single-digit growth compared to last year on a constant currency basis. These results were driven by high single-digit comparable store sales growth, led by continued strength in men's and women's ready-to-wear as well as active footwear.
Versace ended the year with a global luxury fleet of 188 retail stores. Versace's new retail store concept debuted in Florence, Munich and Bal Harbour. We are encouraged by the performance of these stores, which are showing a significant sales uplift. These strong results give us confidence for the future success of our store renovation program.
Now I'd like to turn to Jimmy Choo. Revenues during the quarter were $139 million, representing a 29% increase compared to prior year. These results were driven by 3 factors. First, we added 26 net new stores versus last year, bringing the total global fleet to 208 retail stores. Second, Q4 benefited from a wholesale shipment timing shift from Q1 of approximately $10 million. And third, comparable store sales increased in the mid-single digits, reflecting continued strength in footwear partially offset by flat accessories sales.
Turning to Michael Kors. Revenues of $1.07 billion were flat compared to last year on a reported basis and increased 2% on a constant currency basis. Comparable sales declined 1% with watches and jewelry continuing to be a large headwind in the quarter that reduced total comparable sales by a combined 170 basis points. Comparable sales grew in Europe and Asia, offset by declines in the Americas. Global e-commerce benefited comparable sales by 350 basis points.
Now turning to total company margin performance. Gross margin was 59.4%, a decrease of 90 basis points over prior year. This reflects an anticipated decline in Michael Kors brand gross margin compared to the prior year partially offset by a benefit from the inclusion of Versace.
Total company operating expense increased $115 million. This reflects $95 million in expense related to the addition of Versace, with the remainder driven by moderate increases at Jimmy Choo and Michael Kors, both primarily related to retail store expansion. As a percentage of revenue, operating expense increased 270 basis points to 50%, primarily due to the addition of the Versace business.
Total company operating margin was 9.3% compared to 13.1% last year, driven primarily by the addition of the Versace business. Versace's operating margin was negative 4.4%, reflecting only 2 months of results and additional brand investments. Jimmy Choo's operating margin was negative 5.8% during the quarter, reflecting normal seasonality and additional investments but representing a significant improvement from last year's margin of negative 14.8%. Michael Kors' operating margin was 15.5%, a 270 basis point decline, primarily reflecting lower gross margin and higher expenses related to store expansion. Our tax rate for the quarter was 11.2% compared to 31.2% in the prior year primarily reflecting the realization of certain tax credits and the benefit of lapping higher provisions recorded in the prior year.
Turning to our balance sheet. We ended the quarter with $172 million in cash and cash equivalents and $2.6 billion of debt. Inventory was $953 million compared to inventory of $661 million last year, with the increase primarily reflecting the addition of Versace inventory of $193 million. Jimmy Choo inventory increased 22% compared to the prior year, reflecting revenue growth. Michael Kors' inventory increased 13% compared to prior year, reflecting an increase in signature and core accessories products as we build these classifications to higher mix levels. Additionally, this increase reflects higher in-transit inventory, reflecting changes in our manufacturing sourcing.
We expect inventory to remain elevated over the next several quarters. We believe returning to a more appropriate inventory position will help us support higher gross margins in the back half of the year. Capital expenditures for the quarter were $46 million and were primarily spent on new store development, renovations, IT and e-commerce enhancements.
Now I would like to turn to our full year 2020 guidance. As John noted, fiscal 2020 will be an investment year for Capri. We forecast Capri Holdings revenue of approximately $6 billion. For Versace, we expect revenue of approximately $900 million. While this is a moderate increase compared to prior year, underlying performance reflects growth in Versace's core luxury business, led by retail store expansion and a comparable sales increase in the mid-single digits, partially offset by unfavorable foreign exchange translation and the impact of exiting the Versus and Collection business lines, which account for revenue reduction of approximately $50 million.
For Jimmy Choo, we project a double-digit increase in revenue to approximately $650 million, supported by mid-single-digit growth in comparable sales and expansion of our retail store network as we continue to execute on our accelerated growth initiatives. We now forecast Michael Kors revenue of approximately $4.45 billion, a slight reduction from prior forecast and prior year, reflecting incremental negative foreign exchange impact from an anticipated stronger U.S. dollar and approximately $50 million in lower wholesale revenue driven by reduced U.S. accessories shipments. We expect Michael Kors comparable sales to be approximately flat.
We expect Capri Holdings operating margin of approximately 15.5%. Versace's operating margin is forecasted to be positive low single digits, an improvement from our prior expectation of flat. Versace's operating margin is below historical levels due to increased investments to support accelerated growth and position the brand to expand operating margins to mid-teens longer term. For Jimmy Choo, we expect a modest improvement in operating margin in fiscal 2020, reflecting progress as we continue to invest in the brand to drive accelerated growth. We are confident these strategic investments will position us to achieve our long-term revenue target of $1 billion and an operating margin in the mid-teens as we build greater global scale and further expand the accessories business. For Michael Kors, we expect a flat operating margin compared to prior year, in line with the brand's position as the foundation of our global fashion luxury group.
We forecast interest expense in a range of $25 million to $35 million, and our effective tax rate is expected to be approximately 15% for the year. We forecast weighted average shares outstanding of 155 million, resulting in diluted earnings per share of approximately $4.95, including anticipated Versace dilution of approximately $0.25.
Turning to capital expenditures. We expect to spend approximately $300 million in fiscal 2020, which includes store openings of approximately 30 for Versace, 30 for Jimmy Choo and 40 for Michael Kors as well as store remodels and IT expenditures. We expect our strong free cash flow will also enable us to reduce debt by over $500 million.
Now I'd like to discuss our non-GAAP charge expectations for fiscal 2020 and the related business initiatives. First, as part of our transition to a global fashion luxury group, we've created a transformation initiative to deliver synergies across our business by building out corporate shared services, leveraging or creating common systems to accelerate business initiatives in areas such as e-commerce and creating operational centers of excellence. We are targeting synergies of $50 million on an annualized basis, which we expect to achieve over the next several years. In fiscal 2020, we forecast implementation cost of approximately $10 million related to this program.
Second, we have embarked on an initiative to build a foundation for a fashion luxury group that will support future growth, operational excellence and further long-term synergies. We intend to have all of our brands operating on one consistent ERP platform, the SAP S/4 HANA fashion management system, which is specifically designed and optimized for all aspects of the fashion business. We expect to begin implementing the system later in calendar 2020 but will begin incurring costs related to this implementation this year. The estimated expense and capital investment over the life of the initiative is approximately $350 million. In fiscal 2020, we expect to incur approximately $40 million to $50 million in expense, which will be reported in Capri corporate and $30 million in capital related to this project.
Third, with respect to our recent acquisitions, we expect to incur transition and integration cost of $60 million to $70 million in fiscal 2020. Finally, as part of our fleet optimization for Michael Kors, we have closed 100 stores to date with related restructuring charges of approximately $94 million. We plan to largely complete this initiative in fiscal 2020 with the closure of approximately 50 additional stores and incur related restructuring charges of up to $30 million. Beyond 2020, we will continue to evaluate the profitability of all our stores on an ongoing basis and close unprofitable locations.
Before sharing first quarter guidance, I would like to review the normal seasonal earnings variation for the Versace brand. We expect Versace to generate an operating loss in Q1 and Q3, with the brand's highest earnings quarter being Q2 and Q4. From a year-over-year perspective, we expect to further benefit in Q4 from an added month of Versace results in the quarter as we anniversary the acquisition date. The additional month, December, is Versace's most profitable month of the year and is included in Capri's Q4 results due to reporting Versace on a 1-month lag.
Now looking at total Capri Holdings on a quarterly earnings basis through the year. We expect first and third quarter EPS to be below prior year, second quarter to be approximately even with prior year and stronger fourth quarter EPS growth.
Turning to first quarter guidance. We expect total company revenue of approximately $1.36 billion, a double-digit increase. We forecast Versace revenue of approximately $200 million and mid-single-digit growth in comparable sales. For Jimmy Choo, we expect revenue to be approximately flat in the quarter. This reflects the negative impact of the shift in wholesale shipment timing that benefited Q4 and unfavorable foreign exchange impact, offset by continued underlying growth in retail revenue and low single-digit growth in comparable sales. For Michael Kors, we expect revenue to be moderately below prior year, primarily reflecting negative foreign currency translation and lower wholesale and licensing revenue. We expect comparable sales in the negative low single-digit, closer to the lower end of the range.
Our Q1 operating margin is expected to be approximately 13%. For Versace, we expect a negative operating margin, reflecting normal seasonality and increased investments to support our growth initiatives. For Jimmy Choo, we expect a positive operating margin but below prior year primarily due to higher investments to support our growth initiatives. Michael Kors brand operating margin is expected to be lower than prior year, reflecting a reduction in wholesale and licensing revenue.
Interest expense is expected to be approximately $8 million to $12 million. Our effective tax rate is expected to be approximately 18%, which is higher than prior year as we lap benefits related to employee equity compensation realized in fiscal 2019. We forecast weighted average shares outstanding of 155 million, resulting in diluted earnings per share in the range of $0.85 to $0.90, including anticipated Versace dilution of approximately $0.15.
In conclusion, we believe our fiscal 2020 plans position Capri Holdings to deliver meaningful long-term revenue and EPS growth. These results will be driven by higher revenue growth and margin expansion for Versace and Jimmy Choo, with Michael Kors as our foundation.
Now I will open up the line for questions."
Operator,1,[Operator Instructions]. And we'll take our first question from Oliver Chen with Cowen and Company.
Oliver Chen,1,"At the Michael Kors brand, you mentioned more inventory leading to better growth margins. Maybe you could help us understand how growth margins are trending by channel, and what your forecast calls for in terms of wholesale versus direct-to-consumer? And related to that, is your conviction around the Signature opportunity?"
John Idol,1,"Oliver, that was a long question to start off the morning. But first off, I'd just like to say that I think Capri Holdings had an outstanding year last year and with double digit top line revenue and earnings per share growth and the acquisition of Versace, so I think we've really positioned our company for long-term growth. And obviously, we're setting ourselves up this year for really positioning the company for double digit earnings growth in fiscal 2021. 
So let me talk first to your question about the Michael Kors margins, and where that's going, and how that's related to the accessories' inventory. So as you know, we reported comp store sales down about 1% during the quarter, and that was really impacted, once again by our watch business, primarily. And to a slightly lesser degree, our jewelry business, as we have repositioned that from a fashion jewelry line to a fine jewelry line. And we're starting to see some very interesting and nice results around that transition as we're actually seeing on some -- on individual stores because we have that line in less doors, we're starting to see some comp store growth in that category against the fashion jewelry line. 
So we like what's happening there. We also like, Oliver, what we saw during the quarter with our business and our stores. Again, given the high trend of the decline in the watch and to a less degree jewelry sales, that meant that other categories were performing well for us, in particular, again our footwear, our women's ready-to-wear, our menswear all comped up very, very nicely. And we're seeing some very nice trends in the accessories business. So in particular, Signature is significantly outperforming its inventory levels, and that's in all channels. And so we still have not forecasted enough inventory in that category. You may remember last year in Q1 and in Q2, the inventories for Michael Kors were down about 10%. We tried to really squeeze the inventories turn much faster. We thought that would create a healthier environment for us, and in fact, we probably pulled back too quickly, and most of that pullback, as you probably recall, came out of Signature and as we went after a little bit more fashion and some of our core styles. The customer clearly said to us in the back half of the year that it's not what they were looking for from the company. So we've reacted. Quite frankly, we thought we'd be in a little better position than we are now. But again, our sell-throughs are just happening so fast in that category, and that's both in our own channels and in our retail partner channels as well. So we intend to, again significantly get that inventory up. We're also seeing some very strong new introductions that you heard me talk about during our prepared remarks, and that's very encouraging for us. We haven't seen that, quite frankly, in probably about 4 or 5 quarters. 
But we have a couple of new groups that have hit the floor. They're really starting to generate velocity for us, so we're getting behind those. We're also looking at some of our replenishment programs and trying to up that. What that's going to do for us, Oliver, is in the back half of the year, where we were under-inventoried in Signature, under-inventoried in core product, and obviously we were taking markdowns to a higher degree in both our fiscal third quarter and fourth quarter on fashion, we will have less of that. And we actually believe that there will be margin expansion for Michael Kors in the third and fourth quarter. And again, particularly led by our accessories business. And then in our retail partner channel, we are going through that same level of transition. 
And clearly, the department store channel in North America has been more challenged in the accessible luxury category, and we just don't exactly know when that's going to stop. But you can see that we've taken down our revenue projections in that category. With that all being said, I'm very proud of the fact that we're going to be maintaining operating margins in Michael Kors. Revenues will be down slightly, but we really -- we're not calling a return to comp store growth in the accessories category, but I think we're seeing a path to where we can get to that. And I would like to think that starts -- we start to see that towards the back half of the year as our inventories get more lined up with how the ownership needs to be, especially given the consumer response. And again, Signature is performing extremely well for the company in all channels. Thank you, Oliver."
Operator,1,We'll take our next question from Randy Konik with Jefferies.
