speaker,q&a,content
Company Participants,0,"Jake Graves - Vice President, Investor Relations
Charlie Bachtell - Chief Executive Officer and Co-Founder
Joe Caltabiano - President and Co-Founder
Ken Amann - Chief Financial Officer"
Conference Call Participants,0,"Derek Dley - Cannacord Genuity
Jason Zandberg - PI Financial
Robert Fagan - GMP Securities
Russell Stanley - Beacon Securities"
Operator,0,"Good day, and welcome to the Cresco Labs First Quarter 2019 Conference Call. All participants will be in listen-only mode. [Operator Instructions] After today’s presentation, there will be an opportunity to ask questions. [Operator Instructions] Please note that this event is being recorded.
I would now like to turn the conference over to Jake Graves, Investor Relations for Cresco Labs. Please go ahead."
Jake Graves,0,"Good afternoon and welcome to Cresco Labs first quarter 2019 earnings conference call. We look forward to speaking with you today and discussing the great progress we have made at the company. I’m joined on call today by our Chief Executive Officer and Co-Founder, Charlie Bachtell; our President and Co-Founder, Joe Caltabiano; and our Chief Financial Officer, Ken Amann.
Prior to this call, we issued our first quarter 2019 earnings press release and financial statements for the three months ended March 31, 2019. Copies of these documents have been filed with SEDAR and are available on our Investor Relations website at investors.crescolabs.com.
Before we begin our remarks, I’d like to remind everyone that certain statements made on today’s call may contain forward-looking information within the meaning of applicable Canadian securities legislation, as well as within the meaning of the Safe Harbor provisions of the United States Private Securities Litigation Reform Act of 1995.
Such forward-looking statements may include estimates, projections, goals, forecasts or assumptions, which are based on current expectations that are not representative of historical facts or information.
Such forward-looking statements represent the company’s beliefs regarding future events, plans or objectives, which are inherently uncertain and are subject to the number of risks and uncertainties that may cause our actual results or performance to differ materially from such forward-looking statements, including economic conditions and changes in applicable regulations.
Additional information about the material factors and assumptions forming the basis of our forward-looking statements and risk factors can be found under Risk Factors in Cresco’s CSE Listing Statement filed with SEDAR on November 30, 2018 and available at www.sedar.com.
Cresco does not undertake any duty to publicly announce the result of any revisions to any of its forward-looking statements or to update or supplement any information provided on today’s call.
In addition, during today’s conference call, Cresco will refer to some non-IFRS financial measures such as adjusted EBITDA, which do not have any standardized meaning prescribed by IFRS. We believe these non-IFRS financial measures assist management and investors in understanding and analyzing our business trends and performance.
Please refer to our earnings release for the calculation of these measures and a reconciliation to the most directly comparable measures calculated and presented in accordance with IFRS. These non-IFRS financial measures should not be considered superior to, as a substitute for or as an alternative to, and should only be considered in conjunction with the IFRS financial measures presented in our financial statements.
Certain results exclude the impact of biological assets. Under IFRS requirements, we must include the measurement of biological assets and a change in overall fair value is recorded as a gain or loss in the income statement each quarter. Please also note that all financial information on today’s call is presented in U.S. dollars unless otherwise noted.
And with that, I’ll now turn our call over to our CEO, Charlie Bachtell. Charlie, please go ahead."
Charlie Bachtell,0,"Good afternoon, everybody, and thank you all for joining us today. Since we just held our last earnings call a little over a month ago, we’re going to keep our prepared remarks on today’s call on the shorter side and leave more time for questions. I’m going to start off with a brief overview of the highlights of the quarter. Joe will provide some commentary on operational developments; and Ken will discuss our financial results in more detail. After that, we’ll be happy to take your questions.
Since the beginning of the year, we’ve made substantial progress towards achieving the vision that we laid out for building Cresco into the most important company in the cannabis industry. From an operational standpoint, we continue to execute well and generate higher levels of revenue in our existing markets, while driving strong margins. And through our M&A program we’ve put a foundation in place that we believe will enable us to capture a leading share in the North American cannabis market.
In the first quarter, we generated revenue of $21.1 million, a 313% year-over-year increase, compared to Q1 of 2018 and a 24% sequential increase quarter-over-quarter. Q1’s proforma revenue was equal to $33.9 million, and importantly, we delivered another quarter of positive adjusted EBITDA. We couldn’t be happier with what we’ve been able to accomplish so far this year.
Since founding Cresco, we’ve had a clear plan in place for positioning the company to ultimately be a dominant player in the cannabis industry. We wanted to build the strategic geographic footprint and develop the distribution capabilities to allow us to have meaningful and market leading positions in our markets. And this is what we’ve done.
We strongly believe that getting access too and building dominant positions in the most important and strategic markets in the country is the clear path to becoming the long-term winner in this business. While most in the industry are focused on today, we’ve been focused on success in 2020 and thereafter.
Being in the most markets has never been our goal. So, when you need to get access to the most important markets and you need to go deep and that’s what we’ve done and that’s what we’ll continue to do. We began 2019 with a continuation of our overall strategic goals to one, create the most strategic geographic footprint with markets that have strong regulatory structures with large consumer basis; and two, obtain meaningful positions in each of those markets. 
With our pending acquisitions of VidaCann and Florida and our recent approval to enter the Michigan market, we rounded out the initial geographic footprint that we targeted and archived objective Number 1. Including pending acquisitions, we are in 11 states that include 7 of the 10 most popular states in the country.
The other 4 states represent high strategic value, including Arizona, arguably the largest medical omni market left in the U.S., Nevada which has Las Vegas, the most number of annual tourists per square foot of any city in the county and Massachusetts, the only significant adult use market on the East Coast of the country.
And further into objective Number 2, which is creating meaningful positions in each of these markets, we made sure that our 2019 M&A criteria had an emphasized focus to find opportunities that would be light on Cresco organizational bandwidth as fairly short time-frame through positive revenue and eliminate as much execution risk in new markets as possible.
With our founders very unique experience and profitably scaling the company in a highly regulated emerging industry on a state-by-state basis, we know how fundamental and critically important these three factors are in creating successful scalability.
By acquiring VidaCann, an existing operator in Florida, we’re able to immediately have a meaningful presence in that market with an excellent platform for driving future growth with 11 dispensaries approved for operation and three more finished and scheduled to open in the next 45 days.
Cresco Labs will be entering the Florida market with the fifth most to the number of dispensaries opened, 70,000 square feet of operational cultivation in processing facilities and an experienced staff of over 100 employees in the state. We strategically reduced the operational bandwidth that takes for launch in new state. We’ve eliminated the time, the positive net revenue, and we’ve effectively de-risked to the state from an operational and regulatory perspective.
Another example of this disciplined approach to growth includes our acquisition of Origin House, the largest distribution company in California with over 200 existing employees who are well versed in distribution, supply chain management, M&A and the capital markets. With the Origin House, we’ve added the distribution footprint that will ensure that we have a meaningful position in California, again the largest cannabis market in the world, as well as channel expertise operational bandwidth and adult use cannabis experience that we believe will enable us to take a leading share in all of the markets that we’ve entered.
While Origin House was heavily pursued by other cannabis companies, they recognize that our approach to the industry and the strategic footprint that we’ve built provides the best opportunity to take the success that they’ve had in California and be a part of replicating that success across the country.
Quite simply, with these two acquisitions, Cresco Labs has created the most strategic and valuable geographic footprint in U.S. Cannabis. We’ve decreased execution risk. We’ve increased. We’ve increased experienced executive leadership and operational bandwidth. We’ve reduced our time to positive net revenue in our newest markets.
We’ve increased our overall likelihood of success in this industry and we’ve made us a more investable cannabis company. In just a few short months, we’ve made Cresco Labs a much better stronger organization. We anticipate that the VidaCann transaction will close within the next 30 to 90 days, the Origin House shareholder vote is June 11 and everything is progressing to course shortly thereafter.
Earlier this month, Origin House reported preliminary financial results for the first quarter of 2019, which reflect the positive trend of being seen in the California market and the growing sales volume being driven by Origin House’s distribution platform. The financial momentum demonstrated by Origin House over the first four months of the year has been derived from the integration of two of the most successful and geographically complimentary distributors in California into a single wholly-owned integrated state-wide platform in California called continuum, as well as the success of its organic brand additions and M&A initiatives.
During the first quarter, Origin House signed exclusive agreements to distribute Papa's Herb, Humboldt’s Finest, Viola and Utopia Cannabis branded products, while also entering into a distribution relationship with Kurvana, which is currently the fifth highest revenue producing brand in California.
Since the announcement of the acquisition of Origin House, our collective leadership team has spent a great deal of time together developing our integration plans. We’re in the process of integrating the Cresco Suite of products on the continuum platform. We’re confident that once the transaction closes, we can quickly begin to leverage Origin House’s proven model and accelerate the growth of our distribution platform in other states across the country.
So far this year, the cannabis market has seen quite a bit of consolidation as companies are docking for position. Throughout this period, we’ve stayed true to our vision and have continued to strengthen the key elements of Cresco that differentiate us from our competitors in this space. The strength of our management team has always been a key asset.
Our founding executives have the experience of working in the mortgage banking industry during a period of enormous upheaval. Our experience from that time taught us how to navigate complex regulatory structures on a market by market basis, while also communicating with customers to build trust and destigmatize an industry.
Two areas of expertise that serve us very well in building a pathway for success in the cannabis market. We further strengthened our team by attracting world-class operational and marketing executives from some of the most successful companies in the world and adding Origin Houses expert distribution team that includes a former EVP at Southern Wine & Spirits, the largest wine and the liquor distributor in the U.S.
We’ve continued to demonstrate our unparalleled ability to execute. We consistently win merit-based application licenses. We get operational. We get products on the shelves, and we get disproportionate market share. We’ve been able to understand the requirements for getting operational, develop the standard operating procedures for quickly meeting those requirements and put in place a start-up model that’s scalable and can be replicated on a market by market basis. This has led to strong revenue growth, we’re currently seeing.
During the first quarter, we had a higher level of revenue in every single market that we operate in, compared with the prior quarter. While we have focused M&A efforts to expand our reach to the previously mentioned 11 strategic states, it is important to note that most of these states are new in developing markets and/or are our very recent additions to our organizational footprint.
The vast majority of our Q1 revenue is still comprised from just two states, which means that there is a tremendous amount of revenue upside still to be generated by the other 9 remaining states in the coming quarters and years. And finally, we further enhanced our focus on the middle two verticals of the value chain creating branded products that resonate with consumers and getting those products on the shelves of dispensaries that we don’t own.
The exceptional marketing team we’ve built has done some outstanding work on further developing our house of brands, due to creation of new packaging, preparing and advertising campaign to support our relaunch in California and planning the integration of our brands in the Origin House’s continuing platform for widespread distribution throughout California.
We had already built an outstanding team focused on creating branded products and distribution and the addition of Origin House’s experience and expertise has taken us to another level that we believe is unmatched in the industry.
Lastly, it’s with great pleasure and tremendous pride that today we announced the launch of the Cresco Labs SEED initiative. Our social equity and educational development initiative, the first of its kind in the cannabis industry.
This initiative is focused around four main areas: social equity, work force development, education, and community impact incubator, which are all designed to ensure that all members of our society have the skills, knowledge, and opportunity to participate in the cannabis industry.
Some of the specific programs that we’re working on for this initiative include collaborating with Universities to develop cannabis focused curriculum to educate and prepare students for pursuing a carrier in the space, working with local agencies and community organizations to sponsor expungement events that will assist individuals formerly convicted of expungable offences in obtaining clearance to work within the cannabis industry and developing a comprehensive incubator program that will provide a pathway to business ownership.
Collectively, we believe the SEED initiative will help make the cannabis industry a highly inclusive force for job creation. It’s important to understand that Cresco’s success to date is firmly rooted in our early understanding that this industry will develop in a very community focused manner.
Cresco builds community projects in every market in which we operate with the state, the county, the local community and the non-cannabis related organizations in our surrounding areas. We create inclusion and we share the benefits of the privilege that it is to be a part of this industry. 
Some of the fundamental keys to being successful in any emerging highly regulated industry is to understand the importance of conducting yourself and your company the right way with not only an emphasis on corporate governance, but social and community responsibility as well.
It’s important to understand that being good stewards of the industry has an ROI and can create a company with the highest market share in multiple states. We’re the only MSO to be able to say that. It also helps get legislative changes. 
The future of cannabis industry, especially as this industry transitions to more of a focus on adult access programs include the significant priority on matters of social justice, social equity, and inclusiveness and Cresco has made it a core part of our business model, not only because we think it is the right thing to do, but it’s another business priority that will ensure the greatest likelihood of success for Cresco Labs going forward.
It’s been an extraordinarily productive few months for Cresco and we firmly believe that the steps we’ve taken this year have put us well on the path to being the most important company in the cannabis industry with the best opportunity to dominate the North American market in years to come.
Now, I’d like to introduce Joe Caltabiano, Co-Founder and President to come with some additional recent updates and highlights."
Joe Caltabiano,0,"Thanks Charlie and thanks everyone for joining us today. As Charlie mentioned, we provided a comprehensive overview of our key developments by market last month. So, on today’s call I’m going to provide a few notable updates in select markets. Starting out in Illinois, where we continue to have the leading market share in the state, this week the state legislature is expected to vote on legalization of adult use of cannabis before ending the current legislative session.
Under the proposed legislation, Cresco Labs would be awarded five additional retail licenses and then would be maxed out at 10 dispensaries and three cultivation facilities. Given our position in the state, we would expect that legalization of adult use would have a very positive impact on our revenue growth and profitability as the state’s cannabis market is projected between 2 billion and 4 billion at maturity.
Moving to Florida, we continue to move forward on our acquisition of VidaCann, which we currently expect to close during the next 30 days to 90 days. Since we announced the VidaCann transaction, the medical market in Florida has continued to see very strong growth with more than 10,000 new patients being registered each week.
We’re also seeing encouraging developments that will positive impact the future growth of the market, including recent legislation to repeal the state’s ban on smokable flower and the finalization of rules to allow sales of edible cannabis products. 
Given the popularity of our Mindy’s edibles [volume], which has three of the top 10 selling edibles in the state of Nevada, including the largest seller. We believe we are well positioned to capitalize on the legalization of edibles in Florida.
With the total number of registered patients now surpassing 200,000, VidaCann’s license has increased to 35 dispensaries. While we worked on completing the transaction, VidaCann has continued to execute on the expansion with retail footprint.
Since we announced the transaction, VidaCann has opened up new dispensaries in the Tallahassee and Port Charlotte and two more in the cities of Bonita Springs and Jackson Ville that are approved and ready to open. This will bring its total number of operating dispensaries to 11, up from 7 at the time of the announcement of the acquisition in March.
With our proven ability to execute operationally, we expect to accelerate opening of new dispensaries, and steadily take market share. By the end of 2019, we expect to have 20 dispensaries operating in Florida and that number will grow significantly in 2020 when our license converts to an unlimited number of dispensaries.
In Massachusetts, the HHH transaction is progressing well. The Cannabis Control Commission recently approved its first transfer of a license. We anticipate regulatory approval on our transaction within the next 30 to 90 days.
Moving to Michigan, earlier this year, we received the pre-qualification for our license, which represents the completion of the most comprehensive of Michigan’s application process. We are currently in the process of obtaining licensing approval for the facilities we intend to operate.
The Michigan marijuana regulatory agency recently issued a new policy that prevents Medical marijuana dispensaries from buying marijuana products directly from caregivers. As a result of this new policy the dispensaries can now only by products from licensed growers and processors.
This change has accelerated our expected time table for generating revenue from Michigan as we will not need to wait for our own cultivation facility to first crop. We will now be able to buy flower that caregivers use to sell directly to the dispensaries put it through all processing facility and get products on to the shelves throughout the state.
Given this development, we believe that we could potentially start generating revenue from Michigan towards the end of the third quarter of 2019 rather than our initial expectation of the fourth quarter.
Finally, from a marketing standpoint, we will soon be launching our new national retail brand for the Cresco Dispensaries. Through all acquisition activity, we have added dispensaries that operate under several different retail brands that are unique to a particular market.
With the launch of our national retail brand, we will be converting all of these market specific brands to one unified brand for all Cresco dispensaries. We believe this will be an important step forward in our efforts to grow brand awareness and loyalty for Cresco.
And now, I’d like to turn the over to Ken Amann, our Chief Financial Officer to speak about our quarterly financials."
Ken Amann,0,"Thank you, Joe, and good afternoon everyone. I’ll begin by reviewing the financial highlights for the quarter and the address our current liquidity position and M&A activity. I will also be providing proforma financial results. As you know, we are in the initial stages of scaling our business, which includes many activities that are positioning us for long-term profitable growth.
We believe that metrics such as proforma revenue and adjusted EBITDA are helpful to both management and the investment community in understanding the underlying operating performance of the business and addressing key trends. We have included our reconciliation of our proforma results and other non-IFRS measures in our earnings release.
Turning to the results, I’m pleased to report that first quarter 2019 revenue of $21.1 million, which represents a 313% increase year-over-year and a 24% increase quarter-over-quarter relative to the fourth quarter of 2018, the increase in revenue is driven by strong growth in Illinois and Pennsylvania, the launch of operations in Ohio and the full-quarter impact of Q4 acquisitions.
While we generated revenue from six states, the vast majority of the sales were comprised from Illinois and Pennsylvania leading to significant upside in coming quarters. We are seeing an acceleration of patient growth in our key markets such as Illinois and Pennsylvania. 
Illinois patient count has increased by 25% this year to over 65,000 and in Pennsylvania, nearly 102,000 patients are registered to participate in that program, up from 83,000 at the end of last year, an increase of 23%.
Overall, on a sequential basis, we had higher revenue in every one of our markets as a result of our targeted initiatives to achieve 100% retail penetration and dominate wholesale market share. Despite getting to markets first in Ohio, sales are a bit lower than our initial expectations as the medical use program has gotten off to a slower start than expected.
Only 17 of its 56 dispensaries have received a certificate of operation, most of which are not located in large metropolitan areas. This is resulting in lower than expected cannabis sales. We expect this to improve significantly in the coming months as the efficient buying has been robust with 484 registered physicians providing over 34,000 patient recommendations as of April 30.
Our first quarter revenue mix was approximately 55% wholesale and 45% retail, compared to 60% and 40% respectively in the fourth quarter of 2018 with the additional cultivation capacity coming online in key markets and with Origin House in the mix, we would expect that shift to be roughly 70% wholesale and 30% retail respectively.
We have been clear that our long-term focus is on the middle two verticals of the value chain creating a house of brands to address all segments and distribution of our product to third party dispensaries. First quarter wholesale revenue, which consist of revenue from cultivation and production of consumer-packaged goods to third party retailers grew 15% from the fourth quarter of 2018 and 167% for the comparable prior year period.
Relative to the fourth quarter of 2018, we saw increases in wholesale revenue in all of our markets, largely driven by strong growth in Illinois and Pennsylvania. We also benefit from the first meaningful contribution from our operations in California, which we expect to significantly accelerate with the addition of Origin House.
Turning to our retail business. Revenue increased 51% in the fourth quarter of 2018. This was primarily driven by higher revenue in Illinois resulting from the full quarter contribution of our three new dispensaries there, as well as initial contribution from Ohio dispensary and from one new dispensary opening in Pennsylvania.
In general, we are driving positive trends in a number of unique customers served at our dispensaries and the number of products sold, which is also contributing to the sequential quarter revenue growth. Our proforma revenue was $33.9 million for the first quarter. 
Proforma revenue reflects the consolidated results of less than majority owned affiliates, as well as pending acquisitions with definitive agreements signed during the period presented as occurring at the beginning of the quarter. For the first quarter, this includes the impact of acquisitions in New York, Massachusetts, Florida, as well as origin house in California.
In Canadian dollars, Origin House reported preliminary unaudited revenue of approximately 11 million for the first quarter, an increase of approximately 39% from the prior quarter. Momentum had continued to the second quarter with Origin House generating preliminary unaudited revenue for the month of April of approximately 6.5 million, which represents its highest month revenue to date and puts it pace to nearly double its revenue from the first quarter.
With the progress of our integration plans, we are confident in our ability to leverage Origin House’s proven distribution platform to accelerate our growth in California. Before the impact of biological assets, Cresco generated Q1 gross profit of $9.4 million or 44.6% of revenue, compared to gross profit at $2.2 million or 43.6% of revenues for the comparable prior year period.
Given the growth and significant changes in the composition of our business we don't believe that the year-over-year comparison in our gross margin is particularly relevant at this point in time. We are more closely tracking the sequential trend in our gross margin. Relative to the fourth quarter of 2018, gross profit increased $2.1 million or 1.8 percentage points.
The gross profit improvement was despite the impact of our expansion into new markets such as Ohio, California, and Arizona where we are still building scale, which offsets the improved operational efficiencies we are seeing in our established markets such as Illinois and Pennsylvania.
We expect our gross profit margins to continue to improve over time as we leverage the infrastructure associated with scaling the business and expanding our production capabilities in several markets. We also recorded a net benefit to the fair value of biological assets of approximately 5.1 million in the first quarter, primarily driven by the increase in our cultivation footprint and a number of plants under cultivation.
Our total expenses in the first quarter was 17.7 million, compared to 2.1 million in the prior year period, 3.2 million of our first quarter expenses were related to share-based incentive compensation of $2.5 million was related to acquisition and other non-reoccurring costs. The balance of the increase represents significant than necessary investments in strengthening our team and operational infrastructure to drive strategic initiatives that better position the company for growth.
Compared to the prior quarter, our total expenses declined by $7.7 million. The primary driver of the decrease was the decline in share-based compensation and professional services, which returned to a more normalized level in the first quarter following our public launch. The company generated a net loss of 7.6 million in the first quarter of 2019, compared to a net income of 600,000 in the comparable prior year period.
After eliminating costs related to share-based incentive compensation and one-time expenses associated with the acquisitions, our adjusted EBITDA was 818,000 for the quarter, compared to 982,000 for the prior year period. Please refer to the reconciliation of adjusted income in our press release for additional details.
Turning to the balance sheet and liquidity measures, Cresco is low capitalized to execute on its strategic initiatives in the coming year. As of March 31, 2019, Cresco had total assets of over 364 million, including cash and cash equivalents of $106.1 million. The company has a working capital position of approximately $146 million with no debt on the balance sheet. 
Looking ahead, we expect to continue driving strong revenue growth and shareholder value as we execute our organic and acquisition strategies within a tightly controlled capital allocation framework. Throughout the first quarter, we saw higher levels of revenue with each passing month on our wholesale operations and at virtually all of our dispensaries. And we expect to see sales accelerate in Arizona and California when we launched a full suite of Cresco products into those markets in the coming weeks.
From organic growth standpoint, we're seeing very positive trends both from a broader market expansion standpoint, as well as from the initiatives we are executing on a state-by-state basis. We see numerous catalysts ahead that we expect to add positively to our financial results in the coming quarters.
I would now like to turn the call back over to Charlie for his final remarks."
Charlie Bachtell,0,"Thanks, Ken. Before we wrap up, I just want to say a few words about the lock-up agreements that we announced yesterday that are designed to responsibly manage the release of shares over the next 6 months to 12 months. The lock-up agreements demonstrate the continued confidence that Cresco's management board and outside shareholders have in the future of the company.
Since founding Cresco, we’ve consistently delivered on the expectations that we have set and we’ve received extremely positive feedback on the vision that we’ve communicated, our disciplined growth strategy, and our capital stewardship, particularly regarding our acquisition of Origin House and VidaCann.
As a result, we’ve built a high level of trust among awash largest shareholders that we can continue to create long-term shareholder value. We tried to be very thoughtful in how we structured the extension of the lock-up's. While it’s important to address concerns about an oversupply of shares for sale, we also thought it was important to increase the liquidity and flow the freely tradable shares in the marketplace so larger institutional investors see Cresco as more investable.
With these agreements in place, we believe that we have provided for the orderly management of the float in our stock, while we continue to execute against the milestones we’ve laid out for the market and create significant shareholder value in the process. Thank you all for dialing in today.
Operator, we're now ready for questions. Please open up the call."
Operator,1,Thank you. [Operator Instructions] Our first question comes from the line of Derek Dley of Cannacord Genuity. Your line is open.
Derek Dley,1,"Hi guys, congrats on the results today. Just following up on your commentary on Origin House, Joe I think you mentioned that the shareholder vote is on June 11, how quickly should we expect the acquisition to close thereafter and what are the final steps after the shareholder vote that are needed to complete the acquisition?"
