type,name
Executives,Marilyn Mora - Head of IR
Executives,Chuck Robbins - Chairman and CEO
Executives,Kelly Kramer - CFO
Analysts,James Faucette - Morgan Stanley
Analysts,Vijay Bhagavath - Deutsche Bank
Analysts,Rod Hall - Goldman Sachs
Analysts,Paul Silverstein - Cowen Cowen & Co
Analysts,Samik Chatterjee - J.P. Morgan
Analysts,James Suva - Citigroup Global Markets
Analysts,Tejas Venkatesh - UBS
Analysts,Sami Badri - Credit Suisse
Analysts,Jeff Kvaal - Nomura Instinet
Analysts,Srini Pajjuri - Macquarie Capital
Analysts,James Fish - Piper Jaffray
Analysts,Simon Leopold - Raymond James
