speaker,q&a,content
Operator,0,"Greetings, and welcome to the CSW Industrials' Fourth Quarter 2018 Earnings Call. [Operator Instructions] As a reminder, this conference is being recorded.
I would now like to turn the conference over to your host Mr. Tom Cook, Investor Relations for CSW Industrials. Thank you. You may begin."
Thomas Cook,0,"Thank you, Mellissa. Good morning everyone and welcome to CSW Industrials' fiscal fourth quarter investor call. Joining me today are Joseph Armes, Chief Executive Officer of CSW Industrials; and Gregg Branning, Chief Financial Officer.
If you've not received the earnings release, it is available on our website at www.cswindustrials.com. This call is being recorded. A replay of today's call will be available and details on how to access the replay are in the earnings release.
During this call, we'll be making forward-looking statements. These statements are based on current expectations and assumptions that are subject to various risks and uncertainties. Actual results could materially differ because of factors discussed in today's earnings release and the comments made during this call and in the risk factor section of our annual report on Form 10-K and other filings with the SEC. We do not undertake any duty to update any forward-looking statements.
This call will also include an analysis of adjusted operating income, net income and earnings per share, which are non-GAAP financial measures of performance. These non-GAAP measures should be used as a supplement to, and not a substitute for, operating income, net income and earnings per share computed in accordance with GAAP. For a more complete discussion of adjusted operating income, net income and earnings per share, see our earnings release.
I would now like to turn the call over to our Chairman and Chief Executive Officer, Joe Armes. Joe?"
Joseph Armes,0,"Thank you, Tom. Good morning. And thank you everyone for joining our fiscal fourth quarter conference call.
We had a solid finish to fiscal 2018 with our fourth quarter results which was highlighted by growth across both of our segments and a 17.6% improvement in adjusted earnings from continuing operations. At a consolidated level, sales grew 9.2% to $83.5 million with organic growth driving over two-thirds of that improvement. Adjusted earnings from continuing operations were $8 million compared to $6.8 million in 2017 and reflects strong operating results, the benefit of our restructuring and realignment efforts in prior periods, and the benefit of lower taxes associated with recent legislation.
Moving to our segment results and beginning with industrial products, we finished the year on a very strong note with sales growth of 12.5% to $46.8 million driven by higher organic volume of 7.7% and contributions from the acquired Greco business of $2 million.
In our HVAC business, volumes continue to be very strong which included higher overall demand for mini-split product such as line set covers, condensate cut-offs which is in pumps, which we've spoken about in the past.
In our architecturally specified building products, Greco has been very successful acquisition and a good case study for us. We've been able to deliver sales above our expectations as their sales are up 31.1% from the trailing 12 months prior to our acquisition through leveraging our broader sales force, successfully exporting cross-selling opportunities, and offering unique products.
Operationally our integration team has executed well to lead this business into our existing platform. Looking ahead we are delivering product on the Eau de Soleil project. Our pipeline of new projects remains strong and our integration with the Smoke Guard sales efforts is progressing exceptionally well. In fact, I'm pleased to report that we are seeing a notable uptick in joint bidding projects and our teams are leveraging complementary projects in geographies of those two discrete business units.
Turning to our specialty chemical segment, sales in the fourth quarter were $36.6 million which was an increase of 5.2% compared to the prior year. Higher sales were driven by higher volume of plumbing and energy related products partially offset by lower mining and rail related products.
Segment level adjusted operating margin was $3.5 million or 9.6% of sales compared to $4.2 million or 12.1% of sales in the prior year primarily as a result of negative product mix during the period and some discrete costs that we do not expect to repeat.
We are refining our operations to improve the profitability of energy related products. As an example during the fourth quarter we commenced 24 hour/seven day a week operations at our Rockwall Texas facility which has enabled us to bring small field products from the Jet-Lube integration in-house. These smaller package products typically carry a higher cost production and we've been working to strike the right balance between reducing manufacturing cost and strategic pricing. On the cost side, in-sourcing these products improves asset utilization and improves product margin.
Next I’d like to touch on our capital allocation initiatives. We're in the envious position of having minimal debt and strong cash flow available to fund organic and inorganic growth plans that will enable us to maximize shareholder value. During the quarter we repatriated $19.5 million in cash which bolsters our cash reserves as it allowed us to pay down the majority of our debt outstanding under our revolver and we remain active in pursuing strategic bolt-on acquisitions.
As we've stated in the past, valuations remain elevated and our disciplined approach to risk-adjusted return parameters has limited our activity over the past few quarters. While we've been and will remain disciplined on M&A, we’ve added resources and efforts to increase the volume of opportunities that we reviewed.
With that as a backdrop, we have refocused our efforts internally as margin enhancement investments, the expansion of our international sales force, and internal product development projects point to more favorable returns. This has included activities to enhance our efficiency by bringing additional production in-house to drive higher asset utilization and targeted sales personnel additions in key international locations coupled with redeployment of resources to fund R&D for future organic growth.
In addition we've been executing on our share repurchase program purchasing 25,000 shares in the fourth quarter and we've increased this activity to-date in fiscal 2019. We continue to evaluate additional ways to return cash to shareholders given the strong cash generation that we are anticipating.
Next, I would like to give an update on our end markets. Beginning with HVAC, we've enjoyed strong growth throughout fiscal 2018. Our HVAC condensate cut-off switches have performed well throughout the year as we've seen robust residential new home growth compared to the prior year.
Importantly, we are continuing to see strong demand from replacement systems driven by the aging of systems installed at the peak of housing construction in the early 2000s. As a result of the aging installed base, we expect this to be an area of sustained demand for our HVAC products.
In our architecturally specified building products, we have continued to enjoy a strong commercial construction backdrop with an acceleration to mid-single-digit growth and non-residential construction expected through 2019. Beyond the health of the broader end market, the outlook for this business is dependent upon our project pipeline which points to additional growth as we head into fiscal 2019.
Turning to plumbing, we're seeing robust growth for our broad-based portfolio of products driven by our unique offerings and our strong distribution channels. In our energy related end markets, rig count continues to grow which has led to improving demand for Jet-Lube products.
Finally with mining, we have observed very strong growth in international markets where we've added sales resources which has served to offset continued weakness domestically. Mining in total represents a very small portion of our overall end market mix but we are pleased to be able to offset the domestic decline which is small or rapidly growing international business that positions us to resume end market growth in 2019.
Before turning the call over to Gregg, I would also take a moment to provide an update on our coatings business divesture. Since we’ve moved this business to discontinued operations last quarter, we've been diligently working to identify the appropriate long-term owner of this business and while we are still relatively early in the process, I'm pleased to report we have interest from multiple prospective strategic buyers which can leverage these industry leading brands, and we look forward to providing additional information as soon as practical.
Our results for fiscal 2018 underscore our commitment to driving long-term shareholder value. Our revenue and profitability continue to improve as we expand our sales in the new geographic areas, while also diversifying our product offerings through proprietary and high-end - high value-add products.
We continue to generate strong free cash flow by driving organic growth, optimizing our production facilities, and identifying synergies which in turn allow us to fund our inorganic growth strategy. I am pleased with the work that we've done throughout fiscal 2018, and believe we are well-positioned to drive increased value in the year ahead.
Now with that, I'll turn the call over to Gregg to take a closer look at our financials."
Gregg Branning,0,"Thanks Joe, and good morning everyone.
Consolidated revenue during the fourth quarter of 2018 increased 9.2% to $83.5 million. Our organic growth was 6.6% and acquisitions from our Greco business contributed 2.6% of the total growth. The higher revenue was mainly the result of strong sales in HVAC and plumbing end markets and sales from the acquired Greco business which was $2 million partially offset by decreased volumes in our legacy architecturally specified building products.
Looking at our segment level revenue and operating income, industrial products segment revenue was $46.8 million which was up 12.5%. The increased revenue was mainly the result of strong sales in HVAC and plumbing end markets and sales from the acquired Greco business partially offset by decreased volumes of our legacy architecturally specified building products.
I’ll remind everyone on the call that we acquired Greco on February 28, 2017 so the inorganic sales for Greco that I mentioned previously in the comparison were for the two months of our fiscal fourth quarter 2018.
Reported segment operating income increased 28.6% to $10.8 million, while adjusted segment operating income increased 13.5% to $10.9 million. Segment adjusted operating income as a percentage of sales improved 30 basis points to 23.3% primarily driven by the increased sales volume.
Specialty chemicals segment revenue increased 5.2% to $36.6 million. The increased sales were primarily driven by higher volume of plumbing and energy related products partially offset by lower mining and rail products.
Our reported segment operating income was $3.3 million compared to the prior year period operating income of $799,000. Adjusted to exclude non-recurring costs, segment operating income decreased to $3.5 million compared to $4.2 million in the prior year. The segment adjusted operating income as a percent of sales was 9.6% compared to the prior year period of 12.1% and this decrease was primarily due to the unfavorable product mix that we've seen throughout the year and some discrete costs in the fourth quarter that are not expected to repeat.
Turning to our consolidated results, consolidated gross profit in the fourth quarter of 2018 grew to 18.7% to $36.2 million. Gross margin as a percentage of sales was 43.4% compared to 39.9% in the prior year period.
Higher gross margin compared to the prior year primarily reflected increased operating leverage on our higher sales and lower restructuring and realignment costs partially offset by unfavorable mix in our specialty chemicals business. Consolidated operating expenses increased to $25.7 million or 30.7% of sales compared to the prior year level of $24.1 million or 31.5% of sales.
The increase in operating expenses was due to increased revenue and expenses from the acquired Greco business partially offset by lower one-time discrete expenses year-over-year. As a percentage of sales, we were pleased with the 80 basis point improvement in operating expenses year-over-year.
Consolidated operating income for the fourth quarter was $10.6 million or 12.7% of sales compared to $6.4 million or 8.4% of sales from the prior year. The adjusted operating income was $11.4 million, a 3.6% increase compared to the prior year period of $11 million. The effective tax rate on continuing operations for the quarter ended March 31, 2018 was a negative 6.8%. The tax benefit was a result of the refinement of the one-time transition tax for mandatory repatriation based on cash and net accumulated earnings and profits of our foreign subsidiaries due to the U.S. tax reform legislation passed in the fourth quarter.
Our fiscal 2019 effective tax rate is expected to be in the range of 25% to 27% as we've stated on previous calls. Consolidated earnings from continuing operations was $10.6 million or $0.68 per diluted share compared to $3.3 million or $0.21 per diluted share in fiscal 2017. Adjusted to exclude one-time expenses and applying a normalized tax rate, adjusted earnings in the fourth quarter of fiscal 2018 was up 17.6% to $8 million or $0.51 per diluted share compared to $6.8 million or $0.42 per diluted share in the prior period.
Our operating cash flow from continuing operations increased 45.7% to $57.4 million in fiscal 2018. The increase was primarily driven by increased profits, improved working capital management and lower taxes. We expect cash flow from continuing operations to be further enhanced in fiscal 2019 as a result of lower domestic tax rates and as we continue to drive operational efficiency and working capital management.
Our net debt at quarter end was $12.3 million and we closed the quarter with $11.7 million of cash on our balance sheet and had $288 million of borrowing capacity on our revolving credit facility which provides us ample flexibility to fund our growth and acquisition strategy.
With that, I'll turn the call back to Joe."
Joseph Armes,0,"Thanks Gregg.
In closing, we’re very pleased with how we finished the year. We’re highly focused on driving growth and profitability in both of our business segments in fiscal 2019. As we look to the year ahead, we expect to continue to - our progress in building a great company and we also expect to deliver long-term sustainable value for our shareholders.
I want to take this opportunity to thank all my colleagues at CSW Industrials who do such a great job everyday as we continue to serve our customers and also as we steward well the capital entrusted to us by you our shareholders. So thank you for your interest in CSW Industrials today.
Operator, we’re now ready to take questions."
Operator,1,[Operator Instructions] Our first question comes from the line of Jon Tanwanteng with CJS Securities. Please proceed with your question.
Jon Tanwanteng,1,"Good morning, gentlemen. Nice quarter. Thanks for taking my questions. Joe, a quick one on the organic growth, 7%. It's been pretty consistently good for you guys. How sustainable do you think that is, given where end markets are heading? And you gave comment on HVAC. What about energy? And maybe if mining or rail may come back in the near future at all?"
Joseph Armes,1,"Jon we say it over and over but the good news and the bad news here is that we are broadly diversified in our product portfolio and in our end markets. And so, we’re typically going to have one or two end markets that are really hot, one or two end markets that are struggling and two or three in the middle somewhere and just our job to manage through it.
I feel that our current organic growth rate is sustainable. There are things like this cycle with respect to replacement and repair on the HVAC installed base. Huge number of residential construction that was done back in the early 2000s that is now coming up for repair, replacement we think that’s an important cycle that’s going to drive the sale of our HVAC products. Energy rig count has leveled off a little bit here but it remains strong. I think that given our small market penetration in a number of markets that we can continue to drive well above GDP organic growth and that's certainly our goal and our commitment."
Gregg Branning,1,"Jon this is Gregg. The other thing that I would add is that on the HVAC where we’ve had the sustained growth and expect to continue to see that growth as Joe mentioned. That replacement cycle that Joe talked about typically those units last 10 to 15 years so the cycle that Joe mentioned in the early 2000s, those are all coming due. And we've always said that we have a strong MRO business and that continues to be strong driving future growth as units come out of service and get replaced."
Jon Tanwanteng,1,"Gregg, in the specialty chemical segment, you went on a little bit on the operating margins. But I'm just wondering, what were these specific drivers that took the margin down both year-over-year and sequentially? And how should we think of them going forward? What are the steps you are taking to improve it?"
