speaker,q&a,content
Company Participants,0,"Dru Anderson - IR
Frank Saxon - CEO
Iv Culp - COO
Ken Bowling - CFO
Boyd Chumbley - President, Upholstery Fabrics"
Conference Call Participants,0,"Bobby Griffin - Raymond James
John Baugh - Stifel
Marco Rodriguez - Stonegate"
Operator,0,"Good day, and welcome to the Culp's fourth quarter 2019 earnings conference call. Today's call is being recorded.
At this time, for opening remarks and introductions, I would like to turn the call over to Ms. Dru Anderson. Please go ahead."
Dru Anderson,0,"Thank you. Good morning, and welcome to the Culp conference call to review the company's results for the fourth quarter and fiscal 2019.
As we start, let me state that this morning's call will contain forward-looking statements about the business, financial condition and prospects of the company. Forward-looking statements are statements that include projections, expectations or beliefs about future events or results or otherwise are not statements of historical fact. The actual performance of the company could differ materially from that indicated by the forward-looking statements because of various risks and uncertainties.
These risks and uncertainties are described in our regular SEC filings, including the company's most recent filings on Form K and Form 10-Q. You are cautioned not to place undue reliance on forward-looking statements made today, and each such statement speaks only as of today. We undertake no obligation to update or to revise forward-looking statements.
In addition, during this call, the company will be discussing non-GAAP financial measurements. A reconciliation of these non-GAAP financial measurements to the most directly comparable GAAP financial measurements is included as a schedule to the company's 8-K filed yesterday and posted on the company's website at culp.com. 
A slide presentation with supporting summary financial information and additional performance charts are also available on the website as part of the webcast of today's call. With respect to certain forward-looking free cash flow information, the comparable GAAP and reconciling information is not available without unreasonable effort and is significant – is similar to the significance of the historical free cash flow information which is available in the company’s 8-K filed yesterday and posted on the company’s website.
I will now turn the call over to Frank Saxon, Chairman and Chief Executive Officer of Culp. Please go ahead, sir."
Frank Saxon,0,"Good morning and thank you for joining us today. I would like to welcome you to the Culp quarterly conference call with analysts and investors. With me on the call today is Iv Culp, our President and Chief Operating Officer; Ken Bowling, Chief Financial Officer,; and Boyd Chumbley, President of our Upholstery Fabrics business, who will be dialing in remotely.
I'll begin the call with some brief comments, and Ken will then review the financial results for the quarter. I will then update you on the strategic actions in each of our segments. After that, Ken will review our first quarter fiscal 2020 outlook. We’ll then be happy to take your questions. 
We faced a number of significant challenges in the fourth quarter, primarily related to global trade disruption and an overall weaker retail environment. There were continuing headwinds associated with the low-priced imported mattresses from China, and the excess supply of these mattresses disrupted the market and affected many of our customers. The outcome for Culp was reduced demand for our mattress fabrics and sewn covers.
Our Upholstery Fabrics business was affected by the softer retail climate for furniture, and uncertainty surrounding international tariffs and the associated geopolitical risk. However, even with the lower sales for Q4, we were pleased to have another year of overall higher annual sales for Upholstery Fabrics business. These results included the first full year contribution from Read Window Products, which we acquired late in fiscal 2018.
In spite of the challenging market conditions, throughout the year we continued to execute our product-driven strategy in each of our businesses with a relentless focus on design creativity and product innovation. Our ability to deliver diverse product mix and reach new market segments has been a key differentiator for Culp in all of our marketplaces and will remain our strategic focus going forward. We will continue to diversify both our product and customer mix in mattress and Upholstery Fabrics with unique opportunities to expand in the hospitality market. 
We also have the ability to extend our market reach through Culp Home Accessories, our finished products business offering bedding accessories and home goods direct to both consumers and businesses. We have a flexible, global platform to support our business segments with the ability to respond to changing demand as market conditions improve, and importantly, we have a strong balance sheet and the financial flexibility to pursue our growth strategy. We look forward to the opportunities ahead for Culp in fiscal 2020. Additionally, we believe that May 29, 2019 ruling by the US Department of Commerce imposing punitive antidumping duties on Chinese made mattresses will provide relief for the domestic mattress industry in our current fiscal year and ultimately lead to improving conditions for our business.
I'll now turn the call over to Ken, who will review the financial results for the quarter and year."
Ken Bowling,0,"Thanks, Frank. As mentioned earlier on the call, we have posted slide presentations to our Investor Relations website that cover key performance measures. We have also posted our capital allocation strategy. Here are the financial highlights for the fourth quarter. Net sales were 71 million, down 9.2% compared to the prior year. On a pre-tax basis, the company reported income of 1.5 million compared with pre-tax income of 6.5 million for the fourth quarter of last year. 
The financial results for this quarter included a non-recurring charge of $500,000 for the company’s charitable contribution to the University of North Carolina at Chapel Hill, payable over a period of three years in honor of our co-founder and former Chairman, Robert G. Culp, III. Excluding this charge, pre-tax income for the fourth quarter of fiscal 2019 was $2 million. Net loss attributable to Culp, Inc. shareholders was 1.4 million, or $0.11 per diluted share, for the fourth quarter compared with net income of 12.7 million or $1 per diluted share for the prior year period. Notably, this net loss was attributable to 199.7% tax rate for the quarter.
Income taxes for the fourth quarter of fiscal 2019 reflect the mix of the company’s taxable income favoring its foreign tax jurisdictions located in China and Canada that have higher income tax rates in relation to the US, and a significant decline in US taxable income which was more than anticipated. This resulted in a significant increase in the company’s Global Intangible Low Taxed Income or GILTI Tax and led to the 199.7% tax rate. 
However, income taxes incurred in the US on a cash basis were minimal due to the utilization of the company’s US Federal net operating loss carryforward generated in fiscal 2019. Additionally, our income taxes reflect provisional adjustment that represented the income tax effects of tax reform enacted in late 2017. No provisional adjustments associated with the tax reform were recorded in the fourth quarter of fiscal 2019, while such provisional adjustments resulted in an income tax benefit totaling $8 million that was recorded in the fourth quarter of fiscal 2018. 
For fiscal 2019, net sales were 296.7 million, down 8.4% as compared to the previous year. Pre-tax income was 12 million compared with 26.9 million for fiscal 2018. Excluding restructuring and related charges and credits and other non-recurring items totaling approximately $2.7 million, pre-tax income was 14.7 million for the fiscal year. Net income attributable to Culp, Inc. shareholders was 5.7 million, or $0.45 per diluted share compared with net income of 20.9 million, or $1.65 per diluted share for fiscal 2018. Adjusted EBITDA for fiscal 2019 was 22.9 million or 7.7% of sales. Consolidated return on capital for the year was 11.7%. 
Now, let's take a look at our business segments. For Mattress Fabrics segment, sales were 37.7 million, down 18.9% compared with last year's fourth quarter. Operating income for the quarter was 2.7 million compared with 6.1 million a year ago with an operating income margin of 7.2% compared with 13.1% a year ago. As we have noted, our operations for the fourth quarter and year were affected by the significant decrease in demand caused by the influx in lower priced imported mattresses from China. Despite the headwinds, we continue to manage our business in an efficient manner and provide excellent service to our customers. 
We have rationalized our manufacturing and distribution locations to meet current and expected demand, and we achieved sound profitability with an 8% operating margin for the fiscal year in spite of the ongoing challenges we faced. Importantly, we have a sustainable business platform that favorably positions Culp for the long term. We will continue to reinvest in our business to maximize our operating efficiencies and delivery capabilities. Return on capital for Mattress Fabrics for fiscal 2019 was 15.2% compared with 34.3% for the previous year. 
For Upholstery Fabrics segment, sales for the fourth quarter were 29 million, down 8.3% over the prior year. Our operating income for the fourth quarter was 1.8 million compared with 2.2 million a year ago with operating income margin of 6.1% compared with 6.9% last year. As we have noted, our operations for the fourth quarter were affected by trade uncertainty and overall softness in retail demand for furniture. 
Our Read Window Products business continued to perform well, with annual sales of approximately 11 million and operating income margin in line with the overall margin for this segment as a whole. Return on capital for fiscal 2019 for the Upholstery Fabrics business continues to be at an impressive rate, coming in at 55% for the year. The home accessories segment, which includes the operations of eLuxury reported 4.1 million sales for the quarter, with no comparable results for the same period last year. The 4.1 million was comparable to the sales level achieved for the third quarter. Our operating loss for the quarter was $479,000. Our operating results were lower than expected due to additional product rollout costs and reduced demand for legacy products, primarily our mattress pads business, which we believe were affected by the import turmoil in the overall mattress industry. 
Here are the balance sheet highlights. Despite the headwinds on our Mattress Fabric business, we maintained a strong financial position in fiscal 2019. We reported 45 million in total cash and investments and a $675,000 note payable between eLuxury and its minority owner. We have maintained a strong position, despite spending 4.8 million for capital expenditures, including vendor financed payments and investments in Haiti, funding 12.1 million in acquisition related costs and returning 8.1 million to shareholders and regular dividends and share repurchases. In spite of the ongoing challenges for the year, we generated cash flow from operations of 13.9 million in fiscal 2019 and free cash flow of 11.5 million for the year. The company repurchased a small number of shares in the fourth quarter. For the year, we repurchased a total of approximately hundred 160,000 shares. This leaves approximately 1.7 million available under our share repurchase program. 
With that, I'll turn it back over to Frank."
Frank Saxon,0,"Thanks, Ken. I will start with the Mattress Fabrics segment. While we saw sequential sales improvement in this business compared to the third quarter of fiscal 2019, the influx of low-priced mattresses from China has continued to affect the domestic mattress industry. The market is still dealing with a significant amount of excess inventory of late 2018 and early 2019 imports, and a slower retail environment delayed the sale of these products. As we previously announced in our May 1 press release, customer demand for mattress fabrics was lower than expected and affected our sales for the fourth quarter. 
However, we are pleased to note some recent positive developments in the retail demand, as well as many customers altering their supply chains away from China. We believe the punitive anti-dumping measures against Chinese-made mattresses, as recently announced by the US Department of Commerce will ultimately provide relief for the domestic mattress industry, with preliminary imposed duties ranging from 39% to as high as 1,731%.
Our varied product mix of mattress fabrics and sewn covers across most price points and style trends supports our diversification strategy with favorable results. Importantly, CLASS, our mattress cover business, continues to perform well and with the support of our global sewing platform. We remain encouraged by the sales trends with our core customers, as well as our ability to reach new customers and additional market segments like the popular and expanding boxed bedding space. We are excited about the additional growth opportunities for CLASS as we broaden our customer base.
While fiscal ‘19 was a challenging year for our mattress fabrics business, we are optimistic about the year ahead. We have the ability to leverage our creative designs, innovative products, and global production capabilities to enhance our leadership position and sustain our competitive advantages. We look forward to the opportunities ahead for this business in fiscal ‘20 and beyond.
Now, I'll turn to the Upholstery Fabrics segment. Our results for the fourth quarter of fiscal 2019 reflect an uncertain marketplace and a soft retail environment for furniture. As noted in our May press release, sales and profits were lower than originally announced expectations for the fourth quarter. The ongoing trade dispute between the US and China and uncertainties surrounding tariffs have caused significant disruptions throughout the supply chain for the furniture industry. The anticipation of additional tariffs resulted in more advance customer purchases in previous quarters, especially the third quarter, and inflated inventories heading into the fourth quarter. This factor, combined with generally weaker consumer demand for furniture, affected our sales for the fourth quarter.
For the full year however, we were pleased to achieve another year of higher annual sales in spite of the closure of our Anderson, South Carolina, operation during the second quarter. Throughout the year, we have pursued a product-driven strategy with a sustained focus on innovation and creative designs, supported by our substantial global platform. Our design team has done an outstanding job with current style trends and meeting the changing demands of our customers. Additionally, our popular and expanding line of highly durable, stain-resistant, performance fabrics continued to gain acceptance in the marketplace. We are also pleased with the contribution from Read Window Products, as fiscal 2019 marked the first full year of sales for custom window treatments and other products for the hospitality market.
Looking ahead, we expect the prevailing geopolitical issues will continue to affect our business and the furniture industry for the near term. We are taking steps to adjust our supply chains, including partnering with sources for cut and sew kits in Vietnam, and are working with customers to make necessary adjustments in response to the latest round of tariffs. While we expect continued overall softness in demand for furniture through the first quarter of this year, we believe Culp is well positioned for the long term. Above all, we remain focused on providing innovative products that meet the changing demands of our valued customers.
Next, I will review our newest business segment, Culp Home Accessories, which includes eLuxury, our e-commerce and finished products business, offering bedding accessories and home goods. We are continuing to learn about and develop this new platform, which supports both business-to-consumer and business-to-business sales of finished bedding accessory and home goods products. As Ken noted, our operating results were affected by additional product roll-out costs for new products as well as reduced demand for legacy products, primarily mattress pads. We believe this legacy business was affected by the import turmoil in the mattress industry. We are encouraged by more recent sales trends on legacy products, as well as our progress related to new product introductions. We remain excited about and are committed to opportunities to capitalize on new products and this new sales channel for Culp.
Ken will now review the outlook for the first quarter and then we’ll take your questions."
Ken Bowling,0,"At this time, we expect overall sales to be slightly higher as compared with the first quarter of fiscal 2019. The first quarter of fiscal 2020 will have one more week than the first quarter of the prior year or 14 weeks compared with 13 weeks. We expect Mattress Fabrics sales to be moderately up compared with the first quarter fiscal 2019 and operating income and margins also are expected to be moderately up as compared with the previous year's first quarter. 
In our Upholstery Fabrics segment, we expect first quarter sales to be moderately down compared with the first quarter of last year, as we continue to operate in an environment of trade uncertainty and soft retail demand. Operating income and margins are also expected to be moderately down compared with the same period a year ago. 
In our home accessories segment, we expect first quarter sales to be moderately up compared with the fourth quarter of fiscal 2019, with no full period of comparison for the first quarter of fiscal 2019 based on the June 2018 investment date for eLuxury. We expect an operating loss for the first quarter that is comparable to the fourth quarter of fiscal 2019. 
Considering these factors, the company expects to report pre-tax income for the first fiscal quarter of 2020 in the range of 2.5 million to 3.2 million. Pre-tax income for last year’s first quarter was 1.9 million, which included 2 million in restructuring and related charges. Based on our current projection, capital expenditures for fiscal 2020 are expected to be in the 6.5 million to 7 million range, as we continue with a maintenance level of capital expenditures.
We expect depreciation and amortization to be approximately 9 million for fiscal 2020. Finally, we expect another good year of free cash flow comparable to the prior year.
With that, we’ll now take your questions."
Operator,1,[Operator Instructions] We’ll now take our first question from Bobby Griffin of Raymond James.
Bobby Griffin,1,"First, I want to talk on eLuxury. Frank, can you maybe expand some of your comments that you talked about and give us some color on what some of the drivers would be within that business segment to move towards profitability over FY20 and beyond?"
