speaker,q&a,content
Company Participants,0,"Brian Pedlar - President and Chief Executive Officer
Danny Brannagan - Chief Financial Officer"
Conference Call Participants,0,"Brian Marckx - Zacks Investment
Trevor Holsinger - Aspen Wealth Management"
Operator,0,"Good morning, ladies and gentleman. And welcome to Covalon's Fiscal 2019 Q2 Financial Results Conference Call. As a reminder, today’s conference is being recorded.
At this time, I would like to turn the conference over to Mr. Brian Pedlar, President and Chief Executive Officer and Mr. Danny Brannagan, Chief Financial Officer. Please go ahead Mr. Pedlar and Mr. Brannagan."
Danny Brannagan,0,"Thank you, Mariana. My name is Danny Brannagan and as Covalon’s Chief Financial Officer, I'd like to thank everyone for taking the time this morning to attend our conference call. We will be discussing the financial statements, MD&A and press release related to Covalon's 2019 second quarter ended March 31, 2019. There will be an opportunity for you to ask questions at the end of our call.
Before we begin the discussion, I would like to remind participants that this call is covered by Covalon's Safe Harbor statement. Certain statements included on this conference call may be considered forward-looking. Such statements involve known and unknown risks, uncertainties and other factors that may cause the actual results, performance or achievements, to be materially different from those implied by our statements. And therefore, these statements should not be taken as guarantees of future performance or results.
All forward-looking statements are based on management's current beliefs, assumptions and information currently available to us and related to anticipated financial performance, business prospects, partnership opportunities, strategies, regulatory developments, market acceptance and future commitments among other things.
Participants on this call are cautioned not to place undue reliance on these forward-looking statements, which speak only as of the date of this conference call. Due to the risks and uncertainties, including those identified by Covalon in its public security filings actual events may differ materially from current expectations. Covalon disclaims any intention or obligation to update or revise any forward-looking statements, whether as a result of new information, future events or otherwise.
For the second quarter ended March 31, 2019, Covalon's total revenue was $13.3 million with a net loss of approximately $200,000, or $0.01 per share. This compares to the prior year second quarter, which saw total revenue of $5.7 million and a net loss of approximately $450,000 or $0.02 per share. Operating expenses increased for the second quarter to $9 million compared to $5 million for the same period in the prior year. The overall gross margin for the second quarter was 69% compared to 76% in the second quarter of the prior year.
During the second quarter of fiscal 2019, Covalon saw a more balanced revenue figure with U.S. customers representing about 52% and the Middle East was about 46% of total revenue. During the quarter, there were several unplanned items that impacted our overall profitability. These items related mainly to non-cash accounting items and the acquisition of AquaGuard that closed in Q1 of fiscal 2019, and in aggregate totaled approximately $1.5 million.
Growing our profits in lines with our revenue growth is the main focus of our management team. Management does not think our results on the bottom-line this quarter are reflective of the profit potential of Covalon on a go forward basis. For the six months ended March 31, 2019, Covalon's total revenue was $20.6 million with a net loss of approximately $2 million or $0.10 per share. This compares to the prior year's comparative period, which saw a total revenue of $12 million and a net income of $44,000.
Operating expenses increased to $15.5 million compared to $9 million in 2018. The overall gross margin for the six-months decreased to 67% compared to 73% in 2018.
I would now like to turn the call over to Covalon's CEO, Brian Pedlar."
Brian Pedlar,0,"Thanks Danny for the review of our second quarter results. And good morning fellow investors. So Danny just walked through our quarterly results and some of the results for us for the first six months of this year. And I'd like to spend a few minutes talking about and putting those results into perspective for our plans for the remainder of this fiscal year and going forward.
So overall, I think our second quarter financial performance is on track and we are executing to our plan. Can we do better? Absolutely, but it's an important summary of where we are today. The revenue this past quarters Danny talked about was $13.3 million, which is more than double last year's second quarter results. I think it represents something like 132% growth over last year. And to-date, we have reached about $20.5 million in revenue for the first six months of fiscal 2019. That is a big change and a big improvement over the previous year.
And we were very strong this year in the first half or the first six months of this fiscal year in the United States. And I'm very pleased that we are achieving our strategic objective, which we've talked about in past calls of increasing our North American business and diversifying away from reliance on the Middle East. Revenue in United States accounted, I think for the first half -- first six months, is about 60% of our revenue. And combined, we are still on track in the United States to exceed the target that we said earlier of $25 million in this fiscal year from the U.S. market.
Sales of the recently acquired AquaGuard product line are growing according to plan. Over the past several months, our U.S. sales force has been engaged in the process of educating our new customer base of 1,500 hospitals on Covalon's broader infection prevention products. The first product we've introduced directly to hospitals through our sales force is IV Clear.
Now, to remind everybody as part of the transaction to acquire the AquaGuard business, which closed October 1st, so in our first quarter of this year, we not only gained the market-leading family of AquaGuard products but we also acquired the revenue and contracts associated with a customer base of about 1,500 hospitals in the United States who are currently buying the AquaGuard products, and the very talented salesforce and operational team that supports this customer base.
Now, I believe that the IV Clear fits very well into our new hospital customer base and IV Clear is the only silicone adhesive IV dressing in the entire world that kills bacteria, while protecting patients from infection who have an IV line inserted into them. And patients and clinicians simply love IV Clear. Now, even so selling into hospitals is a slow and difficult process. We know that when we go out and try to make an appointment ourselves to go and get an appointment with the doctors, whether it's for a personal medical check-up or whether it's for a sales call, it takes time it doesn't happen overnight. I've been out with our field sales team and I can tell you I'm really, really impressed with their sales process and the talent we have. Our U.S. team is very disciplined in our approach to building confidence with hospitals. And over time, I anticipate very strong business growth in the United States.
During the second quarter, we continued our deliveries on schedule into the Middle East under the competitive contracts that we previously announced. Our contracted revenue in the Middle East, as we've talked about many times, is derived from bulk purchases delivered throughout the year, which are not equally recognized in each of the company's quarterly results. We don't control when those hospitals and clinics in the Middle East want our products delivered. We expect deliveries to be more heavily weighted for the remainder of this year into our fourth quarter, which ends September. And we'll continue to update as we gain new information.
As I talked about on our last call, our efforts to enter the European and Latin American markets are expected to begin to materially contribute to our revenue in the latter half of this fiscal year. So we are currently selling into the United Kingdom and a number of countries in Latin America. And I anticipate that key markets like Mexico, Chile and Argentina, will grow as our products begin to compete and win business in these regions, again it doesn't happen overnight, but we have we have a very small and talented team located in Florida that is driving the growth of our Latin American market. And I'm quite pleased with the progress we're making there.
During the quarter, there were several unplanned items that Danny talked about that impacted our overall profitability. Now, as Danny articulated, these items relate to non-cash or accounting related charges and also included trailing costs from the acquisition of AquaGuard that were not necessarily in the budget. And remember the acquisition closed within the first quarter of this year. And those aggregated about $1.5 million of expenses that hit us this quarter. We typically look at where we think we're going to end up, and I've talked about this on other calls as well.
We prudently invest in markets to grow opportunities that will bear fruit and deliver revenue in future quarters. And we did that this quarter as well and we also got hit with these items that were somewhat unplanned in our in our business plans. Again, I think Danny said it very well and I want to reiterate. Our results for this quarter are not reflective of what we believe as a management team Covalan is capable of in delivering profits in line with our revenue growth on a go forward basis.
So I want to spend a minute or two talking about our future and some of the other drivers for value creation. We tend to think about and talk a lot about top-line revenue growth as the only barometer of how we're doing are we winning or losing based on our revenue. While this is often a driver of our successes as a company, it's not the only element that shareholders should be focusing on. There's other fundamentals of Covalon that I think are very strong, and I think are very unique to Covalon.
There's not many other companies that have this following combination; number one, our depth of FDA cleared products; number two, our depth of patents and intellectual property; and number three, that have the revenue opportunities that we have. So we doubled our U.S. business this year so far. And we've added 1,500 hospitals as customers this year. And number four that also have a U.S. sales force that calls on hospitals combined with a world class lab that can drive new products into the market.
Most other companies that I run into in our space that I talk with at trade shows or that I know the executives that run them, they have one or two and maybe three of those four things but very few. And honestly, I've tried to compare ourselves to other companies that have all four that are the size of Covalon. It's just unique. We've talked a lot about our U.S. sales force. I think it's just as important that investors understand that our lab and our research and development teams are some of the brightest and best women and men in the medical industry today.
We have assembled a team that innovates faster and more effectively than teams 10 times their size. As a result, we have attractive some of the most successful medical companies in the world as customers of ours. And that's driven because our team is very, very strong and has a lot of credibility and respect in the marketplace. Many of those same companies have started out trying to compete with us. They've tried to innovate around us and some have actually tried to replace us in the market. Big and small companies have tried this and failed. And many of those companies have returned to be our customers and have continued to be good business partners for many years.
That's also tied to our intellectual property, our knowhow and our experience. I mean that combination within the four walls is truly -- our team is truly strength of Covalon. This is something that as an organization, we protect vigorously and we are constantly adding to and improving. I can tell you that our staff are very proud of their accomplishments and have every right to feel that way. And I'm very proud of them too. Our team is motivated to compete and win in the race to bring new innovation and new medical products to the market that help save people's lives. And we're doing this.
And the evidence of this is by the fact that there are thousands of doctors and nurses and tens of millions of patients who are benefiting from our products and our technology every year. And we have one of the fastest growing brands in the medical consumable product markets today. Every week, a new group of patients and clinicians discover the positive impact that Covalon's products, our products have on their lives and in their hospitals and clinics. So these are some of the indicators I believe along with our year-over-year financial success in growth that tells me as an investor that Covalon is positioned for significant recurring revenue growth and that our company is much more diverse and a stronger more attractive investment for any investor, myself included, it was looking for a significant return over the years to come.
Now, I talk to investors every day. Many investors have done the math, looking at our recent announcements, looking at our acquisition of AquaGuard, looking at where we've -- the markets that we've entered and looking at our results. And have come at a conclusion that we're going to more than double compared to last year. And I've also had investors who speculated to me that we can double again in as early as 2020. And almost every investor says that, there is a lot of opportunity in the incredible basket of upside product our pretty talented team that's part of Covalon. And they are very much looking forward to our ability to unlock that value for investors.
And I think we are on our way, I can assure you that our team is working harder than ever to build our company into a truly strong player in all our markets. I am continually amazed and impressed with our product development team's ability to innovate, our operations team's ability to commercialize and to get our products into the market and to our customers and our sales and marketing team's ability to engage with those customers, educate them about our world-class products and portfolios and help them treat and save the patient's from infections and other complications.
We are very aware that we also need to grow both our top line revenue and our bottom line revenue, and we saw bottom-line profits in tandem. So I think we have a good plan in place. I think we've demonstrated that we know how to execute and increase the value of Covalon in a significant way in a short period of time. So I'd now like to open the line for questions. I ask please that you try to keep your questions to one or two.
And if you want to ask another question please get back into the queue, and there will be lots of time to ask questions. Mariana, I'll turn it over to you."
Operator,1,Thank you [Operator Instructions]. Your first question comes from Brian Marckx with Zacks Investment. Your line is open.
Brian Marckx,1,"Just wanted to get a little bit more clarity on the unplanned expenses that Danny said was about $1.5 million, I think. So just for clarity, those are expenses that will not repeat. These are essentially onetime it was into Q2, and we shouldn't see anything related to these going forward. Is that right?"
Danny Brannagan,1,"Yes, for the most part, yes. "
Brian Marckx,1,"And then relative to AquaGuard revenue, Brian, I don't know if you guys are willing to disclose what it was in Q3 or for the six months pending through Q2?"
Brian Pedlar,1,"I don’t believe we have broken that out in our financials. So I certainly don't want to just hand out numbers on this call, that's something we'll certainly consider in our -- as we talk to our auditors about disclosures, but we're on track. And I think we've talked about that revenue growing. I think if you do and I know you've done this, Brain, and though our numbers, probably just as well as we do, look at the business acquisition reports that we put out, I think you can figure out where they were last year. I think we're definitely continuing to grow on the performance commensurate with how they've grown in the past with the AquaGuard business.
So I'm really pleased with how we've -- how the team has come together. I'm pleased that our customer base and our top-line has gone in a direction we anticipated. As you know, a lot of these acquisitions when you put two organizations often together one and one begin to equal one, but with us it's been very positive. I think we got some good growth. Could we do better? Sure. And I think the team is working very hard. But I think the number that -- I think we're in definitely in line with our expectations, and we are continuing to grow that business, independent of additional revenue of introducing Covalon products into that channel."
