speaker,q&a,content
Operator,0,"Good morning. My name is Denise. I will be your conference operator today. At this time, I would like to welcome everyone to the George Weston Limited Third Quarter Results Conference Call. All lines have been placed on mute to prevent any background noise. After the speakers' remarks, there will be a question-and-answer session. [Operator Instructions] Thank you. Mr. Geoff Wilson, you may begin your conference."
Geoff Wilson,0,"Thank you. Good morning, and welcome to the George Weston Limited 2018 third quarter conference call. I'm joined here this morning by Galen Weston, Chairman and CEO; Richard Dufresne, President and CFO; and Luc Mongeau, President of Weston Foods.
Before we begin today's call, I want to remind you that the discussion will include forward-looking statements, such as the Company's beliefs and expectations regarding certain aspects of its financial performance in 2018 and future years. These statements are based on certain assumptions and reflect management's current expectations, and they are subject to a number of risks and uncertainties that could cause actual results or events to differ materially from current expectations. These risks and uncertainties are discussed in the company's materials filed with the Canadian Securities Regulators including the Company's third quarter news release. Any forward-looking statements speak only as of the date they are made. The Company disclaims any intention or obligation to update or revise any forward-looking statements, whether as a result of new information, future events or otherwise.
Other than as required by law, certain non-GAAP financial measures may be discussed and are referred to today. Please refer to our third quarter news release and other materials filed with the Canadian Securities regulators for reconciliation of each of these measures to the most directly comparable GAAP financial measure. An archive of this conference call will be available on our website. Loblaw Companies Limited released its second quarter results last week, and therefore, we will focus this call on the performance of our Weston Foods segment.
I would now like to introduce Richard."
Richard Dufresne,0,"Thank you Geoff, and good morning, everyone. Earlier today, we released our third quarter results for George Weston Limited. On November 1st, we completed the Choice Properties spin out to George Weston Limited. We are pleased with the outcome of this transaction. The company is now much better positioned for the future with a simple structure, enhanced cash flow, strong balance sheet and therefore more optionality for growth. 
For the third quarter, George Weston Limited reported adjusted diluted net earnings per share of $2.25 compared to $2.14 for the same period in 2017, an increase of 5.1%. In the third quarter of 2018, Weston Foods sales totaled $630 million, a decline of $38 million over the same period of 2017. Sales decreased mainly due to the impact of product rationalization, and the loss of business from key customers. Weston Foods' adjusted EBITDA in the third quarter of 2018 was $72 million, a decrease of $8 million compared to the same period in 2017. Excluding the impact of $14 million real estate gain, the decline in adjusted EBITDA was driven by the decline in sales and higher input and distribution costs, partially offset by benefits realized from the transformation program, net of costs and productivity improvements.
For the full year 2018 Weston Foods expects sales to trend in a similar fashion to the first half of 2018 when compared to last year. Sales are expected to be negatively impacted by volume declines including the loss of sales from key customers, and the continued effect of product rationalization. Excluding the net gain on sale of property, adjusted EBITDA will trend in a similar fashion to the first half of 2018. Adjusted EBITDA will be impacted by sales trend, headwinds from higher input and distribution costs in an inflationary environment and minimum wage increases, partially offset by improvements from the transformation program and productivity.
Investments in capital expenditures will decrease to approximately $215 million for 2018 compared to $230 million as previously stated. And finally, depreciation will increase compared to last year as we continue to invest in our business.
I would now like to turn over to call to Galen."
Galen Weston,0,"Thank you, Richard and good morning. Before turning to Weston Foods, I'd like to comment on both the successful spin out of Choice Properties and the strong third quarter results that Loblaw released last week. Amid continued headwinds Loblaw remained focused on its commitment to stable trading, delivering value to customers and in turn growing both traffic and basket size. We saw improvements and promotional effectiveness and further benefited from the strength of our loyalty program PC optimum. Loblaw's strategy continues to create momentum as data-driven insights and process and efficiency initiatives allow us to make additional investments for the future.
At the same time, the successful spin out of Choice Properties is another significant milestone that positions our company for the long-term. Choice Properties maintains its strategic operating relationship with Loblaw and George Weston is now a stronger company with three distinct and complimentary pillars that provide growth and flexibility for the future. With the spin-out complete, I'm also pleased to announce a 5.1% increase in George Weston's quarterly dividend to shareholders.
At Weston Foods, we continued to underperform against our expectations. We are one year into an ambitious plan and it has had mixed results. Although, we remain optimistic about the business's future, we have taken decisive action to slowdown the transformation program and are carefully managing the pace of change so that management can focus on the top line. While the program has improved our ability to manage costs and to simplify the business, not all the benefits have flowed to the bottom line. We have fallen short on customer service that has adversely impacted our sale. Put simply, we are not yet operating at the high standard that we expect of ourselves.
Looking forward, we remain committed to our strategy and encouraged by several positive things which are happening. Business fundamentals are improving with less waste, more productivity and a better ability to forecast our results. We are also seeing sales momentum in key growth areas such as artisan and pre fried doughnuts. While recent performance continues to be disappointing, we are confident that management is focused on the right areas to position Weston Foods for the future.
I'd now like to open the call to questions."
Operator,1,"[Operator Instructions]
Your first question comes from Irene Nattel with RBC Capital Markets. Your line is open."
Irene Nattel,1,"Thanks and good morning, everyone. Would you be able to elaborate on the ways in which you are slowing the process? How you plan on building momentum and top-line? And really what the implications are for the timeline and the magnitude of the lift in EBITDA that you laid out when you first embarked on the transformation plan?"
Luc Mongeau,1,Yes. We're slowing the program in the areas where there's impact on customers. So first thing we're doing we're slowing down the implementation of our ERP SAP program. We're slowing down as well; we're reducing the number of SKUs that we are discontinuing by about 20%. We're reducing as well the amount of CapEx that we are investing in the business to allow us to do what Galen refer to which is a really bringing stabilization to the business. And significantly improve our service level. So we can return the entire business to growth.
Richard Dufresne,1,"Yes, Irene, it's Richard. In terms of the timing for the business to stabilize, our focus right now is fully on the stabilization of our business, and we're focusing on minimizing the impact on customers. Focus is clearly shifting to execution and sales momentum and as we get traction with that we'll be able to comment further on that."
Irene Nattel,1,That's very helpful. So but just think --presumably some of the lost volume however has gone to other players. How challenging do you think it's going to be to essentially pull it back over to your side?
Richard Dufresne,1,We're still having good traction and discussion with customers. So it's an area that we're focused on more and as to some of the business we lost like will have to lap that business for another four quarters because one of the business we lost was at the beginning of Q3. So it'll take us a few quarters to lap that business.
