speaker,q&a,content
Company Participants,0,"Rene Vanguestaine - Investor Relations
Karl Zhang - Chairman and Chief Architect
Jean Liqin Zhang - Chief Financial Officer"
Conference Call Participants,0,"Hans Chung - KeyBanc Capital Markets
Alicia Yap - Citigroup
Emerson Chan - Bank of America/Merrill Lynch
Tina Long - Credit Suisse"
Operator,0,Good day and welcome to the CooTek First Quarter 2019 Earnings Conference. All participants will be in listen-only mode. [Operator Instructions] Please note this event is being recorded. I would now like to turn the conference over to Rene Vanguestaine. Please go ahead.
Rene Vanguestaine,0,"Thank you, Amy. Hello, everyone and thank you for joining us today. Our earnings release was distributed earlier today and is available on our IR website at ir.cootek.com and on PR Newswire.
On the call today from CooTek are Mr. Karl Zhang, Chairman and Chief Architect and Ms. Jean Liqin Zhang, Chief Financial Officer. Mr. Zhang will review business operations and Company highlights, followed by Ms. Zhang who will discuss financials and guidance. They will be available to answer your questions during the Q&A session that will follow.
Before we begin, I would like to kindly remind everyone that this conference call may contain forward-looking statements within the meaning of Section 21E of the Securities Exchange Act of 1934 as amended. These forward-looking statements are made under the Safe Harbor provisions of the U.S. Private Securities Litigation Reform Act of 1995. These forward-looking statements can be identified by terminologies such as will, expects, anticipates, future, intends, plans, believes, estimates, confident and similar statements. CooTek may also make written or oral forward-looking statements in its reports filed with or furnished to the U.S. Securities and Exchange Commission, in its Annual Report to shareholders, in press releases and other written materials and in oral statements made by its officers, directors or employees to third-parties.
Any statements that are not historical facts, including statements about CooTek’s beliefs and expectations are forward-looking statements that involve factors, risks and uncertainties that could cause actual results to differ materially from those in the forward-looking statements. Such factors and risks include, but are not limited to the following. CooTek’s mission and strategies, future business development, financial conditions and results of operations, the expected growth of the mobile internet industry and mobile advertising industry, the expected growth of mobile advertising, expectations regarding demand for and market acceptance of our products and services, competition in mobile application and advertising industry and relevant government policies and regulations relating to the industry. Further information regarding these and other risks, uncertainties and factors is included in the company’s filings with the U.S. Securities and Exchange Commission. All information provided on this call is current as of today and CooTek does not undertake any obligation to update such information, except as required under applicable law.
It is now my pleasure to introduce Mr. Karl Zhang. Karl, please go ahead. Thank you."
Karl Zhang,0,"Thank you everyone for joining our first quarter 2019 earnings call. We delivered strong growth this past quarter in both user growth and user engagement. User growth, relying on our sophisticated growth platform, went beyond our past expectations. Overall, user acquisition unit cost was kept at low range and stable, despite such a large increase in total user numbers. We achieved significant progress on further improving user engagement by investing in our content ecosystem, optimizing products, and enhancing operations. The engagement rate of our content-rich portfolio app reached nearly 39%. The user retention rate improved as well. We are excited about the progress on product side because user engagement and retention are two key metrics to evaluate user stickiness. We believe that we are on the right path to bring more and more value to our end users and increase the stickiness of our user community.
Our mission is to empower everyone to enjoy relevant content seamlessly. We believe that the global content app market is still in its early stage and this gives us massive opportunities in both horizontal and vertical areas as our strategy is to release multiple apps to meet different user needs on different content verticals. We are investing in establishing and evolving our content ecosystem to achieve long-term competitiveness and user stickiness. For example, we redesigned the news feed format for Cherry, our female healthcare and lifestyle community app, in order to evolve our content ecosystem and to increase content consumption. User interaction and time spent improved significantly, and we continue to incubate new content apps to expand our reach across a wide adversity of user interest.
Besides content apps and ecosystems, we are also making good progress on monetization. In Q1, we officially launched the CooTek advertising platform, our in-house ad serving platform. This system allows advertisers to create and manage ad campaigns and place ads into our ad portfolio directly. Furthermore, it provides programmatic interfaces to allow third-parties to acquire mobile traffic directly from our portfolio ads. With benefits from our in-depth user insights, we offer sophisticated, precise user targeting capabilities to help our advertisers and partners to increase our ads on their -- on our ad platform. This system contributed approximately 14% of our total advertising revenue in March, and this percentage is increasing. We will continue to strongly invest in both advertising technologies and our ecosystem, because we believe that it will enhance our monetization and bring us substantial long-term value.
With that, I will hand over the call to our CFO Jean to walk you through our financial results for the quarter."
Jean Liqin Zhang,0,"Thank you, Karl, and thanks everyone for joining us on the call today. I am going to walk you through our first quarter financial results.
Now, let’s start with users. We ended March with approximately 242 million people using our global products, up 43% from year ago. Approximately 169 million people accessed our global products each day on average in March, up 40% from the prior year. Monthly active user for our portfolio of products reached 49.8 million in March, up 3.2x from a year ago. Average daily active users for our portfolio of products in March reached 23.1 million, up 4x compared to last year. Average daily active users on TouchPal Smart Input in March were approximately 146 million, up 26% from last year. This number represents about 76% of 192 million monthly active users. MAUs were up 19% compared to last year. We delivered strong revenue growth year-over-year. The total revenue was $40 million, up 83%, and the ads revenue was $39.4 million, up about 89%. We estimate that of the total advertising revenue for the first quarter of 2019, portfolio products contributed approximately 75%. TouchPal Smart Input contributed approximately 18%, and the TouchPal Phonebook contributed approximately 7%.
Turning now to expenses, our quarter one GAAP cost and expenses were nearly $40 million, an increase of 94% from last year, representing 99% of revenue. Non-GAAP cost and expenses were $38.7 million, an increase of about 91% year-over-year, representing approximately 97% of revenue. We were quite effective in growing our user base with portfolio products DAU growth of more than 4x – growth of about 4x year-over-year and up 36.7% sequentially with S&M expenses up 1.6x year-over-year and a decrease of 14% sequentially. We ended the quarter with 519 full time employees, up 44% from last year and 4% from last quarter. R&D employees represent 63.4% of total employees compared to 58.6% last year. 
Our gross margin was 91%, up from 81% during the same period last year and slightly down from 93% last quarter. We had GAAP net income of $0.2 million, representing a 0.4% of net profit margin. Excluding the effect of stock compensation, our adjusted net income was approximately $1.3 million, representing 3.3% non-GAAP net profit margin.
As of March 31, 2019, cash and cash equivalents and the restricted cash was $77.3 million compared to $84.9 million as of December 31, 2018. Under the share repurchase program announced on November 26, 2018, the company used an aggregate of $5.7 million to purchase 645,000 ADS by the end of last quarter.
Turning now to the revenue outlook, we expect total revenue in the second quarter of 2019 to be between $45 million and $60 million, representing 58% to 76% increase year-over-year. These estimates reflect the company’s current and the preliminary view, which is subject to change. Operator, we’re now ready to take questions."
Operator,1,Thank you. [Operator Instructions] Our first question comes from Hans Chung at KeyBanc Capital Markets.
Hans Chung,1,"Hi, Karl and Jean, thank you for taking my questions. So, I have one question just regarding the user engagement. We have seen another improvement in the content by portfolio app. Can you explain like what’s driving that, and then how should we think about the trend going forward? Should we continue to see the improvement near-to-mid term, or it sort of like the new level we should reconsider? Thank you."
Karl Zhang,1,"Thank you, Hans. I’m going to answer this question. Yes, we achieved a significant progress on further improving user engagement this quarter, and the user engagement rate of our portfolio apps reached nearly 39% compared to approximately 32% in March last year and approximately 37% in December last year. So, we have made very good progress on that. User engagement is actually a key metric we use to evaluate the stickiness of our users. So, we are very excited to see such strong improvements on our product capability. I think the improvement in user engagement is actually a result of multiple efforts. So firstly, we are investing in establishing and evolving our content ecosystem to achieve long-term competitiveness and user stickiness because we believe content is the key to attract and retain our users. For example, we redesigned the news feed format for Cherry, our female healthcare and lifestyle community app, and our short video app VeeU, in order to evolve our KOL-based content ecosystem, which focuses on professional generated content and to increase content consumption at the same time. And secondly, we enhanced the product operation as well to push more relevant content to users based on user profile. It turns out that the click-through rate of our push content improved a lot in the past quarter, helping to keep more users active. And we also introduced the user recall program for our portfolio apps just like Facebook and other social media and content apps company did, which is to send recall email with relevant content to recall users. So, yes, I think the improvement in user engagement is a result of the above multiple efforts. Thank you, Hans."
Operator,1,The next question is from Alicia Yap at Citi.
Alicia Yap,1,"Hi. Good evening, Karl and Jean. Thanks for taking my questions. I have a couple of questions here. Number one is that, could you share with us where were the growth and the incremental additions of your MAU and DAU of your portfolio content app this quarter? Where did you see the new users come from, specifically which apps that you see the most growth in the DAU, and how should we think about the DAU growth in the second quarter? Is there any target for the full year 2019? My second question is related to the overall global app environment and sentiment. As we noticed, there were quite a lot of disappointing app outlook for China market. So, I’m just wondering if you have any comments regarding the global market as you see the second quarter guidance seems to be also showing some weakness or some cautiousness on your side as well. Thank you."
