speaker,q&a,content
Company Participants,0,"Brad Pogalz - Director, IR & Corporate Communications
Tod Carpenter - Chairman, President & CEO
Scott Robinson - SVP & CFO"
Conference Call Participants,0,"Brian Drab - William Blair
George Godfrey - C.L. King
Nick Cecero - Jefferies
Charley Brady - SunTrust"
Operator,0,"Good morning, my name is Adam, and I'll be your conference operator today. At this time, I'd like to welcome everyone to the Donaldson's Q3 Fiscal 2019 Earnings Conference Call. All lines have been placed on mute to prevent any background noise and after the speakers' remarks, there will be a question-and-answer session. [Operator Instructions] Thank you.
Brad Pogalz, Director, Investor Relations and Corporate Communications, you may begin your conference."
Brad Pogalz,0,"Thanks, Adam. Good morning. Thank you for joining Donaldson's third quarter 2019 earnings conference call. With me today are Tod Carpenter, Chairman, CEO and President of Donaldson; and Scott Robinson, our Chief Financial Officer. This morning, Tod and Scott will provide a summary of our third quarter performance and an update on 2019. During today's call, we will reference non-GAAP metrics, such as adjusted earnings. You can find a reconciliation of GAAP to non-GAAP metrics within the schedules attached to this morning's press release. I want to remind everyone that any forward-looking statements made during this call are subject to risks and uncertainties, which are also described in our press release and SEC filings.
With that, I'll now turn the call over to Tod Carpenter. Tod?"
Tod Carpenter,0,"Thanks, Brad. Good morning everyone. Last quarter, we had strong growth in our Advance and Accelerate portfolio. We saw improvement in our gross margin trend, and we made progress on our operational efficiency efforts; these accomplishments are largely within our control. On the other hand, macro factors including political and economic uncertainty drove a notable shift in our customers' behaviors toward the end of the quarter.
In April, for some of our large OEs and within our dust collection business, backlog of orders abruptly fell to a two-year low. Within our prior outlook, we attempted to account for market volatility with a wider than usual guidance range which Scott discussed at our Investors Day. However, the acuteness of April suggests it was not wide enough. While the revised forecast is disappointing, there are several bright spots in our business, so let me get into the quarter. Third quarter sales grew 1.8% or 5.9% without currency. Benefits from pricing added 1.5% and BOFA was another 1.4%. Engine sales were up 3.6% in third quarter or 7.7% without FX. We also realized 1.7% from pricing, which is our strongest quarterly contribution this year. Our off-road business continues to face mixed conditions. Excluding currency, third quarter sales of off-road were slightly down, reflecting destocking at large U.S. customers combined with the impact of political uncertainty in Latin America. These pressures were partially offset by pre-buys for an upcoming regulatory change in Europe and share gains in China with local manufacturers of off-road equipment.
We were encouraged by off-road sales of razor-to-sell razor-blade products which grew 10 points faster than legacy products last quarter. Fuel filter sales led the portfolio with third quarter growth in the high-teens. Program wins with fuel are nearly all incremental to us, demonstrating our success in penetrating the first-fit market with our proprietary Synteq XP media. In on-road, sales were up 11% last quarter including above market growth of 30% in the U.S. as Class 8 truck production remains elevated. Third quarter sales of on-road in China were down nearly 20% in local currency. Significant order volatility from Chinese customers combined with a strong comparison last year drove the decline. The order volatility is not new or unexpected, so we remain focused on deepening our relationships to drive profitable growth in China's massive market.
Turning to aftermarket; local currency sales were up 8% last quarter. Third quarter was the thirteenth in a row where both, the OE and independent channels were up from the prior year. Within the independent channel, mining and energy markets are providing some support but economic pressures across Latin America and other developing regions are headwinds. In the OE channel, a sudden drop mid-April at a small number of large customers indicates to us that there was some destocking. It's unclear if demand pull-through has changed, so we're watching orders closely. Third quarter sales of innovative products in the OE channel tell us our strategy to gain share is working. These products grew 12 points faster than legacy products last quarter, due in part to PowerCore. Third quarter PowerCore sales in aftermarket grew in the mid-teens to a record level; that's an important point. PowerCore has been around nearly for 20 years and this industry changing product is still driving strong growth.
By expanding our portfolio of razor-to-sell razor-blade products, we have won share in the first-fit market and then created a stable and profitable stream of recurring revenue. Innovative products have significantly contributed to success in recent years and they'll play a critical role in our future. Rounding out engine, aerospace and defense sales were up 20% last quarter; order timing and a soft comparison last year were the primary drivers.
Turning to the Industrial segment; third quarter sales declined 1.9%. The impact from currency was offset by benefits from BOFA and pricing. Third quarter sales of Industrial Filtration Solutions or IFS grew 2%. Excluding currency and BOFA, sales were roughly flat with last year, but there was some variability within the business. Starting with dust collection; local currency sales of new equipment declined in the high single-digits last quarter. We are still quoting new projects but customers are increasingly reluctant to make the investment. A notable exception is Latin America where our small base of new equipment sales nearly doubled in local currency. We are gaining share with a large global manufacturer as we evolve our customer engagement model. By leveraging our depth of knowledge and breadth of offering, we can help these customers improve outcomes at their facilities around the world, creating new value for them and us.
We also have momentum in dust collection replacement parts. We are investing in people and tools and we are seeing evidence of progress. For example, China sales were up more than 50% in local currency. With growing share and benefits from China's Blue Sky initiative, we expect to take the small business and grow it rapidly overtime. Additionally, replacement parts for dust collectors in the U.S. which is our most mature market, grew in the mid-single digits last quarter. Also in the U.S., we booked our first guest orders through e-commerce last quarter. We recently enabled this feature and while the dollar amount is still small, we believe it will drive profitable growth as we make it easier for potential customers to engage with us.
In process filtration, local currency sales were up nearly 20% and that's on top of 20% growth last year. To drive process filtration we have significantly increased the sales team and we are adding new production capacity. These product sell into the food and beverage industry at higher margins than our corporate average, helping to bolster our profitability. As expected, sales of Gas Turbine products or GTS were down 12% in local currency, last quarter. The decline was due to lower sales to new projects which we partially offset by significant growth in replacement parts. We are confident in our GTS positioning. Our disciplined management of the large turbine business combined with our focus on growing the replacement parts sales is driving year-over-year improvement in profit on a dollar and rate basis.
Results in Special Applications also matched our forecast. Excluding FX, sales declined about 3% driven by lower sales of Disk Drive filters that were partially offset by growth across the rest of the portfolio.
Before turning the call over to Scott, I want to summarize some of the successes we saw last quarter. First, our strategic investments to drive the Advance and Accelerate portfolio are getting results. Local currency sales of this portfolio were up in the high single-digits last quarter compared with a low single-digit increase for the balance of the company. Second, our razor-to-sell razor-blade model works. Innovative products in engine were up in the low double-digits and down flow evolution offering in dust collection was up in the mid-single digits. Third, our focus on replacement parts drives growth and adds stability. Replacement parts sales had a local currency increase of more than 10% last quarter versus a modest decline in sales of first-fit and new equipment. These products make up more than 60% of total revenue and they help to mitigate the impact of cyclicality in some of our businesses.
With that, I'll now turn the call over to Scott. Scott?"
Scott Robinson,0,"Thanks, Tod. Good morning, everyone. Sales grew 2% last quarter, including a 4% headwind from currency. As expected, the impact from FX was higher than what we've seen so far this year and we do think the pressure will lessen in fourth quarter. That dynamic was one reason we modeled the sequential step up in Q3 to be more muted than Q4 which is consistent with what I said at Investor Day. Of course, the sharp drop in backlogs late in the third quarter changes expectations, I'll discuss that later.
We generated EPS of $0.58 in the third quarter, which was up 9% from last year due primarily to taxes. Benefits from a lower corporate rate in the U.S. combined with stock option activity and other discrete items resulted in a tax rate nearly five points below last year. Based on Q3, our full year tax rate is now forecasted between 24.4% and 25.4%. In terms of business performance, third quarter operating margin declined 20 basis points to 14%. I want to remind everyone that we adopted the revenue recognition accounting standard in fiscal '19, which effectively diluted third quarter operating margin by 10 basis points.
Gross margin was also impacted by revenue recognition. Third quarter gross margin declined 40 basis points to 33.8% with half of the decline coming from the accounting change. We are still experiencing higher raw material and supply chain costs which we mostly offset with 150 basis points of benefits from pricing. Broadly speaking, the year-over-year and sequential trends in gross margin were favorable, and our third quarter performance was in line with forecast. Our operating expense rate was 30 basis points favorable to last year due to lower incentive compensation. In our segments, Engine's profit rate grew 40 basis points to 14.6%, that's 50 basis points without the revenue recognition impact. Third quarter was our strongest performance for Engine profit this year, and an incremental margin in the mid-20% range was the best in two years.
Pricing added 1.7% to Engine in the third quarter, helping to get gross margin modestly up from 2018. While pricing is a never-ending activity, we feel good about the practices we're developing and the results we're getting. We also had some expense favorability in Engine, including severance from lower incentive compensation. The profit rate in our Industrial segment was down 50 basis points from last year or 40 basis points without revenue recognition. The decline was driven by a higher expense rate reflecting investments in businesses like process filtration and connected solutions. We offset a small amount of the expense rate pressure with higher gross margin, reflecting strong GTS performance and a little pricing and better mix. While gross margins in both segments was up modestly, the consolidated rate was down a bit due to unallocated corporate cost and mix between segments.
Third quarter capital expenditures increased to $45 million from $27 million last year due to capacity expansion projects. New production for PowerCore, fuel and process filtration are big drivers, and we are expanding our footprint in every major region. Based on our progress, we now plan to invest about $150 million in CapEx this year. We did a small amount of share repurchase last quarter. Year-to-date, we have repurchased 1.6% of outstanding shares and we're on-track to hit 2% in fiscal '19. We paid dividends of $24 million last quarter, and last Friday we announced a 10.5% increase to our quarterly dividend. The larger than typical dividend increase comes after two years of record profits, with adjusted earnings up 18% last year and 13% so far this year. So we felt the move supported our long-term yield.
We have paid a dividend for more than 60 years and in 2016, we were proud to have been added to the high yield Dividend Aristocrats Index for 20 consecutive years of dividend increases. I think that's an impressive trend and last week's announcement demonstrates our commitment to the dividend and our confidence in the future of Donaldson. We also announced a new share repurchase program which replaces the prior authorization. Like the last program, we have capacity to repurchase upto 10% of our outstanding shares, signaling our continued commitment to share repurchases as another means of returning value to shareholders.
I want to switch gears now and cover the key changes to our forecast. Full year sales are now expected to grow between 3.5% and 4.5%, reflecting updated sales projection for off-road, aftermarket and IFS. Sales of off-road are now expected to decline in the mid-single digit. This guide implies fourth quarter sales will be down in the mid-teens, reflecting a sharp drop in backlog from a few of our largest customers. Aftermarket sales are expected to grow in the mid-single digits for fiscal '19. We expect a modest increase in fourth quarter, which includes a 2% headwind from FX. Once again, large OEs drove most of the change. We still expect On-Road will grow in the mid-teens and Aerospace and Defense will be up in the mid-single digits. Altogether, we project Engine sales will grow between 3.5% and 4.5% this year or 6.5% to 7.5% without currency.
The other notable change to our sales forecast was IFS. We now expect sales to grow in the high single-digits reflecting lower sales for new dust collection equipment. Excluding BOFA, fourth quarter sales of IFS are still projected to grow. There were no changes to the GTS or special applications forecast, which were year-over-year declines in the high-single and low-single digits, respectively. Our new forecast for the industrial sales growth is 4% to 5% or 7% to 8% without currency.
Fiscal '19 operating margin is projected between 13.8% and 14.2%. Excluding the impact from revenue recognition, we expect an increase of 10 basis points to 50 basis points from last year. The change from our prior forecast was driven by reduced operating expense leverage on a lower base of sales. Our full year gross margin forecast did not change, we still expect a year-over-year decline of about 50 basis points or 30 basis points above revenue recognition. Please note, that our forecast does not include any tariff on imports from Mexico. Although the U.S. is a net exporter for us, we do import a small percent of our cost of goods from Mexico. Like all of you, we are evaluating the details as they emerge.
Turning back to the FY '19 forecast; our full year EPS is now projected between $2.20 and $2.24, at the midpoint that's $0.12 below the prior forecast. Breaking that down, $0.02 came from Q3. Business performance was $0.04 short and the tax rate gave $0.02 back. The remaining $0.10 came out of the fourth quarter driven by lower sales. While we don't typically provide this level of detail, there is some unique dynamics between the quarters, which I touched on at Investor Day. In the 60 days since that presentation, changes to our customers' behavior have clearly impacted our perspective. What hasn't changed is our urgency related to gross margin improvement, and that work is in-flight.
New capacity gives us a chance to reset our supply chain, and we are seeing success for managing the price-cost relationship. Longer term, we can mix the company up by growing sales of higher margin products, like replacement parts, process filtration, hi-tech membranes and Venting Solutions. Between operational cost takeout and business performance, we plan to grow our gross margin and deliver all-time high operating margins by the end of fiscal '21; that's consistent with what we laid out at Investor Day. And I also want to remind you the story I shared that day. Recall that Tod and I went on a world tour last year to review budgets. Well, we're doing that again this year. We are very early in the overall process. But I want to share one item for 2020 that we have already identified.
As we reset the annual plan, which we do every year, we estimate a headwind from incentive compensation of about $10 million in 2020. We'll be working to offset that amount during our detailed budget reviews. At a high level, our goal for the 2020 plan is that we have a reasonable growth projections that balance expense discipline, with continued investments in our Advance and Accelerate businesses. As I frequently say, we are committed to delivering higher levels of profit on increasing sales and our entire team is aligned around that commitment. I'm excited to begin the deep dive into our 2020 plan and I look forward to sharing the details in a few months.
I'll now turn the call back to Tod. Tod?"
Tod Carpenter,0,"Thanks, Scott. For the record, I'm excited about the world tour too. Our planned process is more robust than ever. Our leaders are engaged and we are aligned around a clear set of strategic growth plans. We will continue to fund growth priorities and attack profit enhancement opportunities.
The top priority right now for our operations team is reducing costs and re-optimizing the supply chain. We are at an operational inflection point and the new capacity Scott referenced is a tool for increasing our gross margins. We have seen some pockets of success already with our lower levels of premium freight and better costing, where line transfers are happening, but there is still more work to do. We are also focused on our strategic growth priorities which include expanding our technologies and solutions, extending our market access and executing strategic acquisitions. I want to provide a couple of recent examples of how we are executing against these priorities.
Expanding technologies and solutions starts with innovation and we are world class. As our Chief Technology Officer, Michael Wynblatt says, the secret to leading in the filtration market is having great filter media and that's enabled by having great scientific fundamentals. That's where Donaldson is very different from our competitors. We design our media and can leverage R&D across multiple markets. We diversify with technology. The result is that we create premium products and drive higher returns on our R&D investments; this capability is part of our DNA and we are investing to make ourselves even stronger. We broke ground on our Material Research Center, a few weeks ago. We're building a new R&D facility to further strengthen our Material Science capabilities. Importantly, we are focused on breakthrough innovation. We will start with the fundamentals and then design technologies and products to further penetrate new and adjacent markets.
Another example of innovation is Connected Solutions. We have pilots happening with customers in both segments, and we recently introduced a commercial solution for monitoring truck engine air filters. Our solution uses existing telematics and helps the fleet managers optimize their maintenance schedule. We are selling the product for air filters today and we plan to add fuel and hydraulic monitoring in the future. In addition to the fleet managers, we have pilots going with major OE customers. Early indications are positive and we are excited about the partnership we are building with this new capability. These are just a couple of recent example of how we are executing our strategic priorities, but there are many more. By focusing on portfolio management and having global alignment, we are operating as one Donaldson team, and I'm confident that we can create long-term value for all our stakeholders.
Now, I'll turn the call back to Adam to open the line for questions. Adam?"
Operator,1,"Thank you. [Operator Instructions] And your first question comes from Brian Drab of William Blair. Brian, your line is open."
Brian Drab,1,"Hi, good morning. Thanks for taking my questions. I just wanted to ask -- and Scott, I think you may have touched on this. But just with respect to the longer-term target, you have -- the targets that you gave for the -- out through fiscal 2021 at the Investor Day; with the revenue guidance -- first, focusing on revenue -- with the revenue guidance coming down for this year, do we have to take up the expectation for fiscal 2020 and 2021? I came out of that Analyst Day thinking, you grow 7% this year and then 4% organically beyond, and now it feels like we have to take that 4% up to maybe 5% or a little higher."
Scott Robinson,1,"So the targets that are listed in our Investor Day presentation, you referred to -- I mean, those are still in existence, we still stand by those. We obviously brought down the fourth quarter a little bit, so just inherently to reach those same exact numbers, you need to adjust upward a little bit to get there, but we still have a range and we still are committed to that range of outcome for the FY '18 to FY '21 framework that we listed out at the Investor Day."
