type,name
Executives,"Josh Jepsen - Director, Investor Relations"
Executives,Raj Kalathur - Chief Financial Officer
Executives,"John Lagemann - Senior Vice President of Sales and Marketing, Americas"
Executives,"Brent Norwood - Manager, Investor Communications"
Analysts,Tim Thein - Citigroup
Analysts,Jamie Cook - Credit Suisse
Analysts,Seth Weber - RBC Capital Markets
Analysts,Ann Duignan - JPMorgan
Analysts,Andy Casey - Wells Fargo Securities
Analysts,Jerry Revich - Goldman Sachs
Analysts,David Raso - Evercore
Analysts,Joe O’Dea - Vertical Research Partners
Analysts,Courtney Yakavonis - Morgan Stanley
Analysts,Mig Dobre - Baird
Analysts,Steve Fisher - UBS
Analysts,Rob Wertheimer - Melius Research
Analysts,Chad Dillard - Deutsche Bank
Analysts,Ross Gilardi - Bank of America Merrill Lynch
