speaker,q&a,content
Company Participants,0,"Erinn Kohler - Senior Director, Investor Relations and Corporate Planning
Dave Powers - President and CEO
Steve Fasching - Chief Financial Officer"
Conference Call Participants,0,"Camilo Lyon - Canaccord Genuity
Jonathan Komp - Baird
Sam Poser - Susquehanna
Rafe Jadrosich - Bank of America Merrill Lynch
Tom Nikic - Wells Fargo"
Operator,0,"Good afternoon and thank you for standing by. Welcome to the Deckers Brands’ Fourth Quarter and Fiscal Year 2019 Earnings Conference Call. At this time, all participants are in a listen-only mode. Following the presentation, we will conduct a question-and-answer session. Instructions will be provided at that time for you to queue up for questions. [Operator Instructions]
I would like to remind everyone that this conference call is being recorded. I will now turn the call over to Erinn Kohler, Senior Director, Investor Relations and Corporate Planning. Please go ahead."
Erinn Kohler,0,"Thank you everyone for joining us today. On the call is Dave Powers, President and Chief Executive Officer; and Steve Fasching, Chief Financial Officer.
Before we begin, I would like to remind everyone of the company’s Safe Harbor policy. Please note that certain statements made on this call are forward-looking statements within the meaning of the federal securities laws, which are subject to considerable risks and uncertainties. These forward-looking statements are intended to qualify for the Safe Harbor from liability established by the Private Securities Litigation Reform Act of 1995.
All statements made on this call today, other than statements of historical facts are forward-looking statements and include statements regarding our anticipated financial performance, including, but not limited to, our projected revenue, margins, expenses, earnings per share, cost savings and operating profit improvement, as well as statements regarding our strategies for our products and brands.
Forward-looking statements made on this call represent management’s current expectations and are based on information available at the time such statements are made. Forward-looking statements involve numerous known and unknown risks, uncertainties, and other factors that may cause our actual results to differ materially from any results predicted, assumed or implied by the forward-looking statements.
The company has explained some of these risks and uncertainties in its SEC filings, including in the Risk Factors section of its annual report on Form 10-K and quarterly report on Form 10-Q. Except as required by law or the listing rules of the New York Stock Exchange, the company expressly disclaims any intent or obligation to update any forward-looking statements.
With that, I will now turn it over to Dave."
Dave Powers,0,"Thank you, Erinn, and good afternoon, everyone. It gives me great pleasure to share with you that Deckers has achieved a significant milestone in its history. For the full fiscal year 2019, we reached over $2 billion in annual revenue in a very profitable manner. This accomplishment is a testament to the hard work that our team has put into our company and I am very proud of the results this dedication, discipline and focus have been able to produce.
In addition to breaking through the $2 billion mark in topline revenue, the organization has successfully delivered on our long-term margin target a year ahead of schedule. A solid performance recorded in the fiscal year 2019 result.
These results include, operating margin well beyond the prior target of 13%, driving more than the committed $100 million of operating profit improvement over the past two years and delivering returns on invested capital above the benchmark 20%.
With the strides that the organization has made, especially in terms of earnings performance and cash generation, we believe that we are now positioned better than ever to invest in our brands and channels within key areas of opportunities for future growth.
As a reminder, the areas of focus that we have identified include, investments in marketing to build awareness and adoption of the HOKA ONE, ONE brand and growing the UGG Men’s and UGG Women’s non-core category, as well as investment in technology to enhance e-commerce capabilities to evolve how we engage and grow with our consumers, and talent tools and analytic capabilities that will allow us to maximize the above opportunity.
Today, I will share brand and channel level highlights from our fourth quarter performance and fiscal year 2019 in review before handing the call over to Steve to walk through our financial results in more detail, including an outlook for the first quarter and full fiscal year 2020.
To recap the recent performance, revenue in the fourth quarter was $394 million, coming in above the high end of our guidance and 1.6% less than the same period last year, with the decline to last year mainly due to retail store closures. Despite that, non-GAAP EPS came in at $0.85, as compared to $0.50 last year.
For the full year, revenue was at record $2.02 billion, up 6.2%, while operating income increased to $327 million, representing a 16.2% operating margin and earnings per share of $8.84, also a record high.
In reviewing our performance over the past two years, our revenue has grown over 6% each year, our non-GAAP operating profit dollars have grown 40.5% on an annualized growth rate and non-GAAP operating margins have increased from 9.2% to 16.2%, representing a 700 basis point expansion, all delivering a two-year annualized non-GAAP earnings per share growth rate of 52%.
While these results exceeded our initial outlook, as Steve mentioned on our last call, we experienced an exceptional selling environment this year in the third quarter and drove much better than expected results than what we would normally plan for.
Now, turning to performance by group, starting with the Fashion Lifestyle Group, UGG sales declined by 7% in the fourth quarter to $239 million, largely due to retail store closures and international softness, partially offset by strength in domestic wholesale.
The fourth quarter result was higher than previous guidance primarily related to earlier shipments of spring product moving out of Q1 fiscal 2020 into Q4 fiscal 2019. For the year, UGG of sales increased 2% to $1.533 billion, with domestic wholesale and e-commerce accounting for most of the gain.
During the year, UGG experienced amplified success with younger consumers as evidenced by year-round super growth aided by the newly introduced Fluff Yeah collection, an expansion of the Tasman, continued demand for the Classic Mini and Mini Bailey Bow, and accelerated growth of the new male franchise, which included incremental purchasing from both male and female consumers.
The UGG team has been focused on de-seasonalizing the business by growing our spring/summer product offering. Our recent result underscores the progress we have made on this important front. In fiscal year 2019, UGG successfully redistributed its category mix.
In conjunction with UGG’s domestic wholesale allocation and segmentation strategy of women’s core classic product, the brand saw increases of over 25% in women’s shoe and sandals categories.
Equally important, UGG brand interest in the U.S. is on the rise. According to Google Trends, interest in UGG over the past year grew by 7%. During the fiscal year, UGG acquired nearly 1.5 million new customers and two owned DTC channels, which we believe is the result of delivering compelling products and marketing that resonate with a more diverse consumer base. These trends are representative of why we believe in dedicating investment to target customer acquisition and engagement through digital marketing.
Next, Koolaburra in the fourth quarter grew by 67% to $3.6 million, rounding out a fantastic year as annual revenue more than doubled to $44 million, driven by strong full price sales with major account.
We have high confidence in our strategy of focusing on the family value channel for this brand and next year looks even stronger based on a robust order book. Koolaburra continues to gain market share that is incremental to all these business and has already shown the ability to drive profit to our bottom line.
Switching gears to our Performance Lifestyle Group. For the second consecutive quarter, HOKA set a revenue record with the fourth quarter growing by 33% to $57 million. HOKA achieved impressive growth in fiscal 2019, with sales increasing 45% to $223 million.
The HOKA team’s dedication to creative innovative product rooted in authentic performance continues to be the driver of exceptional result. The Bondi, Clifton, Arahi, and Gaviota Styles represent the core of the HOKA brand. These of course styles have continued to deliver significant growth, while the brand also continues to diversify the product offering, capturing new consumers, as well as satisfying incremental needs of existing loyal customers.
Since launching in March 2019, the Sky Collection has received initial positive feedback from both wholesale account and consumers as the brand now expand its reach into the hiking category. The Sky collection is yet another example of how the brand is expanding its category reach, while staying firmly focused on a commitment to delivering authentic performance footwear in the marketplace.
With the continued expansion of category offering, the seasonality of the HOKA brand is beginning to smooth out throughout the year and the team is strategically planning the timing of product launches. On May 1, 2019, HOKA introduced the Carbon X, establishing its impressive credentials just four days later with a record setting attempt.
I would like to congratulate Jim Walmsley on becoming a new world record holder for the 50-mile distance, in doing so, while wearing HOKA’s Carbon X product. Having just launched to consumers worldwide on May 15th, the Carbon X is one of HOKA’s most innovative products released to-date with the carbon-fiber plate to help athletes accelerate and propel forward combined with PROFLY X foam, our lightest and most resilient foam yet. We are looking forward to seeing more record-breaking performances in this shoe.
Within the U.S. HOKA’s wholesale business was up 30% on the year and the brand is now a top three brand in multiple specialty running account. We remain focused on growing our domestic wholesale presence through high touch premium specialty retailer.
The HOKA team is gaining market share with an existing distribution for strategic category expansion. In addition to wholesale, domestic owned e-commerce continues to add meaningful volume year-over-year as we work to capture incremental replenishment business.
On the international front, HOKA sales were up 59% for the year, with the largest share coming from Europe. As we noted in the past, Europe remains the largest near-term opportunity for growth, but at the same time the APAC region is beginning to show adoption. As we work to grow internationally, we are concentrating on building awareness with consumers through athletic performance, aligned with our domestic marketplace strategy.
Turning to Teva and Sanuk, I am pleased with the team’s dedication for driving profit to Deckers’ bottomline. Both brands experienced an increase in gross margin and contribution margin for the second consecutive year.
For Teva sales were up 3% on the year to $137 million, a record high for revenue. Growth was driven by a considerable increase in Japan, as the brand functional outdoor appeal was complemented by premium fashion collaboration.
In addition to record revenue Teva’s operating profit dollar contribution was at highest on record increasing over 30% versus the previous year. On the product side, the brand recently celebrated its Born in the Canyon launch to commemorate the Grand Canyon’s 100th year as a national park and Teva’s 35th anniversary.
Turning to Sanuk, sales for the year were down 9% to $83 million. The result was driven by a high single-digit decline in U.S. wholesale. From a product perspective, revenue was negatively affected by the starkness of the Yoga Sling franchise.
Over the last year, the brand has been working to diversify its product offerings by introducing Chill products, which represent boots and slipper silhouette. Early reads of Chill product have been strong in attracting new consumers to the brand as 75% of online purchasers had previously not owned Sanuk.
Now moving to channel performance, total company wholesale revenue increased 6% for the quarter and 10% for the year. As mentioned in our third quarter call, the U.S. marketplace allocation and segmentation implementation had been very successful. As a result, we will be implementing the strategy across Europe in the coming year, with the hopes of reigniting the market to drive healthy, full priced sales in future years.
Shifting to our direct-to-consumer channel, DTC comps decreased 0.5% for the quarter. For the year, the total comp increased 1.9%. Comps for DTC were strong domestically but challenged internationally.
We believe it suppressed DTC comps internationally a larger result of macro headwinds mentioned in our third quarter earnings call, but we are also actively engaged in enhancing the health of our brands across all market.
Overall for the year, total direct-to-consumer sales were flat. Fiscal 2019 was another solid year for online business, as we added more than 2 million new customers globally across our brand portfolio. We continue to invest in our digital infrastructure to drive and support online engagement and conversion.
As I reflect on the past year, I am incredibly proud of the organization’s achievement that went far beyond what we had targeted, both for fiscal 2019’s initial guidance, as well as our long range goal. I am delighted by the team’s successful accomplishment including highlights coming from the growth of non-core categories within its offering complemented by the implementation of our U.S. wholesale allocation and segmentation strategy.
Deckers’ rapid momentum across various categories within authentic performance footwear and using innovation and brand ethos was the driving force, and continued supply chain efficiencies and discipline cost management delivering increasing levels of profitability and generating further opportunities to fuel growth as we look to the future.
While we feel favorable marketplace conditions and weather patterns aided our performance this past fiscal year, we believe in our strategies and remain confident in our ability to deliver exceptional levels of performance as we move into the next phase of our growth.
With that, I will hand the call over to Steve to provide details on the fourth quarter and fiscal 2019 financial results, as well as our initial outlook on the first quarter and full fiscal year 2020."
Steve Fasching,0,"Thanks, Dave, and good afternoon, everyone. As Dave just walked you through, it was a very exciting year for Deckers, as we have achieved a number of significant milestones. Now I will take you through our fourth quarter and fiscal 2019 results in greater detail then provide our initial outlook on the first quarter and fiscal year 2020.
Please note, throughout this discussion, where I refer to non-GAAP financial measures, I am referring to results before taking into account restructuring and other charges that our management believes are not core to our ongoing operating result.
Also note, our non-GAAP results are not adjusted for constant currency with the exception of our direct-to-consumer comparable sales. A reconciliation between our reported GAAP results and the non-GAAP results can be found in our earnings release that is posted on our website under the Investors tab.
Now to our results for the fourth quarter. Revenue was $394 million, down 1.6% from last year but above the high end of our guidance range by $20 million. The better than expected performance was driven by $15 million of earlier than anticipated wholesale shipments in the UGG brand, delivering spring summer product into the marketplace ahead of schedule and $5 million in our performance driven by domestic e-commerce sales for the UGG brand.
Gross margin was 51.6%, up 360 basis points over last year. The gain in gross margin was due to continued improvement from our supply chain effort, better full price selling as we exited the prior quarter with very low levels of seasonal inventory in the marketplace and higher margins attained on close out sales as the channel is more tightly managed.
These gains were partially offset by channel changes in the quarter largely due to timing of e-commerce revenue recognition with those sales recorded in Q3 and the negative impact of foreign currency exchange rate fluctuation.
Non-GAAP SG&A expense was $170 million for the quarter, down from $173 million last year with the reduction primarily being driven by reduced retail store expense as compared to prior year quarter.
Non-GAAP EPS came in at $0.85 compared to our guidance range of flat to $0.10 and versus last year of $0.50. The $0.75 peak to the high end of our guidance resulted from approximately $0.25 from better than expected margins, $0.20 due to the early shipment of spring wholesale order, $0.20 from additional expense savings in the quarter, primarily related to retail loss [ph] and unbilled headcount vacancies and $0.10 from higher than expected sales driven by domestic e-commerce in the UGG brand.
Now to sum up our fiscal 2019. Revenue was $2.02 billion, representing over a 6% increase for a second year in a row. The HOKA brand contributed to the bulk of the year-over-year increase, up $70 million, with UGG and Koolaburra both contributing an incremental $26 million over the prior year.
Gross margin was 51.5%, up 250 basis points over last year. The gain in gross margin was driven by favorable marketplace conditions in the third quarter contributing to our ability to achieve high full-price sell-through of product with minimal discounting and promotional activity, reduced usage of airfreight in the second quarter due to the ability to take advantage of the in-season opportunity to use less expensive freight options for the delivery of certain inventory shipments and the continued benefit of our supply chain initiatives which again positively contributed to our gross margin gains in the year.
As I mentioned on our last call, we estimate that approximately 100 basis points to 150 basis points of this upside is due to favorable conditions within the year that we were able to capitalize on and we will not plan for these same conditions to repeat next year.
However, if variables outside of our immediate control present opportunity within the year, we believe that we are well poised to capture incremental profit as we diligently manage our operation. I will provide a full picture of gross margin guidance for the next fiscal year in a moment.
Non-GAAP SG&A expense for the year was $713 million, up from $695 million last year. As a percentage of revenue, SG&A improved $120 basis points to 35.3% from 36.5% last year. Non-GAAP operating income increased 38% to $327 million from $236 million last year, while operating margin increased 380 basis points to 16.2%.
As Dave mentioned earlier in the call, we have successfully added over $100 million of operating profit as compared to levels in fiscal 2017, when we set out to execute on our operating profit improvement plan.
I am confident that as we move into the next phase of our strategic goals, we will be able to maintain healthy levels of profitability, while strategically investing in our key initiatives designed to accelerate topline growth.
Both GAAP and non-GAAP earnings per share came in at $8.84 compared to our guidance range of $7.85 to $7.95 versus year ago $5.74. The upside to expectation was largely a result of the performance in fourth quarter as I just walked through, in addition to some differences in tax rate and share count when looking at results on a quarterly basis versus the full year basis.
Now turning on to our balance sheet. We ended fiscal 2019 with $590 million in cash compared to $430 million last year. Our cash balance is net of share repurchase in the fiscal year, which totaled $161 million. Inventories were down 7% at $279 million, as compared to $300 million last year.
We had no short-term debt outstanding under our credit line and on a pro-forma basis our calculated return on a invested capital improved to over 20%. We did not repurchase any stock during the fourth quarter and $350 million of our stock repurchase authorization remains available as of March 31, 2019.
Switching gears to our global backlog inclusive of bulk orders, the total as of March 31 was $978 million, which represent a year-over-year increase of about 14%. As a note, last year’s backlog was missing significant orders from several major accounts, due to later order placement last year. If backlog were adjusted to account for the shift in order activity, the year-over-year increase would be more in line with our guided revenue expectation.
As a reminder, our backlog at March 31st only includes orders from wholesalers and distributors for delivery in April through December and represents less than half of our total revenue for the year. The figure does not include our company B2C sale, all of the fourth quarter or any future orders that we may book such as at once orders or closed out.
Finally, moving to our outlook for fiscal year 2020. As we move forward with our strategic priorities, we intend to fuel topline growth to plan investment in the categories of opportunity that we have previously outlined.
As we have delivered cost savings ahead of schedule, we still intend to reinvest a portion of these savings into the business to create a strong set up for our brands now and in the future. We will target to maintain top tier level operating margins as compared to our peer group competitively delivering growth in line with levels of profitability that we have created.
For the fiscal year 2020, we expect revenue to be in the range of $2.095 billion to $2.12 billion, which represents year-over-year growth of 4% to 5%. Gross margins to be in the range of 50% to 50.5%. This is 100 basis points to 150 basis points lower than fiscal year 2019, which is aligned with the expectations laid out on our prior earnings call.
The headwinds we expect to experience in fiscal year 2020 include, currency headwinds of 40 basis point, additional freight expense of 20 basis points and normalized conditions during our peak season resulting in more promotional environment impacting margins up to approximately 90 basis points.
As we reinvest in our growth drivers within our brand portfolio, we expect SG&A to be at or slightly better than 36% of sales, all resulting in an expected operating margin in the range of 14.2% to 14.5%.
We are also projecting an effective tax rate of approximately 21%, which represents an increase over fiscal year 2019 due to one-time benefits received in the year. Therefore, we are projecting diluted earnings per share between $8.20 to $8.40.
In addition, we expect capital expenditures to be between $35 million and $40 million. Our fiscal 2020 guidance excludes any charges that may be considered one-time in nature and does not include the impact of additional share repurchases.
Now with our lower projected operating margin for fiscal year 2020, I think it is important to acknowledge how the range of 14.2% to 14.5% compares to the results delivered in fiscal year 2019 at 16.2%.
Within our gross margin guidance, we are planning for a normalized condition including, using air freight and peak season promotional activity, which will unwind approximately 100 basis points to 150 basis point.
As foreign currency exchange rates have fluctuated as compared to levels a year ago, we estimate that we will face a headwind this year of approximately 40 basis points, with the remaining difference due to planned investment in marketing and technology designed to improve our connection with consumers. These investments represent roughly 10 basis points to 30 basis points of operating margin and we will control the related levers of variable spend in order to tightly manage our overall profitability. As a reminder, our prior strategic long-term target for fiscal 2020 operating margin was 13% and the current anticipated 14.2% to 14.5% is well beyond this earlier goal.
To provide some additional details on our fiscal year 2020 revenue expectation by brand, the following applies. UGG is expected to be up low single digit as growth in domestic, wholesale and e-commerce is being offset by the previously discussed order timing shift out of Q1 fiscal year ‘20 and into quarter four fiscal year ‘19. The allocation and segmentation strategy we have for this year for Europe continued net retail store closures and again FX headwinds as the result of declining exchange rate.
Koolaburra is expected to deliver mid-40%s to upper-50%s growth, resulting from continued domestic wholesale expansion in the family value chain, HOKA growing in the mid-20% range fueled by both the U.S. and international expansion, Teva, roughly flat revenue largely due to growth in wholesale domestically and in Asia-Pacific that’s offset by a decline in our EMEA whole channel with the shift from wholesale through distributor. Sanuk flat to last year as the brand continues to drive ASPs in a higher proportion of full-price sales in an effort to better to control the North America marketplace.
Our DTC comp is expected to be flat to growing positive low single-digit in light of continuing challenging traffic environment in retail, as well as an assumption of a more normalized weather season. Additionally, we expect in-season wholesale cancellations to be in line with reorders.
Now for the first quarter of fiscal 2020, we expect revenue to be in the range of $250 million to $260 million and non-GAAP diluted loss per share of approximately a loss of $1.25 to a loss of $1.15 compared to a loss a year ago of $0.98.
The drivers of the year-over-year variance in EPS include the impact of the shift of the $15 million in revenue mentioned earlier moving out of quarter one fiscal year ‘20 and into quarter four of fiscal year ‘19. Adjusting for this shift, earnings per share would be roughly flat to last year, as well as timing of SG&A spent within the year.
As a note, we are aware of and continue to monitor tariff decisions and work closely with our supply chain operations to identify risk mitigation strategy. This includes the potential to adjust shipment timing, which could have abnormal effects on the timing of inventory level.
As mentioned on previous calls, we have been actively shifting production outside of China in less than 20% of our global total would be subject to tariff. We recently joined over 170 other companies in indorsing a memo urging the President to exclude footwear from the next tranche of Teva. Our teams will continue to track, update and will make decisions bearing in mind the best interests of all of our stakeholders.
With that, I will now hand the call back to Dave to provide more details on our strategic outlook and priorities for the upcoming year."
Dave Powers,0,"As Steve mentioned, the upcoming fiscal year is about positioning our brand to drive elevated levels of topline growth in future period, while maintaining top tier levels of profitability. Our strategies are working. We have delivered our long-term targets a year early and the organization will remain focused on investing in our strategic growth driver.
This includes, building awareness of the HOKA ONE ONE brand, growing UGG Men’s and UGG Women’s noncore categories, enhancing e-commerce capabilities to evolve how we engage with our consumers, as well as investing in analytics and technology that will allow us to maximize the above opportunity.
We will deliver strategic growth in these areas by investing in demand creation and leveraging the right marketing tactic at optimized levels. Deckers is adding new capabilities that will amplify personalization within consumer touch point, allowing our brands to build stronger relationships with both new and existing audiences, resulting in an even greater affinity for our brand.
We have also added competencies that will enhance our ability to measure marketing effectiveness, ultimately empowering our teams to easily shift investment to improve both short and long-term return.
As we look out into fiscal ‘20, investments in innovation are critical to enable our organization to deliver higher topline growth in the future. I am excited to share more with the progress we are making with innovation later in the year.
With our fiscal 2020 guidance including operating margins of 14.2% to 14.5%, Deckers remains at top tier levels of profitability among our peer group, even with the strategic and reinvestment and is dedicated to maintaining this data as we drive healthy revenue growth.
As I reflect on our success in fiscal 2019, I am proud of our financial performance and equally proud of the work our teams have done to operate our business in a sustainably minded way. We have made great progress in advancing our sustainable development goals. In particular, we are investing in the communities in which we operate globally, promoting diversity and inclusion across our organization and working to preserve the environment for future generations.
With continued organizational success, we have the ability to be leaders in this space by advancing sustainable business practices to deliver value both financial and environmental to all stakeholders.
This has been an exceptional year and I’d like to thank all of our employees, customers, shareholders, Board of Directors and their families for their support and helping us drive to these levels of performance well ahead of our original plan.
I believe our results demonstrate the strength of the foundation we have built, our commitment to making improvements in the business and delivering value to all of our stakeholders. I am incredibly proud of our accomplishments and look forward to continue success in the years ahead.
With that, I will turn the call over to the operator for Q&A. Operator?"
Operator,1,[Operator Instructions] The first question comes from Camilo Lyon with Canaccord Genuity. Please go ahead.
Camilo Lyon,1,"Thank you. Hi, guys. Great job on a great year."
Dave Powers,1,"Thanks, Camilo."
