speaker,q&a,content
Company Participants,0,"Robert Williams - Head of Investor Relations
Jeffrey Clarke - Vice Chairman, Products and Operations
Thomas Sweet - Chief Financial Officer
Tyler Johnson - Treasurer"
Conference Call Participants,0,"Wamsi Mohan - Bank of America Merrill Lynch
Shannon Cross - Cross Research LLC
Toni Sacconaghi - Sanford C. Bernstein & Co., LLC.
John Roy - UBS Investment Bank
David Eller - Wells Fargo Securities
Steven Milunovich - Wolfe Research, LLC
Kathryn Huberty - Morgan Stanley
Roderick Hall - Goldman Sachs Group Inc.
Jim Suva - Citigroup Inc.
Matthew Cabral - Credit Suisse
Simon Leopold - Raymond James & Associates, Inc."
Operator,0,"Good afternoon, and welcome to the Fiscal Year 2020 First Quarter Financial Results Conference Call for Dell Technologies Incorporated. I'd like to inform all participants, this call is being recorded at the request of Dell Technologies. This broadcast is the copyrighted property of Dell Technologies Incorporated. Any rebroadcast of this information, in whole or part, without prior written permission of Dell Technologies is prohibited. Following the prepared remarks, we will conduct a question-and-answer session. [Operator Instructions]
I'd like to turn the call over to Rob Williams, Head of Investor Relations. Mr. Williams, you may begin."
Robert Williams,0,"Thanks, Ian, and thanks for joining us. With me today are our Vice Chairman, Jeff Clarke; our CFO, Tom Sweet; and our Treasurer, Tyler Johnson.
During this call, we will reference non-GAAP financial measures, including non-GAAP revenues, gross margins, operating expenses, operating income, net income, EPS, EBITDA, adjusted EBITDA, and adjusted free cash flow. A reconciliation of these measures to their most directly comparable GAAP measures can be found in our web deck and press release.
Please also note that all growth percentages refer to year-over-year change, unless otherwise specified.
Finally, I'd like to remind you that all statements made during this call that relate to future results and events are forward-looking statements based on current expectations. Actual results and events could differ materially from those projected due to a number of risks and uncertainties, which are discussed in our web deck. We assume no obligation to update our forward-looking statements.
Now I'll turn it over to Jeff."
Jeffrey Clarke,0,"Thanks, Rob. Good afternoon, everyone. I would like to cover three topics before Tom goes through the financial results. First, our view on the IT spending environment; second, new solutions we have introduced; and third, the current demand backdrop. We are in the midst of a technology-led investment cycle that is accelerating digital transformation. The latest IDC forecast for IT spending through 2022, excluding telecom, supports this view with projected growth to be more than 2x world GDP. That investment is fueled by exponential increase in data and data-centric workloads that are driving better business outcomes alongside in an increasingly diverse and mobile workforce.
Our investments in solutions and innovations are pointed directly at this opportunity. We have a differentiated portfolio that is delivering solutions from the edge to the core to the cloud and our customers are taking advantage of the value that Dell Technology provides.
This is all clear earlier this month when we hosted 15,000 customers, partners and industry experts at Dell Technologies World. At this event, we unveiled the Dell Technologies Cloud, a new set of cloud infrastructure solutions to make hybrid cloud environments simpler to deploy and manage as customers continue to move towards hybrid cloud environments.
We announced a new Data Center-as-a-Service offering. This fully manned solution brings the simplicity of public cloud service consumption to an on-premise environment. This service can be combined with Dell Technologies Cloud platforms or public cloud on Dell Technology Solutions like VMC on AWS to create a singular and seamless management experience across the edge, core and cloud environments.
In addition, Michael, Satya Nadella and Pat Gelsinger announced an expanded partnership with Microsoft to enable our customers to extend their on-premise VMware Cloud environments to Azure. And earlier in the quarter, we announced the industry's first jointly engineered hybrid cloud infrastructure stack that brings together VxRail and VMware Cloud foundation to facilitate compute storage and network virtualization delivering the fastest ramp to the Dell Technologies cloud.
All of these solutions represent breakthroughs in cloud innovation that enables a flexible range of IT and management options with tight integration and a single vendor experience for purchasing, deployment, services and financing. They provide customers an operational hub for their hybrid clouds on-premise with consistent cloud infrastructure across all cloud types.
To advance customers workforce transformation, we announced Dell Technologies Unified Workspace that helps our customers fundamentally change the way they deployed, secure, manage and support their devices. Unified Workspace provides a full PC lifecycle experience and provisioning strategy all powered by the cloud by integrating VMware’s Workspace ONE which enables customers to access any application on any device, anytime, SecureWorks, Threat Intelligence and Detection to prevent and detect and respond to potential security issues and Dell Provisioning and Deployment Services on our award winning commercial PCs.
These examples best demonstrate how Dell Technologies is innovating and collaborating across the physical and virtual infrastructure, cloud, PCs, security and services to deliver highly integrated solutions for our customers. And we are just getting started as we build on our leading positions in software-defined data center, enterprise, hardware, security and PCs.
Shifting gears to the current demand environment. Our external storage business is healthy, delivering solid year-over-year orders growth. Our sales teams remain optimistic about our portfolio and positioning as we head into Q2 and beyond. In addition, software-defined data center solutions and HCI continue to grow at a healthy clip with VxRail growing triple digits again in Q1.
Turning to servers. The industry saw unprecedented growth last year. We planned for slower growth this year, but – demand environment was softer than we and the industry expected. We were consciously more selective on larger server deals during the quarter, particularly in China and we focused on acquiring new customers and balancing topline and bottom line results across the entire server business. The result, a decline in revenue, but with higher profitability.
We have built the business to be successful in any environment, whether the market expands or contracts, we expect to outperform the industry, and when IDC releases calendar Q1 share data later in Q2, we anticipate gaining share again in servers. You should expect us to continue to balance growth and profitability. We did that in Q1 and you should expect us to focus on balance in Q2.
Switching to our client business. We are seeing continued strength in commercial PCs driven in part by increased coverage and small and medium business and the Windows 10 Refresh. In a growing market, we gained 220 basis points of share according to IDC in calendar Q1.
We gained worldwide PC share for the 25 consecutive quarter according to IDC with share up 80 basis points. Longer-term, we remain optimistic about IT spending as organizations continue to invest in software-defined data center as well as IT infrastructure to support their edge and cloud strategies and no one is better positioned than Dell Technologies to help our customers with these needs.
With that, I'd like to turn it over to Tom to talk about the Q1 results."
Thomas Sweet,0,"Thanks, Jeff. Our model is focused on long-term profitable growth with the ability to adjust as needed based on market conditions. We are focused on growing faster than the industry and our competitors, growing operating income and EPS faster than revenue and generating strong cash flow over time. We executed against these strategic focus areas in Q1 as we balanced revenue and profitability with market conditions.
Revenue was $22 billion, up 2% and our deferred revenue balance increased to $24.2 billion, up 15%. FX was a headwind this quarter, impacting year-over-year growth rates by approximately 280 basis points. Gross margin was up 7% to $7.4 billion and was 33.8% revenue, up 170 basis points driven by lower component costs from balanced pricing in both servers and PCs.
Operating expenses were $5.2 billion, up 7% primarily due to investments we have made in our sales coverage and were 23.8% of revenue. Operating expenses were down sequentially consistent with comments on our year-end call.
As a reminder, we discussed our expectations that our investments in sales capacity and coverage would add operating expense and that we expect to begin to see the benefit of these investments ramp as we move into the second half of the year.
Operating income was up 8% to $2.2 billion or 10% of revenue. Our EPS of $1.45 benefited from strong operating results, but also from the lower tax rate in the quarter. Adjusted EBITDA was $2.6 billion or 11.7% of revenue and $10.5 billion on a trailing 12-month basis.
Although Q1 tends to be our lowest cash flow quarter due to revenue seasonality and timing of annual bonus payouts, we generated cash flow from operations of $682 million. Adjusted free cash flow was $116 million. We repaid approximately $400 million of gross debt in the quarter and we have now paid down $15 billion of gross debt since the EMC merger. We remain on track to repay approximately $4.8 billion of gross debt this year.
Shifting to our business unit results. ISG revenue was $8.2 billion, down 5%, while storage order growth was solid. As Jeff mentioned, storage revenue was down 1% to $4 billion as we built backlog given the timing of when storage orders were received.
Servers and networking revenue was $4.2 billion, down 9%. Recall that we grew 41% in Q1 of last year, we did plan for slower server growth coming into this year, but we did see some slower server growth than we anticipated. This was more pronounced in a few areas, principally China and in certain large enterprise opportunities.
We have discussed in the past that we are continuing to focus on expanding the server customer base and we balanced revenue growth and profitability as we went through the quarter. ISG operating income was $843 million or 10.3% of revenue. Operating margin percentage was down 50 basis points due to investments in sales coverage which offset higher gross margins.
Our VMware business unit revenue was $2.3 billion, up 13%. Operating income was $614 million or 26.9% of revenue. Based on VMware standalone results reported earlier today, the Company generated license bookings growth in all product categories with NSX up over 40% and vSAN up over 50% year-over-year.
CSG revenue was $10.9 billion, up 6%. Within CSG commercial revenue was $8.3 billion, up 13% driven by double-digit growth in commercial notebooks, desktops and workstations. Consumer revenue was $2.6 billion, down 10% as we prioritized commercial mix in the higher end of consumer PCs.
We saw better profitability in CSG this quarter due to component cost declines, commercial consumer mix and pricing discipline. CSG operating income was $793 million or 7.3% of revenue. Going forward, we continue to balance revenue and profitability against market dynamics. Dell Financial Services originations were $1.7 billion, up 2%.
Turning to our balance sheet and capital structure. We ended the quarter with a cash and investments balance of approximately $9.8 billion. During Q1, we refinanced approximately $6 billion of debt, freeing up fiscal year 2020 cash flow to repay longer dated debt and reduce our larger maturity towers coming due in 2021 and 2023.
Our core debt balance ended the quarter at $38.6 billion. Net core debt, which is core debt, less cash in investments excluding unrestricted subsidiaries ended Q1 at $33.2 billion. Please see Slide 13 in our web deck for more detail.
We remain committed to maximizing free cash flow, reducing leverage and achieving investment grade ratings. As we head into Q2, we continue to monitor the macro economic environment, the IT spending environment and ongoing trade discussions between the U.S. and China. With the help of our supply chain team, we have navigated the first three China tariff list and are well positioned against the announced tariff increase from 10% to 25%.
We have been planning for a potential [fourth list] which could impact notebooks and monitors. There was not a firm target date in place, but we will adjust our global supply chain is needed to minimize the impact to our customers. We do expect component costs to continue to decline through at least the next two quarters though at a lower rate than we saw in Q1.
Our direct model and associated lower inventory position provides flexibility relative to our competitors. We will continue to be disciplined on pricing as we moved through the year, but we will also ensure that we adjust as appropriate given market and competitive dynamics.
Moving to guidance. Based on Q1 results and our current expectations for the balance of the year, we are trending toward the midpoint of the GAAP and non-GAAP revenue ranges for the year and above the midpoint of our GAAP and non-GAAP operating income ranges. We now expect our GAAP EPS outlook to be better than the high-end of the range, primarily due to discrete tax and other items.
We expect our non-GAAP EPS to be above the midpoint of the range for the full-year after taking into consideration, the EPS adjustment we announced in March for refinancing activity.
In closing, we are well positioned with one of the strongest portfolios in the industry. We are focused on long-term value creation and we believe that there is no better partner than Dell Technologies to help our customers realize their digital future.
With that, I'll turn it back to Rob to begin Q&A."
Robert Williams,0,"Thanks, Tom. Let's get to Q&A. We ask that each participant ask one question to allow us to get to as many of you as possible. Ian, can you please introduce the first participant."
Operator,1,We'll take our first question from the line of Wamsi Mohan from Bank of America Merrill Lynch.
Wamsi Mohan,1,Hi. Yes. Thank you so much. Could you just elaborate on the server weakness? Maybe just give us some color on server units versus ASPs? And I appreciate the comment on derisking the business model more broadly from any upcoming tariffs on [list four]. But could you give us some color on what specifically Dell is doing to actually circumvent that and be well prepared in the event that those do transpire? Thank you.
Tyler Johnson,1,"Well, as we go and talk about the server margin that we saw as well as sort of the tariff framework and what we're doing about it. I would remind everybody that as we went through Q1, we did see IDC dropped their mainstream revenue forecast for the market for calendar 2019, I think from 3.4% to approximately 1%.
As we thought about the year, this year we also had expected a slower server market. If you think about the velocity in the business last year with I think server and network overall was up 28% last year in fiscal 2019 and Q1 last year was up 41%. So we had planned for a slower growth. I think what we saw was a softer than anticipated growth even off the lower planning assumption.
And so our philosophy in this environment, and remember what we continue to talk about is that, we want to run the business for the long-term. We want to grow relative to the market and take share. But that share needs to – that growth needs to be profitable and needs to drive cash. And so that was the framework, we are working our way through as we work through the quarter.
As we think of what we saw from a server perspective, there were a couple of thoughts I’d provide for you. One was, we did see softness in China and if you guys recall our Q4 conversation, we had talked about the fact that we’re going to be adjusting our China model given some of the dynamics we saw in China and that sort of played out as anticipated.
And then secondly, we also saw some – particularly in the large enterprise space, a handful of deals that quite frankly as they – as we’re looking at them, the profitability profile just didn't make sense to us. So we didn’t participate in that. And so we've balanced as we made our way through the quarter both from a revenue profitability perspective and I think we're pretty disciplined in how we did it.
And so, look I feel – given where the market was and given the – what we saw, I think I feel pretty good about how we navigated the quarter there. And again there is demand out there if you want to take it, but sometimes the profitability framework doesn't make sense. And so I think that was the balance that we drove there.
I don't know, Jeff, if you'd add anything to that."
