type,name
Executives,"Nancy Chan-Palmateer – Director, Investor Relations"
Executives,Michael Donovan – Executive Chairman and Chief Executive Officer
Executives,Doug Lamb – Chief Financial Officer
Executives,Josh Scherba – President
Executives,Aaron Ames – Chief Operating Officer
Analysts,Adam Shine – National Bank Financial
Analysts,Rob Goff – Echelon Wealth Partners
Analysts,Aravinda Galappatthige – Canaccord
Analysts,Jeff Fan – Scotiabank
Analysts,Bentley Cross – TD Securities
Analysts,David McFadgen – Cormark Securities
Analysts,Drew McReynolds – RBC
Analysts,Tim Casey – BMO
