type,name
Executives,"Yushin Soga - Non-Executive Director, Dentsu Aegis Network Ltd."
Executives,"Jerry Buhlmann - Director and Chief Executive Officer, Dentsu Aegis Network."
Executives,Nick Priday - Executive Officer
Analysts,Yoshitaka Nagao - Nomura Securities
Analysts,Matthew Walker - Crédit Suisse
Analysts,Taro Ishihara - Daiwa Securities
Analysts,Masaru Sugiyama - Goldman Sachs
Analysts,Shinsuke Iwasa - Mizuho Securities
Analysts,Brian Wieser - Pivotal Research Group
Analysts,Oliver Matthew - CLSA Limited
