speaker,q&a,content
Company Participants,0,"Peter Lowry - Vice President of Investor Relations
Julie Kehoe - VP, Communications and Public Relations
Josh James - Founder and CEO
Bruce Felt - CFO"
Conference Call Participants,0,"Sanjit Singh - Morgan Stanley
Brad Zelnick - Credit Suisse
Jennifer Lowe - UBS
Derek Wood - Cowen and Company
Pat Walravens - JMP Securities"
Operator,0,"Good day, ladies and gentlemen. And welcome to the Domo First Quarter Fiscal Year 2020 Earnings Conference Call. At this time, all participants are in a listen-only mode. Later, we will conduct the question-and-answer session and instructions will follow at that time [Operator Instructions]. As a reminder, this conference call is being recorded.
I would now like to introduce your host for today's call, Mr. Peter Lowry, Vice President of Investor Relations. Sir, you may now begin."
Peter Lowry,0,"Good afternoon and welcome. I've enjoyed getting meet most of you, and looking forward to meeting the rest of you. On the call today, we have Josh James, our Founder and CEO; Bruce Felt, our CFO; and Julie Kehoe, our Chief Communications Officer. Julie will lead off with our Safe Harbor statement and then onto our call. Julie?"
Julie Kehoe,0,"Thanks Pete. A press release was issued after the market closed, and is posted in the Investor Relations section of our website where this call is also being webcast.
Statements made on this call may include forward-looking statements related to our business under federal securities laws. These statements are subject to a variety of risks, uncertainties and assumptions. For discussion of these risks and uncertainties, please refer to the documents we file with the SEC, in particular, today's press release and our most recently filed annual report on Form 10-K.
These documents contain and identify important risk factors and other information that may cause our actual results to differ materially from those contained in our forward-looking statements. In addition, during today's call, we will discuss non-GAAP financial measures, which we believe are useful as supplemental measures of Domo's performance. Other than revenue unless otherwise stated, we will be discussing our results of operations on a non-GAAP basis. These non-GAAP measures should be considered in addition to and not as a substitute for or an isolation from GAAP results.
Please refer to the tables in our earnings press release for a reconciliation of our non-GAAP financial measures to their most directly comparable GAAP measure.
And with that, let me hand it over to Josh."
Josh James,0,"Thank you, Julie. Hello everyone. It's good to be back with you again for our Q1 fiscal year 2020 earnings call. Before I jump in, I want to congratulate the team for their work for acquisition, underscores the value of helping businesses, use their data, as well as the challenge and expense that even the world's largest technology vendors face in delivering just a few of the capabilities in our platform.
For today's call, I will focus on three things; first, our strong business execution; second, customers leveraging the power of our platform for our enterprise apps, and additional advanced data offerings; and then third, the strength of our ecosystem and the defensible business it creates. On my first point, our strong execution has helped us sustain growth and achieve operating leverage.
In Q1, we saw 28% year-over-year growth in revenue and 22% year-over-year growth in billings. And at the same time, we realized a 19% year-over-year decrease in sales and marketing expense, and a 15% decrease in overall operating expenses.
We continue to make clear and significant progress towards making our commitment to being cash flow positive without having to raise any additional capital a reality. We focused on the power of the platform and growing and selling into enterprise base. Our platform message is resonating in the market. We see this in the customer conversations we were having, and as evidenced by a pipeline that is larger than ever with more seven figure opportunities than we've ever seen.
In the past quarter, we'd be piloting a new pricing model that focuses on the value of the components of the platform and its design so that per sit pricing doesn't hamper our customers' ability to expand Domo across their organization. This allows them to drive more value from increased adoption, while paying initially for the platform and incrementally for additional service levels and usage as they realize that value, instead of just receipts.
To-date, this new pricing approach is showing a positive impact on the initial size and scope of deals in the pipeline, and on customers' ability to more easily imagine what's possible as their data is easily brought together at scale securely governed and rapidly leveraged across the business. Concurrently, we're seeing customers engage in deals that are larger in scope and we're experiencing rapid expansions and deployments.
As an example, a customer we signed in Q4 expanded its rollout from 1,000 people to more than 5,500 in Q1, and is currently on its way to deploying 15,000 plus people. During the quarter, we added new white house enterprise customers, including pharmaceutical giant, Glaxosmithkline, the global Japanese consumer products manufacturer, Bondai Spirits, and an international oil and gas business. We now have 458 enterprise customers year over increase of 19%. Enterprise revenue grew 33% year-over-year, an acceleration from Q4.
Our corporate business also remains a bright spot. We saw strong new logo growth, a modest improvement in sales rep productivity, a 30% year-over-year increase in corporate average new deal size. And as our product becomes more and more automated the highest mix of recurring revenue in two years. Again, on execution, I'm encouraged by the combination of solid results and a robust and growing pipeline of large deals, all while still reducing expenses for which I'm quite impressed with my team.
On my second point, our customers are leveraging the power of the platform for enterprise apps and additional advanced data offerings. Domo can do things that no other technology company can do today. Domo's enterprise apps include a retail performance suite that helps retailers compete more effectively through better store performance and inventory management. Other enterprise apps also include suites of apps for media companies and for marketers to help drive better marketing and advertising ROI, as well as a new suite of IoT apps to help manufacturers create new value from IoT data.
It's easy for us to introduce additional apps across the business, all of which are additive to us selling the platform.
I realized that everyone I know and probably everyone you know knows someone who has an idea for a great app. But no one knows how to get them built. They're time consuming. They're expensive. The good news here is that for anyone who's a customer of ours who has an idea for an app to improve their business, they can easily use one of our enterprise apps and customize it to their needs. One customer, for example, purchased our sales team management app to improve retention and recruiting of its sales team for more than 5,000 people in their organization. This enterprise app provides transparency regarding sales and goal performance, and also associated compensation.
Other customers use our retail management app to get real time sales and performance metrics across thousands of floor associates regarding what is happening now, not yesterday, and allows me to also compete with other branches in their organizations. Enterprise apps are the future of how our customers will fully realize the value of their data and fully realize the value of a digitally transformed business.
When we talk about enterprise apps, we're talking about fully functioning feature rich business apps, to help solve some of our customers' most challenging business issues. They're just little workflows where someone's fits together two data points and called them an app. These apps have robust enterprise grade security with fine grained data access controls. They have multiple distribution options, including access with any browser and being natively deployed to iOS, Android and the mobile web. They also have an interactive and responsive UI, taking advantage of Domo's industry leading end user experience, as well as sophisticated mapping capabilities, integrations with thousands of data sources and importantly, right that capability to complete the round trip data exchange.
The excitement around our apps is palpable. At Domopalooza, our annual customers in March, after a main stage customer session where several customers presented their apps in a session called App Attack. Many of our other customers approached us who are upset that they didn't get a chance to show off their enterprise apps that they've used to run their businesses. One of those customers was NBC, who we brought on stage to the next morning to demonstrate the programming performance app that 400 to 500 people, everyone from executives, producers to marketers, use on their phones to interact with hundreds of millions of rows of data, so they can easily understand how their programming is performing against the competition.
Also, during the App Attack, UPMC, a 40 hospital healthcare system, demonstrated how it is using our digital 360 App, part of the Domo marketing suite, to drive better marketing ROI across the entire organization. And tell us the Canadian telecom companies shared how they are using a store performance app to get real time data into the hands of their store managers to drive better store performance across the retail business.
Now, to my third point, the strength of our ecosystem is helping us build a defensible business. In combination with the power and scale of the Domo platforms, our ecosystem partners allow us to offer new products features and integrations to serve the unique needs and environments across every area of every business. In Q1 in conjunction with our growing portfolio of technology partners, such as AWS, Google, Azure, LinkedIn, Box, Cooper, Octane, Zendesk, we announced the Domo Integration Cloud. The Domo Integration Cloud, our iPass solution includes more than 1, 000 prebuilt connectors and our federated query capabilities to connect to and leverage data no matter where it lives, on-prem or in the cloud.
To demonstrate how expansive our connector partnerships are, for example, we connect to 17 separate AWS services, such as Red Shift, RES, Aurora, Athena and S3. And 19 Google services, such as BigQuery, Google Analytics, AdSense and Google Cloud Storage, many of which include Writeback and which we believe are industry-leading. Integration Cloud is designed for customers who need a solution with more than thousand prebuilt connectors to quickly and securely bring together their many desperate data sources to deliver business value. Astellas Pharma U.S., a $3 billion plus revenue business, is one example of the new Integration Cloud customer.
One of the most exciting ecosystem announcements in the last quarter was the Domo Business Automation Engine, part of Mr. Roboto, and the first-of-its-kind orchestration layer that works across all of organizations data systems and people. It leverages machine learning and advance the learning capabilities to help organizations coordinate intelligent event-based workflows and shorten the time from insights to action. In planning which just means Domo go beyond delivery insights to truly becoming the operating system for your company by intelligently automating key actions across multiple systems of record.
Another instance that demonstrates the strength and partnerships in our ecosystem is our new data science and machine learning offerings, which we also announced in Q1 and which have been a big hit with customers as they look to rapidly deliver advanced insights into the business. Through key integrations with Amazon PageMaker, as well as Jupiter, we are helping data scientists to spend more time doing the work they were trained to do by eliminating much of the time-consuming, repetitive work of data preparation and transfer. A global CPG leader leveraged our data science offering to dramatically improve store forecasting, realizing millions of dollars of value after only two weeks of work.
And this also extends beyond the data scientists to help people who aren't technical experts leverage data science to predict outcomes. At Domopalooza for instance, TripAdvisor's Head of People Analytics, demonstrated how he is using the programming language art within the Domo platform to better understands and predict employee behavior, so they can reduce employee turnover, furthering our ecosystem footprint with Domo's IoT cloud. We leverage relationships with AWS IoT analytics, AWS IoT core, AWS IoT Device Defender, Azure Particle Raspberry Pi, Cosco and MongoDB to name a few. Domo IoT cloud features more than 30 unique IoT connectors, and several new several new IoT apps to help customers get more value from machine generated data.
A manufacturer of the robotics consumer products Shark Ninja, for example, is using our IoT capability to understand the behavior of their products once they are purchased, which is something they just couldn't do before. And this capability helps them produce better products to improve the customers' experience.
Moving on our IoT partnerships, I'm excited to announce today the Zendesk customer success IoT app, a new app developed with Zendesk. It takes machine data into our platform and then through Domo's alerting and workflow engines when certain conditions are met, it automatically initiates a Zendesk support ticket regarding an in human involvement. This is just one of several new apps you'll see us develop with partners to leverage the power of the Domo platform to create new value for customers.
We're in the very early innings of customers adopting the platform for purposes of applying it to very specific high-value use cases. And we believe we'll see significant proliferation of applications on our platform as they become more well-known to the marketplace. One of the strengths of our ecosystem is our growing body of users and available training. This last quarter, we announced our first official certification program, which includes five new product certifications to help people level up their data skills and demonstrate proficiency in Domo. We'll continue to make investments in our vast and grow ecosystem to better supporter customers and gain further leverage. And you can expect more related announcements in the future.
In closing, I'm proud of our team for the innovation they keep delivering that keeps us ahead of the pack, as recognized by our customers and by third parties. In the most recent Dresner Advisory Services' report on-self service BI, Domo ranked number one out of 23 vendors, scoring high points for our collaboration, governance, storytelling and integration features, which continue to grow in importance as organizations realize they need the combination of tools that only Domo provides. Additionally, and Dresner's separate flagship with some of the crowd research, Domo received a perfect recommendations score from customers for the third year in a row.
In the Gartner report published in May, customers ranked their BI and analytics vendors, Domo received the number one rating of all vendors for business benefits achieved, as well as for ease of migration, which signifies how easy it is to implement the products that we roll out. I'm continually astounded and impressed how the biggest companies in the world are using our platform and our enterprise apps to transform their businesses.
With that, I'll now turn it over to Bruce. Bruce?"
Bruce Felt,0,"Thank you, Josh. I'll begin with our first quarter performance followed by our second quarter and fiscal 2020 full year guidance. We had another solid quarter, and as Josh mentioned, we're executing well against our plan, billings grew 22% to $41.1 million. Our billings growth was supported by our dollar based net revenue retention rate that continues to be greater than 100% and was slightly higher than last quarter. We also continue to see more customers entering into multiyear contracts with 45% of our customers now on multiyear contracts at the end of Q1 compared to 35% at the end of Q1 last year.
This drove our remaining performance obligation, our lower RPO to grow 34% compared to the same quarter last year. Q1 revenue was $48.8 million, a year-over-year increase of 28%. Subscription revenue grew 29%, and represented 84% of total revenue. Year-over-year, subscription revenue growth was driven primarily by new customers and we now have over 1,800 customers. International revenue represented 26% of total revenue, up from 22% in Q4. Our subscription gross margin was 77%, up 270 basis points for 74.3% in Q4, and up over 74 percentage points from 69.8% in of last year.
We plan to get additional leverage out of our subscription costs of revenue as we continue to effectively manage our data center operations to finding efficiencies and better utilizing certain services. Including our services business, our total gross margin was 69.1%, a 60 basis point improvement compared to 68.5% in the fourth quarter of last year and a 520 basis point improvement compared to 63.9% gross margin in the first quarter of last year. In addition to our revenue growth and improving gross margin, I'm pleased that we were able to deliver these results once again with a further decrease in operating expenses.
In Q1, we were able to decrease operating expenses by 10% from last year, even though revenue increased by 28% year-over-year. The decreases came from lower marketing and personnel costs. The net effect of increased revenue, while effectively managing costs, allowed us to improve operating margin by 73.4 percentage points from the same quarter last year. Our net loss was $29.2 million and our net loss per share was $1.8. This is being done $27 million weighted average shares outstanding, basic and diluted.
Turning now to our balance sheet. As of April 30th, we had cash, cash equivalents and short-term investments of $154 million, more than adequate amount to get us to cash flow positive. Our adjusted cash used in operations was $22.2 million, an improvement of $5.5 million over the prior quarter and 40% reduction compared to Q1 of the prior year. Adjusted cash used in and operations excludes the effect of $4.5 million of proceeds from shares purchase in Q1 under our employee stock purchase plan, which had no effect on our cash balance, but is presented as a gross up 2 different sections of the cash flow statement.
Now to discuss what we expect Q2. We expect Q2 billing of about $42 million. We expect our Q2 operating expenses to decline as expenses related to new sales hires are more than offset by the Q1 cost of our annual user conference. For the year, we expect our operating expenses to be down slightly from fiscal '19. We expect to continue to execute on our plan to decrease cash burn sequentially, each quarter fiscal year '20 and expect Q2 adjusted cash used in operations of about $20.5 million and $74.5 million for the year.
Now to our formal guidance, for the second quarter 2020, we expect GAAP revenue to be in the range of $41 million to $42 million. We expect non-GAAP net loss per share basic and diluted of $0.98 to $1.02. This assumes $27.5 million weighted average shares outstanding basic and diluted. For the full year of fiscal '20, we expect GAAP revenue to be in the range of $173 million to $174 million, representing year-over-year growth of approximately 22%. We expect non-GAAP net loss per year basic and diluted of $3.79 to $3.87. This assumes $27.6 million weighted average shares outstanding, basic and diluted.
In closing, I'd like to reiterate, we're pleased with the progress we've made in Q1 in executing against our fiscal year '20 objectives. As we balance improvements in our cash profile and our expense profile with investments in growth opportunities.
With that, we'll open up the call for questions. Operator?"
Operator,1,[Operator Instructions]. Our first quarter comes from Sanjit Singh with Morgan Stanley. Your line is now open.
Unidentified Analyst,1,"This is Josh on for Sanjit. Congrats on 73% op margin improvement year-over-year. Over the last three quarters, we've seen a bit more upside, I think, and more in line top-line this quarter. So I'm just wondering, have you seen any changes this quarter in the competitive environment or customer purchasing behavior or demand or anything else?"
Bruce Felt,1,"Hi, it's Bruce. No, I mean mostly the data points that we see engagement with our customer base, further reinforce the fact that this is extremely differentiated product compared to anything out there, primarily because it's a complete platform designed for business users to get access to the data they need. And then we're even, in addition to that, we're finding that the customers are embracing the fact that they can do -- they can build upon the platform and use different components of the platform in ways that really enhance the operations of their business. So I think that we are in a extremely good competitive position.
Just to your point on over- performance, our Q1s just tend to be the seasonally low quarter. And we did not see that out performance that we've seen in the past. But all the operations, all the metrics still point in the right direction. And again, we're mostly excited about the fact that the customer engagement that we find with our product and platform, particularly is evident that our large conference that we're seeing such positive embracing of it and this robust use cases that we're pretty optimistic about how this is going to play out through the future quarters."
