speaker,q&a,content
Ken Cragun,0,"This is Chief Accounting Officer, Ken Cragun. On the call today are Chairman and CEO, Todd Ault III; and CFO, Will Horne. They'll provide a business update and touch on the third quarter results of the company announced earlier today. You'll find that press release in the Investor Relations section on the company's website at ir.dpwholdings.com.
Before I turn the call over to Todd and Will, please be advised that this presentation and other written or oral statements made from time to time by representatives of DPW Holdings, sometimes referred to as DPW, contain forward-looking statements within the meaning of Section 27A of the Securities Act of 1933, as amended, and Section 21E of the Securities Exchange Act of 1934. Forward-looking statements reflect the current view about future events. Statements that are not historical in nature, such as forecast for the industry in which we operate, and which may be identified by the uses of the words like expects, assumes, projects, anticipates, estimates, we believe, could be, future or the negative of these terms and other words of similar meaning are forward-looking statements. 
Such statements include, but are not limited to, statements contained in this presentation relating to our business, business strategy, expansion, growth products and services we may offer in the future and the timing of their development, sales and marketing strategy and capital outlook. Forward-looking statements are based on management's current expectations and assumptions regarding our business, the economy and other future conditions that are subject to inherent risks, uncertainties and changes of circumstances that are difficult to predict and may cause actual results to differ materially from those contemplated or expressed. We caution you, therefore, against relying on any of these forward-looking statements. These risks and uncertainties include those risk factors discussed in Part 1, Item 1A Risk Factors of our annual report on Form 10-K for the fiscal year ended December 31, 2017, the annual report of 2017, and other information contained in subsequently filed current and periodic reports, each of which is available on our website and on the Securities and Exchange Commission's website, www.sec.gov. Any forward-looking statements are qualified in their entirety by reference to the factors discussed in the 2017 annual report. Should one or more of these risks or uncertainties materialize, or in certain cases fail to materialize, or should underlying assumptions prove incorrect, actual results may differ significantly from those anticipated, believed, estimated, expected, intended or planned.
Important factors that could cause actual results to differ materially from those in the forward-looking statements include a decline in general economic conditions, nationally and internationally; increased demand for our products and services; market acceptance of our products; the ability to protect our intellectual property rights; impact of any litigation or infringement actions brought against us; competition from other providers and products; risks in product development; inability to raise capital to fund continuing operations; changes in government regulation; the ability to complete customer transactions and capital raising transactions.
Factors or events that could cause our actual results to differ may emerge from time to time, and it is not possible for us to predict them all. We cannot guarantee future results, levels of activity, performance or achievements. Except as required by applicable law, including the securities laws of the United States, we do not intend to update any of the forward-looking statements to conform these statements to actual results.
All forecasts are provided by management in this presentation and are based on the information available to us at this time, and management expects that internal projections and expectations may change over time. In addition, the forecasts are entirely on management's best estimate of our future financial performance given our current contracts, current backlog of opportunities and conversations with new and existing customers about our products.
Turning to Slide 3, it's my pleasure to turn the call to Todd."
Todd Ault III,0,"Wow. That was a legal disclaimer. Thank you, Ken. Good afternoon, and thank you for joining us. I am very excited to update today our progress. As a diversified holding company, DPW Holdings acquires, monetizes undervalued assets, disruptive technologies with a global impact. We continually evaluate opportunities to expand our portfolio as well as review our existing portfolio for opportunities to enter adjacent markets and as well as sell for the benefit of shareholders. We are targeting industries in the advanced technologies and finance as well as investing strategically when we discover the right opportunity. I will elaborate as we turn to Slide 4.
Earlier this month, our Board of Directors authorized the plan to restructure the company to enhance execution which we believe will increase clarity for our investors. In 2019, we plan to divide our subsidiaries into 2 like-minded groups, thereby improving our leadership structure to facilitate execution and drive strategic growth. DPW Technology Group will focus on advanced technology, manufacturing in industries such as defense, aerospace, power solutions, medical and textiles. DPW Financial Group will focus on lending, investing in areas such as blockchain technology, hospitality, real estate and other opportunities.
To that end, we have reallocated internal resources, hired additional executives to increase oversight and to execute on our vision. Our group leaders are implementing procedural and cost reviews to ensure we are focused on the highest priorities in the most cost-efficient manner. One of our key hires is our new Chief Accounting Officer, Ken Cragun. With over 30 years of experience in building financial infrastructure, Ken is an expert in SEC reporting, cash management and sophisticated technical accounting. Already making an impact, Ken will be pivotal in implementing this transformation as we are excited about his long-term contribution. As you've heard, Ken is on the call today and will be -- and can answer questions.
Additionally to our natural course of business and exploration, we expect to continue to discover compelling investments like our strategic investment of MTIX International. So what do I mean by natural course of business when we find investments? Our power supply business was assessing the landscape when we identified the opportunity in MTIX. Upon conducting due diligence, we realized a huge opportunity with MTIX has. And in its own outright, we took an investment position.
Now I will update you on MTIX's international developments. As a public company, MTIX does business as MTIX International. The public company is Avalanche International. We're continuing to work on gaining SEC compliance as part of the process to uplift into a national exchange. This is important. AVLP is a voluntary filer. We -- this is a high priority for us in late 2018, early 2019. MTIX is commercializing its Multiplex Laser Surface Enhancement machine known as MLSE. The MLSE technology is revolutionary -- has a revolutionary method of digitizing textile finishings that can be used on fabric as well as paper and film. MLSE is very environmentally friendly compared to -- with conventional treatments and methods. It significantly reduces the use of water and chemicals and energy involving with fabric preparation, dyeability, digital printing. The MTIX technology enables extremely cost-efficient treatment, making the material fire retardant, water repellent, digital-print ready and antimicrobial. The technology has many applications across multibillion-dollar textile industry, including home furnishings, commercial upholstery, automotive, apparel, luxury goods, sports and industrial applications such as firefighters and first responders.
Turning to Slide 5. I will highlight DPW technologies. By partnering with the subsidiaries that have great promise and providing them with capital and oversight, we have enabled them to innovate and open new markets for their products and unlock value for shareholders. During the quarter, the Technology Group secured $15 million in advanced new technology wins. I will highlight a few of them. First, a $4.3 million second-stage order from an Israeli defense and aerospace contractor to supply computer-based command and control missile defense systems. This is an important win that will result in a multiyear -- resulting from a multiyear development effort, validating our subsidiary's ability to deliver on complex command and control systems and its growing reputation as an innovative provider of state-of-the-art missile defense systems and aerospace systems. Second, a $4.1 million repeat order from our first-tier U.S. government defense contractor to supply sophisticated communications filters to be used in combat warfare systems and components. The multiyear relationship with follow-on orders illustrates our subsidiaries' and customers' confidence in our ability to meet their needs of their clients with the innovative radiofrequency, microwave and millimeter-wave technology solutions, products that enable customers to achieve high-performance reliability at a reduced cost. And third, orders aggregated to over $5 million in development and manufacturing of cutting-edge medical automated test and calibration equipment. At November 13, 2018, we had an aggregated backlog of $71.2 million.
Please turn to Slide 6. I'll review the highlights for DPW Financial Group. In lending and investing, one of our subsidiaries launched Monthlyinterest.com. Our team created a win-win situation by enabling main Street investors to use the online portal to select industries, the length of time of the investment, the interest rate that best serves their needs while paying interest monthly. The investments include real estate, specialized high-tech manufacturing, commercial lending and other pecuniary projects. The site is in development but is operational.
In the real estate and hospitality, the larger transaction in this quarter related to the luxury hotel investment, Tribeca, in New York City. The anchor of DPW's hospitality portfolio, we expect the hotel to deliver long-term predictable cash flow on track to be completed in the summer of 2020. The asset fundamentals, location advantages position it to capitalize on exploding business and residential growth in Lower Manhattan. Further, the hotel secured a $1 million in new debt financing.
We also continue efforts in blockchain. Our subsidiary entered into a $2.5 million revolver to create flexibility and expand growth. We continue to look for low-cost power. For example, we have collated -- co-located cryptocurrency mining in a historic dam. Year to date, we have mined $1.5 million in cryptocurrencies. We've used those proceeds for working capital and to pay down debt. As you know, due to several variables, the number of miners we have changes quite frequently. Therefore, we are going to simplify our reporting by disclosing dollars mined per quarter. We also intend to leverage our experience in technical capabilities to build one of the largest blockchain mining operations in the U.S.. Nonetheless, we expect it to continue to be a relatively small contribution of our total revenue. I feel like I should reiterate that again. Did I cover that properly? We intend to leverage our experience and technical capabilities to build one of the largest blockchain mining operations in the U.S. Nonetheless, we expect it to continue to be relative part of our total revenues.
Please turn to Slide 7. Looking to 2019, we have several initiatives in place that we believe will be -- drive strategic growth. In the Technology group, we're implementing plans to improve sales and operations, executing on our $71 million backlog and driving to profitability.
In the Finance Group, we continued to expand our lending opportunities, review our existing investments and explore additional investments and acquisitions -- acquisition opportunities while leveraging the relationships with industry experts.
I'm now going to turn the call over to our CFO, Will Horne, to provide a quick summary of our preliminary third quarter results. Will?
Please turn to Slide 8."
Will Horne,0,"Thank you, Todd. Turning to Slide 8. The company reported gross revenues of $8.3 million during the quarter ended September 30 as compared to $3.2 million in the quarter ended 2017. This represents a 159% increase, and it really demonstrates the power of solid performance from our defense, manufacturing and hospitality acquisitions. However, our quarterly revenue was expected to be higher. And the decrease, the slight -- really is a result of the slight delay in receiving parts, which, of course, hampered our ability to stand our production schedule to fill the -- fulfill the MTIX backlog.
Gross margins during the quarter were 24.3%, and that compares with 34% for the third quarter of 2017. Because of a lot of reasons, our gross margins continued to fluctuate. And it reflects the volatility in bitcoin market prices and cryptocurrency mining costs. Those were the biggest drag in the quarter to our gross margins. We do hope to mitigate these swings by sourcing power less expensively. And to that end, we expect to be operational in December of this year, the new cryptocurrency mining farm that we are co-locating with a hydroelectric dam in Upstate New York.
Net loss was $7.5 million, which included non-cash charges of $4.7 million during the current quarter. That compares with a net loss of $2.1 million and the corresponding non-cash charges of $1.2 million for the third quarter of 2017.
As far as our balance sheet, at September 30, we had reported total assets of $53.1 million, which is relatively flat from the quarter ended June 30 of $53.4 million. During the quarter, we did complete several financing transactions. We conducted a public offering of $25 million of our Series A cumulative redeemable perpetual preferred stocks, and we also initiated a new at-the-market offering, which replaced the prior ATM.
At September 30, our investment portfolio included convertible promissory notes, warrants and shares of common stock of $7.9 million in MTIX, which does -- it does business as MTIX, I should say. The investment was in Avalanche International Corp. Under GAAP, the value of the warrants and shares of common stock are marked to market on a quarterly basis. And because of that, we end up with significant fluctuations which reflects the volatility of the underlying markets.
Finally, stockholders' equity at September 30 was $28.1 million, which compares to $31.5 million at June 30.
Todd, I'll turn the call back over to you."
Todd Ault III,0,"Thanks, Will. Slide number 9, please. As you may well know, we've been aggressively deploying capital for the better part of 2 years, and our efforts are coming to fruition. Due to production delays and a decline in bitcoin mining revenue, we are trimming our full year guidance from $34 million to $39 million, and we now expect 2018 revenue guidance to be $29 million to $33 million. This is 3x greater than our revenues in 2017 of $10 million.
Slide 10, please. I'd like us to look at the long term now. Reviewing our current portfolio and run rate, we expect 2019 revenues to double 2018 revenues. We estimate full year 2019 revenues to be approximately $60 million, which does not include any impact from acquisitions. We expect the Technology Group to contribute over $40 million in total revenue, which is about two-thirds; and we expect the Financial Group to contribute about $20 million in total revenue, which is about one-third. We continue to evaluate the composition of our portfolio and look for new opportunities to add growth, monetize value for the benefit of shareholders.
And finally, I'd like to open it up for questions now. On a side note, I'd like to note that DPW with MTIX International for the first time will be presenting together at the conference at LD Micro's Main Event in December. We also will be conducting our annual shareholder meeting on December 28. We look forward to seeing you there. 
And with that, I'll open the session up to questions."
Q - Mary Magnani,1,"This is Mary Magnani from LHA, and I will be reading questions that have come in via the Zoom. The first question is can you provide more info on your plan to triple revenue in 2019?"
Todd Ault III,1,"Our current backlog in the Technology Group alone is over $70 million. We will continue to execute our strategies to improve sales and operations and drive to profitability. Mary, it's a relatively simple answer. And that is that we've been investing heavily in structure and sales and opportunities to execute on the backlog, and I expect that actual backlog to grow. So it's really a simple numbers game of executing our backlog to be able to do that $60 million. The backlog on the technology side, I expect to grow. It could grow from MTIX. It could grow from the Israeli defense side and the acquisition of Enertec, which is starting to pay off in terms of orders, and we're seeing an uptick in orders from Microphase, too. So the total defense and aerospace side will grow, and we'll execute that in 2019. Next question?"
Mary Magnani,1,Next question from [Sandeep] is what is the total number of MS -- MLSE machines in the $71 million?
Todd Ault III,1,"In the $71 million backlog, about $46 million or so, give or take, is the number of dollars we expect to execute on -- out of the $71 million backlog. It may be a little bit lower because we reported $3.9 million in revenue so far for the year from that. The total number of machines that we're building is approximately 25 right now. We expect that number to grow, worldwide demand for the machines. There's over 100,000 textile plants around the world, so it's not hard for people to figure out that, over time, these textile plants will need the machine and that order backlog will grow."
Mary Magnani,1,"Great. Will, what's the main driver for lowering guidance for the year? Can you give some more color on the revenue that was pushed out in the third quarter?"
Todd Ault III,1,"Will, are you there? Can you talk about us pushing out some of the manufacturing contracts into the fourth quarter and possibly, in part, into the first quarter?"
