speaker,q&a,content
Operator,0,"Ladies and gentlemen, thank you for standing by. Welcome to the Dycom Results Conference Call. At this time, all the participant lines are in a listen-only mode. Later we will conduct a question and answer session. Instructions will be given at that time. [Operator Instructions] As a reminder, this conference is being recorded. 
I would now like to turn the conference over to your host, Steven Nielsen. Please go ahead."
Steven Nielsen,0,"Thank you, Greg. Good morning, everyone. I'd like to thank you for attending this conference call to review our Third Quarter Fiscal 2019 Results. "
"Going to Slide 3. During this call, we will be referring to a slide presentation which can be found on our website's Investor Center main page. Relevant slides will be identified by number throughout our presentation. ",0,"Today we have on the call, Tim Estes, our Chief Operating Officer, Drew DeFerrari, our Chief Financial Officer, and Rick Vilsoet, our Chief Legal Officer. 
Now, I will turn the call over to Rick Vilsoet."
Richard Vilsoet ,0,"Thank you, Steve. Except for historical information, the statements made by Company management during this call may be forward-looking and are made pursuant to the Safe Harbor provisions of the Private Securities Litigation Reform Act of 1995. These forward-looking statements including those related to the Company's outlook are based on management's current expectations, estimates and projections and involve known and unknown risks and uncertainties which may cause the Company's actual results in future periods to differ materially from forecasted results.
Those risks and uncertainties are more fully described in the Company's transition report on Form 10-K for the six months ended January 27, 2018 and other periodic filings with the Securities and Exchange Commission. The Company assumes no obligation to update forward-looking statements. 
Steve?"
Steven Nielsen,0,"Thanks, Rick. Now moving to Slide 4 and a review of our third quarter results. As you review our results, please note that we have presented in our release and comments, certain revenue amounts that exclude revenues from storm restoration services during the quarter and the prior year quarter and from a business acquired during the April 2018 quarter. "
"We will also reference Adjusted EBITDA, Adjusted Net Income, and Adjusted Diluted Earnings per Share. All of these measures are Non-GAAP financial measures. See Slides 13 through 21 for a reconciliation of our non-GAAP measures to GAAP measures. ",0,"Revenue was $848.2 million, an increase of 12.2%. Organic revenue, excluding $3.9 million of storm restoration services in the quarter and $15.9 million in the year ago quarter increased 12.9%. As we deployed 1 gigabit wireline networks, wireless/wireline converged networks and wireless networks, this quarter reflected an increase in demand from four key customers. 
Gross margins were 18.99% of revenue and general and administrative expenses were 8.11%. All of these factors produced adjusted EBITDA of $98.6 million or 11.6% of revenue and adjusted diluted earnings per share of $0.98, compared to $0.99 in the year ago quarter. 
Liquidity was ample as cash and availability under our credit facility was $350.1 million and during the quarter, we amended and restated our credit facility increasing revolver capacity to $750 million, our term loan to $450 million and extended the maturity to October 2023.
Going to slide 5. Today, a number of major industry participants are deploying significant wireline networks across broad sections of the country. These networks are generally designed to provision bandwidth enabling 1 gigabit speeds to individual consumers. 
In addition, emerging wireless technologies are driving significant wireline deployments. These wireline
deployments are necessary to facilitate what is expected to be a decades’ long deployment of fully converged wireless/wireline networks that will enable high bandwidth, low latency applications. The industry effort required to deploy these converged networks continues to meaningfully broaden our set of opportunities. 
Total industry opportunities in aggregate, are robust. We are providing program management, planning, engineering and design, aerial and underground construction and fulfillment services for 1 gigabit deployments. These services are being provided across the country in dozens of metropolitan areas to a number of customers. 
In addition, we have secured a number of converged wireless/wireline multi-use network deployments. Customers are continuing to reveal with specificity new multi-year initiatives that are being planned and
managed on a market-by-market basis. Our ability to provide integrated planning, engineering and design, procurement and construction and maintenance services is of particular value to several industry participants.
As with prior large-scale network deployments, we expect some normal timing volatility and customer spending modulations as network deployment strategies and technologies evolve. Tactical considerations, may also impact timing. We remain confident that our competitively unparalleled scale and our financial strength position us well to deliver valuable service to our customers. 
Now moving to Slide 6. We continue to experience the effects of a strong overall industry environment during the quarter with increases in demand from four key customers. 
Organic revenue, excluding storm restoration services increased 12.9%. Our top five customers combined, produced 78.4% of revenue, increasing 18.3% organically, while all other customers decreased 2.9%. 
Comcast was our largest customer at 20.8% of total revenue or $176.3 million. Comcast grew 8.7% organically. Revenue from Verizon was $174.1 million or $20.5% of revenue. Verizon was Dycom’s second largest customer and grew 115.9% organically. AT&T was our third largest customer at $164.6 million or 19.4% of revenue. AT&T was our third largest customer grew organically 14.9%. 
Revenue from CenturyLink was $118.8 million, or 14% of revenue. CenturyLink was our fourth largest
customer. And finally, revenue from Windstream was $31.1 million, or 3.7% of revenue. Windstream was our fifth largest customer grew organically 1%. Of note, this quarter is the first since the April 2017 quarter where four of our top-five customers have grown organically. 
We are encouraged with our double-digit organic growth and that we have continue to extend our geographic reach and expand our program management network planning services. 
In fact, over the last several years, we have meaningfully increased the long-term value of our maintenance and operations business, a trend which we believe will parallel our deployment of 1 gigabit in wireless/wireline converged networks as those deployments dramatically increase the amount of outside plant network that must be extended and maintained.
Going to Slide 7, backlog at the end of the third quarter was $7.313 billion versus $7.881 billion at the end of the July 2018 quarter, a decrease of over $568 million. Of this backlog, approximately $2.616 billion is expected to be completed in the next 12 months. The total backlog calculation reflects solid performance as we book new work and renewed existing work. We continue to anticipate substantial future opportunities across a broad array of our customers.
For Verizon, we were awarded a construction services agreements in various locations with CenturyLink construction services in California, Utah and Colorado. From TDS Telecom, a construction services agreement in Tennessee. For various customers locating services in California, New Jersey, Tennessee and South Carolina. And finally, we secured rural fiber services agreements in Texas, Wisconsin, Indiana, Kentucky and Alabama. Headcount increased during the quarter to 14,865.
Now, I will turn the call over to Drew for his financial review and outlook."
Andrew DeFerrari,0,"Thanks, Steve, and good morning, everyone. Going to Slide 8. Contract revenues for Q3 2019 were $848.2 million and organic revenue growth was 12.9% reflecting increases from four key customers. 
Storm restoration services contributed $3.9 million of revenue in Q3 2019 compared to $15.9 million in the year ago period. Also revenue from acquired business contributed $8.8 million of revenue in Q3 2019. Adjusted EBITDA was $98.6 million or 11.6% of revenue.
Gross margins were at 19% and declined 156 basis points from the October quarter last year. G&A expense decreased 43 basis points, compared to the prior year quarter. Our non-GAAP adjusted diluted EPS in Q3 2019 was $0.98 per share. 
Now, going to Slide 9. Our balance sheet and financial profile continue to reflect the strength of our business. In October, we entered into a new five-year amended and restated credit agreement. The new agreement increased the maximum revolver commitments to $750 million from $450 million and increased the outstanding term loan to $450 million from $346 million. We ended the quarter with no revolver borrowings outstanding. 
Liquidity is ample at $350 million at the end of the quarter, consisting of availability on our credit facility and cash on hand. Cash used in operations was $55.5 million. The combined DSOs of accounts receivable and contract assets net were 106 days for Q3 2019. This increased from the July – from July reflected the impact of the sequential revenue increase for the quarter including storm work, as well as the timing of invoicing and collections on large customer programs. 
We expect substantial collections during the January quarter based on recent invoicing and normal seasonal collection patterns. 
Capital expenditures were $42.6 million during Q3 2019 net of disposal proceeds and gross CapEx was $47.3 million. Based on current trend, we anticipate capital expenditures, net of disposal proceeds to range from $150 million to $160 million for this fiscal year ending in January 2019. 
In summary, we continue to maintain ample liquidity and a strong balance sheet. "
"Going to our outlook on Slides 10 and 11. Each year, our January quarterly results are impacted by seasonality including inclement weather, fewer available work days due to the holidays, reduced daylight work hours, and the restart of calendar payroll taxes. These and other factors may have a pronounced impact on our actual results for the January quarter compared to our expectations. ",0,"For the January 2019 quarter, we expect total revenue to range from $695 million to $745 million. Non-GAAP adjusted diluted EPS to range from $0.02 to $0.24 per share and adjusted EBITDA margin to range from 8.4% to 9.2% of revenue. 
For the January quarter, we also expect depreciation of $39.9 million to $40.9 million and amortization of $5.4 million. Share-based compensation included in G&A expense of approximately $5.3 million, adjusted interest expense of approximately $7.6 million, excluding $4.9 million of interest for the non-cash debt discount amortization on our notes. Other income net is expected to range from $0 million to $0.6 million. The effective tax rate is expected at 27.6% in Q4 2019 before any tax effects of the settlement of share-based awards.
Now going to Slide 11. Based on our year-to-date results, through the October quarter, and our expectations for the January quarter, our expected full year results are, revenues which range from $3.074 billion to $3.124 billion and non-GAAP adjusted diluted EPS which ranges from $2.70 to $2.92 per share. 
Now I will turn the call back to Steve. "
Steven Nielsen,0,"Thanks, Drew. Going to Slide 12. Within a growing economy, we experienced the effects of a strong industry environment and capitalized on our significant strengths. First and foremost, we maintained strong customer relationships throughout our markets. We continue to win an extend contracts at attractive pricing. 
Secondly, the strength of those relationships and the extensive market presence they have created has allowed us to be at the forefront of evolving industry opportunities. The end-market drivers of these opportunities remain firm and are strengthening.
Fiber deployments in contemplation of emerging wireless technologies have begun in many regions of the country. Wireless construction activity in support of expanded coverage and capacity is poised to accelerate through the deployment of enhanced macro cells and new small cells. Telephone companies are deploying Fiber-To-The-Home to enable 1-gigabit high-speed connections. 
Cable operators are deploying fiber to small and medium businesses and enterprises. A portion of these deployments are in anticipation of the customer sales process. Fiber deep deployments to expand capacity as well as new build opportunities are increasing. 
Dramatically increased speeds to consumers are being provisioned. Customers are consolidating supply chains, creating opportunities for market share growth and increasing the long-term value of our maintenance and operations business.
In addition, we are increasingly providing integrated planning, engineering and design, procurement and construction and maintenance services. Within this context, we believe we are uniquely positioned to manage and capitalize to meaningfully experience an improving industry environment for the benefit of our shareholders.
We remain encouraged with our major customers possess significant financial strength and are committed to multi-year capital spending initiatives. We remain confident in our strategies with prospects for our company, the capabilities of our dedicated employees and the experience of our management team as we grow our business.
Now, Greg, we will open the call for questions."
Operator,1,[Operator Instructions] Your first question comes from the line of Alex Rygiel from B. Riley FBR. Please go ahead.
