speaker,q&a,content
Operator,0,"Please standby. Good day and welcome to the EDAP TMS Third Quarter 2018 Earnings Conference Call. Today's conference is being recorded.
At this time, I would like to turn the conference over to Jeremy Feffer. Please go ahead."
Jeremy Feffer,0,"Thank you, Lauren. Good morning and thank you for joining us for the EDAP TMS third quarter 2018 earnings conference call. On today's call we will hear from Philippe Chauveau, Chairman of the Board; Marc Oczachowski, Chief Executive Officer; and François Dietsch, Chief Financial Officer.
Before we begin, I would like to remind everyone that management's remarks today may contain forward-looking statements, which include statements regarding the company's growth and expansion plans. Such statements are based on management's current expectations and are subject to a number of risks and uncertainties that could cause actual results to differ materially from those described in such forward-looking statements. Factors that may cause such a difference include, but are not limited to, those described in the company's filings with the Securities and Exchange Commission.
I would now like to turn the call over to EDAP’s Chairman, Philippe Chauveau. Please go ahead."
Philippe Chauveau,0,"Thank you and thank you all for joining us today.
During the third quarter, we maintained and built upon the commercial momentum that we experienced during the first half of the year and our discussions with leading institutions in the U.S. are progressing and several have entered into an advanced stage.
We remain excited about the potential of Focal One to disrupt the current prostate cancer treatment paradigm and believe we are well-positioned to deliver long-term value to our shareholders while offering superior outcomes to prostate cancer patients.
With that, I would like to turn over the call to EDAP's CEO, Marc Oczachowski. Marc?"
Marc Oczachowski,0,"Thank you, Philippe. Good morning everyone and thank you for joining us for our third quarter 2018 conference call.
François will detail our financial results a bit later on, but as short comment, we finished the first nine months of 2018 with a revenue of €25.9 million, a 3% increase with €25.1 million for the comparable year in 2017. And while it is of course important that we are a commercial stage company generating revenue, today's update is more about the future potential of the company given our accelerating sales momentum rather than revenue generated in the past.
During the third quarter, we continued to execute on our primary growth strategy which is to expand our commercial footprint for Focal One our next-generation HIFU device for the treatment of prostate cancer. In our view, Focal One represents a paradigm shift in the treatment of prostate cancer. It is currently the only device cleared by FDA that can perform high targeted prostate tissue ablation while stirring healthy surrounding tissue and avoiding many of the line altering side effects of traditional treatment such as surgery including impotent and incontinence.
Now hitting some of the highlights from the quarter, we announced the installation of our third Focal One device sold in Brazil, one of the largest addressable market in Latin America, with an estimated 70,000 mutations of prostate cancer every year.
Also in South Korea, we announced our first installation at one of the company's most renowned Centers of Excellence through National University Bundang Hospital. Going forward, this will be an important wisdom site in South Korea, which is among the most important medical device market in all of Asia, and one, that we expect will drive future sales growth not only in South Korea but in the region more broadly.
In the U.S. following AB approval that we announced last quarter, our commercial team continues to engage in advanced nutrition with leading hospitals and health centers that we hope will result in simplifying contract and subsequent installation in the near-term. These will be a significant inflection point for our company as a U.S. government installation would represent our formal entry into the largest medical device markets in the world.
And given the caliber of institutions that we are searching too, we will have an important reference type that we think will be key to driving future growth across the U.S. This remains a top priority for our team and we will approach this U.S. as soon as [indiscernible].
As with any piece of capital equipment, Focal One represents a significant investment for hospitals and as you can imagine the sales cycle is lengthy. The largest and patients life are in need of a better treatment options that allows for a more targeted treatment that can ablate even more caution of the prostate while minimizing damage to healthy tissue. As a result, the hospital that offers treatment with Focal One can differentiate itself from surrounding hospitals in the area, this attracting more patients.
So while Focal One offers clinical advantages to the largest number of patients in parallel it can also offer tangible financial advantages to hospitals.
Finally on the corporate front, we announced last month that warrants were approximately 3.3 million ordinary shares in the form of American Depository Shares ADS expired on October 14, 2018. This situation can be simplified tactical structure and leaves us with one tranche of 1.5 million warrants remaining that expires throughout the end of the month on November the 29. The ongoing simplification of our capital structure should help attract more fundamental long-term investors, who can appreciate our strengthening fundamentals without the distraction that the warrant is presented.
In summary, we believe Focal One represents a significant advancement of our earlier HIFU device in terms of accuracy and precision of prostate tissue ablation that can consistently deliver improved patient outcome.
And now, our CFO, François Dietsch will provide a review of our financial results. Francois?"
François Dietsch,0,"Thanks you, Marc, and good morning everyone.
Please note that all figures except for percentages are in euros. For conversion purposes, our average euro/dollar exchange rate was 1.1641 for the third quarter and 1.1923 for the first nine months of 2018.
Total revenue for the third quarter was €8.1 million, an increase of 14.2% versus Q3 2017 and a recovery there for the third quarter.
On the HIFU side, we generated sales of €1.9 million representing an increase of 6% versus Q3 2017. The increase was driven by the sale of one Ablatherm device in U.S. in 2018 that is none in the year-ago period.
On the UDS business side, Q3 revenue of €6.2 million was up 17% versus the third quarter of 2017. We sold four lithotripsy devices in the quarter versus six in the same period last year. The increase was driven by 61% growth in our sales of Distribution product.
Gross margin for the quarter was 41.5% an increase of 210 basis points year-over-year reflecting mainly the higher level of activities.
Operating loss for the third quarter was €0.7 million as affecting 14 in our lithotripsy business was offset by an operating loss in HIFU. This compares to an operating loss of €1 million in the third quarter of 2017.
Net loss for the quarter was €0.7 million or €0.02 per diluted share versus a net loss of €0.5 million or €0.03 per diluted share in Q3, 2017. The third quarter net loss included a non-cash interest income of €0.3 million to adjust the accounting fair value of our outstanding warrants.
Turning to the first nine months of 2018, total revenue was €25.9 million as compared to €25.1 million for the comparable period in 2017, increasing a 6.3% increase in the UDS division sales and a 5.1% decrease in the HIFU sales -- from R&D in the U.S.
For the nine months of 2018, gross margin was 32.3% an increase of 90 basis points year-over-year mainly driven by the higher level of activities.
Operating expenses for the first nine months of 2018 were €13.5 million, an increase of €0.9 million compared to the comparable period in 2017, reflects the increased investment in sales and marketing and development program.
Net loss for the first nine months of 2018 was €1.4 million and including non-cash interest income of €0.3 million to adjust the accounting fair values of the outstanding warrants.
Lastly, we exited the third quarter with a strong cash balance of €15.9 million. The cash position at the end of September reflect the high level of working capital as we prepare the last quarter of the year.
I will now turn the call back to Marc."
Marc Oczachowski,0,"Thank you, Francois.
As I said, we are very excited to have Focal One cleared for sale in the U.S. and we continue to make progress in our discussions with potential customers.
With that, we would now like to open up the call to your questions. Operator?"
Operator,1,"Thank you. [Operator Instructions].
We will take our first question from Swayampakula Ramakanth with H.C. Wainwright."
Swayampakula Ramakanth,1,"Good morning, Marc."
Marc Oczachowski,1,Thank you.
Swayampakula Ramakanth,1,"Couple of quick questions. So when between Ablatherm commercialization and Focal One coming on board in the sense and getting approved, you had few potential customers waiting on the sidelines trying to figure out the approval of Focal One? So how many of those potentially leads at that time are either converting or getting ready to convert into customers of Focal One?"
