speaker,q&a,content
Operator,0,"Good morning. My name is Christine and I will be your conference operator today. At this time, I would like to welcome everyone to the Energold Drilling Corp’s First Quarter Results Conference Call. All lines have been placed on mute to prevent any background noise. After the speakers’ remarks, there will be a question-and-answer session. [Operator Instructions]. Thank you.
Jerry Huang, Manager of Investor Relations, you may begin your conference. "
Jerry Huang ,0,"Thank you, Christine. Good day, ladies and gentlemen. Welcome to Energold Drilling's Q1 2018 period ending March 31, 2018 financial results conference call. Before we begin, we'd like to go over our disclosure statement, followed by Mr. Gold's comments on the quarter results and the Q&A period. 
Certain statements in the following conference call following Energold Drilling business operations may constitute forward-looking statements, such statements are not historical facts but are predictions about the future, which inherently involves risks and uncertainties and may cause actual results to differ materially from those contained in the forward-looking statements.
I would like to now turn it over to the CFO, Steven Gold. "
Steven Gold,0,"Thank you, Jerry. Good morning, everyone. It’s been not too long since we spoke last on our annual conference call but we will be able to provide you an update here after for the quarter. 
Revenue in the period increased really across the board. On the mineral side, we were actually quite busy for what would be typically a first quarter as well as on the energy side and manufacturing side. Group revenue as a whole was $23.9 million compared to $19.1 million in the same period of 2017, that’s a 25% increase on a year-over-year basis. Improvements across all the divisions were the result for the period’s improvement on the financial basis. And we are seeing generally an overall better drilling climate, especially in the mineral and energy sides, while delivering improvements in the manufacturing segment led to an increase in that area.
Mineral revenue improved by more than 12% while the energy segment’s revenue improved by more than 11% along with more than doubling the manufacturing revenue base on a year-over-year basis. Gross margin on a group wide basis improved to $5.7 million, that’s 27% increase over the same period in 2017. We returned to a positive EBITDA situation, while the net loss unfortunately was $0.04 a share, this compares to a loss of $0.06 per share in the same period last year. 
At the end of the quarter, Energold had cash on hand of $5.9 million and $57.5 million in working capital. Following years of cost cutting and tight margins and losses in other cases, the improving climate for commodity exploration has led to a strong first quarter for the company in the current climate. Annual revenues increased to $10.8 million in the first quarter from $9.6 million in the same period last year. 
Meters drilled increased to 72,400 in mineral segment compared to 63,300 in 2017. As discussed, activity in the mineral segment continues to improve following stronger sustained commodity prices and an overall improving funding climate for junior and intermediate exploration companies in 2017, which has translated into exploration dollars in 2018. 
Capacity in certain markets is tightening resulting in a stronger competitive position for the company. Specifically, West African and South American activity is growing considerably compared to past years, resulting in most of the improvement in the first quarter’s activity. 
Pricing in the mineral division remains competitive, however, although some improvements in certain regions are apparent, especially where the company continues to hold a presence over the years, while our -- or at least some of our other competitors had left. This has left limited service providers as a result. 
On the energy drilling side, our revenues for the three months ended March 31st, were 3.6 million compared to 7.8 million in the same period of 2017. Gross margin of 2.8 million or 32% compares to 2.9 million or 37% in the same period last year. Margins remain strong in this division due to increased activity in the oil sands, which saw meters drilled improved by over 60% in the quarter on a year-over-year basis. 
Some of the new geothermal contracts announced in March are currently ramping up in the second quarter and are expected to make a meaningful impact on the company's financial results this year, having seen a near doubling of activity in the recent quarter on a year-over-year basis. 
The company has specifically won several sustainable energy businesses, business contracts as it seeks to increase its utilization of its equipment in slower spring and summer months. Specifically, we are using equipment that we typically use in the winter and store for the summer, we’re now using that equipment in the summer to create a second season.
Global investments and development in renewable energy and infrastructure has opened up a sizable market with the company, recently, substantial contracts have been awarded including $10 million in the United States and $9 million in Canada, where some of this work has already begun as discussed and the balance is expected to be completed between the current quarter and year-end. 
At the manufacturing level following a substantial reorganization including staff reductions and more focused and modern -- and a modern product portfolio. The manufacturing segment started to recover in the first quarter. Revenues for Dando, the manufacturing division in the first quarter were 4.4 million with a gross profit of 16%. This compares to revenue of 1.7 million and a gross profit of 5% in the same period last year. This marked improvement is a result of increased efficiencies in our contract delivery process. Energold is committed to Dando’s success and management believes there is a substantial opportunity for drilling, manufacturing market especially in the water drilling segment.
Moving over to the outlook, management has made significant changes in each of the divisions over the last several years that has set the company up as a whole to benefit from improving fundamentals. Cost cutting, investment in new equipment and developing new drilling markets succeeded in growing activity levels in each division. The mineral drilling division is expected to continue to show improvement over the balance of 2018. The company's order book remains strong, especially in parts of Central and South America where Energold holds leading market share positions. As capacity utilization improves, management expects pricing trends to follow while keeping costs under control. 
In the energy, sustainable energy and infrastructure division, higher oil prices and continued investments in projects in North America are expected to further grow the order book until the end of ‘18 and beyond, when equipment is reallocated to the oil patch in the winter season. Meanwhile in the manufacturing segment, management expects the recent restructuring to continue to improve the division's financial performance and continue to grow profitability over the balance of the year. New investments will be made where there is an economical case to do so. Working capital and startup cash are integral to winning new businesses, and therefore, management must continue to evaluate each opportunity on a selective basis to ensure the best use of funds. Notwithstanding the company is seeing more opportunities in an excess as contracts and new business will continue to come to the door however new projects will be taken on a case-by-case basis. 
That summarizes my brief comments. Operator I’ll pass it over to you to receive any questions."
Operator,1,Thank you. [Operator Instructions]. Your first question comes from the line of James Moore from J.R. Moore Associates. Your line is open.
James Moore,1,"So, it's more about the debt level that you guys currently have. I know that convertible is what it is. But I saw the bank debts creeping up a little bit, can you just talk a little about that and any plans you have to make sure that you're paying off the bank debt as your finances improve and the opportunities improve?"
Steven Gold,1,"Yes, sure. On the bank debt, much of that is really just working capital lines to expand the business, so that debt in particular is not going to keep the lights on so to speak, there is business for that. These are lines that we take on where we go to our lender and say we have a contract in Argentina, we're going to need $240,000 for startup and the debt in that case is right up against that contract, in particular, rather than a broad working line where we can draw as we see fit. So that's a reason for the creep. It's much more to do with business coming through the door. At the end of the quarter we have about $6 million in cash and that’s fine but it also creates a scenario where we've had unfortunately had to turn down some contracts, because it costs about $60,000 per rig to get it out into the field. So that's reason for that bank indebtedness."
James Moore,1,"Okay, so I assume that, you guys -- that’s just a short-term thing, you guys are probably trying to pay off when you can once you get it [multiple speakers]."
Steven Gold,1,"Yes, we are not going into details which will nothing but bore you, but I am happy to share. Basically, as money comes in for those contracts it goes straight to paying that piece of debt."
James Moore,1,And then can you talk about the seasonality of the opportunities that you have for this year in terms of where we should expect? Or if you guys have any visibility into that aside from the regular seasonal trends in terms of where you expect some of the projects that might balloon in certain quarters versus others given the large contracts you guys talked about.
Steven Gold,1,"So, the green energy, sustainable energy whatever you want to call it is certainly a spring summer early fall thing. Its partially done by design because again those -- the rigs we use for that equipment is spoken for in the winter. So, from a seasonal perspective you saw a lot of the green stuff happen in the next couple of quarters. Mineral is always busy in Q2 and more so in Q3 assuming weather cooperates. Interestingly enough we had a pretty good recent terms of meters drilled, we had a very good Q1. So, it was unseasonably better than expected. And energy is always in the winter months. So, it's sort of broken down like that. 
The green site is interesting, specifically because I suppose we could do that at any time during the year, but again it truly is a matter of a rig availability rather than when these -- when this drilling tends to take place."
James Moore,1,"And also, could you talk about the total sense business just what you're seeing there now at the prices creeping up."
Steven Gold,1,"Well, the quarter in particular that we just had I think it shows that improvement sort of in a nutshell, just pointing a number here. So, in the first quarter, we did 18,600 meters of drilling in the oil sands only, and the year before was 11,600 so you have both 7000 meters there and that is solely and only because of a better oil price."
James Moore,1,"And just my last one. The last -- I don’t know I guess call it six years or so have been pretty rough in terms of operating losses and just net losses generally. So, I guess just in terms of driving shareholder value stock price over that period to down very high double digits, is your main focus that you are trying to get to that is definitely great that you guys are having this period of major tailwinds you are back right now. But I guess something you guys are working on to make sure that this can sustain itself when we hit another period of commodity prices decline."
