speaker,q&a,content
Operator,0,"Ladies and gentlemen, thank you for standing by. I’m [indiscernible] your Chorus Call operator. Welcome, and thank you for joining Eurobank Ergasias Conference Call to present and discuss the First Quarter 2018 Financial Results.
At this time, I would like to turn the conference over to Mr. Stavros Ioannou, Deputy CEO. Mr. Ioannou, you may now proceed."
Stavros Ioannou,0,"Good afternoon, ladies and gentlemen, and welcome to the Eurobank first quarter 2018 results presentation. Let me first introduce the team here with me. Mr. Harris Kokologiannis, our Chief Financial Officer; and the Investor Relations team. Together, we will present our results, and then we will answer your questions during the Q&A session.
On the macroeconomic background, Greece reached the staff level agreement on the fourth quarter review while negotiations on the debt relief and the post-program architecture are ongoing. Sentiment and market confidence should further improve once these milestones are cleared. In such a scenario, we see expectations for GDP growth of 2% as attainable. This is based on double-digit increase investments from a low base low, another strong tooling season, improving employment and stable private consumption. While on the negative side, net exports are going to be affected by higher oil price. Last but not least, the stress test conducted according to the EBA methodology confirmed the Greek banks’ resilience.
The highlights of our financial results for the first quarter of 2018 are shown on Slide 4 of the presentation. We had net profit of €57 million in the first quarter. The core pre-provision income was stable at €200 million year-on-year but lower 7.6% from the previous quarter. It was affected by the cost of new lease of Tier 2 bonds, the day’s effect of the quarter and lower fees and commissions. Operating expenses were down 1.3% year-on-year, with Greece actually 3.3% lower.
On asset quality metrics, our NPE formation was a negative €210 million, while the NPE stock was reduced by €0.5 billion last quarter. The NPE ratio decreased by 70 basis points in the first quarter and reached 41.8%, while the ratio provision over NPEs reached 56.1%, improved by 60 basis points in the last quarter. Given our performance so far, our planned initiatives for the rest of the year as well as the improved legal framework, including the accelerated pace of the auctions, we are confident we will meet the NPE reduction target for the full year.
On liquidity, the gradual return of deposits continued, and deposits increased last quarter by €1.4 billion. ELA funding decreased by €4 billion from December 2017. The trend of positive growth in business lending we saw in 2017 was reaffirmed in the first quarter of 2018.
On capital, we ended the quarter on common equity Tier 1 ratio of 15.1% and the fully loaded Basel III ratio at 12%, while the total capital adequacy ratio stood at 17.8%, among the highest in the sector. Most importantly, our capital position was confirmed by the successful completion of the EBA stress test.
Turning now on our international operations. Our international operations are considerably profitable and self-funded while profits increased by 22% year-on-year, reaching €33 million in the first quarter. The disposal of our Romanian operations agreed last year was completed in April, effectively meeting the restructuring plan commitments.
In conclusion, based on our performance in the first quarter, we are confident that we will meet all our operational targets for the year. That is to be profitable in 2018, to meet our NPE reduction plan and to accelerate new loan disbursements.
At this point, I would like to ask our CFO, Harris Kokologiannis, to present our results in detail before opening the Q&A session."
Harris Kokologiannis,0,"Thank you, Stavros. Moving on Slide 7 and on funding liquidity. As shown on the top left of the page, related trading of ELA funding stands at €3.9 billion. That is €4 billion lower than last December’s figure. The decrease is mainly driven by public and private deposit inflows, market repos and the proceeds from the sale of Bancpost.
As regard to capital position on Page 8, our CET1 ratio as of quarter end, and including the full year effect of regulatory transitions, amounted to 15.1%. On a fully loaded basis, CET1 amounted to 12%. While total capital ratio, including the new lease of Tier 2 bonds, amounted to 17.8%.
Moving on Page 11 and to loans and deposits evolution. In the first quarter of the year, gross loans, excluding writeoffs and FX effect, had a growth of €104 million coming from the biggest portfolio increase, Bulgaria and Cyprus. The growth in the above 3 segments amounted to €270 million and more than offset the amortization of the mortgage portfolio in Greece. Group deposits increased by €1.4 billion, mostly coming from Greece, while loans to deposit ratio improved fairly this quarter to 102%.
On Page 13, lending and deposit spreads as well as net interest market evolution are presented. On lending spreads, it is now shown separately the spreads of performing and non-performing loans on a gross basis, which provides a clear picture of the market evolution for the various business segments.
Moving on Page 14, net interest income for the group remained stable on a yearly basis and decreased quarter-on-quarter by 4.8% to €355 million. The main drivers of this movement are shown on the right part of the page, were the Tier 2 cost and the days effect. The lower margin on Greek loans and to international business have been fully offset by lower ELA cost and higher bonds income.
On Page 15, net commission income is stable year-on-year and decreased quarter-on-quarter by 8.4%. The decrease mainly relates with the seasonality on platform fees and the lower commission from capital market and investment banking activities.
On Page 16, operating expenses decreased on a yearly basis by 1.3% for the group and by 3.3% in Greece. After the bottom right of the page, the number of staff in Greece decreased in the last two quarters by more than 500 people, while branches were reduced in the last 12 months by 20% to 350. Thereby, apart from driving costs lower, they also signal the gradual transformation to more digitized channels and infrastructure.
Further on pre-provision income and on Page 5. On the top left of the page, our core PPI is stable compared to the first quarter of 2017 and decreased by 7.6% quarter-on-quarter for the reasons already mentioned. Pre-provision income amounted to €233 million at first quarter 2017’s level and to lower on the previous period also due to lower other income.
On Page 9 and on international business, net profit from the current operations for the first quarter amounted to €33 million, higher year-on-year by 22% and at par with the previous quarter. Other lower core PPI was offset by lower provisions costs.
Moving on asset quality and on Page 6. As shown on the top left of the page, negative NPE formation amounted this quarter to €210 million, driving the NPEs ratio was down by 70 basis points to 41.8%. Provisions in the first quarter amounted to €167 million, €40 million lower than the previous period. Cost of risk over net loans decreased to 1.86%. Finally, as the results of the above, NPEs coverage increased by 60 basis points to 56.1%.
On Page 18 and to the left part, it is shown that at the end of the first quarter, NPEs as per SSM parameter amounted to €17.8 billion, €300 million better than the target. On the right part of the page, it is presented the contribution of the different drivers to the decrease of NPE stock. Furthermore, the breakdown of NPE net flows into inflows, outflows and cash collections is also shown.
Moving on Page 21 and in the context of IFRS 9, we introduced information related to the quarterly movements for the Stages 1, 2 and 3 as well the respective provisions coverage as at quarter-end.
On Page 25, it is presenting the progress of auctions as follows. On the left part of the page, it is shown that as of the end of February when the electronic auctions were introduced, the number of auctions hit substantially increased. More specifically, in this context since the beginning of the year, the bank auctioned successfully almost 630 properties, acquiring the majority of them.
This completes my presentation, and we may now open the floor for your questions."
Operator,1,The first question comes from the line of Floriani Jonas with Axia Ventures. Please go ahead.
Floriani Jonas,1,"Good afternoon guys. Thanks for the presentation. A quick question on the – on your 90+ formation on Page 6. Can you please elaborate on that – on the positive effect on plus rate? Second point on deposits, just interested to understand if there’s any movement coming from public sector, from cash buffers into your deposits and how that compares to your private sector flows. And also, finally, I think if you could just update us on NII trends now for 2018. I mean, I understand the movement that you have now, especially considering the Tier 2 costs, and we know how challenging it is as well on the asset side. So if you can elaborate a bit on the moving parts of the rest of the year now considering that we already know and how you see things moving forward with price."
Harris Kokologiannis,1,"Okay. Let me answer the first question about our 90+ formation. That has been turned positive. And actually to explain the trend, please go to Page 23. In Page 23, we are actually presenting the 90+ formation per segment. As you will see, in all segments with the only exception of corporate, our 90+ formation is actually negative, and it follows a similar trend in the last two quarters. It goes, as you will see, only adversely for the corporate portfolio. And actually what this is, is actually one single corporate name with the formation of €116 million, and this is what causes the distortion, yes?
And the second one about the deposits. We have – I have to tell you that the private sector deposits in the Greek market based actually on the statistics that were recently announced by the Bank of Greece was up by €600 million in the first four months of the year. The total market deposits, including also the general government, increased by €3.6 billion over the same period in question. Now the Eurobank deposits increased by €1.3 billion in first quarter 2018 and this is between €1 billion from the public entities and €300 million from the private sector. That is the explanation on how the things are moving in terms of deposits."
Stavros Ioannou,1,"Regarding your question about net interest income. As you may see on Page 14 and as we explain in the first quarter, our net interest income Q-on-Q was 4.8% down in that previous year’s level. The quarterly movement is basically explained from the Tier 2 costs and the days effect. As in the first quarter, we have 90 days versus 92 in the previous one, while the downside from loans international were fully offset from lower ELA costs and higher bonds income. Now going forward, we should expect for the full year from mid-single digit reduction mainly driven by – first, by the Tier 2 cost; second, by the lower interest on NPE loans; and third, by some lower margins in the corporate performing portfolio that will offset the lower funding cost coming from lower ELA and lower deposit cost. This is the outline of how we expect to move on NII."
Floriani Jonas,1,"Okay, okay. And then just finally, a quick follow-up. When you say that you’re confident in meeting your targets for 2018, meaning positive profitability, NPE targets and also new disbursements, what is the level of new disbursements you’re targeting on for 2018?"
Stavros Ioannou,1,"Actually, in Greece, we should expect approximately €400 million increase in the balances of gross loans. However, this is more interesting than it looks because we have to cover the amortization of mortgages, but it is close to €400 million. So on the corporate and business – and then on the business portfolio, we should expect an increase by close to €700 million to €800 million."
Floriani Jonas,1,"Thank you.
Operator
The next question comes from the line of Bairaktari Angeliki with Autonomous Research. Please go ahead."
Bairaktari Angeliki,1,"Hello, thank you for the presentation. Three questions on my side, please. Firstly, could you please tell us what would be the impact on your CET1 ratio from the mark-to-market of Greek government bonds in Q2 until today given that the spreads have moved upwards again? The second question is, you are guiding for NII to be down by mid-single-digit, and that includes the improvement overall in the cost of funding, I presume mainly on the back of the ELA decline. Do you see any risk that as Greece exits from the bailout in August, your funding cost in terms of market repos or sort of like Central Bank funding could increase? And thirdly, we have seen some Irish banks disclosing their MREL requirements. How do you engage in any discussion with the Single Resolution Board on MREL? And do you have any plans to issue sub or senior debt this or next year? Thank you very much."
