speaker,q&a,content
Company Participants,0,"Steve Sadler - Chairman and CEO
Vince Mifsud - President
Doug Bryson - Vice President, Finance
Todd May - Vice President, Legal Counsel
Sam Anidjar - Vice President, Corporate Development"
Conference Call Participants,0,"Paul Steep - Scotia Capital
Deepak Kaushal - GMP Securities
Paul Treiber - RBC Capital Markets
David Li - Lizard Investors
Daniel Chan - TD Securities"
Operator,0,"Please standby. Good day, ladies and gentlemen. And welcome to the Enghouse Systems Limited 2019 Q2 Earnings Call. Today’s conference is being recorded.
At this time, I would like to turn the call over to Steve Sadler, Chairman and CEO. Please go ahead, Mr. Sadler."
Steve Sadler,0,"Good morning. I am here today with Vince Mifsud, President; Doug Bryson, VP, Finance; Todd May, VP, Legal Counsel; and Sam Anidjar, VP, Corporate Development.
Before we begin, I have Todd read our forward disclaimer."
Todd May,0,"Certain statements made may be forward-looking statements. By their nature, such forward-looking statements are subject to various risks and uncertainties, including those discussed in Enghouse’s AIF and other continuous disclosure documents, which could cause the company’s actual results and experience to differ materially from anticipated results or expectations.
You should not place undue reliance on this forward-looking information and the company shall have no obligation to update or revise any forward-looking statements, whether as a result of new information, future events or otherwise."
Steve Sadler,0,"Thanks, Todd. Doug will now give an overview of the financial results."
Doug Bryson,0,"Thanks, Steve. Yesterday, Enghouse announced its unaudited second quarter financial results for the period ended April 30, 2019. Second quarter revenue increased to $89.2 million, compared to revenue of $85.2 million in the second quarter of the prior year. The revenue increase primarily reflects contributions from acquisitions and incremental license revenue in both operating groups.
Results from operating activities were $26.6 million, compared to $24.7 million in the prior year’s second quarter, an increase of 7.9%.
Net income for the quarter was $16.5 million or $0.30 per diluted share, compared to $15.3 million or $0.28 per diluted share in the prior year’s second quarter. Adjusted EBITDA for the second quarter was $27.2 million or $0.49 per diluted share, compared to $25.4 million or $0.46 per diluted share last year, with the increase being attributable to incremental revenue contributions from acquisitions and operating cost synergies.
On a year-to-date basis, revenue was $175.2 million, compared to revenue of $170.3 million in the prior year. Results from operating activities were $52.4 million, compared to $49.2 million in the prior year-to-date, an increase of 6.6%.
On a year-to-date basis, adjusted EBITDA was $53.5 million or $0.97 per diluted share, compared to $50.7 million or $0.93 per diluted share last year.
Operating expenses before special charges related to restructuring of acquired operations were $35.1 million, compared to $34.4 million in the prior year’s second quarter and reflect incremental operating costs related to acquisitions, net of operating cost synergies.
Non-cash amortization charges on amortized -- on acquired software and customer relationships from acquired operations were $6.9 million for the quarter, compared to $7.4 million in the prior year’s second quarter.
The company generated cash flows from operating activities of $21.6 million, compared to $21.8 million in the second quarter of last year. On a year-to-date basis, cash flows from operating activities were $45.8 million, an increase of 1.9% compared to the prior year.
As a result, Enghouse closed the quarter with $205.5 million in cash, cash equivalents and short-term investments, compared to $193.9 million in October 31, 2018. The cash balance was achieved after payments of $9.8 million for cash dividends and $25.6 million net of cash acquired for acquisitions concluded in the current fiscal year and $1.1 million for acquisitions closed in prior years.
Subsequent to quarter end, Enghouse completed the acquisitions of Vidyo, Inc. and Espial Group Inc. The acquisitions extend the company’s product portfolio to include enterprise-class video software solutions to enable customers to more efficiently collaborate and interact, as well as a solution portfolio to help video service providers launch the next-generation video offerings for cable, IPTV and App-based IP video services.
Yesterday, the Board of Directors approved the company’s eligible quarterly dividend of $0.11 per common share payable on August 30, 2019 to shareholders of record at the close of business on August 16, 2019.
I will now turn the call back over to Mr. Sadler to provide an update on the quarter. Steve?"
Steve Sadler,0,"Thank you, Doug. As Doug noted, we continue to have a strong cash position of over $205 million, compared to $190 million at the end of Q1 January 31, 2019. Cash flow before changes in working capital was $29 million, an increase of 7.4% over the prior year. We paid $4.9 million in dividends and $3.2 million for the acquisition of ProOpti in the quarter. Excluding the ProOpti acquisition, the quarter revenue increased by over 3% internally from prior quarter Q1. It also increased by 5% over the prior year.
We are seeing signs of continued internal growth for the second half of the fiscal year. Adjusted EBITDA remains over 30% in the quarter. Foreign exchange negatively impacted revenue compared to Q1, but not by a significant amount a few $100,000. Deferred revenue increased 17% from the year end value to $77.5 million.
After the end of the quarter, we announced the completion of Vidyo -- the Vidyo acquisition in mid-May and Espial acquisition near the end of May. These acquisitions resulted in deployment of approximately $75 million of our cash, after considering the purchase price paid, banker fees, legal fees, sale bonuses and some restructuring costs.
We expect these acquisitions on an annualized basis to add $20 -- $70 million to $75 million in revenue, after being negatively adjusted for the purchase price accounting on deferred revenue and other items.
Revenue for Q3 will not only reflect the purchase price accounting adjustment, but will only include revenue recognized from the date of acquisition rather than the full quarter. We expect that although the acquisitions will not achieve our normal EBITDA margins in the first two quarters due to the purchase price accounting adjustments and business operational activities.
We believe results will be EBITDA positive before restructuring costs in Q3 and improved further in Q4. Both Espial and Vidyo had plans to restructure their business, which were significantly completed before the acquisition by Enghouse, but not fully completed.
Economic and market factors in our service industries continued to be favorable to our acquisition strategy and meeting our acquisition financial payback criteria. As stated previously, we have provided more focus to capital deployment in fiscal 2019, as well as positioning to improve internal growth in future years.
I would now like to open the call for questions."
Operator,1,Thank you. [Operator Instructions] And our first question will comes from Paul Steep with Scotia Capital.
Paul Steep,1,"Great. Good morning. Thanks Steve. Steve can you talk a little bit about -- more about Espial and just to clarify, obviously, we know they were already doing the restructuring that operating model I was scribbled down operating cost on EBITDA by Q3 or Q4 is that the third quarter and fourth quarter you have just owning it, just to be clear?"
