type,name
Executives,Victoria Hyde-Dunn - Investor Relations
Executives,Vik Verma - Chief Executive Officer
Executives,Mary Ellen Genovese - Current Chief Financial Officer
Executives,Steven Gatoff - Incoming Chief Financial Officer
Analysts,Matt Van Vliet - Stifel
Analysts,Meta Marshall - Morgan Stanley
Analysts,Rich Valera - Needham
Analysts,Nikolay Beliov - Bank of America
Analysts,Catharine Trebnick - Dougherty
Analysts,Jonathan Kees - Summit Insights Group
Analysts,George Sutton - Craig-Hallum
Analysts,Josh Nichols - B. Riley
Analysts,Will Power - Baird
Analysts,James Breen - William Blair
Analysts,Mike Latimore - Northland Capital Markets
