type,name
Executives,Johan Andersson - Investor Relations
Executives,Gustaf Salford - EVP & CFO
Executives,Richard Hausmann - CEO
Analysts,Annette Lykke - Handelsbanken
Analysts,Kristofer Liljeberg - Carnegie
Analysts,Michael Jungling - Morgan Stanley
Analysts,Thomas Zana - Exane
Analysts,Hans Mähler - Nordea
Analysts,Ian Douglas-Pennant - UBS
Analysts,Veronika Dubajova - Goldman Sachs
Analysts,Johan Unnerus - Pareto Securities
Analysts,Scott Bardo - Berenberg
Analysts,Björn Olander - Murgata Equity Research
Analysts,Richard Koch - SEB
