speaker,q&a,content
Company Participants,0,"Peter Nyquist - VP & Head, IR
Börje Ekholm - President, CEO & Director
Carl Mellander - SVP, CFO and Head, Group Function Finance & Common Functions"
Conference Call Participants,0,"Pierre Ferragu - New Street Research
Sandeep Deshpande - JPMorgan Chase & Co.
Richard Kramer - Arete Research Services
Simon Leopold - Raymond James & Associates
Stefan Slowinski - Exane BNP Paribas
Edward Snyder - Charter Equity Research"
Operator,0,"Welcome to Ericsson's analyst and media conference call for their first quarter report. To view visual aids for this call, please log on to www.ericsson.com/press or www.ericsson.com/investors. [Operator Instructions].
As a reminder, a replay will be available one hour after today's conference. Peter Nyquist will now open the call."
Peter Nyquist,0,"Good afternoon, everyone or good morning in North America to the second call for the day. And it's actually the second call for the day. So this time, we will do it a bit different. We will focus this session on Q&A. Of course, you will also find the first session that we had this morning is - the recorded session is posted on our website. So you would find that on the website. So what we'll do this time, and this will also be a way for us in the future, in the second call is to have a short introduction by our CEO, Börje Ekholm, and then we will have around 30 minutes of Q&A instead. So focus on that. And that's also based on feedback we have received from investors and analysts throughout the year, to make the second call more efficient. So by that, I would like to have some words before I hand over the word to our CEO, Börje Ekholm; and our CFO, Carl Mellander.
During the call today, we'll be making forward-looking statements, and these statements are based on our current expectations and certain planning assumptions which are subject to risks and uncertainties. The actual result may differ material due to factor mentioned in this - in the press - in today's press release and discussed in the conference call. We encourage you read about these risks and uncertainties in our earnings report as well as in our annual report.
With that said, I would like to give the word to Börje to have a short opening before we have the Q&A."
Börje Ekholm,0,"Thanks, Peter, and welcome to this report for the first quarter. And just to recap and set the stage, we defined the new focused strategy aimed at turning around the company about two years ago. And with the first quarter, we can have another quarter to the record on tracking towards achieving the goals for 2020 and beyond, and it's all based on a strategy of focusing on the service provider and building on a technology leadership and the increased R&D that has gone into that technology leadership.
So let me hit on a couple of highlights from the first quarter. The first one is the - with the first quarter, it was actually the third consecutive quarter with growth, sales growth of 7% year-over-year driven by strong delivery in North America where we see operators starting out to roll out commercial 5G service.
We had a couple of onetime events during the first quarter. It included the recovery of a previously written off receivable but also divestiture of some Media assets or realized gains from the divestiture of Media assets. Total, SEK 1.6 billion. If we adjust for those events, the underlying operating margin was 7.2%, excluding restructuring costs.
You know our strategy has been built on technology leadership, and we have increased our investments in R&D substantially over the past two years. And we have done that in order to make sure our 4G portfolio is competitive but also that we have a way and a path to migrate our customers and operators over to 5G. So investing for leadership in 5G.
And our 5G strategy is focusing on working with what I would label to be lead customers in lead markets, and that helps us define our product offering. So we now see several 5G networks being launched around the world, and there we are a key technology provider to them. So we believe we have a very strong offering in RAN and core. And with this product portfolio, we feel that we're in a good position.
What we do get also from the installations we have is we get some real-life experience of running 5G traffic. That gives a lot of learnings and a lot of feedback for our offering. And our commitment is really to focus on the in-field performance to make sure that it's fully interoperable, to make sure that it works while it's deployed as we don't think spec sheets matter or lotto road maps matter or - it's all about what we can deliver.
We see the U.S. and South Korea to lead as they have launched 5G service, but we also saw Switzerland today make 5G spectrum available earlier in the morning. And Swisscom was very quick at hitting the on button for 5G today, launching a basically level using the commercial frequencies with a commercial equipment to launch a commercial service in Switzerland. So we - that is a - so Switzerland is an early mover in Europe, and you will know Swisscom is a key customers of ours.
During the quarter, we've also announced that we will acquire the filter and antenna business of Kathrein, which will build a strong antenna competence in Ericsson critical as we move into 5G. But we can also build new site solutions as we integrate antennas and - into our complete offering. That should lower the cost for the operator.
We closed on the divestiture of MediaKind in the end of January. We also - and this we have informed about before, but you all know we have an investigation by the SEC since 2013 and DOJ since 2015 into Ericsson's compliance with Foreign Corrupt Practices Act. And we already told this six months ago, is that we have conducted a lot of internal work on our phone, and we have found breaches with the Code of Business Ethics as well as some shortcomings in internal control. We have passed on all of those observations to the authorities, and we say this is a serious matter. And so we can't give too many details, but we can give an update, and that is that we have just recently begun settlement discussions. These discussions are very early stage and so we can't today estimate how long it will take, and we can't estimate how the resolution of these matters will be. But we can say that we can at least today rule out that we would leave this without any consequences. So there will be consequences, material, financial as well as other measures, that will affect us. But I can also say that we continue to invest very significant resources into - or continue to invest in the resources in building up our ethics and compliance program internally and aligning the whole organization behind that.
Our strategy remains in place. Focused strategy is unchanged. We will continue to invest for technology leadership and leverage this portfolio in the market."
Peter Nyquist,0,"Okay. By that introduction from our CEO Börje Ekholm, we will continue with Q&A. And for you - for those of you who have signed in, as I said in the beginning, we will focus now on Q&A in this second call, and there is a recorded version on the first call posted on our website for those who want to listen on that.
By that, operator, I would like you to guide us through the Q&A sessions for about 30 minutes."
Operator,1,[Operator Instructions]. Our first question comes from the line of Pierre Ferragu of New Street Research.
Pierre Ferragu,1,"I was wondering how you see your growth outlook for the next year or two. From a geographic perspective, if I look at the quarter you reported today, the U.S. had been in the last four years at least 30% in Networks and the rest of the world is kind of stabilizing, maybe up in single digits. And so in - I mean, in Networks. And so my question is do you see the level of spending in the U.S. as something that can be sustained. And do you expect like low single-digit growth across the globe in the next couple of years? Or do you think the U.S. is at a peak and it will come down at some point and you will be like a similar recovery in the rest of the world as well? And then maybe one last piece on the same question which is T-Mobile-Sprint situation. The situation is more uncertain than it has ever been this morning, and I wonder how you factor that into your growth outlook for the next couple of years."
Börje Ekholm,1,"If we start with your - as a matter of fact, it's probably safe to start with your second question to - on the merger between T-Mobile and Sprint. We'll have to see how the regulatory process develops. And without getting into that merger discussion, but it's probably been good for the investment climate to have a couple more operators that can invest in a 5G network. So we'll see how that is going to impact once we know how that merger will be decided upon. And it's a little bit - the reality is - the market - we need the frequencies at some point in time anyway. So they will be exploited and somebody will need to build. I think it's a very interesting combination being proposed, but we'll see how that's going to be judged.
If we look at the whole market, the Dell'Oro forecast that we referenced is about 3% growth. It's been adjusted upwards. I think that we feel comfortable about that as a global growth. We think that's a fairly good estimate. We would not say anything different. I don't think that that's right. Of course, it's - we would be - if the U.S. continues growing at the current rates for a longer period or keeps the level, it would be - in that sense, it's more likely that the market will grow faster than 3%. Do we see that? Probably not. It's more realistic to think that that's going to taper off a bit and plan for that. But we also see the rest of the world ramping up and getting ready to prepare for the technology shift into 5G. So we kind of see maybe a different geographical mix going forward as the 5G rollout rolls through the world in a way. But it starts with North America, goes into Northeast Asia, Middle East, Australia, probably last in Europe."
Peter Nyquist,1,"Okay, Pierre, you're happy with that?"
