type,name
Executives,Michael Schall - President and CEO
Executives,John Burkart - Sr. EVP
Executives,Angela Kleiman - EVP and CFO
Executives,"John Eudy - Co-CIO and EVP, Development"
Analysts,Juan Sanabria - Bank of America
Analysts,Austin Wurschmidt - KeyBanc
Analysts,Nick Joseph - Citigroup
Analysts,John Kim - BMO Capital Markets
Analysts,John Guinee - Stifel
Analysts,Drew Babin - Robert W. Baird
Analysts,Trent Trujillo - Scotiabank
Analysts,Rich Hightower - Evercore ISI
Analysts,Rob Stevenson - Janney Montgomery Scott
Analysts,Alexander Goldfarb - Sandler O'Neill
Analysts,Rich Hill - Morgan Stanley
Analysts,Hardik Goel - Zelman & Associates
Analysts,Rich Anderson - Mizuho Securities
Analysts,Wes Golladay - RBC Capital Markets
Analysts,John Pawlowski - Green Street Advisors
Analysts,Karin Ford - MUFG Securities
