speaker,q&a,content
Operator,0,"Good day, ladies and gentlemen, and welcome to the EZCORP Fourth Quarter and Fiscal 2018 Earnings Conference Call. [Operator Instructions].
As a reminder, this call may be recorded. I would now like to turn the conference call over to Jeff Christensen, Vice President of Investor Relations for EZCORP. Please go ahead, Jeff."
Jeff Christensen,0,
"Thank you, and good morning, everyone. During our prepared remarks, we will be referring to slides, which are available for viewing or download from our website at investors.ezcorp.com. Before we begin, I'd like to remind everyone that this conference call as well as the presentation slides contain certain forward-looking statements regarding the company's expected operating and financial performance for future periods. These statements are based on the company's current expectations. Actual results for future periods may differ materially from those expressed or implied by these forward-looking statements due to a number of risks and other factors that are discussed in our annual, quarterly and other reports filed with the Securities and Exchange Commission.",0,Now I would like to turn the call over to Mr. Stuart Grimshaw. Stuart?
"Thank you, and good morning, everyone. During our prepared remarks, we will be referring to slides, which are available for viewing or download from our website at investors.ezcorp.com. Before we begin, I'd like to remind everyone that this conference call as well as the presentation slides contain certain forward-looking statements regarding the company's expected operating and financial performance for future periods. These statements are based on the company's current expectations. Actual results for future periods may differ materially from those expressed or implied by these forward-looking statements due to a number of risks and other factors that are discussed in our annual, quarterly and other reports filed with the Securities and Exchange Commission.",0,Now I would like to turn the call over to Mr. Stuart Grimshaw. Stuart?
Stuart Grimshaw,0,"Thanks, Jeff, and good morning to everyone. We have put strongly with some great Q4 results as we go through today. But the numbers that we're outlining below reflect the continuing drive we have delivered on our vision of serving and satisfying our customers' needs for cash. And as we've always said, that's the driver of everything that happens, and it leads to the great growth we have seen in PLO, which is up 18% to $199 million, and that's driven the adjusted EPS of being up 38% with the diluted EPS of $0.20. We've also excelled in the merchandise margin. We're up 120 basis points to 37%. EBITDA increased 35% to $28 million in the fourth quarter resulting in adjusted profit before tax increasing 38% to $16.2 million. These strong results were driven by exceptional growth in Latin America, and you'll see below that the PLO of 110% to $44 million, this 18 consecutive quarter of same-store PLO growth with this quarter at being 7%. The PLO per store, we set a record of 96,000 per store, the highest since 2008, and we've increased our store count by 84% in LatAm, which is profit before tax increase of 86% to $9.9 million in Q4.
Also pleasing was the growth we saw in the U.S. and you'll recall in Q3, we said there was a normally that we did have negative same-store PLO growth, which should concern us that we indicated to you at that time that we put all hands on deck to actually get us refocused on our mission of meeting our customers' needs for cash and this we have done. The reason we have a concern was that typically if we're losing PLO growth, it goes negative, we're concerned that we're losing customers and we reacted appropriately to get it back because it's very difficult for the customer to go somewhere else to get them back over time, and we're pleased to see that the U.S. has returned to the same-store PLO growth of 5% and the highest PLO per store, $305,000 since 2011. Merchandise margin continues to improve to 39% but on adjusted EBITDA up 15% in Q4. The balance sheet remained strong with cash up 74% to $286 million and provides strategic flexibility with us and also credit, the payments from the sale of the Grupo Finmart continues to be received on time in terms of all the schedules that have occurred.
Turning out to Slide 4. What we always have this slide, and it reflects the operating leverage in the business. What you'll see across all the U.S. pawn level and Latin America pawn level will continue to see growth in the operating leverage within the company, which is pleasing, and you'll see that, particularly in Latin America, the numbers there on the efficiency are stellar, and this reflects the management team and also the opportunities that we do continue to see in that market where growth is actually coming on the fact of the strong management actions we've taken.
On Slide 5, this is a new slide for you, but I think it reflects why we have undertaken the vision of focusing on our customers need for cash. And you'll see this reflected in the adjusted EBITDA numbers, which in '15 were $47.5 million, we're going to this year $100.6 million. This has been driven by 3 levers that customer engagement reflected in the PLO and PSC increases. The sort of the work we've done in the customer product analytics, which have driven us 22% higher annual merchandise growth profit, and at the same time, making sure that we are as lean as we can at the corporate center which produced 17% of annual corporate expense savings. But those three levers have delivered a 28% CAGR over those three year period, which we believe is a great result."
"Turning now to Slides 6. The recent Q4 I think is quite a great result, you see the momentum coming out of this quarter. The PLO growth up 18%, store count up 27%, EBITDA in Q4 growing at 35% versus the 17% annual and the EBITDA margin showing quite a strong increase. So we believe, and we continue to believe that successful focus on the customer experience leadership, which we've seen reflected in all these measures will continue to drive the revenue growth in FY '19.",0,"I'll turn now to Slide 7. We had 94% increase in store count in Latin America over the past 12 months, 80% of that is really from acquisitions with 4% from de novos, and we'll continue to accelerate de novo strategy in the year ahead. This growth has made 28% of total leasing property in Q4 comes from the segment, which is up 17% same time last year. And as you'll see that we invested heavily in our GPMXs we acquired in early October and the first year acquisition of ROIC was around 12%, and we expect that to grow to 15%. But as we do these acquisitions, we always talk about the operating model that we bring to these acquisitions in the first 12 months of ownership, the EBITDA, this has increased by around 40%.
So it's been a great, great result, and we think Latin America continues to offer opportunities. However, as you would have seen in the last month, it's not what political and security risk that sits around the business. The comments recently made by a member of the party coming into power, she spooked the markets and to with the ATM fees and transfer fees, none of which actually have any direct correlation to ourselves and then the Latin America and the Mexican economy, we're not seeing as a bank and the regulations are really based around more of the retailing and not on the landing. So we continue to believe that we offer a great service, which is supported by the government, state governments particularly and we'll continue to operate quite successfully in the region. But as we've seen, there is volatility that comes from being in the Latin American countries but with the growth rates coming out of these countries that would also suggest that we should continue to reinvest and invest in it."
"If I turn now to Slide 8, a new slides, what I want to do here is to show the growth that we've had in the operating cash flow from the company. From '17 to '18, we've increased net cash from operating activities by 53% and obviously, this funding PLO growth, and that's a good cost to have because funding this PLO growth actually ensures that the business continues to grow and delivers cash to us. And if you look at the operating cash flow after that, it's up 65% year-on-year. What we've shown in the slide below is - sorry, in the chart below we showed receipts from AlphaCredit, we've invested about $16 million as we've told you in a number of calls into the refurbishment of the store. So we took the opportunity with the AlphaCredit receipts to actually over invest in the rehabilitation of that store, a lot of which haven't been invested for over 10 years. So this is a one-off catch up, and we do not expect that to be ongoing. And as you've seen through this, we've grown from 25 to 40 this year.",0,"As we look at the progress ahead of us, we always want to try to keep it in the $25 million to $30 million. But importantly, if you look at the chart on the bottom, you see the maintenance CapEx running around $11 million, which is about 45% of total profit. Now if we can invest right on 50% of CapEx and growth, that's a pretty good opportunity, and we'll continue to look for those growth opportunities and to return positive for us. I'll say that these - the investment activities are outside of the acquisitions we have made, which are about $93 million and the investments we made in Cash Converters and as you've seen, we took a write-down of the investment. The main cause for that is an industry-wide shares in the subprime market in Australia, which were affected negatively by the result of the announcement of the sale of inquiry following on from the bank commission that has been undertaken in Australia. So the whole market was affected by this.
The analyst have an average consensus net profit after tax around $25 million for Cash Converters and a 12-month price target is between $0.40 and $0.50. So as it says, it's 27, there is at the analyst we're looking at is upside there, but there's an overhang from the inquiry that is going to be held in the next month or 2. So I just want to sort of clarify some of those issues while I pass over to Danny."
Daniel Chism,0,"Thanks, Stuart. Good morning, everyone. I'm excited to share with you the financial results for a very good fourth quarter and fiscal year. First, I do want to mention in our investor day in New York on December 13, for those of you that can attend. You can get details from Jeff Christensen.
Before we get to the slide on U.S. Pawn, there are a few items worth noting at the consolidated level as well as expectations for the coming fiscal year. We delivered adjusted diluted EPS of $0.20 in the quarter and $0.79 for the full year. We saw a 9% increase in average consolidated pawn loans outstanding or PLO, deliver a 33% increase in adjusted profit before tax of $64 million for the year. We ended the year with PLO 17% above the prior year, setting us up well for a good start to 2019. For the quarter, adjusted profit before tax was up 38% to $16.2 million.
Profit before tax was adjusted for discrete items including the $11.7 million noncash impairment of a 35% ownership stake in Cash Converters as Stuart just mentioned. These revalued our prior year investments to the value of CCB stock at year-end equalling the price at which they raised additional equity in June this year. This also incorporates recent movements in foreign currency exchange rates. Consolidated operations expenses returned to 69% of net revenues in the quarter and for the full year, consistent with our expectations and longer-term trend. This reflects the net revenue benefit of some of the investments we made in the third quarter.
As we look towards fiscal 2019, the underlying performance in cash generation of the business as well as comparability to the fiscal 2018 results can be obscured by the noncash interest we will record on a GAAP basis. This relates primarily to 2 items. First, amortization to interest expense of the estimated equity component of our convertible debt; and second, amortization to interest income of the deferred compensation fee and other straight-line interest income on our notes receivable. Adjusting for the noncash portion into each of these items according to the amortization schedules, I expected that adjusted net interest expense, I'll use to analyze the business will be about $15 million and are lower than our fiscal 2019 GAAP interest expense, representing about $0.18 per share. The adjusted results included in this quarter's slide deck do not reflect such an adjustment for noncash interest.
For comparable purposes, when evaluating next year's results, the fiscal 2018 full year results included about $8 million of noncash interest expense or $0.11 per share with $1 million or $0.02 per share of that in the first quarter. As Stuart mentioned, payments from our notes receivable remain current. In fiscal 2018, we received $38 million in cash from AlphaCredit. In fiscal 2019, we anticipate receiving another $30 million, reflecting the decline in principal balance and related cash interest. We expect to collect another $6 million in fiscal 2019 as the first instalment of the related deferred compensation fee with the remaining $8 million due in fiscal 2020. And a quick comment on taxes. As expected, we recognize the $2 million charge in the fourth quarter to further revalue our short-term deferred tax assets due to the new tax law. If you remember, we were subject to a blended tax rate in fiscal 2018 due to our fiscal year straddling the data in which the new law went into effect.
Though short term DTAs were previously revalued at a 24.5% federal tax rate applicable to fiscal 2018 that are expected to reverse in future periods that are now applicable 21% federal rate. Due to the last such revaluation, I expect from the tax law change. Depending on the mixture of our domestic and foreign earnings and an assumed inflation rate that impacts taxes in Mexico, I expect our overall fiscal 2019 effective tax rate to be in the range of 31% to 32% for the full year.
Turning to Slide 9. Let's take a look at the U.S. pawn results for the quarter. The average PLO in the quarter slightly below prior year, the 3% increase in pawn service charges was driven by an improved yield. This combined with an 8% higher sales growth profit or 9% on a same-store basis and a 210 basis point improvement in merchandise margins to an industry-leading 39% drove strong results. Overall, we leveraged the 5% bump in net revenues to a 7% increase in adjusted profit before tax. We showed strong year-over-year PLO growth by the end of the period, up 5% in total and up 2% excluding committed impact of last year's hurricanes. Inventory was well managed with an increase of only 2% in relation to the 5% increase in PLO.
Moving now to Slide 10. The last slide shows that our disciplined approach and focus on meeting our customers' needs for cash delivered an industry-leading PLO - PLO yield and net revenue per store in the U.S. Combining all these factors, we delivered a 15% increase in EBITDA, 3x the growth rate of our public pawn competitor and a very nice sequential improvement from our Q3. The right side of the slide shows same-store PLO growth by quarter, stacked in the same quarter for the prior year and the same information for our competitor at the bottom of the chart. You can see our U.S. pawn operations continue to take market share, adding to its long-term trend of market-leading same-store PLO growth. The ending PLO per store now stands at a 7-year high and 17% higher than the competitor at $305,000 per store.
Let's take a look at our Latin America pawn operations on Slide 11. PLO here more than doubled with pawn service charges up 99% on a constant currency basis. Same-store PLO grew 7% with an improved yield, driving an 11% improvement in same-store pawn service charges. In addition, we delivered a 63% increase in sales gross profit, 100 basis point improvement in merchandise margins to 31% and a higher return on earning assets. The combined effect of these factors was an exceptional 82% jump in net revenues and an 86% improvement in adjusted profit before tax. This includes the results from the 207 net stores added in fiscal 2018 through both acquisitions and opening of new stores.
The left side of Slide 12 shows our industry-leading PLO per store, with monthly yields to net revenues per store roughly equal to our largest competitor. It's worth noting that the GPMX stores we acquired in the first quarter were more agility-focused. Those stores net revenue was more concentrated in PSC, which lower in-store merchandise sales than our other Latin American stores. I expect our net revenues per store will continue to improve as we continue to increase these stores general merchandise lending and in-store sales. That, notwithstanding the acquired stores delivered a robust first year ROIC of 12%, which we expect to exceed 15% by their third full year ownership.
Putting all the pieces together, you see our 86% increase in EBITDA for the quarter compares favorably with the 2% growth for the public pawn competitor. On the right side of the slide, Latin America pawn delivered its 18th consecutive quarter of same-store PLO growth. This is compounding on top of an ever-increasing base. The industry-leading 7% same-store PLO increased this quarter was on top of a strong 11% growth we delivered this quarter last year. During this period, we produced much higher compound results than the largest pawn competitor shown on the bottom of the chart. Year-end PLO per store was the highest in Latin America in a decade and the highest in the U.S. since 2011. Both figures demonstrate solid same-store growth year-over-year combined with a contribution from acquired stores, this sets us up well for a solid start to 2019. Although it's still early in the fiscal year, that's exactly what we've seen year-to-date.
Now that you've got a little bit understanding of our financial performance, I'll turn the call back over to Stuart."
Stuart Grimshaw,0,"Thanks, Danny and just turning to Slide 12. I just want to reiterate, sort of the sum of the fundamentals we operate in the business and the chart is quite appropriate because it was centered around the customer. And we put a lot of levers that we're using, which are driving the results that we're seeing. We've got the customer experience and meeting our customers' needs has been the driver of this result. We are close to the customer. We are in the stores all the time, and we have a track record of executing on this vision as well as seeing the market share gains for the company. We're seeing it through scale, strong margins and as you've seen the operating levers that exist within the company. The industry dynamics remain attractive while we have seen some recent volatility through Mexico, we believe in the long-term nature of the Latin American growth countries that we are in. We have a very diversified geographic footprint and with that footprint, comes opportunities both de novo and potential acquisitions. And we have the systems consensus, and we have a great team that are driving the close relationship with the customer. We're working hard on all these levers to get the share price back to the levels that we've seen in the past, and we continue to focus strongly and meeting the customers' needs at the storefront to drive future profitability of the company.
So with those closing comments, I'd like to open it up for questions."
Operator,1,[Operator Instructions]. Your first question comes from the line of John Hecht from Jefferies.
